sample	MLH1_expr
tcga_ey_a1h0_01	11.997
tcga_ax_a3g8_01	12.124
tcga_ey_a2op_01	12.194
tcga_ax_a05y_01	12.318
tcga_ax_a060_01	12.341
tcga_ey_a547_01	12.467
tcga_ap_a1do_01	12.531
tcga_eo_a3kx_01	12.672
tcga_a5_a7wj_01	12.724
tcga_ax_a3g9_01	12.77
tcga_d1_a0zs_01	12.799
tcga_sl_a6ja_01	12.836
tcga_bg_a0m0_01	12.94
tcga_ey_a1go_01	12.972
tcga_ap_a0lg_01	12.999
tcga_ax_a1c4_01	13.011
tcga_ap_a0lt_01	13.074
tcga_ap_a1dr_01	13.176
tcga_aj_a3ol_01	13.179
tcga_b5_a0ju_01	13.216
tcga_ap_a054_01	13.247
tcga_di_a0wh_01	13.271
tcga_a5_a0gb_01	13.308
tcga_eo_a22s_01	13.343
tcga_a5_a0gh_01	13.404
tcga_d1_a2g5_01	13.405
tcga_d1_a176_01	13.488
tcga_ax_a3fs_01	13.49
tcga_bk_a13b_01	13.501
tcga_bs_a0te_01	13.533
tcga_ey_a1gu_01	13.558
tcga_ap_a1e1_01	13.644
tcga_aj_a2qo_01	13.645
tcga_bg_a220_01	13.663
tcga_ey_a215_01	13.667
tcga_b5_a11j_01	13.689
tcga_ax_a2hd_01	13.701
tcga_ey_a2om_01	13.701
tcga_b5_a0jv_01	13.708
tcga_bk_a0c9_01	13.725
tcga_d1_a1o7_01	13.731
tcga_bg_a3ew_01	13.741
tcga_bg_a0mq_01	13.768
tcga_d1_a177_01	13.791
tcga_a5_a0g9_01	13.823
tcga_d1_a17u_01	13.84
tcga_ap_a0ld_01	13.844
tcga_d1_a1nz_01	13.844
tcga_d1_a1ns_01	13.869
tcga_ap_a0ls_01	13.893
tcga_ap_a05o_01	13.943
tcga_d1_a17d_01	13.943
tcga_bg_a0m4_01	13.989
tcga_e6_a2p9_01	13.992
tcga_b5_a0k9_01	13.994
tcga_d1_a1ny_01	14.051
tcga_ax_a2hg_01	14.074
tcga_ap_a1dp_01	14.078
tcga_bs_a0u8_01	14.109
tcga_ap_a0le_01	14.13
tcga_ey_a1gf_01	14.161
tcga_ap_a0lp_01	14.177
tcga_bg_a18b_01	14.186
tcga_b5_a0k6_01	14.196
tcga_a5_a0ga_01	14.212
tcga_aj_a8cw_01	14.241
tcga_fi_a2f4_01	14.253
tcga_bs_a0v4_01	14.26
tcga_d1_a17m_01	14.273
tcga_ey_a5w2_01	14.273
tcga_a5_a0gd_01	14.309
tcga_fi_a2d4_01	14.319
tcga_d1_a17r_01	14.332
tcga_ap_a1dm_01	14.341
tcga_a5_a2k7_01	14.343
tcga_fi_a2d6_01	14.423
tcga_bs_a0tj_01	14.461
tcga_d1_a2g0_01	14.461
tcga_bg_a0vw_01	14.467
tcga_ap_a1dh_01	14.489
tcga_bg_a0vz_01	14.561
tcga_b5_a0jr_01	14.574
tcga_ax_a0j1_01	14.632
tcga_bs_a0vi_01	14.647
tcga_ap_a051_01	14.654
tcga_a5_a0gi_01	14.677
tcga_eo_a3au_01	14.678
tcga_pg_a917_01	14.695
tcga_aj_a8cv_01	14.696
tcga_ap_a05n_01	14.742
tcga_a5_a0vq_01	14.777
tcga_d1_a17a_01	14.8
tcga_d1_a2g6_01	14.865
tcga_d1_a16n_01	14.893
tcga_df_a2kz_01	14.894
tcga_b5_a1mx_01	14.898
tcga_ey_a1gk_01	14.915
tcga_b5_a0k2_01	14.923
tcga_ax_a064_01	14.941
tcga_d1_a160_01	14.941
tcga_d1_a17b_01	14.971
tcga_ec_a1qx_01	14.985
tcga_d1_a163_01	14.992
tcga_b5_a11r_01	15.012
tcga_bs_a0um_01	15.048
tcga_bg_a2l7_01	15.06
tcga_bg_a0lx_01	15.071
tcga_aj_a3ek_01	15.083
tcga_e6_a2p8_01	15.147
tcga_eo_a22t_01	15.16
tcga_ax_a05s_01	15.162
tcga_ax_a2hj_01	15.22
