Pre_up_shared	Post_up_shared	Pre_down_shared	Post_down_shared
AC004687.1	ABRACL	AC027644.3	AAK1
AC007952.4	AC090152.1	ACTR1B	AC012615.1
AC245014.3	ACAT1	AL136454.1	AC016831.7
ACTR2	ACTB	AP002387.2	AC025171.3
ADAM10	ACTG1	ATP6V0C	AC087239.1
ADD3	ACTN4	ATP8A1	AC105446.1
AIF1	ADA2	BTG1	AC116366.3
ANXA2	AGK	C1orf21	ADHFE1
AP3B1	AIF1	C20orf194	AES
APC	AIP	C4orf48	AFF4
APOBEC3G	ALG14	C7orf50	AGPAT4
APOL6	ALOX5AP	CCNI	AKAP5
ARHGEF6	ANP32A	CD8A	AKT2
ARID1A	ANXA2	CDK5RAP3	AL109955.1
ARPC3	ANXA6	CEBPB	AL118516.1
ATM	APEX2	CHPT1	AL136454.1
ATP5IF1	APOBEC3G	CHST11	AL162377.1
ATP5MF	ARHGEF6	CIRBP	AL662844.4
ATP5PB	ARL4A	CNBP	AMFR
ATP7A	ARMCX6	CXCR4	ANKHD1
B4GALT5	ARPC3	DAZAP2	ANKRD13D
BIRC6	ARPC5L	DDIT4	ANKRD49
C16orf72	ASNA1	DDX5	ANKRD9
C5orf63	ATP5F1C	DPH7	AP002387.2
CAPNS1	ATP5PB	EEF1D	APOA1
CASP8	ATP6V0D1	EEF2	APOLD1
CCAR1	ATP8B4	ERP29	AREG
CCDC28B	ATRAID	EVA1C	ARGLU1
CCDC43	BATF	EVL	ARNTL
CCND2	BCAP31	FAM177A1	ARPC1B
CD164	BCL2L1	FAU	ATP5F1E
CD300C	BLVRA	FCRL6	ATP5MD
CD38	C11orf54	FRG1	ATP5ME
CD63	C14orf119	FTH1	ATP5MPL
CENPK	C1GALT1C1	FTL	ATP6V0C
CFL1	C4orf3	GADD45B	ATP8A1
CFLAR	C5orf63	GLIPR1	AUTS2
CHD2	CALM2	GLUL	AXIN1
CISD3	CAP1	GSTM1	B4GALT1
CLIC1	CAPZA1	HAGHL	B4GALT4
CLTC	CAPZB	HERPUD1	BABAM2
CMTM6	CARNMT1	HNRNPA0	BCKDHA
COL6A3	CASP1	HNRNPDL	BCL3
CORO1A	CASP4	HNRNPLL	BCL9L
COX6B1	CCDC28B	ISCA1	BFSP1
COX6C	CCND2	ISCU	BHLHE40
COX7B	CCT5	KXD1	BOLA2B
CSNK2A1	CD164	LAG3	BRD7
CTNNB1	CD2AP	LDHA	BRD9
CTSC	CD3D	LDOC1	BRWD1
CTSD	CD48	LIME1	BTG1
CTSS	CD53	LINC00944	BTG2
CX3CR1	CD63	LITAF	C11orf98
CYTL1	CDK6	LYAR	C18orf32
DCAF13	CENPK	MAP1LC3B	C19orf66
DDX21	CFD	MGST3	C20orf194
DENND2D	CFL1	MTRNR2L8	C8orf76
DHX9	CHI3L2	NBEAL1	CCDC144A
DLEU2	CHMP2A	NME4	CCDC59
DNAJA1	CISD1	NSMCE3	CCNH
DNAJB11	CISD3	OAZ1	CCNT1
DUSP23	CISH	PCBP2	CD55
DYNLL1	CLIC1	PEBP1	CD8A
DYRK2	CLSTN3	PHF1	CDC37
ELK4	CLTA	PITPNC1	CDK11A
ELOVL6	CMTM6	PNMA1	CDK11B
ERBIN	CNIH4	PPDPF	CDK16
FAM107B	COA3	PRNP	CDK5RAP3
FAM120A	COA4	PTMA	CDKN1B
FAM192A	COL6A3	PTOV1	CEBPB
FCER1G	COMMD8	RAB11FIP5	CEBPZ
FKBP11	COMT	RABAC1	CEMIP2
FOXN2	COPZ1	RAC1	CHMP3
GIMAP6	CORO1A	RASSF1	CIDEB
GPALPP1	CPT1A	REEP4	CLK1
GTF2I	CRYZ	RPL10	CMIP
GTSF1	CTSC	RPL11	CNBD2
GZMA	CUTA	RPL12	CNOT1
HAUS6	CX3CR1	RPL14	COG3
HCST	DCLRE1A	RPL18A	COMMD6
HEATR5B	DCTPP1	RPL19	COX19
HEG1	DECR1	RPL30	CREBRF
HELZ	DNAJC15	RPL32	CREBZF
HIPK1	DNPH1	RPL36AL	CREM
HIPK2	DPM2	RPL5	CRIP1
HNRNPA2B1	DUSP23	RPL6	CSKMT
HNRNPUL2	DUSP6	RPL8	CSNK2B
HSD17B11	DYNLL1	RPLP2	CTBP1
HSP90AA1	DYNLRB1	RPS12	CWF19L2
IFI16	DZIP3	RPS13	CYTH1
IFI35	EBP	RPS14	CYTIP
IL27RA	ECHS1	RPS15	DBF4
IL2RB	EIF3I	RPS15A	DCTN4
IL2RG	ELOVL6	RPS3	DCXR
IQGAP1	EMC2	RPS4X	DDX24
JAK2	EMP3	RPS7	DDX5
KANSL1	ENO1	RPS8	DDX6
KCTD10	EOMES	RSAD1	DENND3
KDM3B	ERCC1	SARAF	DNAJB6
KIDINS220	EXOSC5	SDHD	DNAJB9
LAX1	FAF2	SELENOW	DNLZ
LCLAT1	FAM3C	SF1	DOCK5
LCP1	FARSA	SF3B4	DPH7
LIMK1	FARSB	SH3BP1	DSTN
LINC00861	FCGRT	SHISA5	DTD1
LINC01588	FDFT1	SLC22A5	DUSP2
LINC01684	FERMT3	SLC25A4	EEF1G
LMO4	FKBP3	SLC3A2	EGLN2
LNPEP	FLT3LG	SNHG7	EIF4A1
LPIN1	FPGS	SPSB3	ELF2
LST1	GANAB	SQSTM1	ENGASE
LTB	GATB	SUN2	EP300
MACF1	GBA	SYTL3	ERN1
MAGT1	GBP2	TBC1D25	ERO1B
MARK2	GIMAP2	TOB1	EVA1C
MDM2	GIMAP7	TRBC2	EXOSC6
MDM4	GMFG	TSC22D3	F2R
ME2	GNAQ	TSEN54	FAM118A
MIEN1	GPKOW	TUFM	FAU
MLC1	GSDMB	VIM	FBXO21
MMADHC	GSDMD	VPS28	FGD3
MOB3A	GSTP1	VPS37B	FKBP5
MRPL47	GTSF1	WAS	FOSL2
MSN	GYG1	XRRA1	FRAT1
MT-ATP8	GZMA	YBX1	FRG1
MT-CO1	GZMM	YRDC	FTH1
MYDGF	HELZ	YWHAH	FTL
MYL12A	HLA-DQB1	ZFAND2A	FURIN
N4BP2	HLA-DRB5	ZFP36	GABARAP
NABP1	HMOX2	ZFP36L2	GALNT11
NDUFA12	HNRNPA2B1	ZYX	GKAP1
NDUFA4	HNRNPF		GLMN
NDUFB3	HNRNPR		GMFB
NEAT1	HSD17B11		GPATCH8
NGLY1	HSDL2		GPS2
NIFK	HSP90AA1		GSTM1
NOP10	ICAM2		GTF2IRD2B
NOTCH1	ID2		HAUS2
NQO2	IFT27		HDAC10
NUP210	IKBKG		HIST1H4C
PARP14	IL16		HNRNPDL
PCNX4	IL27RA		HSDL1
PECAM1	IL2RB		HTD2
PFN1	IL32		HYPK
PHPT1	ILK		IGFLR1
PIP4K2A	IRF5		IGHA1
PLAC8	ITPA		IGLV2-11
PLXNC1	IVNS1ABP		IKZF1
POMP	JAGN1		IRF4
PPIB	JPT1		ITCH
PPIL3	KANSL1-AS1		ITPRIP
PPP3CA	KCTD10		KIAA1671
PPP4R3A	KLRB1		KIR2DL1
PSMA3	KLRG1		KIR3DL2
PSMA4	LCP1		KLF3
PSMB3	LDHB		KLF9
PSMC6	LINC00324		KLRK1
PTEN	LINC00649		KRT10
PTPN12	LINC01684		KTN1
PTPN22	LMAN2		LATS2
PUM2	LMO4		LDOC1
PYCARD	LPXN		LIG1
RAB11FIP1	LST1		LIME1
RAB27B	LTA		LINC00299
RAB29	LTB		LINC01011
RASGRP1	LYPLA2		LINC02446
RBM39	LYZ		LIPE-AS1
RECQL	MANF		LITAF
RFLNB	MAT2B		LY6E
RHOQ	MDH1		MALAT1
RIPOR2	MPG		MAP1LC3B
RNF213	MPV17		MAP3K8
ROCK1	MRPL3		MAPK1
ROCK2	MRPL51		MECP2
RRBP1	MTX1		MED10
RUNX3	MYL12A		MEF2D
S100PBP	NCR1		METRNL
SACM1L	NCR3		MFSD14A
SAMHD1	NDFIP2		MGAT4A
SDF2L1	NDUFB3		MKKS
SELL	NDUFS6		MMP24OS
SEPT6	NIFK		MOAP1
SETX	NOP10		MOB4
SF3B1	NQO2		MRPL23
SFMBT2	ORMDL1		MRPS24
SFT2D1	ORMDL2		MTFP1
SFT2D2	OSTC		MT-ND6
SH3BP2	OSTF1		MTRNR2L8
SH3GLB1	PDIA6		MVD
SLC16A3	PDLIM2		MXD4
SLC38A1	PECAM1		NAA10
SLC38A2	PEF1		NAA38
SLC7A6	PFN1		NADSYN1
SLCO4C1	PIM1		NBEAL1
SLFN5	PLAC8		NDUFA1
SMARCD2	PLXNC1		NDUFA13
SMC3	PNP		NDUFA3
SMG1	POLR2G		NDUFB1
SNHG22	POP4		NECAP1
SNRPD3	PPIB		NENF
SNX10	PPIL3		NFATC2
SON	PPP1CA		NFE2L2
SPATA13	PPP2R1A		NGDN
SPCS3	PRDX3		NME2
SPN	PRDX4		NME4
SPPL2A	PRDX5		NPTXR
SRSF6	PRELID1		NR4A2
STAG2	PRSS21		NRDE2
STX8	PSMA4		NUP58
SYNJ2	PSMA5		OXNAD1
TCEAL8	PSMB10		PACS1
TCF4	PSMB2		PARP8
TFPT	PSMB3		PAXX
TIMM8B	PSMB8		PCBP2
TLN1	PSMB9		PDE4D
TMED10	PSMC5		PDE8A
TMEM131L	PSMD14		PDZD4
TNFAIP8L2	PSMD8		PER1
TNFRSF18	PSME2		PET100
TNFSF10	PTPN6		PHF1
TNFSF14	PVT1		PHF21A
TNRC6C	PYCARD		PIM3
TRAPPC6A	RARRES3		PITPNC1
TRIB2	RASGRP1		PLEKHM1
TRIM33	RBX1		PLXND1
TRIP12	RIC3		POGZ
TXK	RPA1		POLR2J
TXLNA	RPA2		POM121C
TXNDC17	RPL21		PPM1L
UBAP2	RPS6KA1		PPP2R5C
UBB	RPSA		PPP6R2
USF1	RTRAF		PQLC1
USP47	S1PR4		PRDM1
UTRN	SAE1		PREX1
VAMP5	SCP2		PSPH
VAMP8	SEC13		PTMA
VPS13B	SEPT1		PTPRA
VPS13C	SEPT7		PTPRCAP
VPS4B	SERPINB1		R3HDM2
WDR7	SH2D1A		RAB1A
WDR74	SHMT2		RAB5IF
