neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
936	5.777369288	8.22709033	26.0389511	5.08E-05	0.097442018	936	0.103586877	Activated B Cells	0.931547619
2606	6.100730953	8.181021323	23.66016915	8.86E-05	0.097442018	2606	0.103586877	CD16 NK	0.982404692
1295	5.202310646	8.957836476	23.35640538	9.53E-05	0.097442018	1295	0.103586877	Activated B Cells	0.939130435
1974	5.383184978	8.701762063	22.10536519	0.00012966	0.099384228	1974	0.103660042	Activated B Cells	0.984848485
228	5.059206687	9.294325864	20.19108117	0.000211562	0.124549805	228	0.125479766	Activated B Cells	0.991452991
2070	5.145084447	8.811147708	19.30147744	0.000267882	0.124549805	2070	0.125479766	Activated B Cells	0.970873786
29	4.837011159	8.671768636	19.07983578	0.00028436	0.124549805	29	0.125479766	Activated B Cells	0.971717172
3014	4.590626545	9.140854148	16.67780583	0.000556421	0.21324853	3014	0.20775862	CD8 Naive	0.975395431
2523	4.423119471	9.152259364	15.64848649	0.000752873	0.226335184	2523	0.220923708	Activated B Cells	0.97826087
1168	4.647675485	9.11199941	15.40601188	0.000809578	0.226335184	1168	0.220923708	Activated B Cells	0.98470948
148	3.603778679	8.982317476	15.17637415	0.000838689	0.226335184	148	0.220923708	Activated B Cells	0.990384615
2604	4.064464036	8.941748621	14.77761103	0.000979731	0.226335184	2604	0.220923708	Activated B Cells	0.980565371
2217	3.393888306	8.639941554	14.34182525	0.001081274	0.226335184	2217	0.220923708	Mixed	0.693957115
2243	4.073167339	8.730696315	14.30046938	0.001135332	0.226335184	2243	0.220923708	Activated B Cells	0.982387476
795	3.407261379	9.535553181	14.05839841	0.001211222	0.226335184	795	0.220923708	CD8 Naive	0.994904459
1809	3.521421161	9.272503485	13.69852576	0.001357409	0.226335184	1809	0.220923708	Activated B Cells	0.995833333
2661	5.06960283	8.58858749	13.55861375	0.001434305	0.226335184	2661	0.220923708	CD16 NK	0.982869379
1738	3.385580266	7.761564412	13.22863708	0.001578401	0.226335184	1738	0.220923708	Mixed	0.679715302
1348	3.833428503	8.58572217	13.20870167	0.001604712	0.226335184	1348	0.220923708	Activated B Cells	0.891454965
942	3.875553495	8.728322991	12.66789072	0.001913806	0.226335184	942	0.220923708	Activated B Cells	0.98245614
