neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
2108	3.828463914	8.688030325	9.738485396	0.005996408	0.995803853	2108	0.99284724	CD16 NK	0.957920792
942	3.559456219	8.56580122	8.089124118	0.010893958	0.995803853	942	0.99284724	CD16 NK	0.954423592
1146	3.925036876	8.851919291	7.890310689	0.01174392	0.995803853	1146	0.99284724	CD16 NK	0.947368421
730	3.172871173	8.62893902	7.790866648	0.01219698	0.995803853	730	0.99284724	CD16 NK	0.855263158
2129	-7.129593536	10.01324222	7.356853449	0.014419862	0.995803853	2129	0.99284724	CD4 Naive	0.927083333
828	3.224531844	8.834069	7.297565605	0.014757676	0.995803853	828	0.99284724	CD16 NK	0.831818182
2084	3.31199715	8.698738805	7.259014285	0.014982138	0.995803853	2084	0.99284724	CD16 NK	0.932432432
2139	-4.645200464	9.472226837	7.006256129	0.016553228	0.995803853	2139	0.99284724	CD4 Naive	0.897727273
1245	3.207033227	8.448360847	6.930276993	0.017061369	0.995803853	1245	0.99284724	CD16 NK	0.966942149
1932	3.009648174	8.564119713	6.927554234	0.017079904	0.995803853	1932	0.99284724	CD16 NK	0.994818653
1497	2.80780515	8.549930401	6.549167499	0.019892579	0.995803853	1497	0.99284724	CD16 NK	0.883152174
770	3.008877976	9.014151041	6.540430453	0.019945184	0.995803853	770	0.99284724	CD16 NK	0.857692308
1495	2.714494571	8.578664848	5.92117098	0.025803535	0.995803853	1495	0.99284724	CD4 Activated	0.742937853
1053	-4.71489211	9.756398534	5.767385687	0.027540778	0.995803853	1053	0.99284724	CD4 Naive	0.864016736
970	2.899549323	8.927592728	5.615348865	0.029390515	0.995803853	970	0.99284724	CD16 NK	0.950310559
549	-4.506441606	9.97003072	5.309148423	0.033563252	0.995803853	549	0.99284724	CD4 Naive	0.951438849
1966	2.711961413	8.901134126	5.25922406	0.034305931	0.995803853	1966	0.99284724	CD16 NK	0.987654321
1980	-3.913324507	9.456976298	5.149765315	0.03600102	0.995803853	1980	0.99284724	CD4 Naive	0.874074074
381	-4.322387222	10.17803306	5.144661325	0.03608237	0.995803853	381	0.99284724	Mixed	0.645027624
122	-4.167578679	10.00678044	5.100976821	0.036787319	0.995803853	122	0.99284724	CD4 Naive	0.839655172
1399	-3.836989118	9.345051901	5.012679545	0.038260929	0.995803853	1399	0.99284724	Mixed	0.680933852
103	-3.669841283	9.452150142	4.728971632	0.043474982	0.995803853	103	0.99284724	Mixed	0.6
804	-2.753002646	9.063527056	4.702124162	0.043657009	0.995803853	804	0.99284724	CD4 Naive	0.764132554
2195	-3.680905184	9.940143905	4.717799501	0.043696435	0.995803853	2195	0.99284724	CD4 Naive	0.917218543
1017	-3.248063433	9.69691561	4.647050523	0.04477405	0.995803853	1017	0.99284724	CD4 Naive	0.865671642
75	-3.332854508	8.852117448	4.658536348	0.044893058	0.995803853	75	0.99284724	Mixed	0.388535032
1209	-4.477984332	9.150339905	4.639348293	0.045288544	0.995803853	1209	0.99284724	Mixed	0.556818182
2058	2.582206709	8.703836766	4.638842448	0.045299024	0.995803853	2058	0.99284724	CD16 NK	0.864300626
1326	-4.936109154	9.657822355	4.598262265	0.04614893	0.995803853	1326	0.99284724	CD4 Naive	0.866840731
945	2.917611087	8.230753853	4.437817226	0.04969406	0.995803853	945	0.99284724	CD4 Naive	0.834408602
1453	-3.363466208	9.391919801	4.43484308	0.049762678	0.995803853	1453	0.99284724	Mixed	0.460966543
577	2.441705873	8.701753021	4.421006925	0.050083341	0.995803853	577	0.99284724	CD16 NK	0.938428875
1580	2.094593614	8.194902624	4.365172817	0.051031787	0.995803853	1580	0.99284724	CD16 NK	0.950155763
2151	-4.049626515	9.866984414	4.371182813	0.051257965	0.995803853	2151	0.99284724	CD4 Naive	0.762183236
1207	2.504975621	8.519840921	4.304488038	0.05288045	0.995803853	1207	0.99284724	CD16 NK	0.939467312
527	-3.783435091	10.61637302	4.303812449	0.052897186	0.995803853	527	0.99284724	CD4 Naive	0.876506024
1070	-3.878063602	9.650411092	4.280796677	0.053471011	0.995803853	1070	0.99284724	CD4 Naive	0.85060241
160	-2.646184498	9.443488696	4.264881849	0.053496904	0.995803853	160	0.99284724	Mixed	0.621052632
648	-4.180614974	9.878821125	4.241357803	0.054471106	0.995803853	648	0.99284724	CD4 Naive	0.898706897
216	-3.12566029	9.699101796	4.212540345	0.054870617	0.995803853	216	0.99284724	CD4 Naive	0.792915531
1619	-4.219475176	8.895528034	4.194101166	0.055698056	0.995803853	1619	0.99284724	CD8 Activated	0.994397759
1908	-3.250731512	9.363305403	4.146073025	0.056977919	0.995803853	1908	0.99284724	Mixed	0.541791045
2231	-3.272265291	9.327602062	4.087210303	0.058593215	0.995803853	2231	0.99284724	Mixed	0.511210762
567	-4.821125303	9.25194299	4.065682733	0.059197172	0.995803853	567	0.99284724	CD8 Activated	0.986813187
66	2.791091263	8.887858752	4.01215476	0.060730448	0.995803853	66	0.99284724	CD14 Monocytes	0.997601918
272	-2.465833197	8.525035114	3.960218453	0.062234462	0.995803853	272	0.99284724	Mixed	0.549079755
278	-3.877422074	10.35751898	3.93266389	0.063093251	0.995803853	278	0.99284724	CD4 Naive	0.825842697
1747	-2.726127681	9.409383003	3.91084786	0.063368074	0.995803853	1747	0.99284724	CD4 Naive	0.872937294
993	-3.292802111	9.748009114	3.916985915	0.063571775	0.995803853	993	0.99284724	CD4 Naive	0.808219178
2073	2.098444122	8.227614555	3.872732628	0.06455146	0.995803853	2073	0.99284724	Mixed	0.612244898
485	-2.75849897	9.357539797	3.841414884	0.065543012	0.995803853	485	0.99284724	CD4 Naive	0.849829352
2228	2.680764475	8.694728788	3.833615167	0.066188386	0.995803853	2228	0.99284724	CD14 Monocytes	0.985365854
1953	2.143034816	8.783654569	3.825156657	0.066452493	0.995803853	1953	0.99284724	CD16 NK	0.975982533
849	1.74708199	8.554647229	3.783378326	0.067427631	0.995803853	849	0.99284724	Mixed	0.693670886
652	-2.814458816	9.446859369	3.760229649	0.068196842	0.995803853	652	0.99284724	Mixed	0.56993007
