neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
1208	4.396412641	7.964791033	13.65809471	0.001584022	0.685330762	1208	0.670959263	CD8 Activated	1
684	4.286435627	8.302994315	13.20063976	0.001802215	0.685330762	684	0.670959263	CD8 Activated	0.998076923
472	3.650540597	8.554562855	12.54737367	0.002165918	0.685330762	472	0.670959263	CD8 Activated	0.995098039
1950	4.747761669	8.431287394	12.37052728	0.00236861	0.685330762	1950	0.670959263	CD8 Activated	0.99825784
550	4.230765569	8.352306772	12.06335909	0.002614569	0.685330762	550	0.670959263	CD8 Activated	0.99245283
317	3.645099738	8.266966978	11.95122158	0.002628526	0.685330762	317	0.670959263	CD8 Activated	0.995959596
81	4.379696368	7.568510651	11.66873848	0.002973388	0.685330762	81	0.670959263	CD8 Activated	0.996845426
891	3.951119118	8.00534545	11.52444279	0.003118056	0.685330762	891	0.670959263	CD8 Activated	0.995348837
655	3.224740926	8.035680626	11.36958616	0.0031882	0.685330762	655	0.670959263	CD8 Activated	0.997601918
2127	4.304360478	8.399263973	10.58960673	0.004269678	0.685330762	2127	0.670959263	CD8 Activated	0.992982456
110	-3.159710557	8.776392022	10.43105498	0.004393677	0.685330762	110	0.670959263	Activated B Cells	0.978431373
1003	-3.137869184	8.560805206	9.734729305	0.005618093	0.685330762	1003	0.670959263	CD4 Activated	0.959860384
1207	2.914129089	7.783591418	9.527461023	0.006052913	0.685330762	1207	0.670959263	CD8 Activated	1
1405	-3.039640423	8.601585947	9.374822804	0.006397172	0.685330762	1405	0.670959263	Activated B Cells	0.98
678	3.247746463	8.961707267	9.404338311	0.006424289	0.685330762	678	0.670959263	CD8 Activated	0.99755202
31	3.877198499	8.500925503	9.388035352	0.006510646	0.685330762	31	0.670959263	CD8 Activated	0.994932432
906	-3.75508291	7.756306908	9.025240076	0.007426939	0.685330762	906	0.670959263	CD4 Naive	0.765765766
828	-2.799140504	9.018552513	8.889239938	0.007646585	0.685330762	828	0.670959263	Activated B Cells	0.965875371
716	4.017581908	7.962336071	8.863275035	0.007881987	0.685330762	716	0.670959263	CD8 Activated	0.995348837
1053	-3.815848794	8.315939194	8.285588753	0.009779105	0.685330762	1053	0.670959263	CD4 Activated	0.964214712
2542	2.763147341	8.591756807	8.235823713	0.009780889	0.685330762	2542	0.670959263	CD8 Activated	0.988853503
155	2.683109523	8.055874943	8.137551978	0.010156241	0.685330762	155	0.670959263	CD8 Activated	0.990220049
49	-2.677159359	8.550243921	8.129371836	0.010188206	0.685330762	49	0.670959263	Activated B Cells	0.959488273
781	-4.584880402	8.776896075	7.948795236	0.011119085	0.685330762	781	0.670959263	GDT	0.914512922
130	4.114240984	8.195993918	7.772021043	0.011904176	0.685330762	130	0.670959263	CD8 Activated	0.989775051
275	-4.453945479	8.791118428	7.76271029	0.011947223	0.685330762	275	0.670959263	GDT	0.936883629
404	2.912884271	8.867084376	7.617836651	0.012640086	0.685330762	404	0.670959263	CD8 Activated	0.997286296
1204	-2.756299953	8.482875261	7.27616022	0.01423563	0.685330762	1204	0.670959263	Activated B Cells	0.82464455
1291	2.505756762	7.961218306	7.22863365	0.014509313	0.685330762	1291	0.670959263	CD8 Activated	0.968421053
1882	-2.669701996	8.541451065	7.220577271	0.014556289	0.685330762	1882	0.670959263	CD4 Activated	0.930604982
1340	-4.451675825	8.556680362	7.192551302	0.014949855	0.685330762	1340	0.670959263	CD4 Activated	0.95379538
