neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
227	-3.966202296	10.32746153	11.95095714	0.00489824	0.953071738	227	0.89317127	CD4 Activated	0.737254902
1066	-4.311634151	10.06751048	11.485638	0.005545193	0.953071738	1066	0.89317127	CD16 Monocytes	1
1142	-3.975519542	10.51752386	11.13817928	0.006094512	0.953071738	1142	0.89317127	CD16 Monocytes	0.99609375
81	-3.503975597	10.1922303	10.70035369	0.00666394	0.953071738	81	0.89317127	CD4 Activated	0.843298969
133	-3.345190151	10.29654147	9.368435878	0.009852883	0.953071738	133	0.89317127	CD16 Monocytes	1
381	-4.071366646	10.08179493	9.287755047	0.010374386	0.953071738	381	0.89317127	CD16 Monocytes	1
121	-3.112869127	10.75829751	9.082920614	0.01075348	0.953071738	121	0.89317127	CD4 Activated	0.777476255
593	-3.288677007	10.47714616	8.936938771	0.011251272	0.953071738	593	0.89317127	CD4 Activated	0.794266442
44	-3.241054669	10.67488083	8.862691584	0.011514848	0.953071738	44	0.89317127	Mixed	0.581428571
577	-3.334636942	10.26859197	8.716559908	0.012227211	0.953071738	577	0.89317127	CD16 Monocytes	1
1160	4.052920486	8.826266178	8.606239005	0.012482959	0.953071738	1160	0.89317127	Mixed	0.464985994
53	-3.149914077	10.53291019	8.442705115	0.013150481	0.953071738	53	0.89317127	CD16 Monocytes	1
688	-3.289887153	9.850483873	8.107657676	0.014654333	0.953071738	688	0.89317127	CD4 Activated	0.881889764
237	-3.067600102	10.58595821	7.823739212	0.01608965	0.953071738	237	0.89317127	CD16 Monocytes	0.996694215
418	-3.101722395	10.20204868	7.665739156	0.016960197	0.953071738	418	0.89317127	CD16 Monocytes	0.997826087
1031	-3.208503263	10.36150405	7.709426837	0.017075881	0.953071738	1031	0.89317127	CD16 Monocytes	0.994094488
1029	-2.746224768	10.44303666	7.507436987	0.017888795	0.953071738	1029	0.89317127	Mixed	0.479365079
1123	-3.613472718	9.842046304	7.517453204	0.018202011	0.953071738	1123	0.89317127	CD4 Activated	0.785145889
159	-3.428892056	10.00827859	7.461688141	0.018545504	0.953071738	159	0.89317127	Mixed	0.637209302
54	-3.166516367	10.45964232	7.434140076	0.018718027	0.953071738	54	0.89317127	Mixed	0.609555189
93	-3.223570343	10.32077453	7.206210731	0.020221028	0.953071738	93	0.89317127	CD4 Naive	0.727272727
589	-2.794588098	10.62196764	6.975831154	0.021479214	0.953071738	589	0.89317127	CD4 Activated	0.733427362
382	-2.203884781	10.68432896	6.871726593	0.022193919	0.953071738	382	0.89317127	CD16 NK	0.944664032
36	-2.865578995	10.78404671	6.816043937	0.02272101	0.953071738	36	0.89317127	CD16 Monocytes	0.994413408
705	-2.166325447	10.44818275	6.71839405	0.023434721	0.953071738	705	0.89317127	CD16 NK	0.846833579
333	-2.333183598	10.32286307	6.577572018	0.024647296	0.953071738	333	0.89317127	CD4 Activated	0.884422111
1065	-2.738338943	10.42989365	6.368538789	0.026679495	0.953071738	1065	0.89317127	Mixed	0.553968254
798	-3.133544519	10.07858491	6.177153339	0.029084422	0.953071738	798	0.89317127	CD16 Monocytes	0.985714286
894	3.602350343	9.744126655	6.109410514	0.029249804	0.953071738	894	0.89317127	CD4 Naive	0.709145427
318	-2.288120518	10.68659422	5.998291855	0.030487867	0.953071738	318	0.89317127	CD4 Activated	0.770573566
314	-2.555159287	11.04220768	6.002023408	0.030542969	0.953071738	314	0.89317127	Mixed	0.640609137
778	-2.494406572	9.977569297	5.947909827	0.031069687	0.953071738	778	0.89317127	CD16 NK	0.962616822
109	-2.812043554	9.919489056	5.904728103	0.031678053	0.953071738	109	0.89317127	CD16 Monocytes	0.808080808
998	-2.433012418	10.78211024	5.78002338	0.033207216	0.953071738	998	0.89317127	CD4 Activated	0.855595668
214	-2.754678436	10.51697148	5.776224413	0.033749886	0.953071738	214	0.89317127	CD16 Monocytes	0.996715928
35	-2.607180392	10.68335985	5.722142897	0.033946758	0.953071738	35	0.89317127	CD16 Monocytes	0.994342291
543	-2.623468907	10.24591616	5.710703686	0.034095231	0.953071738	543	0.89317127	Mixed	0.473684211
62	-1.975642379	10.42814612	5.240186486	0.040822987	0.953071738	62	0.89317127	CD4 Activated	0.871987952
1004	3.02172654	9.760988708	5.18180698	0.041780138	0.953071738	1004	0.89317127	CD4 Naive	0.919629057
943	2.475900884	8.678124006	5.164380974	0.042071024	0.953071738	943	0.89317127	CD8 Naive	0.781456954
520	-2.539567366	9.925530939	5.024536957	0.044608069	0.953071738	520	0.89317127	CD16 Monocytes	1
1048	-2.044752849	10.25735264	4.965005487	0.045577733	0.953071738	1048	0.89317127	CD16 NK	0.970017637
49	-1.88187415	10.39862574	4.936742108	0.046102688	0.953071738	49	0.89317127	CD16 NK	0.98048048
43	-2.60417522	10.71030242	4.922087177	0.04705132	0.953071738	43	0.89317127	Mixed	0.511627907
1173	2.256882584	8.548573656	4.814772291	0.048452877	0.953071738	1173	0.89317127	CD4 Naive	0.899653979
1135	-2.331621337	10.41639942	4.809605027	0.048671725	0.953071738	1135	0.89317127	Mixed	0.624808576
956	2.275887049	10.21536032	4.764522605	0.049462726	0.953071738	956	0.89317127	Mixed	0.664146868
1195	-2.487747223	9.980221164	4.720998285	0.050475383	0.953071738	1195	0.89317127	CD4 Activated	0.747368421
749	-1.873197782	10.56722001	4.688618152	0.051036458	0.953071738	749	0.89317127	CD16 NK	0.904325033
185	-2.527909047	9.986257774	4.623347925	0.052556954	0.953071738	185	0.89317127	CD16 Monocytes	0.988584475
485	2.776477971	9.588628714	4.55153404	0.054033766	0.953071738	485	0.89317127	CD4 Naive	0.944256757
12	-2.426203469	10.00649389	4.537783075	0.054466213	0.953071738	12	0.89317127	CD16 Monocytes	0.993348115
