neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
1749	5.327832544	8.220432332	24.80320615	0.000167141	0.268328244	1749	0.286877937	CD8 Activated	0.940874036
1111	6.040520116	9.129643757	21.78930508	0.000307525	0.268328244	1111	0.286877937	CD8 Activated	0.998657718
1572	4.916145321	8.022756007	18.65467471	0.000615054	0.268328244	1572	0.286877937	CD8 Activated	0.968571429
1938	5.011942988	9.272723121	16.64031113	0.000996983	0.268328244	1938	0.286877937	CD8 Activated	0.99137931
2073	5.877470834	8.991321973	16.40597805	0.001056879	0.268328244	2073	0.286877937	CD8 Activated	0.995575221
1591	3.786502188	8.188570973	15.17248686	0.001448382	0.268328244	1591	0.286877937	CD8 Activated	0.974424552
2023	4.036967922	8.203181301	14.72617369	0.001628984	0.268328244	2023	0.286877937	CD8 Activated	0.909090909
310	4.698445517	8.601023608	14.53896444	0.00171228	0.268328244	310	0.286877937	CD8 Activated	0.958762887
983	4.716951566	8.167574503	13.82970903	0.002083239	0.268328244	983	0.286877937	CD8 Activated	0.989417989
189	-6.331736581	9.031020462	13.09028981	0.002549635	0.268328244	189	0.286877937	CD8 Activated	0.99765808
646	3.78933091	9.032954621	12.68917776	0.002858316	0.268328244	646	0.286877937	CD8 Activated	0.945301543
1344	2.710942081	8.193796283	11.96911561	0.00352588	0.268328244	1344	0.286877937	CD16 Monocytes	0.988338192
532	3.695080656	8.324255264	11.91836384	0.003579281	0.268328244	532	0.286877937	CD8 Activated	0.997536946
1209	4.643065448	9.500737133	11.26890046	0.004351027	0.268328244	1209	0.286877937	CD8 Activated	0.995897436
2000	-7.395899949	9.518851592	11.3609819	0.004360086	0.268328244	2000	0.286877937	CD4 Naive	0.94
1379	3.558737947	9.243284148	11.25400709	0.004370833	0.268328244	1379	0.286877937	CD8 Activated	0.974079127
2045	2.981073512	8.588069587	11.17417289	0.004478773	0.268328244	2045	0.286877937	CD8 Activated	0.980932203
1208	2.944315875	8.405511117	11.16097614	0.004496907	0.268328244	1208	0.286877937	CD16 Monocytes	0.987531172
296	3.455091495	8.305035585	11.09517328	0.004588593	0.268328244	296	0.286877937	CD8 Activated	0.949640288
1924	-2.905619184	8.534050069	11.07967976	0.00461049	0.268328244	1924	0.286877937	CD8 Activated	0.986666667
59	4.113081137	9.031687769	10.98696322	0.004744051	0.268328244	59	0.286877937	CD8 Activated	0.973574409
2042	4.048938538	9.13874126	10.96294057	0.004779375	0.268328244	2042	0.286877937	CD8 Activated	0.98835705
818	3.064107914	8.460580059	10.81013103	0.005011235	0.268328244	818	0.286877937	Activated B Cells	0.983783784
1305	-5.927719598	8.750657668	10.74830506	0.005241931	0.268328244	1305	0.286877937	CD8 Activated	1
755	3.416403897	8.677771953	10.64503623	0.005276314	0.268328244	755	0.286877937	CD8 Activated	0.988527725
67	-5.769742031	8.748811841	10.63785822	0.005401358	0.268328244	67	0.286877937	CD8 Activated	1
1073	3.059035019	8.712332471	10.41972161	0.005664369	0.268328244	1073	0.286877937	CD8 Activated	0.992248062
1436	2.840891757	8.405953034	10.3957648	0.005707517	0.268328244	1436	0.286877937	Activated B Cells	0.989130435
243	-5.863090371	9.222829268	10.05041495	0.006539596	0.268328244	243	0.286877937	CD8 Activated	1
1877	2.876534538	8.451401494	9.898771127	0.006693332	0.268328244	1877	0.286877937	CD8 Activated	0.943946188
1636	-3.639424891	9.198826757	9.641299106	0.007279916	0.268328244	1636	0.286877937	CD8 Activated	0.990566038
936	-4.032253343	9.182938728	9.627386743	0.007313251	0.268328244	936	0.286877937	CD8 Activated	0.964143426
876	-5.632892465	8.972679898	9.460825047	0.00791262	0.268328244	876	0.286877937	CD8 Activated	1
668	4.21840804	9.634551754	9.382499035	0.007929627	0.268328244	668	0.286877937	CD8 Activated	0.992792793
1166	-4.668097001	9.536375223	9.265009455	0.008246337	0.268328244	1166	0.286877937	CD4 Naive	0.852189781
641	3.549726212	8.685854803	9.24292908	0.008307463	0.268328244	641	0.286877937	CD8 Activated	0.981818182
568	-4.463195199	9.354713905	9.180786773	0.008482301	0.268328244	568	0.286877937	CD4 Naive	0.872340426
1748	-3.830910079	8.890680606	9.103615723	0.008705324	0.268328244	1748	0.286877937	CD8 Activated	0.950124688
1894	3.155948683	8.553416784	9.047164683	0.008872728	0.268328244	1894	0.286877937	CD16 Monocytes	0.993362832
391	-4.947199766	9.82978486	9.037727675	0.008901071	0.268328244	391	0.286877937	CD4 Naive	0.786259542
11	-4.619707972	9.987960493	9.00122239	0.009011695	0.268328244	11	0.286877937	CD4 Naive	0.931731985
344	-4.919679813	9.473447995	8.995130018	0.009030311	0.268328244	344	0.286877937	Mixed	0.63618677
1771	2.721999694	8.233542911	8.990082965	0.009045765	0.268328244	1771	0.286877937	CD14 Monocytes	0.856749311
1237	-3.757073218	8.627593808	8.896969611	0.009336401	0.268328244	1237	0.286877937	CD8 Activated	0.798004988
1649	3.221807754	9.571723925	8.838022361	0.009525928	0.268328244	1649	0.286877937	CD8 Activated	0.992133727
681	3.131030538	9.129425612	8.823156863	0.009574418	0.268328244	681	0.286877937	CD8 Activated	0.964630225
615	-4.969555709	9.099857892	8.787573894	0.009713282	0.268328244	615	0.286877937	CD8 Activated	1
990	-4.961867024	8.944290426	8.74414877	0.009857838	0.268328244	990	0.286877937	CD8 Activated	0.997536946
1668	-4.394758961	9.219396452	8.6789476	0.010059807	0.268328244	1668	0.286877937	CD4 Naive	0.892018779
560	3.236006318	9.203541486	8.663107808	0.010114823	0.268328244	560	0.286877937	CD8 Activated	0.972862958
355	2.753893438	8.531295711	8.653530878	0.010148253	0.268328244	355	0.286877937	Activated B Cells	0.974358974
510	2.641633648	9.068727369	8.614108306	0.010287208	0.268328244	510	0.286877937	CD8 Activated	0.944193062
1962	-4.820352136	9.799896528	8.568120818	0.01045207	0.268328244	1962	0.286877937	CD4 Naive	0.848306333
1616	-5.522892064	9.672106469	8.552315802	0.010509428	0.268328244	1616	0.286877937	CD4 Naive	0.792184725
1282	2.712782798	8.958970447	8.528397736	0.010596918	0.268328244	1282	0.286877937	CD8 Activated	0.925349922
907	2.525132974	8.680302856	8.481199968	0.010772028	0.268328244	907	0.286877937	CD4 Activated	0.939823009
1997	3.813704127	8.994212254	8.47687521	0.010788239	0.268328244	1997	0.286877937	CD8 Activated	0.985486212
1409	-4.507247062	9.390372355	8.424174148	0.01098805	0.268328244	1409	0.286877937	CD4 Naive	0.904191617
880	3.251268187	9.260186549	8.413728555	0.011028156	0.268328244	880	0.286877937	CD8 Activated	0.984848485
1606	-4.615902379	8.777679583	8.350757669	0.011273525	0.268328244	1606	0.286877937	CD8 Activated	0.997191011
1004	2.200969309	8.181666141	8.323745264	0.011380697	0.268328244	1004	0.286877937	CD8 Activated	0.948328267
2079	-3.244657845	9.17864297	8.31745471	0.011405823	0.268328244	2079	0.286877937	Mixed	0.454935622
1613	-4.321931771	9.560235981	8.253159259	0.011666317	0.268328244	1613	0.286877937	CD4 Naive	0.766371681
841	-3.973761099	9.46262308	8.197262553	0.011898348	0.268328244	841	0.286877937	CD4 Naive	0.949919225
1399	2.467807239	8.455731512	8.180514299	0.0119689	0.268328244	1399	0.286877937	CD4 Activated	0.734204793
1954	-3.21203933	8.118055536	8.168842469	0.012018352	0.268328244	1954	0.286877937	CD16 Monocytes	0.807692308
1505	2.897427969	9.227736736	8.111739275	0.0122637	0.268328244	1505	0.286877937	CD8 Activated	0.971902937
1949	-8.433458677	9.26196447	8.153715151	0.012487488	0.268328244	1949	0.286877937	CD8 Activated	0.997987928
1747	2.980003241	8.897157138	8.040017608	0.012580053	0.268328244	1747	0.286877937	CD8 Activated	0.984482759
1398	-4.506021453	9.734094161	7.958915021	0.012949144	0.268328244	1398	0.286877937	CD8 Activated	0.954738331
1650	-3.811055289	9.630006938	7.955982054	0.012962723	0.268328244	1650	0.286877937	CD4 Naive	0.937406855
1533	2.360983575	7.868968833	7.938025042	0.013046218	0.268328244	1533	0.286877937	CD8 Activated	0.818493151
122	2.30910083	8.21832599	7.900761197	0.013221465	0.268328244	122	0.286877937	Memory B Cells	0.996996997
1628	-3.625793288	9.062256741	7.878757381	0.013326217	0.268328244	1628	0.286877937	Mixed	0.437799043
1383	-4.46963009	9.695558451	7.838712602	0.013519313	0.268328244	1383	0.286877937	CD4 Naive	0.816455696
181	2.70649056	8.530735104	7.825007131	0.013586139	0.268328244	181	0.286877937	CD14 Monocytes	1
