neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
327	5.193549327	8.447798553	19.70980292	9.52E-06	0.00931587	327	0.010712054	CD8 Activated	0.987692308
212	4.506584359	8.432497223	16.02050629	6.50E-05	0.031814977	212	0.036456006	CD8 Activated	0.968253968
438	4.207742105	8.560578137	11.95802796	0.000555757	0.181362007	438	0.210761218	CD8 Activated	1
260	4.167731143	8.726764768	9.239860788	0.002399386	0.521178955	260	0.599264412	CD8 Activated	0.984293194
8	4.150778438	8.742771651	9.049061538	0.002661792	0.521178955	8	0.599264412	CD8 Activated	0.971794872
857	3.904538968	8.740248595	8.071788046	0.004542486	0.741182311	857	0.858181326	CD8 Activated	0.971128609
316	3.571457651	8.665771165	7.503682431	0.00621312	0.868949151	316	0.986896468	CD8 Activated	0.971428571
811	5.149330844	9.182824758	7.196149007	0.007367454	0.901592149	811	0.986896468	CD8 Activated	0.982142857
870	-9.879921554	9.381624671	6.41193178	0.011413181	0.951504541	870	0.986896468	CD8 Activated	0.99695122
755	-9.9969374	9.496968776	5.863943534	0.015544464	0.951504541	755	0.986896468	CD8 Activated	1
578	3.275883009	8.747804308	5.752389493	0.016559303	0.951504541	578	0.986896468	CD8 Activated	0.991935484
894	-10.02847994	9.528077398	5.702208197	0.01703788	0.951504541	894	0.986896468	CD8 Activated	0.975274725
935	3.257157877	8.783192058	5.395754814	0.020287806	0.951504541	935	0.986896468	CD8 Activated	0.989304813
685	-10.16335285	9.661017881	5.392354493	0.020327263	0.951504541	685	0.986896468	CD8 Activated	1
177	-10.29981857	9.795506347	5.369421148	0.020595464	0.951504541	177	0.986896468	CD8 Activated	0.993181818
788	-10.3126436	9.808169472	5.366064734	0.020635023	0.951504541	788	0.986896468	CD8 Activated	0.997747748
104	-10.27848092	9.774358156	5.353510866	0.020783682	0.951504541	104	0.986896468	CD8 Activated	0.99765808
227	-10.26006075	9.756308453	5.341901654	0.020922142	0.951504541	227	0.986896468	CD8 Activated	0.997663551
481	-10.40647638	9.900920265	5.2591866	0.021936741	0.951504541	481	0.986896468	CD8 Activated	0.991561181
846	-10.4122324	9.906611355	5.251351251	0.022035459	0.951504541	846	0.986896468	CD8 Activated	0.995798319
579	4.002576882	9.078827149	5.209881354	0.022565664	0.951504541	579	0.986896468	CD8 Activated	0.993839836
