"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Nhood"	"SpatialFDR"	"finalIdent"	"finalIdent_fraction"
"4844"	7.03095622059252	7.18076380308503	41.7420096186379	4.19592622412232e-07	0.00231824923882758	4844	0.00274445778663104	"CD8 Activated"	0.989339019189765
"1012"	6.86713871828765	7.57604041081614	38.2095503995792	9.03398214400457e-07	0.00249563756728126	1012	0.00295176293470806	"CD8 Activated"	0.987096774193548
"4488"	8.16318453897247	7.35642031624516	32.6346662944488	3.31246372998434e-06	0.00367491195842733	4488	0.00426164316585236	"CD8 Activated"	1
"2042"	5.81115006556915	8.27948155106249	32.0559136751225	3.81716860304102e-06	0.00367491195842733	2042	0.00426164316585236	"CD8 Activated"	0.993427230046948
"4429"	5.88344986050568	7.23754738230889	31.6860141400665	4.18239334862304e-06	0.00367491195842733	4429	0.00426164316585236	"CD8 Activated"	0.995841995841996
"4919"	5.43902916679603	6.98016019620114	31.5788327252382	4.29507353907438e-06	0.00367491195842733	4919	0.00426164316585236	"CD8 Activated"	0.967254408060453
"3744"	5.09382619141343	6.94998042562051	31.2547362983855	4.65599705140114e-06	0.00367491195842733	3744	0.00426164316585236	"CD8 Activated"	0.941326530612245
"1421"	5.89237712115648	7.26557587126964	30.4655747357499	5.67763923685139e-06	0.00392111959795049	1421	0.00457237350198768	"CD8 Activated"	0.991967871485944
"615"	5.18730464730744	7.48728258944611	29.9049047769978	6.54796819542569e-06	0.00401972491996966	615	0.00464128808185043	"CD8 Activated"	0.986440677966102
"551"	4.87903374791501	8.12680744436509	28.553468879663	9.28914968446801e-06	0.00513225520066858	551	0.0058463625128356	"CD8 Activated"	0.993704092339979
"3478"	7.78485689260933	7.5721424280755	27.8442579839902	1.11989670712026e-05	0.0056249357334904	3478	0.00640953100591843	"CD8 Activated"	1
"1286"	4.32837511434927	7.60210420372085	25.7174599310519	1.99176684644593e-05	0.0083127550887449	1286	0.00950280730786217	"CD8 Activated"	0.953225806451613
"4129"	5.20424173120098	7.13654672479749	25.7010864347794	2.00079778598796e-05	0.0083127550887449	4129	0.00950280730786217	"CD8 Activated"	0.968957871396896
"2953"	4.10335215353296	7.08620101693332	25.2764038536275	2.25102638614727e-05	0.0083127550887449	2953	0.00950280730786217	"CD8 Activated"	0.995157384987893
"261"	4.94688915862657	7.68906961072585	25.2671210549266	2.25685658517961e-05	0.0083127550887449	261	0.00950280730786217	"CD8 Activated"	0.957787481804949
"4613"	4.11296645293929	7.43028011923688	24.7911703091968	2.57519877938062e-05	0.00889248328504869	4613	0.0101460455876452	"CD8 Activated"	0.956442831215971
"1696"	3.9327994847731	7.62691027579902	24.3888639767014	2.85390246070603e-05	0.00903340102116603	1696	0.0102418098734374	"CD8 Activated"	0.97682119205298
"766"	4.2322653774318	7.83307806730084	24.203077894484	3.04537367167445e-05	0.00903340102116603	766	0.0102418098734374	"CD8 Activated"	0.978666666666667
"1676"	6.46492701543162	7.26644437732619	24.1332876999589	3.10650894845529e-05	0.00903340102116603	1676	0.0102418098734374	"CD8 Activated"	0.997685185185185
"1990"	4.15607279376371	7.91942166346865	23.8737944286571	3.3456020080805e-05	0.00907585047678234	1990	0.0102418098734374	"CD8 Activated"	0.997371879106439
"4245"	4.01981535720277	8.01141086981278	23.6674025371351	3.54982341486591e-05	0.00907585047678234	4245	0.0102418098734374	"CD8 Activated"	0.967479674796748
"3739"	3.64571135149519	7.60326116491787	23.3723271535075	3.73442183660397e-05	0.00907585047678234	3739	0.0102418098734374	"CD8 Activated"	0.93125
"4034"	6.54023155563112	7.06904472783519	23.4511603823979	3.77818209893202e-05	0.00907585047678234	4034	0.0102418098734374	"CD8 Activated"	0.997289972899729
"3014"	4.10961878204908	7.17324119754359	23.0526182886665	4.24129703859858e-05	0.00941108972721988	3014	0.0106450400883901	"CD8 Activated"	0.98233995584989
"572"	6.07262432333696	7.74996849972367	23.0311569281562	4.26790196119301e-05	0.00941108972721988	572	0.0106450400883901	"CD8 Activated"	0.998387096774194
"569"	6.95694164668029	7.44749287035585	22.9043833029416	4.428748106927e-05	0.00941108972721988	569	0.0106450400883901	"CD8 Activated"	1
"2061"	3.74251246362334	7.85572299560167	22.4322256053519	5.04170623107864e-05	0.0103168247876702	2061	0.0116162188617735	"CD8 Activated"	0.967168262653899
"972"	4.46734046645596	7.73391626509312	22.2604464032953	5.35233729702498e-05	0.0104527533079819	972	0.0116939718742692	"CD8 Activated"	0.971590909090909
"1117"	4.53996650054062	8.00121973972865	22.1769088125576	5.48651304853349e-05	0.0104527533079819	1117	0.0116939718742692	"CD8 Activated"	0.996363636363636
"3109"	4.37813946585724	7.15501227247592	21.8688531076818	6.01329813295354e-05	0.0110744907281894	3109	0.0124226198388739	"CD8 Activated"	0.98868778280543
"2515"	5.87677244670669	7.68074369922403	21.5136674798133	6.68872669633301e-05	0.0114022211415293	2515	0.0128304383144801	"CD8 Activated"	0.998296422487223
"2810"	3.9439415214775	7.40761598525921	21.4444137436245	6.82964616859713e-05	0.0114022211415293	2810	0.0128304383144801	"CD8 Activated"	0.920517560073937
"4002"	4.50011925007467	7.48001318058566	21.349848369919	7.02722779541286e-05	0.0114022211415293	4002	0.0128304383144801	"CD8 Activated"	1
