"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Nhood"	"SpatialFDR"	"finalIdent"	"finalIdent_fraction"
"3141"	8.88159738563187	8.41900611967381	27.4996577419102	3.67605331541463e-05	0.0352500967038802	3141	0.0356656552354178	"CD8 Activated"	0.998233215547703
"2697"	8.02209226772963	8.05750633922401	27.4086714815423	3.75040253480337e-05	0.0352500967038802	2697	0.0356656552354178	"CD8 Activated"	0.995391705069124
"1858"	8.8916473886431	8.39747830068964	27.3835342018002	3.77123383871704e-05	0.0352500967038802	1858	0.0356656552354178	"CD8 Activated"	1
"1379"	7.86037141131199	8.23817076175762	26.6293137165828	4.45949528079119e-05	0.0352500967038802	1379	0.0356656552354178	"CD8 Activated"	0.995943204868154
"2120"	8.54522382689804	8.20201842159611	25.5120910492692	5.74667527882326e-05	0.0352500967038802	2120	0.0356656552354178	"CD8 Activated"	1
"2996"	7.67148555136565	7.93460300210618	24.8095218058977	6.76285575997318e-05	0.0352500967038802	2996	0.0356656552354178	"CD8 Activated"	1
"586"	6.86354612593728	7.83687843928901	24.2419877968929	7.72868600020199e-05	0.0352500967038802	586	0.0356656552354178	"CD8 Activated"	1
"2118"	7.33874937295537	7.98714439210942	23.5856477712923	9.03928839423701e-05	0.0352500967038802	2118	0.0356656552354178	"CD8 Activated"	1
"2857"	8.23562973977602	8.43692918340473	23.3652531254816	9.53277855573683e-05	0.0352500967038802	2857	0.0356656552354178	"CD8 Activated"	0.998251748251748
"1677"	8.03541808816048	8.65363276111329	22.8394960044319	0.000108340886006628	0.0360558468630058	1677	0.0363540494474898	"CD8 Activated"	1
"140"	6.95346291583124	8.26601222685488	20.6081931357855	0.000190081152817586	0.04429695988587	140	0.0444441731123601	"CD8 Activated"	1
"2286"	7.22437195648408	8.11051649262365	20.3729073823096	0.000202073262319565	0.04429695988587	2286	0.0444441731123601	"CD8 Activated"	0.995575221238938
"1052"	7.69242196873388	8.45369897325374	20.3670252100884	0.000202383549780068	0.04429695988587	1052	0.0444441731123601	"CD8 Activated"	1
"1936"	6.98473835713316	8.65135169898876	20.171809531221	0.000212984913545476	0.04429695988587	1936	0.0444441731123601	"CD8 Activated"	0.998507462686567
"2060"	6.86688876428406	8.15911441502349	20.0013710224825	0.000222742025570908	0.04429695988587	2060	0.0444441731123601	"CD8 Activated"	0.997849462365591
"1903"	7.12454799631687	8.62312736986711	19.9534843792947	0.000225571221305544	0.04429695988587	1903	0.0444441731123601	"CD8 Activated"	0.996946564885496
"2651"	6.13627154489629	8.49850185596364	19.9416492306679	0.000226276537878543	0.04429695988587	2651	0.0444441731123601	"CD8 Activated"	1
"770"	4.41693280771709	7.92201705850709	19.0086149649899	0.000290335074325036	0.0510511595941403	770	0.0513069154394609	"CD8 Activated"	0.984070796460177
"2582"	6.6600812883905	8.44443741851186	18.7788064964909	0.000309022004910935	0.0510511595941403	2582	0.0513069154394609	"CD8 Activated"	0.996539792387543
"2440"	5.30223149100013	7.69769847072945	18.5828115722473	0.000326009067465512	0.0510511595941403	2440	0.0513069154394609	"CD8 Activated"	1
"415"	6.87188822153142	8.80518009264823	18.5275657135631	0.000330981252142454	0.0510511595941403	415	0.0513069154394609	"CD8 Activated"	0.998654104979812
"1728"	6.72532270454533	8.70274726232416	18.4567467292937	0.000337477617509341	0.0510511595941403	1728	0.0513069154394609	"CD8 Activated"	0.995702005730659
"912"	4.97306700789139	7.63452376410012	18.0068313092996	0.000382179951516129	0.0542275779735924	912	0.0545182195532216	"CD8 Activated"	0.991666666666667
"3243"	6.66580358188623	8.52988499025253	17.8100133007557	0.000403754427723174	0.0542275779735924	3243	0.0545182195532216	"CD8 Activated"	1
