"gene"	"log2FC"	"pval"	"adjp"
"S100A9"	"-1.30332552920192"	"8.14923497161731e-71"	4.07624733280298e-67
"S100A8"	"-1.230957238975"	"2.30349366780485e-66"	3.84069177545329e-63
"ZNF880"	"-0.934530786177642"	"1.59032432038284e-59"	1.98870056263874e-56
"SELL"	"-1.3827811447678"	"1.65240678719514e-58"	1.65306774991002e-55
"GIMAP5"	"-0.900089532847562"	"7.31076104825013e-58"	5.22406096619245e-55
"ARMH1"	"-1.87553880870046"	"1.02162267859994e-57"	5.67795182039656e-55
"TAGAP"	"-0.535815509188756"	"1.20429357694605e-57"	6.02387647188414e-55
"SMAP2"	"-0.57395357874545"	"3.417231844905e-57"	1.55390851711044e-54
"FCN1"	"-1.4448122649218"	"1.83330623228592e-56"	7.0539982876109e-54
"LYZ"	"-1.06917930254426"	"1.68953489269123e-55"	6.03646680945824e-53
"PASK"	"-1.96826121267973"	"4.698568095048e-54"	1.46888985071438e-51
"SLC12A7"	"-1.45326855902991"	"8.89186865216849e-53"	2.47095149989704e-50
"ADGRE2"	"-1.85822247610029"	"1.63945219826038e-52"	4.31607362931496e-50
"TXNIP"	"-0.263579301177553"	"3.71938706012783e-52"	9.3021870373797e-50
"FKBP5"	"-0.911697879429754"	"3.57511283962071e-50"	8.12850655626491e-48
"LINC01684"	"-1.59734275287503"	"4.80999767064089e-50"	1.04606992819764e-47
"ITGB2-AS1"	"-0.647922958367625"	"6.06153446872793e-50"	1.21279181650308e-47
"AC245297.3"	"-0.54907796962625"	"5.97256881647253e-50"	1.21279181650308e-47
"SEPT1"	"-0.287128919842837"	"2.35254480215526e-49"	4.52593426937716e-47
"GSTM2"	"-1.33879403569397"	"4.02962134817283e-49"	7.19863070841446e-47
"NEAT1"	"-0.25447242218405"	"4.50883105536753e-49"	7.77695618584427e-47
"PLSCR1"	"-0.778386448173579"	"9.41490420457772e-49"	1.56977836104326e-46
"AC004585.1"	"-1.8657109066484"	"1.26019994332969e-48"	2.03339358597907e-46
"CD300A"	"-1.07231425361253"	"4.62033661807673e-48"	6.79733051871171e-46
"FAM118A"	"-1.03646446004166"	"5.4978215709466e-48"	7.85717242796426e-46
"LINC00426"	"-0.750459615468567"	"7.81870567514853e-48"	1.08636571630814e-45
"CD27"	"-1.9066302801239"	"1.04892622420272e-47"	1.41803485769243e-45
"CFLAR"	"-0.291020235055253"	"1.59383283606273e-47"	2.09798732789099e-45
"NPDC1"	"-0.828623320495976"	"3.28818676166405e-47"	4.21731030303681e-45
"JAML"	"-1.63862497624414"	"3.73260709314483e-47"	4.62737404548896e-45
"MPP1"	"-1.02693756438911"	"9.05129177447833e-47"	1.07796574895097e-44
"PTPN6"	"-0.55553732011936"	"1.10030878060701e-46"	1.27994058618518e-44
"ENOSF1"	"-0.608240664563973"	"1.16498376203304e-46"	1.32437472220211e-44
"CPQ"	"-0.623486605524798"	"1.83872980455755e-46"	2.04385032942153e-44
"SERPINB6"	"0.472036252954354"	"3.24828945685253e-46"	3.53216170938616e-44
"SDCBP"	"-0.496735591000634"	"4.61017586471842e-46"	4.90640418623863e-44
"ZFP90"	"-0.489497839563325"	"1.05765392040887e-45"	1.10216352289274e-43
"MKNK2"	"-0.334830567493211"	"2.60668854509167e-45"	2.60773122050971e-43
"SLFN5"	"-0.451098243974029"	"5.5366252892896e-45"	5.43023523471109e-43
"NUP210"	"-0.353621341562327"	"7.36003032010914e-45"	7.07978301176652e-43
"GPR155"	"-0.918742997359838"	"1.00103803297678e-44"	9.44753253009406e-43
"SEMA4D"	"-0.354619024270299"	"1.86641738066396e-44"	1.72885550705206e-42
"ISG20"	"-0.487639540552657"	"2.65511723643173e-44"	2.41470843938755e-42
"SRSF6"	"-0.536395821858954"	"3.09361106866112e-44"	2.76325760097195e-42
"ADA2"	"-0.462427549167621"	"3.2103367834707e-44"	2.81721133174043e-42
"SAT1"	"-0.296535563635137"	"3.42524690591873e-44"	2.95398017644922e-42
"SAMHD1"	"-0.397255927619585"	"5.00419224818157e-44"	4.19114125441987e-42
"GBP1"	"-0.818231192788344"	"5.02735856187909e-44"	4.19114125441987e-42
"CXCR3"	"-0.957818206484524"	"7.33941275599087e-44"	5.92124880733328e-42
"OGT"	"-0.343181237234662"	"1.33512437953881e-43"	1.06004637245288e-41
"RASSF2"	"-0.920329515587613"	"3.23478992910493e-43"	2.48929526544352e-41
"PTPRCAP"	"-0.483727196361483"	"4.08422991915694e-43"	3.09535122054894e-41
"EPSTI1"	"-0.873505139897192"	"6.02020664502759e-43"	4.49448860275045e-41
"S100A12"	"-1.37162682208697"	"8.26757750963402e-43"	5.99339459466513e-41
"NUP88"	"-0.539810277756777"	"2.54109177768618e-42"	1.81579158171232e-40
"NLRC3"	"-0.309514669597351"	"2.8070391755385e-42"	1.97757886704839e-40
"GSTM4"	"-0.638026185043984"	"2.91046337659651e-42"	2.02196358468552e-40
"ETS1"	"-0.293755337103061"	"4.08442702017441e-42"	2.79867177464553e-40
"GBP4"	"-0.770064164533629"	"4.47024638229433e-42"	3.02164491949138e-40
"IFI44"	"-0.977882719765669"	"1.30427499045753e-41"	8.47270584710203e-40
"ANKRD10"	"-0.393225608779985"	"2.33482715856719e-41"	1.49728274963501e-39
"IRF8"	"-1.71697668884599"	"2.40288256671591e-41"	1.52142007578645e-39
"CTBP1"	"-0.328536275994415"	"2.91948653211422e-41"	1.82540895420442e-39
"SLC16A3"	"-0.701331801799203"	"3.6658775333906e-41"	2.26379252123701e-39
"RBM6"	"-0.334732638695952"	"6.51205172506102e-41"	3.97235155228722e-39
"LAIR2"	"-1.53055869939392"	"6.68813875119828e-41"	4.03061084740889e-39
"XAF1"	"-0.480170665718784"	"7.3100072196292e-41"	4.35293525149825e-39
"SLC7A6"	"-0.837903417370507"	"8.80932850030974e-41"	5.18403072453521e-39
"KANSL1-AS1"	"-0.524728097473912"	"9.00706101729917e-41"	5.23875804750354e-39
"TSPAN5"	"-0.503094486350513"	"1.02440956697947e-40"	5.8897662690015e-39
"ZNF439"	"-2.08896967362512"	"1.53422283752779e-40"	8.72066208331137e-39
"MAN2C1"	"-0.488278217319993"	"1.68249903321587e-40"	9.45602265634357e-39
"PARP14"	"-0.468387129037363"	"1.86265453951229e-40"	1.02384593479566e-38
"ABHD3"	"-0.360376752855095"	"1.85443695244225e-40"	1.02384593479566e-38
"SLC35E2A"	"-0.537010260153315"	"1.99035388880215e-40"	1.08214675562917e-38
"DLGAP1-AS1"	"-0.383485672360721"	"2.54887869101057e-40"	1.37091303359515e-38
"S100B"	"-2.21545840440728"	"2.95515164248899e-40"	1.57251792720531e-38
"IFI44L"	"-1.69464904195892"	"4.10141268740901e-40"	2.15950171183367e-38
"CASP8"	"-0.225824427882015"	"4.28758384796224e-40"	2.21097880489764e-38
"MPP6"	"-0.583607797587266"	"7.32897234695527e-40"	3.74076731423166e-38
"CYBB"	"-1.25228092497932"	"8.1660764157191e-40"	4.12593073044716e-38
"MNDA"	"-1.08490408795502"	"8.2497558185542e-40"	4.12652786044081e-38
"MGST2"	"-1.26258173174046"	"9.77493286867783e-40"	4.84101130783431e-38
"AC025164.1"	"-0.605498673701882"	"1.01818969260765e-39"	4.99312239453281e-38
"VMP1"	"-0.344351766065274"	"1.52271044218416e-39"	7.25390250648111e-38
"NSUN2"	"-0.36923000058104"	"1.6472840221018e-39"	7.77331573448415e-38
"RTKN2"	"-2.3007140919728"	"2.062638148508e-39"	9.64235141947385e-38
"ZNF512"	"-0.486219086326472"	"2.32527180138149e-39"	1.07694532875095e-37
"LINC00861"	"-0.260475018316622"	"2.35587879179412e-39"	1.08111061619763e-37
"VSIR"	"-0.416657081135271"	"2.60423117028584e-39"	1.18421493761543e-37
"TARBP1"	"-0.770903946712856"	"3.0862319648774e-39"	1.39075065660511e-37
"BISPR"	"-0.482319195889617"	"4.33223280873579e-39"	1.93480611690147e-37
"PIM2"	"-0.725220897994522"	"6.48551289444304e-39"	2.84566100859685e-37
"SLC38A2"	"-0.405626218041578"	"6.68524602544244e-39"	2.90779135819679e-37
"NOSIP"	"-0.461551760600721"	"1.0484791196026e-38"	4.52111427263121e-37
"IL27RA"	"-0.464348490739393"	"1.42460451704227e-38"	6.03887440190291e-37
"BRD7"	"-0.325620946901473"	"1.47462133779981e-38"	6.19836632913836e-37
"SLMAP"	"-0.364167378117209"	"1.90976948250625e-38"	7.96055579291355e-37
"PDCD1"	"-1.3235717785726"	"2.15905646655451e-38"	8.92528962455013e-37
"LGALS9"	"-1.05155240114264"	"2.83691144736621e-38"	1.16313369342015e-36
"CCDC66"	"-0.422680810239899"	"2.89851026926168e-38"	1.17872750949975e-36
"AC119396.1"	"-0.478086043438142"	"3.35414060538493e-38"	1.35301704097866e-36
"ZMYM2"	"-0.348295706779116"	"5.21594826907231e-38"	2.07064866999204e-36
"NFKB2"	"-0.695228137133155"	"6.16322544597845e-38"	2.42743729769954e-36
"C3orf58"	"-0.663570268026012"	"9.56911004030519e-38"	3.68189910935435e-36
"HELLS"	"-0.646512214711413"	"1.02886474341371e-37"	3.92853545538578e-36
"WWC3"	"-0.546124063658024"	"1.101489682659e-37"	4.17397832777297e-36
"CCDC14"	"-0.379376522851558"	"2.13877382586323e-37"	7.98369154997603e-36
"ORAI2"	"-0.703195360394124"	"2.19394633545061e-37"	8.12897745920293e-36
"HERC2"	"-0.377745140260138"	"2.54516265919987e-37"	9.36095854508658e-36
"ATXN3"	"-0.353447752422887"	"3.95367888067752e-37"	1.44352567599627e-35
"TMC8"	"-0.280895154604681"	"4.07247208112199e-37"	1.47612357607045e-35
"MARK2"	"-0.343555099896718"	"4.35748850532589e-37"	1.56806888515396e-35
"ATP9B"	"-0.417411951747283"	"4.92553497160696e-37"	1.75982328056986e-35
"TMPO"	"-0.322892991564318"	"5.15975249945334e-37"	1.83043134767841e-35
"IRF7"	"-0.462810465272525"	"1.08764537086979e-36"	3.83126911626105e-35
"DPYD"	"-0.33742434879761"	"1.12483845932765e-36"	3.93457480668315e-35
"AC245014.3"	"-0.624698710185878"	"1.15841766596983e-36"	4.0238924758202e-35
"CLOCK"	"-0.593837722385922"	"1.31950948815477e-36"	4.55185273086218e-35
"TRDV1"	"-1.83263169685742"	"1.32936293621929e-36"	4.55443384038965e-35
"CTSF"	"-0.671432459519379"	"1.88464546695592e-36"	6.41292287463504e-35
"AIF1"	"-1.1674438013256"	"1.98179537991102e-36"	6.6979327637263e-35
"CAPG"	"-2.10288387118598"	"2.83205534437441e-36"	9.50734284064483e-35
"ADAT2"	"-0.576860896385315"	"2.85178942878804e-36"	9.50976714853185e-35
"NAAA"	"-0.32821812710478"	"2.94872111254723e-36"	9.76788278474255e-35
"RPS26"	"0.380969851167156"	"3.12629445037723e-36"	1.02879768689388e-34
"SERPINA1"	"-1.11430999826161"	"4.18527048239453e-36"	1.36828254594362e-34
"PRMT7"	"-0.49142207299753"	"4.74419924764549e-36"	1.54094056082615e-34
"MED17"	"-0.291535595280421"	"5.7216232106966e-36"	1.83458713460926e-34
"KLRC1"	"-1.73945414665908"	"1.09565335528438e-35"	3.46864435641296e-34
"THEMIS2"	"-0.836052424910428"	"1.1830391578644e-35"	3.72173702367153e-34
"UBE4A"	"-0.303345676550602"	"1.32295426419638e-35"	4.13588576844393e-34
"CTSA"	"-0.578326627669978"	"1.43115299343795e-35"	4.44635234358797e-34
"NSUN6"	"-0.416654177019129"	"1.5227467065205e-35"	4.70171544815774e-34
"ZNF600"	"-0.5075390829619"	"1.66084127597983e-35"	5.09664298309884e-34
"DMXL2"	"-1.47781076364785"	"2.01612542679303e-35"	6.14918255171874e-34
"PHACTR4"	"-0.40693062421368"	"2.5935129928148e-35"	7.81491083738532e-34
"PRIMPOL"	"-0.492116210992679"	"2.58284723674716e-35"	7.81491083738532e-34
"TXK"	"-2.22410253016074"	"2.74659115592145e-35"	8.22661614486173e-34
"NEDD9"	"-0.510369891737696"	"2.92260066922999e-35"	8.7016955639812e-34
"TRIM52"	"-0.43422842780679"	"4.80630900166967e-35"	1.41418574272657e-33
"OAS1"	"-0.682655690573512"	"7.39142314359145e-35"	2.16209933124236e-33
"TKT"	"-0.343428131440829"	"1.14932735240146e-34"	3.34240431204192e-33
"ZNF302"	"-0.390907185537786"	"1.17781891006031e-34"	3.3968448048686e-33
"HAPLN3"	"-2.52078488337233"	"1.18162934035813e-34"	3.3968448048686e-33
"PTK2B"	"-0.310733615417548"	"1.90495623046239e-34"	5.44490917987021e-33
"HBB"	"-1.74455232456986"	"2.3666980987465e-34"	6.72626357382386e-33
"RRAGB"	"-0.469139507267654"	"2.43112090930547e-34"	6.8703202194045e-33
"CTSZ"	"-0.69269847900559"	"2.84816240429254e-34"	7.95894321020742e-33
"KIAA1586"	"-0.389380879874252"	"2.83662948481934e-34"	7.95894321020742e-33
"IL17RA"	"-0.393928650120518"	"2.87136816935891e-34"	7.9792131017407e-33
"TTYH3"	"-1.47489545197838"	"2.97372827667168e-34"	8.21800488392914e-33
"MYO15B"	"-1.06455944785968"	"3.20325077188424e-34"	8.80365953899174e-33
"DDX11"	"-0.62011728510089"	"3.36334833107625e-34"	9.19315210494175e-33
"WDR59"	"-0.417016338775485"	"3.70683046471142e-34"	1.0076938035047e-32
"ASAH1"	"-0.300560832717078"	"3.97099980481629e-34"	1.06790005503715e-32
"RBM23"	"-0.352430132774026"	"3.95495536650834e-34"	1.06790005503715e-32
"TP53I11"	"0.597418271362735"	"4.08513583628476e-34"	1.09271922209071e-32
"LINC02384"	"0.632279262625739"	"4.37607191448534e-34"	1.16431445299232e-32
"GIMAP1"	"-0.513265521325376"	"4.72564793142968e-34"	1.2506714789953e-32
"NUPL2"	"-0.272825794691805"	"5.16519947073491e-34"	1.3598067238219e-32
"CARD16"	"-0.349486824262181"	"6.19474404597119e-34"	1.62230940931664e-32
"L3HYPDH"	"-0.456024872474856"	"6.37226429907959e-34"	1.66010760541646e-32
"VCAN"	"-1.03187304052858"	"6.76964388022003e-34"	1.75449526885288e-32
"TRIM41"	"-0.454956474445838"	"8.14937132351218e-34"	2.10119357526845e-32
"RASSF3"	"-0.372419604946284"	"8.34877106935321e-34"	2.14156681481563e-32
"EMB"	"-0.255260077607698"	"8.55301639983001e-34"	2.18276469550764e-32
"FCGRT"	"-0.618476709047111"	"9.92685907883848e-34"	2.52051518336802e-32
"FBXO22"	"-0.42506835529525"	"1.05868575469464e-33"	2.67451825504171e-32
"PRR5"	"-0.485841778534308"	"1.08019112266751e-33"	2.71243832428926e-32
"LINC01215"	"-1.0019122925693"	"1.08454151311046e-33"	2.71243832428926e-32
"SRPK1"	"-0.288858297966049"	"1.48962592342575e-33"	3.70701933779881e-32
"AC245060.5"	"-0.95767018485328"	"1.78413327254232e-33"	4.41793793527559e-32
"DDX21"	"-0.325655397928219"	"2.0040916098577e-33"	4.93816070566907e-32
"ELP2"	"-0.326980911035091"	"2.53779818179819e-33"	6.22258162027184e-32
"SPTBN1"	"-0.545241791141135"	"2.69463746869096e-33"	6.57491542360594e-32
"KCTD13"	"-0.353138456099816"	"2.89559814433629e-33"	7.030962096102e-32
"KIAA0930"	"-0.63861435597861"	"4.29808090694397e-33"	1.0385990674654e-31
"PARP9"	"-0.605354164269157"	"5.41447625196259e-33"	1.3020774140537e-31
"BDH2"	"-0.360461185604398"	"5.63417638576385e-33"	1.34842824313831e-31
"USP20"	"-0.398167472273945"	"5.77022267410246e-33"	1.37441208646955e-31
"GBP2"	"-0.409522658426666"	"6.29756383108365e-33"	1.49291062952988e-31
"ZFAND5"	"-0.292864926700118"	"6.55282683871483e-33"	1.54609621920998e-31
"ICE1"	"-0.283377626383635"	"7.12280772921565e-33"	1.67268940195008e-31
"FPR1"	"-2.76214863371313"	"7.45298561268979e-33"	1.74204831937731e-31
"DPH6"	"-0.501121898543697"	"7.52987993957307e-33"	1.75183532361602e-31
"PIK3IP1"	"-0.497813522110089"	"8.21672462083171e-33"	1.90278039599075e-31
"POMT1"	"-0.505669797516864"	"8.68584067334748e-33"	2.00214631557991e-31
"GPR171"	"-0.676722781843942"	"9.21800888493204e-33"	2.11506791020321e-31
"HSP90AB1"	"-0.253813501294714"	"1.08865824336242e-32"	2.4865153120086e-31
"FTL"	"0.107715940803816"	"1.17368308431524e-32"	2.66852853988401e-31
"KIR3DL2"	"-1.5267744738736"	"1.18740018957005e-32"	2.68750033856534e-31
"DENND2D"	"-0.561228184745533"	"1.8706908798317e-32"	4.17731954505275e-31
"AGPAT5"	"-0.667429887355527"	"2.08903236192668e-32"	4.64415105526989e-31
"TMBIM4"	"-0.349947481108777"	"2.1222237866421e-32"	4.69706344282468e-31
"TMEM63A"	"-0.766948298031057"	"2.19883149844559e-32"	4.8451784824779e-31
"GPR89B"	"-0.437459251847038"	"2.76280348373421e-32"	6.0612030814204e-31
"TLE4"	"-0.317483926365437"	"2.82877688651872e-32"	6.17883929535661e-31
"CPNE2"	"-1.74387808134558"	"2.89388763807941e-32"	6.29357650681444e-31
"IGFBP4"	"-2.48823884736545"	"2.96367398142831e-32"	6.4174446991794e-31
"TTN"	"-1.34542610992226"	"3.49752487899069e-32"	7.5084203625371e-31
"DPP4"	"-1.69546959901334"	"3.63181404827779e-32"	7.76339054251517e-31
"MICAL1"	"-0.423900948631612"	"3.84306507460378e-32"	8.18000489496515e-31
"IKZF2"	"-1.46030347778504"	"4.08252538972214e-32"	8.65287796584328e-31
"ZNF595"	"-0.946563540183683"	"4.230389612048e-32"	8.92844254829709e-31
"PREPL"	"-0.453287801442402"	"4.33998950950032e-32"	9.12127206996664e-31
"MYSM1"	"-0.32348529399768"	"4.47826690565885e-32"	9.37250672054626e-31
"PGGHG"	"-0.549530650812467"	"5.13650543038425e-32"	1.07053334011592e-30
"RBPJ"	"-0.33493907253781"	"5.86771106653293e-32"	1.21282193201643e-30
"LIMS1"	"-0.551060445373251"	"6.34517929414747e-32"	1.30611468433439e-30
"EVI2A"	"-0.32408797179869"	"8.43905238352214e-32"	1.72592092575263e-30
"ERCC6L2"	"-0.431145169176296"	"9.44984615161145e-32"	1.92146871749433e-30
"ALKBH5"	"-0.33639650272579"	"1.01367791889677e-31"	2.0528003847456e-30
"PRMT3"	"-0.388514168082441"	"1.04986122860767e-31"	2.11750236511918e-30
"STAT5B"	"-0.281208411602774"	"1.17083503569671e-31"	2.35201479861644e-30
"PHC2"	"-0.463928533949869"	"1.34690781737613e-31"	2.69489316100616e-30
"HDAC7"	"-0.499083598811568"	"1.50766655798723e-31"	2.99259846152862e-30
"TLR2"	"-2.15550376203922"	"2.0173148623875e-31"	3.97268068569381e-30
"S100PBP"	"-0.519349168163422"	"2.31935394199367e-31"	4.54957192856954e-30
"CEACAM21"	"-0.387843110842894"	"2.54528630475492e-31"	4.97325081890004e-30
"CSTF3"	"-0.400332072957562"	"2.60510248012661e-31"	5.07032007999739e-30
"ARHGAP25"	"-0.309824026732618"	"2.89201565347716e-31"	5.60692337158634e-30
"EIF2AK2"	"-0.343717370301298"	"3.10050295474139e-31"	5.98792115043105e-30
"MT2A"	"-0.499894238099985"	"3.59090737841483e-31"	6.90835334878115e-30
"RFX1"	"-0.491408691439837"	"3.84935817541695e-31"	7.37719907794467e-30
"GAK"	"-0.291243816822906"	"4.03183367045259e-31"	7.69741680137552e-30
