"gene"	"log2FC"	"pval"	"adjp"
"ZNF880"	"-1.20097308514321"	"6.29919794116701e-25"	3.15085881017174e-22
"KLRG1"	"0.37125473793654"	"1.2967346123145e-24"	5.40522210899761e-22
"EVI2B"	"-0.526425314412178"	"2.34448912057921e-24"	9.02087275472093e-22
"NPRL3"	"0.621635694260277"	"2.87303423548985e-23"	7.18545862296011e-21
"AC245014.3"	"-0.989218205315566"	"1.1279284158884e-22"	2.45299910272773e-20
"FRMD4B"	"-1.96060674648651"	"1.31947993220633e-22"	2.75001609204003e-20
"RGS2"	"-0.99361216685364"	"1.97552306702291e-22"	3.95262655249944e-20
"PDCD1"	"-1.70644476943257"	"3.87155945454903e-22"	7.17242236727935e-20
"KIAA0513"	"-1.97899568502142"	"1.15046354627756e-21"	1.91820621949345e-19
"ZNF83"	"-0.74528778882376"	"1.48127751259351e-21"	2.39011294128798e-19
"MAP3K6"	"-0.963141197048184"	"2.55625179105548e-21"	3.9957410808936e-19
"GSTM2"	"-1.59081310304439"	"4.34102847071268e-21"	6.0316178918069e-19
"TAPBPL"	"0.377501009216321"	"4.62966723429715e-21"	6.25880959620388e-19
"HLA-A"	"0.0923014273561723"	"6.46562488833472e-21"	8.2422711209207e-19
"CCL28"	"-0.975418480827432"	"6.59118042456673e-21"	8.2422711209207e-19
"KLRC1"	"-2.02000246490923"	"7.43804855706229e-21"	9.07441923961599e-19
"IFI44"	"-1.23641151732388"	"8.79106835345758e-21"	1.04697437866654e-18
"ANK3"	"-2.14643521415437"	"1.07070240134077e-20"	1.24550079337361e-18
"AP3M2"	"-0.930341628775294"	"1.58956305935312e-20"	1.80704418701916e-18
"NRIP1"	"-1.54299341849593"	"1.80429200717931e-20"	1.96197143911107e-18
"PMAIP1"	"-1.10479587023016"	"2.04830654160255e-20"	2.1083216110205e-18
"PPBP"	"-2.6572527143458"	"3.0877337869429e-20"	2.97016238505546e-18
"CD244"	"0.539941006638"	"3.26801549254709e-20"	3.02715064698529e-18
"HOXB2"	"-1.0015772485157"	"3.24750271571801e-20"	3.02715064698529e-18
"ADGRE2"	"-1.63755630400237"	"3.46611481387519e-20"	3.15227387254613e-18
"ARMH1"	"-1.75922384387251"	"3.63698663506786e-20"	3.24860841939454e-18
"HLA-C"	"0.0746205205572452"	"3.72962394618165e-20"	3.27290859277204e-18
"COL6A2"	"1.09677045084421"	"4.22895552390449e-20"	3.64710957423625e-18
"C1orf162"	"0.750577270313717"	"4.82442029754682e-20"	4.02195838805487e-18
"CFH"	"-1.28280915226372"	"4.76431096296529e-20"	4.02195838805487e-18
"SERINC5"	"-1.32918426967129"	"5.26669801327601e-20"	4.24903604232365e-18
"LINC02446"	"0.898553461642412"	"5.67752685824063e-20"	4.50777608649518e-18
"TXK"	"-2.36564071360565"	"5.891290714379e-20"	4.60441189895684e-18
"ANTXR2"	"-1.47752407046278"	"7.47355172114083e-20"	5.66175478764088e-18
"FXYD7"	"-1.42258388673478"	"8.15507728535475e-20"	5.99877890902124e-18
"PPWD1"	"-0.420774569589083"	"1.09241107161284e-19"	7.91918866696728e-18
"PAM"	"-0.648052168591105"	"1.26779373918848e-19"	9.05929183345825e-18
"PLEKHO1"	"-0.721801032578648"	"1.80372074038632e-19"	1.2530848810295e-17
"RASSF1"	"0.298805963612462"	"1.90672474882529e-19"	1.30649824570193e-17
"SERPINB6"	"0.399317237390872"	"2.04053875725419e-19"	1.37929390051155e-17
"TBPL1"	"0.290005080100382"	"2.19711366109398e-19"	1.46532833770561e-17
"PTPRM"	"0.912115904839904"	"3.31589988580865e-19"	2.17847168460256e-17
"GSTP1"	"0.265125290728588"	"5.05552268713307e-19"	3.24201595910764e-17
"SCARB2"	"-0.751506412781697"	"6.41033907119758e-19"	4.05879949799118e-17
"MYOM2"	"-2.91990559552162"	"6.77493923035182e-19"	4.23603075377748e-17
"XCL2"	"0.682613464622111"	"7.37144437570964e-19"	4.49658106918288e-17
"NRGN"	"-2.3692830869086"	"8.36736483775555e-19"	5.04259746005461e-17
"CD79B"	"-1.50055478599561"	"8.68178900225604e-19"	5.16979864158151e-17
"TRDC"	"-2.88275103612773"	"1.06091151154345e-18"	6.24315221263569e-17
"AOAH"	"0.402856173339826"	"1.16760286857309e-18"	6.79110412628209e-17
"GNAQ"	"-1.26985916615789"	"1.22533495479783e-18"	7.04497177459626e-17
"LPCAT1"	"0.354398411846062"	"1.34938701749325e-18"	7.67003847897868e-17
"EMB"	"-0.274409904979129"	"1.44178695751809e-18"	8.10316669832077e-17
"LAIR2"	"-1.68785189530338"	"1.55906780095475e-18"	8.66495237819518e-17
"SDCBP"	"-0.369971110093509"	"1.84461415452746e-18"	1.01392967043367e-16
"IL2RG"	"-0.330504304730306"	"3.35359272169036e-18"	1.80372804235432e-16
"LILRB2"	"-2.86672287128022"	"3.51211404016705e-18"	1.86889302435272e-16
"LEF1"	"-1.55626051366604"	"3.62338706766737e-18"	1.90780864341813e-16
"JAML"	"-1.56732004509056"	"4.73350607072599e-18"	2.44092756348159e-16
"TNFSF12"	"-0.532777582326113"	"4.93403931039238e-18"	2.51837394189619e-16
"IKZF2"	"-1.9185116285322"	"7.63944252121487e-18"	3.82124914911168e-16
"CTSZ"	"-0.969568113686145"	"9.61078327272808e-18"	4.71305273825352e-16
"BTBD2"	"-0.709870516165267"	"1.34235992458017e-17"	6.45623494495193e-16
"CD70"	"-0.823677284522593"	"1.88309289279519e-17"	8.88606665071843e-16
"C7orf50"	"0.265906267880205"	"1.87215928286565e-17"	8.88606665071843e-16
"HLA-DQA1"	"0.665761807434287"	"2.21616857709493e-17"	1.03600703015223e-15
"CD8A"	"0.49133175770913"	"2.84397996801458e-17"	1.31718405555638e-15
"CD8B"	"0.655752566539835"	"2.97878966832265e-17"	1.35845307238008e-15
"B4GALT4"	"0.372179975747514"	"4.06889858225373e-17"	1.83357033409308e-15
"MZB1"	"-1.35691264575627"	"4.38067400780821e-17"	1.95644030241577e-15
