Celltype	epiRvsNR_pre_up	mutRvsNR_pre_up	epiRvsNR_pre_down	mutRvsNR_pre_down	epiRvsNR_post_up	mutRvsNR_post_up	epiRvsNR_post_down	mutRvsNR_post_down
Activated-B-Cells	21	24	38	23	429	100	1012	122
CD14-Monocytes	1206	86	490	65	170	55	595	159
CD16-Monocytes	292	51	216	64	151	127	385	265
CD16-NK	690	332	250	151	476	267	680	264
CD4-Activated	511	45	461	118	1002	189	1332	369
CD4-Naive	189	31	225	82	715	181	1203	342
CD56-NK	38	9	49	19	65	25	131	22
CD8-Activated	733	140	503	271	636	276	787	583
CD8-Exhausted	15	0	18	0	13	25	32	8
CD8-Naive	332	99	105	47	393	204	283	153
Cycling	160	2	21	2	38	12	123	7
GDT	883	385	119	63	841	26	224	42
Intermediate-Monocytes	293	21	168	16	59	46	333	72
MAIT	18	24	35	12	37	26	93	38
Memory-B-Cells	29	19	31	49	77	12	138	30
Naive-B-Cells	0	0	0	0	4	1	9	1
Plasma-Cells	2	3	10	21	94	89	127	121
Treg	106	15	94	16	89	112	468	191
cDC	40	36	67	38	76	42	267	55
pDC	9	7	11	17	13	4	35	3
