Cluster	cellType	group	Pathway	nlp	GeneRatio
CD16-NK:LR:Allograft rejection	CD16-NK	LR	Allograft rejection	-2.28377626744915	-0.0354609929078014
CD16-NK:LR:Cellular senescence	CD16-NK	LR	Cellular senescence	-1.72752110787967	-0.0567375886524823
CD16-NK:LR:FoxO signaling pathway	CD16-NK	LR	FoxO signaling pathway	-0.981586425442881	-0.0354609929078014
CD16-NK:LR:Graft-versus-host disease	CD16-NK	LR	Graft-versus-host disease	-2.21029174264664	-0.0354609929078014
CD16-NK:LR:HIF-1 signaling pathway	CD16-NK	LR	HIF-1 signaling pathway	-1.20083023508393	-0.0354609929078014
CD16-NK:LR:Leukocyte transendothelial migration	CD16-NK	LR	Leukocyte transendothelial migration	-2.21029174264664	-0.0567375886524823
CD16-NK:LR:Natural killer cell mediated cytotoxicity	CD16-NK	LR	Natural killer cell mediated cytotoxicity	-5.11755007054195	-0.099290780141844
CD16-NK:LR:PD-L1 expression and PD-1 checkpoint pathway in cancer	CD16-NK	LR	PD-L1 expression and PD-1 checkpoint pathway in cancer	-1.00595764840719	-0.0283687943262411
CD16-NK:LR:Prolactin signaling pathway	CD16-NK	LR	Prolactin signaling pathway	-1.23579707556511	-0.0283687943262411
CD16-NK:LR:Proteasome	CD16-NK	LR	Proteasome	-1.17500385955159	-0.0212765957446809
CD16-NK:LR:Ribosome	CD16-NK	LR	Ribosome	-2.02713509026827	-0.0638297872340425
CD16-NK:LR:Sphingolipid signaling pathway	CD16-NK	LR	Sphingolipid signaling pathway	-2.49999408216181	-0.0638297872340425
CD16-NK:LR:T cell receptor signaling pathway	CD16-NK	LR	T cell receptor signaling pathway	-1.23579707556511	-0.0354609929078014
CD16-NK:LR:Thyroid hormone signaling pathway	CD16-NK	LR	Thyroid hormone signaling pathway	-1.41208416459219	-0.0425531914893617
CD16-NK:LR:VEGF signaling pathway	CD16-NK	LR	VEGF signaling pathway	-2.28377626744915	-0.0425531914893617
CD16-NK:NLR:Fatty acid metabolism	CD16-NK	NLR	Fatty acid metabolism	1.00147753028185	0.0234375
