"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"nlp"
"CD4-Naive:NLR_up"	"hsa04071"	"Sphingolipid signaling pathway"	"9/362"	"119/8112"	0.0839524353411454	0.250161297228665	0.190131512255864	"GNAI3/RHOA/TNF/RAC2/BAX/BID/PLCB1/TRADD/NRAS"	9	0.720945897523559
"CD4-Activated:LR_down"	"hsa04370"	"VEGF signaling pathway"	"5/171"	"59/8112"	0.00784786864679808	0.202746002165261	0.188979801134354	"MAPKAPK3/HSPB1/PRKCB/MAP2K2/SH2D2A"	5	0.723584612359454
"CD8-Activated:NLR_up"	"hsa04066"	"HIF-1 signaling pathway"	"9/323"	"109/8112"	0.0293724667427339	0.210698906394578	0.184434499780295	"ENO1/TIMP1/NOS3/RBX1/CAMK2D/LDHB/BCL2/IL6R/MKNK1"	9	0.734157837822641
"CD8-Naive:LR_up"	"hsa04660"	"T cell receptor signaling pathway"	"5/89"	"104/8112"	0.00557098970671303	0.1882994520869	0.184135870306094	"CD3E/NCK1/LAT/PPP3CC/LCK"	5	0.734861601183378
"CD16-NK:NLR_down"	"hsa04650"	"Natural killer cell mediated cytotoxicity"	"10/284"	"131/8112"	0.0164090974386711	0.200125939085901	0.183181637607232	"KLRK1/FYN/PIK3R1/MAPK1/NFATC2/RAC1/KIR3DL2/VAV3/SYK/KIR2DL1"	10	0.737118062794465
"CD16-NK:NLR_down"	"hsa04370"	"VEGF signaling pathway"	"6/284"	"59/8112"	0.0166193650747499	0.200125939085901	0.183181637607232	"AKT2/PIK3R1/MAPK1/NFATC2/RAC1/SH2D2A"	6	0.737118062794465
"CD8-Naive:LR_down"	"hsa00190"	"Oxidative phosphorylation"	"4/84"	"134/8112"	0.0499115744621619	0.221254641351306	0.181021507516159	"NDUFS5/NDUFA6/NDUFV2/NDUFA13"	4	0.742269822696128
"CD8-Activated:LR_down"	"hsa04670"	"Leukocyte transendothelial migration"	"10/277"	"114/8112"	0.00546372846422024	0.198060156827984	0.180446821647274	"GNAI2/TXK/CYBB/VCAM1/PTK2B/RAC2/VAV3/PRKCB/MSN/CYBA"	10	0.743650763109639
"CD56-NK:LR_down"	"hsa04068"	"FoxO signaling pathway"	"1/15"	"131/8112"	0.216844230958256	0.278337576700205	0.179047563959196	"IL7R"	1	0.747031583427704
"CD16-NK:NLR_up"	"hsa03010"	"Ribosome"	"10/256"	"158/8112"	0.0277091135168283	0.203910655880249	0.177248580391047	"RPS26/MRPS16/RPSA/RPS27L/MRPS6/RPL21/MRPL3/MRPL14/MRPL17/MRPL27"	10	0.751417234456905
