"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"nlp"
"CD4-Activated:NLR_down"	"hsa03050"	"Proteasome"	"4/238"	"46/8112"	0.0451000494984546	0.233618256401995	0.1984402177932	"PSMD2/PSMF1/PSMD9/PSMA1"	4	0.702370304986319
"CD56-NK:NLR_up"	"hsa04621"	"NOD-like receptor signaling pathway"	"2/16"	"184/8112"	0.0498535137284378	0.237537330117851	0.197561911988856	"HSP90AA1/CASP8"	2	0.704296779421851
"CD56-NK:NLR_down"	"hsa05235"	"PD-L1 expression and PD-1 checkpoint pathway in cancer"	"2/29"	"89/8112"	0.0398967506218674	0.232370403438349	0.197348069905775	"CD3E/NFKBIA"	2	0.704767116713971
"CD56-NK:NLR_down"	"hsa04658"	"Th1 and Th2 cell differentiation"	"2/29"	"92/8112"	0.0423690783922611	0.232370403438349	0.197348069905775	"CD3E/NFKBIA"	2	0.704767116713971
"CD4-Activated:NLR_down"	"hsa00190"	"Oxidative phosphorylation"	"8/238"	"134/8112"	0.043186760330634	0.228272876033351	0.193899740259989	"PPA1/NDUFA13/ATP5F1A/NDUFB8/NDUFC2/NDUFB11/ATP5PO/NDUFA11"	8	0.712422772683692
"CD4-Activated:NLR_down"	"hsa04066"	"HIF-1 signaling pathway"	"7/238"	"109/8112"	0.0408612664280695	0.220480583434792	0.187280804461985	"EGLN2/RELA/PGK1/STAT3/MAP2K1/LDHA/ALDOA"	7	0.727506733801763
"CD8-Activated:NLR_down"	"hsa04216"	"Ferroptosis"	"4/266"	"41/8112"	0.044304094233401	0.212193780015693	0.175560694504075	"FTH1/PCBP2/SLC3A2/MAP1LC3B"	4	0.755572709789408
"CD4-Activated:LR_down"	"hsa04216"	"Ferroptosis"	"3/75"	"41/8112"	0.00628952344164186	0.186589195435375	0.171030900606051	"SLC40A1/SAT1/TFRC"	3	0.766925417383798
"CD4-Naive:NLR_up"	"hsa00190"	"Oxidative phosphorylation"	"5/82"	"134/8112"	0.011284405558688	0.180740970447101	0.166471946464435	"NDUFB3/COX17/NDUFA12/ATP6V0E1/NDUFA6"	5	0.77865894247121
"CD8-Activated:NLR_down"	"hsa04658"	"Th1 and Th2 cell differentiation"	"7/266"	"92/8112"	0.0310031659485895	0.189899168474373	0.157115019585597	"NFKBIA/JUN/CD3E/RELA/FOS/GATA3/LCK"	7	0.803782296109918
"CD56-NK:LR_up"	"hsa04658"	"Th1 and Th2 cell differentiation"	"1/6"	"92/8112"	0.066166732584767	0.151163956519655	0.136388532198185	"TBX21"	1	0.865222144433372
"CD56-NK:LR_up"	"hsa04650"	"Natural killer cell mediated cytotoxicity"	"1/6"	"131/8112"	0.0930924331031854	0.151163956519655	0.136388532198185	"KLRC3"	1	0.865222144433372
"CD4-Activated:LR_down"	"hsa04066"	"HIF-1 signaling pathway"	"5/75"	"109/8112"	0.00326910146478225	0.14547501518281	0.13334492816875	"RPS6/BCL2/MAP2K2/PRKCB/TFRC"	5	0.87502349823593
"CD56-NK:NLR_down"	"hsa04660"	"T cell receptor signaling pathway"	"3/29"	"104/8112"	0.00587168150386248	0.152444456269677	0.129468377932381	"CD3E/NFKBIA/MAP3K8"	3	0.887836293099979
"CD56-NK:NLR_down"	"hsa04216"	"Ferroptosis"	"2/29"	"41/8112"	0.00928257017634502	0.152444456269677	0.129468377932381	"PCBP2/FTH1"	2	0.887836293099979
"CD8-Activated:LR_down"	"hsa04066"	"HIF-1 signaling pathway"	"7/128"	"109/8112"	0.00162366455968276	0.11582140525737	0.11508078633541	"RPS6/BCL2/ALDOC/MAP2K2/HIF1A/MKNK2/LDHB"	7	0.938997179281168
