pre_up	pre_down	post_up	post_down
COL6A3	MTRNR2L8	RIC3	AREG
HLA-DQB1	CD3E	PRSS21	MTRNR2L8
HLA-DQA1	RPS10	CHI3L2	PSPH
KIF19	LDOC1	TRGV3	ZNF331
ZNF154	RAB11FIP5	COL6A3	ZNF90
RIC3	LAG3	LTB	CCDC144A
TCF4	SLC22A5	PVT1	IGLV2-11
SESTD1	CTSF	GTSF1	NR4A3
IFITM3	XRRA1	AIF1	APOLD1
AC245014.3	AL136454.1	TRAT1	IGHA1
MIR181A1HG	PNMA1	KIF19	FAM118A
Z93241.1	MPIG6B	HLA-DQB1	XRRA1
SLC12A7	CHPT1	LST1	ANKRD9
LTB	ZFP36	MYC	GSTM1
NABP1	HLA-G	CD5	EEF1G
HIST1H1B	EVA1C	LINC00649	AL109955.1
ALG14	C20orf194	TRGC2	METRNL
SNHG22	AC006369.1	OPHN1	SLC22A5
PLXNC1	NME4	RPS26	LDOC1
TTYH3	HNRNPLL	XCL2	EVA1B
LST1	CENPV	EPS8L1	KLRK1
FAN1	EEF1G	HSD17B11	NME4
CHI3L2	AREG	PRRT3	HES4
PLEKHO2	SNHG7	SPI1	GRAMD1C
HELLS	LINC00944	INPP4B	AL136454.1
LINC00649	TMEM159	TMEM187	CREM
IL12RB2	CD8A	TTYH2	NR4A2
SLFN5	CXCR4	ZNF671	ELL2
HLA-DRB5	PDZD4	GATB	MAFF
CD300C	DUSP2	DZIP3	PTPRCAP
DUSP7	ROBO3	CFD	C20orf194
BACH2	ZFP36L2	PECAM1	ZMYND19
ANTXR2	SIGLEC7	CENPK	POLR2J3
LIMK2	LIN7B	ALG14	NPTXR
LINC01684	ZMAT1	HLA-DRB5	EGLN2
TFPT	NFKBIA	LYZ	TP53INP2
STRN4	TIMP1	GSDMB	PER1
SMARCD2	TOB1	THBS1	NPDC1
PECAM1	ARL2	AL513550.1	FKBP5
PDLIM7	LIM2	PPIL1	AC116366.1
ZNF275	NDUFB8	CD3D	RBMS2
CENPK	GSTM4	GNAQ	CXCR4
ZSCAN29	RPL36A	DCLRE1B	AUTS2
RAB11FIP1	AP002387.2	TIGIT	SARNP
SLFN12	NDUFA13	SLFN5	PQLC1
RAB30-AS1	CEBPB	NUP43	SLC7A5
AIF1	CRTAP	NDFIP2	MRPS24
LINC02384	BSCL2	FCGRT	RBM38
ZNF714	JUNB	AC127521.1	TAX1BP3
ZNF738	CBX1	GPKOW	SNX9
C11orf54	PLP2	ELOVL6	LINC01146
LCLAT1	ZNF749	TNFRSF9	AL162377.1
PDGFRB	PHF1	IVNS1ABP	IRF4
C5orf63	NBEAL1	TMEM14C	MRPL53
AC007952.4	DDIT4	CISH	DUSP2
CERS6	HAGHL	NINJ1	BRD7
HAUS6	PIM3	TCF7	RCC1
PARP14	VIM	KLRG1	ZMAT1
COTL1	RBM38	SRD5A3	PLXND1
GNAQ	SLC25A4	CD2AP	AC098850.3
LINC00324	YRDC	LINC00954	ITPRIP
LAX1	AC027644.3	EXOSC5	PDE4D
JAK2	CYB5R1	NUDT2	MAP3K8
B4GALT5	DUSP1	LTA	LINC00469
RPGR	ISCA1	CRYZ	LINC02446
APOL1	RPL26	KBTBD7	NME2
TAP2	REEP4	LINC00324	TMEM238
CX3CR1	DPH7	SLC25A20	GKAP1
PARP11	TRBC2	BCL2	AC025171.3
CD38	C6orf136	ANXA2	UBE2V1
PLCXD2	SDHD	RBM43	RANBP17
CYTL1	THAP11	PLXNC1	AC015912.3
ZNF330	USF2	TESPA1	MPIG6B
SH3TC1	FAM89B	TRAC	ZNF14
LMO4	NAA10	TNFSF10	LINC00243
ELOVL6	GLUL	RGS10	NDUFA13
MT-ATP8	RPS14	RPL21	NDUFA9
HIST1H1D	CNPY2	PARVB	CD3E
MAP3K1	TBC1D25	MAGEH1	SERTAD1
HECA	ZYX	LINC01684	EVA1C
ITGAX	TSC22D3	PRDX3	RPS29
USF1	NSMCE3	SNX10	SYTL3
VPS54	CIDEB	DCLRE1A	CSNK2B
STAT1	C7orf50	ACAT1	TMEM202-AS1
IVNS1ABP	ADHFE1	NRM	FP565260.1
HEATR5B	CITED2	WDR77	SRXN1
CKS2	GADD45B	IL32	SLA2
YOD1	C4orf48	THOC3	NBEAL1
