Celltype	epiRvsNR_pre_up	epiRvsNR_pre_down	epiRvsNR_post_up	epiRvsNR_post_down
Activated-B-Cells	21	38	429	1012
CD14-Monocytes	1206	490	170	595
CD16-Monocytes	292	216	151	385
CD16-NK	690	250	476	680
CD4-Activated	511	461	1002	1332
CD4-Naive	189	225	715	1203
CD56-NK	38	49	65	131
CD8-Activated	733	503	636	787
CD8-Exhausted	15	18	13	32
CD8-Naive	332	105	393	283
Cycling	160	21	38	123
GDT	883	119	841	224
Intermediate-Monocytes	293	168	59	333
MAIT	18	35	37	93
Memory-B-Cells	29	31	77	138
Naive-B-Cells	0	0	4	9
Plasma-Cells	2	10	94	127
Treg	106	94	89	468
cDC	40	67	76	267
pDC	9	11	13	35
