""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MTRNR2L8	12.0958793325574	-2.26139495861393	0.258416731676134	5.28835255514329e-20	4.3290454016403e-16
RPL37	542.787660139757	-0.291923301642451	0.0377256674229435	5.41557750659668e-15	2.21659587345002e-11
RPL36	283.563881452598	-0.305124585202816	0.0413781536755385	4.28891430845218e-14	1.17030175096632e-10
RPL37A	257.099949706586	-0.285455913304695	0.0390032538204339	8.95613867424248e-14	1.22191585312248e-10
RPS29	212.595167967568	-0.637502934372407	0.0892710516485599	8.2254439745973e-14	1.22191585312248e-10
RPS21	359.126659907962	-0.416348137086506	0.057660226925848	8.65922836551771e-14	1.22191585312248e-10
SNX9	8.99074855664279	-1.43669286516033	0.224999363111476	1.00924953474878e-11	1.03271458643169e-08
MAP3K8	10.8610364046131	-0.868793718833457	0.134342713215751	8.84636588089854e-12	1.03271458643169e-08
RPL38	120.927501471033	-0.396529561141361	0.0604721052979948	1.22906021934977e-11	1.11789855062191e-08
ATP5ME	14.2790843187832	-0.605230997858207	0.0956018586533423	2.88525373420742e-11	2.36186870682219e-08
SON	32.0687232252143	-0.477231345354119	0.0753514663159366	3.82643933273363e-11	2.84756657979613e-08
SMAP2	21.4635169187788	-0.662755708170736	0.106818850049423	5.50969079027787e-11	3.30666983272528e-08
CSNK2B	1.82286772113337	-1.34072633369248	0.218801732029674	5.61892565933697e-11	3.30666983272528e-08
GNAS	16.7141705366233	-0.546691571758014	0.0873470881661734	5.65518906158733e-11	3.30666983272528e-08
ISCA1	3.08722559530234	-0.933465415350327	0.155161800016662	1.33248133965269e-10	7.27179483093127e-08
BCL2L11	2.09030100927991	-1.34358223062575	0.22474773404277	1.82362849705771e-10	8.78130757465553e-08
ARL6IP1	3.01468263380539	-0.946243117894637	0.158478716377415	1.76104479439427e-10	8.78130757465553e-08
TUT4	10.6483723900793	-0.654631378585184	0.109932548975174	2.77786338420467e-10	1.19682050858418e-07
RPL34	638.366839741591	-0.218576972722518	0.0353085114090661	2.68407749431134e-10	1.19682050858418e-07
GPS2	3.1133043099936	-0.928233823342196	0.158354366502769	3.71859966593211e-10	1.44954556501525e-07
RPS28	488.97705575532	-0.276604277458063	0.0453957312783958	3.62067782693831e-10	1.44954556501525e-07
INSIG1	3.92918206169982	-0.938440272851051	0.161789049702701	3.9639359468895e-10	1.47494453005625e-07
CAT	7.51264786578751	0.616899705126976	0.106243224538476	4.74856439613154e-10	1.69007600637969e-07
