""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MTRNR2L8	18.4149581752377	-2.35704819258311	0.271073956868504	2.72043531296836e-20	2.60780929101147e-16
CD55	35.6961925476258	-0.705096887050815	0.0991352027891479	6.55230539530118e-14	3.14051997596785e-10
AC103591.3	4.97139165780001	-1.10654885025418	0.161802001315225	3.66315886213304e-13	1.17050136174691e-09
RPS29	195.514152623336	-0.539346709219071	0.0816015298044938	2.0182951407711e-12	4.83684430485795e-09
CRIP1	34.8183447649171	-0.805329525791322	0.124241959821725	3.61947899068862e-12	6.93926512094821e-09
USF2	11.9821996051908	-0.596231949490509	0.0919464920702123	4.90284999015661e-12	7.83312000094021e-09
MYL6	394.905824984061	0.183300826179066	0.0277662461986748	8.51641170657698e-12	1.16626175170353e-08
NME4	2.48747261203097	-1.57591071965228	0.26645543971132	2.35792737462696e-11	2.82538647664675e-08
S100A9	164.103957389575	0.630004284967124	0.102743193263442	5.28636673729606e-11	5.63056794930222e-08
SMAP2	43.8838938035052	-0.386885875276185	0.0635819325872301	7.47436804954928e-11	6.51357201117995e-08
POLD4	62.8050977428157	0.388372431526601	0.0633469229618759	6.98486369785729e-11	6.51357201117995e-08
ITGB2-AS1	25.8087995793304	0.378448681737544	0.0622250016120219	8.54070296771739e-11	6.82259822071158e-08
RHOC	36.0121895565664	-0.485086626723195	0.0843800619723502	4.68920431735827e-10	3.4577471220151e-07
CTBP1	9.93754418096388	-0.460258313173768	0.0807019182256644	6.13928816291986e-10	4.20365830926784e-07
BRD7	10.3063592267076	-0.553215939239917	0.0978868057725137	7.04794363245224e-10	4.50410584404581e-07
S100A4	1225.49580681674	0.271829387836178	0.0473259550484307	8.52419568201431e-10	4.80664351810525e-07
GPS2	5.61818916333273	-0.731273441977624	0.131086943035407	8.05400282846178e-10	4.80664351810525e-07
GUSB	20.2852415129269	-0.482012590853671	0.0861832979382795	1.00704276929829e-09	5.36306221471854e-07
ZNF385A	26.1696508693652	-0.473898909232864	0.0844059363991802	1.15827521152466e-09	5.5516130888377e-07
EIF4A1	20.9600005098231	-0.550741566770911	0.0994812741315082	1.13164576966214e-09	5.5516130888377e-07
PSMA4	37.7319591366067	0.299080943560251	0.0533546571056462	1.76459608277123e-09	8.05496097592621e-07
RPS26	305.394673894941	0.844690531993356	0.156646179871789	4.04660161059524e-09	1.76321468359845e-06
GNAI2	83.3323645280069	-0.282268016966174	0.0519330274297652	4.51433223259052e-09	1.88149516441795e-06
NME2	32.5716496043941	-0.532431612704026	0.100135645093659	5.44805447527179e-09	2.17604375833148e-06
FBP1	21.7990987338571	-0.493811296430159	0.0934239680967321	6.01733088401378e-09	2.30728535416624e-06
FAM49A	24.2998567611364	-0.478170942463809	0.0911837864102234	6.90930375153844e-09	2.54740714470183e-06
CD302	14.3424502938895	-0.498043997537676	0.0958614987299687	1.09890582091222e-08	3.90152266639428e-06
ARPC1B	52.8427620377462	-0.450813103754633	0.0868872747183427	1.23229669005973e-08	4.09653634925924e-06
GMFG	116.773326953154	0.14950709961747	0.0274758082545735	1.23930267190192e-08	4.09653634925924e-06
RB1	16.5460554679803	-0.399783108360477	0.0776492218044114	1.51746433598886e-08	4.84880437492973e-06
RPS17	11.4087505460118	-0.489373715633743	0.0960746737858746	1.7373710650319e-08	5.37239968690188e-06
CD48	100.01681437751	0.25419519758218	0.0486894322533132	1.99451590900535e-08	5.97482171991416e-06
MCL1	65.5742226732099	-0.444251826740301	0.087875277759872	2.09437189866986e-08	6.0838330365604e-06
PTPRE	16.4049566402752	-0.49732282816117	0.0994316599361719	2.67541559457829e-08	7.54309820283162e-06
ARL8A	6.11011393218821	-0.555864602349801	0.111872670635699	3.04984905273875e-08	8.35310086272961e-06
UBE2S	4.09122019752998	-0.753818888379166	0.155139375100197	3.16250216464151e-08	8.42104048618154e-06
LYZ	160.094410916768	0.754914253253325	0.151405261349647	3.32496895397602e-08	8.61436551157138e-06
RBM15B	5.72156848531427	-0.572576020674994	0.116718270359449	3.97821245744141e-08	1.00355643729035e-05
TAGLN2	70.2244381464758	-0.442227294250195	0.089564458797992	4.7409336259508e-08	1.16529717277857e-05
MT2A	178.373397719945	-0.653277342882638	0.134425993705305	4.97602389071877e-08	1.19250412541075e-05
MARCH2	12.6221060897061	-0.459568860320074	0.0949871659830262	6.24529313637319e-08	1.46018000012862e-05
ATP5ME	37.7426244045167	-0.348205043825696	0.0709662508633413	6.91672088107808e-08	1.57865919919082e-05
EEF1G	2.30737280597092	-1.07883125570857	0.233040388316926	8.12089347969589e-08	1.81039267200848e-05
