""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MTRNR2L8	25.5656889628121	-2.02617986471669	0.224448223994531	5.90499847104844e-21	6.17367590148114e-17
RPS29	464.642903133848	-0.670953181971542	0.0775573338900906	7.26832175692811e-20	3.79951519843417e-16
AREG	38.1721653032366	-2.93266813060038	0.351450414004632	2.81231624551906e-18	9.80092211563391e-15
RPS28	999.9593995732	-0.366464124902769	0.0447840265501138	2.21474077122507e-17	5.78877869078952e-14
PTPRCAP	45.537775567095	-0.977043043482069	0.12570384809755	1.81936152058955e-16	3.80428493955275e-13
TMA7	267.565118161029	-0.348656074885372	0.0444511763782887	3.0023348990026e-16	5.23156856151203e-13
BRD7	27.7247603694927	-0.775986526766525	0.100193548152002	3.65162535129608e-16	5.45396329254294e-13
ATP5ME	74.0485232600912	-0.531264083028172	0.0697541168254685	1.29932831289616e-15	1.69805968891617e-12
CTSC	110.557547492664	0.345104870770831	0.045422912574775	3.10934887939534e-15	3.61202694823092e-12
AUTS2	22.0346184898626	-0.879837061789908	0.118811200122746	5.07009068186107e-15	4.93231528283304e-12
RPL38	245.343727338448	-0.397902607518842	0.0532904902279907	5.18942784420502e-15	4.93231528283304e-12
LTB	15.8111707139622	1.03019918213281	0.140361433862297	1.00941656639584e-14	8.79454183472379e-12
RPS21	617.698364423396	-0.429324380578694	0.057911904991723	1.21147997760737e-14	9.74309474298851e-12
ANXA2	54.8930874869678	0.453083013957127	0.0617600577952176	2.32853426435806e-14	1.73891612384739e-11
NME2	28.9368221026022	-0.732058564842634	0.102189912309203	3.71465442963497e-14	2.58911413745557e-11
RPS27	2010.46428007385	-0.323771349053808	0.0454234811056898	9.95888161890128e-14	6.50750670785081e-11
RPL37	980.698450782487	-0.257779837158356	0.0362197522917182	1.48394338032043e-13	9.12625178897063e-11
GPS2	15.1796277236419	-0.634965234143263	0.0912636401122581	2.15735746108412e-13	1.25306512531303e-10
KLRK1	11.0707649835603	-1.07017301982946	0.156267054378012	3.33481662919577e-13	1.83502672938115e-10
METRNL	19.3348148357955	-1.14533983086474	0.167462519063827	4.76024750154352e-13	2.48841938143188e-10
CEBPZ	21.12510670754	-0.631666786744619	0.0932691669402371	5.9194175182056e-13	2.94702429299236e-10
RPL37A	586.82666352744	-0.276855133764626	0.039970503702135	6.40812336360082e-13	3.04531498938393e-10
