""	baseMean	log2FoldChange	lfcSE	pvalue	padj
USF2	40.8866108870621	-0.724748510989461	0.079516750534934	1.98297264625728e-21	2.17928693823675e-17
GSTK1	213.874937180252	0.278362103986662	0.0317643023725318	1.94176288570365e-19	1.06699870569416e-15
RPS29	1252.37050830533	-0.627059193567203	0.077888325841901	5.14753611954618e-17	1.88571406512708e-13
ATP5ME	103.362394781441	-0.545003972510456	0.0722971953579002	2.18530527595827e-15	4.27797430327376e-12
RPL37	2286.76722829022	-0.312170455457358	0.0407517631299663	1.79321313997299e-15	4.27797430327376e-12
MTRNR2L8	48.1407008048247	-1.73143893440236	0.231531098255962	2.33556376884827e-15	4.27797430327376e-12
TMA7	454.544160892098	-0.323598238232833	0.0430315659918783	4.98556883873401e-15	6.84892519221084e-12
XRRA1	6.66223730297632	-1.15394200638293	0.155612877771019	4.41392000443221e-15	6.84892519221084e-12
RBM38	63.7797110025466	-1.11567348655039	0.152805811617788	1.08659489112084e-14	1.32685309482423e-11
MRPS24	12.9882676146287	-0.895863721245625	0.123549101609017	1.5573515942751e-14	1.42627450175695e-11
EEF1G	9.31026070539167	-1.21922424815374	0.168730441937144	1.29780009191631e-14	1.42627450175695e-11
BRD7	35.7698923111133	-0.82775423694595	0.114475181842095	1.45951238133442e-14	1.42627450175695e-11
MTRNR2L1	2.48143324274146	-3.37608493954006	0.496916029423634	4.9919086799753e-14	4.22008279945604e-11
PTPRCAP	74.0017257841016	-0.941607858723371	0.133293500661686	6.19777528778425e-14	4.86525360091064e-11
ANXA2	86.5816111988531	0.436834879960869	0.0611189803011606	7.91755261508675e-14	5.80092688265356e-11
KLRK1	13.8188354382087	-0.910073195205627	0.130230621055401	1.35814462693909e-13	9.3287559062879e-11
PRDX1	65.1381068223006	0.399708658158002	0.0570660616725063	2.30259274892317e-13	1.48855848886268e-10
UBE2V1	10.781539539381	-0.8411745118195	0.123063302815262	2.936546469776e-13	1.79292476126879e-10
IGHA1	2.38339968080072	-3.48309910426987	0.518938148861942	4.47390995779209e-13	2.587803707165e-10
METRNL	11.3442522364363	-1.68442515609712	0.247182704538204	4.96114824975832e-13	2.7261509632422e-10
SLA2	27.546002953241	-0.708458750723477	0.108280267559114	2.34251662864564e-12	1.22591703565788e-09
CPA5	2.18210316930382	2.30401644600522	0.356429408681786	3.61663059241485e-12	1.72812044394083e-09
CEMIP2	57.5131112202539	-0.929751879611868	0.143347494285895	3.58082173438253e-12	1.72812044394083e-09
ITPRIP	15.6421412839369	-0.878349567135849	0.136141169804254	4.07634812193733e-12	1.86662774417047e-09
CEBPZ	34.8252213461931	-0.494860319551765	0.0762961788593443	4.41039504771199e-12	1.93880966297419e-09
S100A4	1293.04001930878	0.426516982364272	0.0650342293063217	4.94966614741538e-12	2.0921858061575e-09
R3HDM2	24.8916984378174	-0.53930595450541	0.0839219525104059	5.65228940766305e-12	2.300691132971e-09
NR4A2	45.7188290134584	-1.36107919992592	0.213907695814681	6.75377662874378e-12	2.65085732678193e-09
CREM	29.7479575896062	-1.21556853958606	0.191087692751446	7.05052766180559e-12	2.67190686218081e-09
ZNF90	2.01675539663275	-2.67116276770149	0.438711136076115	1.28329762529015e-11	4.70114696731292e-09
NME2	52.3644005019263	-0.617032193527374	0.0992702904638862	1.96851847762537e-11	6.97871550616218e-09
MAP3K8	62.7298333305959	-0.865161431509855	0.138965448104968	2.06405829195756e-11	6.99902803413429e-09
RPS17	37.6996673740005	-0.682036559330902	0.110633557975522	2.10161897294296e-11	6.99902803413429e-09
ENC1	19.0767052907848	-1.22427062039406	0.198962365134518	2.21734785400995e-11	7.1672508575204e-09
GSTP1	150.313584170751	0.304131891648782	0.0478253248032289	2.45012192487182e-11	7.69338284409753e-09
EMP3	371.722794584218	0.279747201149004	0.0441054214285013	2.92463587358986e-11	8.92826340298683e-09
RPL37A	1185.73447054856	-0.23438983725359	0.0372452091839123	4.78395717372587e-11	1.42096457673641e-08
ALOX5AP	70.8150427475941	0.601221214897122	0.09759395937637	5.01243759288636e-11	1.44964971436371e-08
RPL38	626.326831871993	-0.33434997063877	0.0543971712047729	6.50437684538241e-11	1.83290003925007e-08
EIF4A1	36.1815692205811	-0.549071698633819	0.0912153471997194	9.6555187382391e-11	2.65285377333119e-08
DUSP2	375.736570106605	-0.750135659821575	0.126423835477676	1.2777464062985e-10	3.42498365980988e-08
NDUFB1	56.0571259060534	-0.439762275113995	0.0737656512578993	1.32810591725891e-10	3.47521048349414e-08
AUTS2	17.3170055838644	-0.936938984532821	0.158528067093835	1.37656744231199e-10	3.51825027697879e-08
TRAV8-1	16.1191565026413	2.37247145437775	0.397971506096511	1.52474333252042e-10	3.80080967896598e-08
BOLA2B	7.28252541777768	-0.925715532939183	0.156062031849041	1.55629149730181e-10	3.80080967896598e-08
RPL36A	337.772827135159	-0.564141185443171	0.0962376790707456	2.19043204738737e-10	5.23322786973635e-08
SLFN5	56.4764259718541	0.528798014716099	0.0895769384287343	2.87541708706075e-10	6.72358165676546e-08
NBEAL1	20.9961805384906	-0.826798035822983	0.143276557112081	3.91297626980258e-10	8.95908525106882e-08
ROMO1	65.8337133609631	-0.334724149943438	0.0576279490063148	4.83029286190197e-10	1.08336568474087e-07
OSTF1	84.270120269681	0.351890774980342	0.0607721567653207	7.33354324887329e-10	1.61191280610235e-07
MYL12B	319.830684557638	0.222193359317924	0.0380200796924233	7.89104698358446e-10	1.70044326175673e-07
ETS1	149.904028504723	-0.365693075003068	0.0641001736530105	8.05077174124647e-10	1.70149964300574e-07
TMBIM6	153.54349274551	0.206285596992622	0.0353907310975398	1.15145957374304e-09	2.38764919159171e-07
TSPYL2	27.9201926344785	-0.755035038204611	0.136630553337183	1.2470976818579e-09	2.53807472659598e-07
SRRM2	126.467452086663	-0.304959566075997	0.0539875217100615	1.27539639012251e-09	2.54847387771752e-07
LCP1	263.49127396388	0.220145039158454	0.0381041907180855	1.4120358433352e-09	2.77112034254533e-07
RPS21	1591.34563239941	-0.322271936706631	0.0581004801306193	1.60343946305587e-09	3.09154380683929e-07
ZNF331	17.873273649238	-1.2413394203366	0.228439161626651	1.84100153512421e-09	3.48838049500259e-07
ZSCAN16-AS1	14.3515267190565	-0.490988578631814	0.088481347840314	1.9323164494088e-09	3.59934877610216e-07
AP002884.1	1.51159018103773	2.4758061366755	0.450899580714853	2.0465367193071e-09	3.74857309086417e-07
AC103591.3	9.07820933964263	-1.17856844766315	0.219255693253496	2.12245407713099e-09	3.76222101736606e-07
TRAV20	20.5232968640158	2.32449026985631	0.42112856880137	2.11659590871145e-09	3.76222101736606e-07
CTSC	143.242478949315	0.328704210724531	0.0588276730281967	2.39946402640868e-09	4.18573169051292e-07
DDX24	91.1848211367074	-0.318314000694997	0.0575344126959561	2.88387052835987e-09	4.95214642291797e-07
BRD9	16.9187181661636	-0.498612804894889	0.0920950043136404	3.5765239885291e-09	6.01851433894161e-07
PET100	82.1831318017052	-0.358997338183715	0.0663674163035502	3.61439441647085e-09	6.01851433894161e-07
POLR2J	32.8091882584071	-0.43250090857825	0.0804074093675991	4.11001137471957e-09	6.74164552360718e-07
NR4A3	4.58228873113375	-2.05660682677858	0.398755428375046	4.32629732205475e-09	6.92921450742182e-07
CEBPB	59.5424075189351	-0.422935335956821	0.0781218232037822	4.35046224760787e-09	6.92921450742182e-07
NFATC2	57.6508503061086	-0.295827617401897	0.0541669262441558	5.15947951560315e-09	8.10038283949695e-07
PTPRJ	19.4009024822765	-0.417759558728267	0.077439394129918	5.24010581275486e-09	8.11109336368675e-07
HIST1H4C	72.260962281281	-0.495629171489225	0.0935130790851722	5.4918685473172e-09	8.38272712986333e-07
RPS28	2388.45957856963	-0.270387573945542	0.0497662317418116	6.48283128741786e-09	9.75976929434552e-07
TRBV10-2	20.5319788514948	-0.0596634341938722	0.131053708667889	6.87690600125813e-09	1.02131347234901e-06
PDE4D	23.9358393242522	-0.937013556137599	0.180606417334793	7.4473083784281e-09	1.08935272043541e-06
SLC38A2	30.0990177026664	-0.490105068485284	0.0932870237452573	7.53328541884359e-09	1.08935272043541e-06
AL451165.2	5.65090735125579	-0.734280519326305	0.140509468391073	9.5108820503607e-09	1.34005889401877e-06
METAP2	31.7932834811653	-0.348298576753106	0.0656316919586931	9.4940382582081e-09	1.34005889401877e-06
TRAV4	12.3891528638568	1.47589896404907	0.2831710969363	9.89396972830592e-09	1.37638895334281e-06
MKNK2	25.6423881813145	-0.386626683664496	0.0736625157650195	1.04925884331859e-08	1.44141933600892e-06
TNFAIP3	182.74975691896	-0.898733827800541	0.175017288310508	1.13228065644105e-08	1.53626721164039e-06
FYN	116.755113199323	-0.229962049043614	0.0429479462861963	1.17355783722771e-08	1.57285373550397e-06
ARL6IP1	25.8768414628931	-0.397158434405152	0.0759981352587772	1.19990489915925e-08	1.58878973997111e-06
ARID5B	43.1238386563035	-0.412661865223801	0.0790576656457428	1.25043902372212e-08	1.63599105603644e-06
REL	54.8940782185987	-0.414299022281647	0.0805161980047228	1.57925953933728e-08	2.04188968674314e-06
KLRG1	141.971047349486	0.420569445701212	0.080862957862425	1.67908896317543e-08	2.14571950061604e-06
KTN1	71.7407638756041	-0.290530938597649	0.0560361109324382	2.262005588967e-08	2.85740706008589e-06
ARPC1B	55.5637895908826	-0.524651191246007	0.104244413376115	2.3549224457522e-08	2.94097700895644e-06
RPS26	1612.70841803389	1.01010572063894	0.201390106472872	2.55356658475697e-08	3.15322435578416e-06
VPS37B	28.7433476685587	-0.538492215150844	0.10691389842786	2.6719583013063e-08	3.26275797015069e-06
NDUFA13	26.3727105361229	-0.574532212172615	0.116139993001219	2.80308125207861e-08	3.38525966597186e-06
UPF2	29.9346882993761	-0.355443033114433	0.0703498923717807	3.43249731668425e-08	4.06759071580543e-06
MVD	27.8781878542874	-0.541425047049149	0.109907655138663	3.44209223448503e-08	4.06759071580543e-06
SH2D2A	57.1770035318605	-0.382770087870474	0.0759609531268588	3.54398811612468e-08	4.11469464033798e-06
SMS	30.1009277639111	-0.398413850513466	0.0795983949337169	3.55683340156604e-08	4.11469464033798e-06
TDG	15.7202595259333	-0.412890422580161	0.0822154193125693	3.70327380770568e-08	4.2394769944464e-06
B2M	9285.89971278751	0.124019052485084	0.0234440536514675	3.74598445053841e-08	4.24416176406362e-06
PTPRE	27.5087120402156	-0.367629620420302	0.0734162073886124	4.18988859591438e-08	4.69866078256112e-06
LGALS1	220.784319925581	0.485415221156822	0.0970844064886558	4.29910232405148e-08	4.77243783245715e-06
IRF4	5.7578658734844	-1.11937274989	0.229959195968663	4.34823541759007e-08	4.77871072393149e-06
CD7	203.501229541033	-0.322680744235114	0.0638845993128557	4.44071983036559e-08	4.83203078571464e-06
PER1	14.9204450134066	-1.19748180368416	0.247356106857333	4.83656343574776e-08	5.21116001557528e-06
REEP5	65.8318717101763	0.218493152662735	0.0426033299460247	5.64751487894724e-08	6.02584354559516e-06
CDK11A	33.3178934997525	-0.494368122892314	0.102465741209197	6.32703579889974e-08	6.68597340672193e-06
ZFP36	298.560910165067	-0.736992756106032	0.153209706247839	6.39238752542201e-08	6.69069894327503e-06
RAD51C	12.1630915239741	0.431136746258544	0.0878092153844278	6.71131294316673e-08	6.95823860805683e-06
ATP5PB	87.4570290888038	0.237594606027888	0.0473393478625963	6.78743079242663e-08	6.97138919708119e-06
CSNK2B	10.5397227698111	-0.596181577469065	0.123974354401296	6.87775053794746e-08	6.99874800111506e-06
ANXA5	56.991477092165	0.318269570118054	0.0638371551938565	6.9584619537259e-08	7.01591714416951e-06
EXOC7	18.268082720124	-0.375373559272846	0.0764524321326247	7.2885118573889e-08	7.28188593751854e-06
DAD1	90.3036343092087	0.23880113786767	0.0475515289922441	7.88213572836313e-08	7.80402447339737e-06
ATP8A1	34.4462307351057	-0.470885418656251	0.0977184288086553	8.09364950543568e-08	7.94189357720876e-06
ARGLU1	124.833040995606	-0.189373982507985	0.0374166958402286	8.71444509377221e-08	8.47537624606695e-06
PRELID1	95.5783421924855	0.220832036001032	0.0441064967269603	9.24751631651766e-08	8.91493020337974e-06
MAPRE2	48.3796169817952	-0.324653212651199	0.0667165268699594	9.74818164996005e-08	9.31587098548356e-06
MOB4	21.0868970003648	-0.438144161791517	0.0918016547382903	1.01048524356375e-07	9.57347657479794e-06
RNF145	23.729723299368	-0.417048556680243	0.0873192570451646	1.10325192144052e-07	1.03630244586592e-05
PPIA	667.076657762703	0.131510548073724	0.0256442449944693	1.14006320820411e-07	1.06180463204772e-05
AKAP5	2.01328590884316	-1.47056960605285	0.317221058090533	1.16376210182171e-07	1.07476852932946e-05
FLT3LG	60.2051425065231	0.298372307034993	0.061710716681718	1.17765440374671e-07	1.07853515809802e-05
RAB5IF	66.5447065082143	-0.350314975453403	0.072756821989404	1.23157164569074e-07	1.11859275918522e-05
TRAPPC5	5.39467064023088	-0.79492845366198	0.169362019176604	1.26085740198339e-07	1.13580515145881e-05
ADD3	97.2024696934566	0.227208629766132	0.0460647847617849	1.2772824500242e-07	1.14124667689154e-05
S100A6	614.36487836986	0.288252920420135	0.0587369478358939	1.38840319943762e-07	1.23052831950157e-05
DRAIC	2.51719367654963	-1.54021640060892	0.339119331841962	1.42372806236048e-07	1.25174171242734e-05
AC243829.2	2.40200703135822	-1.48291385094192	0.319566010130014	1.53687849736153e-07	1.34049957825422e-05
PRDX5	68.7415862890317	0.222520182167874	0.0454693365570621	1.62778864902632e-07	1.40861395691333e-05
CFD	3.15572602878687	0.859349876971659	0.183971616457881	1.70076890526385e-07	1.46026955225388e-05
