""	baseMean	log2FoldChange	lfcSE	pvalue	padj
PTPRCAP	6.22533647959514	-1.44391605008775	0.1712917015293	1.75474944132192e-18	2.71108788684237e-15
ARPC1B	5.93229403769078	-0.807001751023124	0.140193664108696	4.51469176361492e-10	2.33137970606251e-07
MTRNR2L8	3.49949199542047	-1.69460026814706	0.291715296507887	4.52695088555826e-10	2.33137970606251e-07
RPL36A	11.7649091575303	-0.643669242003147	0.120286891706593	4.37250240911402e-09	1.62097267688869e-06
RPS26	75.0224517258683	0.782408971092403	0.147493687426777	5.24586626824819e-09	1.62097267688869e-06
MZT2A	5.17892793447187	-0.676982217251162	0.138273617538306	5.16618977635724e-08	1.33029386741199e-05
NME2	3.95358460432156	-0.757347838259769	0.166259934494986	2.72862237455024e-07	6.02245938382874e-05
ATP5ME	6.11403106100414	-0.574557480972157	0.134961525722399	9.57874402329118e-07	0.000163113417569762
RPL37	112.718535963475	-0.22104259168616	0.0503333914279477	1.00847208493709e-06	0.000163113417569762
RPS29	46.2204679700286	-0.479066910174946	0.113349581908462	1.05575027553244e-06	0.000163113417569762
TMA7	26.9022635879984	-0.313585795089849	0.07359288407868	1.28825118528885e-06	0.000180940734661025
RPS28	100.344625687871	-0.243005504467272	0.0591208456143353	3.14731510526048e-06	0.000405216819802286
RPL37A	52.6689679825945	-0.264274806813978	0.066916743740938	5.35662842333952e-06	0.000636614685696889
HLA-DRB5	7.49750499256275	0.726553352642545	0.19287356157479	9.41462277700608e-06	0.00103897087074817
TNFAIP3	6.20714806130523	-0.830945148385705	0.224790911187026	1.02531490838987e-05	0.00105607435564157
PRMT2	5.19083246565543	0.471953107155231	0.130133162793502	1.51531493795058e-05	0.00146322598695853
RPL38	25.3268163752485	-0.277360374366688	0.078651812541863	2.53213879658352e-05	0.00230126731807149
RPS21	69.7042643200502	-0.27602695525194	0.0794178723414343	3.12688575662592e-05	0.00268391027443725
SLFN5	7.78530717928634	0.514893044514743	0.156502217690512	3.50141526304928e-05	0.0028472034639006
EMP3	17.7480891299662	0.295710300977028	0.0867299774009635	3.95174527492123e-05	0.00305272322487665
MYL12B	20.3708308149843	0.230595801041021	0.0671974265306881	4.89103885038795e-05	0.00359840715421399
ZFP36L2	17.787804654722	-0.491483657574827	0.151088361092549	5.26586813560628e-05	0.00369807557705077
APOBEC3G	6.31775700407142	0.467140388983988	0.148105443128694	7.47220140196436e-05	0.00501937007218911
RPL21	37.3387216630915	0.522587763684909	0.189443681382418	0.000221685945148418	0.0142710327189294
REEP5	5.39889294597178	0.350451925934948	0.125714968339223	0.000253840848036276	0.0156873644086419
MT2A	25.007311439754	-0.482266458772983	0.185059425141367	0.000307016468751963	0.0182438632392994
RPL36	63.5475577133806	-0.176929647357612	0.0597514699036912	0.00034322193907804	0.0196399220694656
RPL26	38.09834471799	-0.222964999594583	0.0804653150632177	0.000415695644383926	0.0229374918061845
MT-ND3	100.275982073726	-0.298966928495194	0.115443514454798	0.000459540830449766	0.0244824338980996
ARHGAP25	4.97613408777033	0.414290728450049	0.167883401107928	0.000516732655613966	0.0266117317641193
MT1E	6.1571249146491	-0.49901683585394	0.213390381960742	0.000625273323893959	0.031162815658586
EEF2	31.286494321656	-0.186080856086563	0.0684564198471988	0.000669637515980718	0.032330936318444
RPS27	165.492029757082	-0.184859556162513	0.0710041942064798	0.00083271590355724	0.0378395903234099
HLA-C	104.734384980157	-0.207078818138194	0.0810677497852079	0.000830517775958654	0.0378395903234099
RAB11A	3.73181600789702	0.347686399507187	0.151587392977226	0.000897298712367518	0.039609328874509
CD247	7.68884500228344	-0.288145876149316	0.126193183548967	0.0011371240355881	0.0428299434111543
COPS9	5.24896888331174	-0.294598806270009	0.128703063170227	0.00108718100911174	0.0428299434111543
KLF3	3.76415765803733	-0.496734123290745	0.23345522260335	0.00106352235433628	0.0428299434111543
HIST1H4C	4.61719404811738	-0.463834695128175	0.214437919508857	0.00113474075797751	0.0428299434111543
ALOX5AP	4.96835157169967	0.660731342685533	0.316268841846406	0.0010635988688396	0.0428299434111543
RPL17	7.93041773844302	-0.280240381440539	0.120444644820079	0.00106059316047708	0.0428299434111543
ATP5F1E	45.8978355890882	-0.186240210158085	0.0754253370365548	0.0011643091412741	0.0428299434111543
RPS11	24.3957549625993	0.160987551197562	0.0631930480573936	0.00130354881926724	0.04683681222716
ALDOA	8.3187469598498	-0.298589149731804	0.138030773132787	0.00139510020571974	0.0487315265922756
ROMO1	5.32058247400837	-0.326267774911307	0.158065097076354	0.0014193648522022	0.0487315265922756
ANXA2	12.3364175108151	0.325109964070184	0.154883000451902	0.00153507590874675	0.0515585278046461
DUSP2	11.085432798701	-0.51709910324276	0.277077025346105	0.00167154415488867	0.053802827485479
SRP19	2.62420639339959	-0.450193307968806	0.230191890100796	0.00163993274914295	0.053802827485479
DYNLL1	8.66496076259416	0.339143995435311	0.182153931455781	0.00229553320056546	0.072379567242319
EID1	10.4042856851284	0.216580419623275	0.105748505264494	0.00254970770708271	0.0787859681488559
DENND2D	10.1586811848704	0.275901714296795	0.155988871994602	0.00313163438976568	0.0930456756189995
GMFG	26.2853736524176	0.158927563925443	0.071956125702495	0.00307971947812108	0.0930456756189995
SAP18	7.1028379287285	0.21830127786177	0.115523159102125	0.00340024356810604	0.099120307787242
TAX1BP1	5.60401588912668	0.238331063127554	0.140399518803276	0.0041051561924972	0.115317569407421
TAF10	4.10394198778025	-0.374588887988351	0.262291468814552	0.0040743000666042	0.115317569407421
CALM2	10.7350284032128	0.196433255311127	0.109970807826776	0.00471593865534441	0.120157328557328
SS18L2	3.2246737504138	0.283687256633259	0.199426520797421	0.00482184748903193	0.120157328557328
AP3S1	2.78929088574495	0.299114362106911	0.211008208146025	0.00473833328526159	0.120157328557328
UQCRQ	6.50709101397396	-0.213075345943633	0.123959860140383	0.00450469847252959	0.120157328557328
NDUFA4	11.7548401611815	0.177241528945824	0.09383310528444	0.00474902256713476	0.120157328557328
TAF1D	3.75793889022687	-0.272173190564996	0.176363056609066	0.0045774912613868	0.120157328557328
SSBP4	4.55442623823076	-0.264700840398825	0.167577326910909	0.00453504877941958	0.120157328557328
GBP5	8.01809739223309	0.337156623270743	0.264629500629475	0.00508669771871792	0.124745205959035
PSMB9	18.8241450552657	0.172632173434612	0.0923784721016708	0.00521972978012838	0.126007539223412
DDX24	4.03525128574699	-0.259132037852946	0.17817451826705	0.00547081429883433	0.127755966224718
MT1X	4.72392460247619	-0.264066047225745	0.194273296975512	0.00554022636702661	0.127755966224718
ATP5F1A	8.25196237698489	-0.192244772099086	0.111077102678685	0.0054608507811702	0.127755966224718
CHURC1	2.58064384473013	-0.303270706623091	0.241723536195813	0.00563155066452444	0.127952143774857
CRIP1	5.98245298597469	-0.236546313848576	0.164314640230087	0.00601925637648435	0.134779001473454
CTLA4	2.92303647700139	-0.343455970034787	0.382848207643354	0.00635872087794233	0.140346053663156
SRSF2	5.35588736966619	0.223335869690774	0.157936741719212	0.00662751412604435	0.1442184411935
RPS27L	7.87441171422121	0.216827638858406	0.154330934111671	0.00673069822514655	0.14442956608127
CEMIP2	3.61552138772551	-0.28311122945338	0.436279503533463	0.00725403976141283	0.151452586910579
ANXA7	2.76463216875944	0.278827177212747	0.239990146709945	0.00719824941580419	0.151452586910579
WASHC3	2.61164423074196	0.24702415261961	0.224089253146661	0.00753509581863616	0.155222973863905
SDHC	4.08863376710679	0.218273111497498	0.176603962337175	0.00826462971615196	0.165829258590322
NDUFA3	5.20199209668589	-0.216529435323576	0.173448983799253	0.00824755972720456	0.165829258590322
STK17B	5.13778724061722	-0.210296830166472	0.164111481090495	0.00860535293196261	0.170452183075413
ITGA4	11.1124554979664	-0.211395633924203	0.23200443158858	0.00880178445659906	0.171656849727721
UBA52	44.3801576358475	0.0943782025364987	0.0431572368422333	0.00888838056842567	0.171656849727721
YWHAQ	7.21812715767227	0.189158308238677	0.138253870585752	0.00932835891204965	0.17332450077243
PSTPIP1	2.73133059231581	0.222634416838814	0.236365603912116	0.00942346800316124	0.17332450077243
PRDX2	4.52363187487492	-0.205836370403796	0.179455475192491	0.0093186422223252	0.17332450077243
ZFP36	7.32656609733519	-0.0999699185115085	0.217765587421613	0.00927200249934435	0.17332450077243
ARPC3	28.7450967161325	0.117014328189861	0.0601701547311829	0.0100916487640502	0.18343055694656
SRPK2	3.43511434126937	-0.211275501938715	0.22448906787179	0.0104816170531638	0.186139061461357
APEX1	2.7885869418731	-0.217660101725955	0.253060592392191	0.010464023010423	0.186139061461357
FGFR1OP2	3.09210264314164	0.21387457810002	0.258469202561772	0.0106720049457429	0.187366450467873
RAD21	5.35754095123837	0.181650427961501	0.15254851649514	0.0113517409077545	0.197061120252591
AKAP13	5.82799638280747	-0.179779658524355	0.163761041458693	0.0122785431190458	0.210781656876953
LY6E	13.3731144834624	-0.169532230631088	0.152900162622658	0.0134088465472378	0.227655691378927
CCT2	2.91491616042923	0.186176445350347	0.310117738663498	0.0137140565436437	0.230306710434017
PCSK7	3.51367586643793	0.168884667956928	0.212436201500311	0.0144266732377331	0.239668926368792
GZMK	53.4603896527088	0.156848991211582	0.131513789882486	0.0150125166346451	0.245421299438162
