""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL36	600.520172518833	-0.280032931969721	0.0352694991880225	3.89991357532306e-16	2.68197056574967e-12
RPS28	1060.78438488668	-0.331634604957841	0.0444242205503448	2.12507617644671e-14	7.30707443271202e-11
RPS29	430.493307197732	-0.577340873565447	0.0848153792418139	6.0545972968495e-13	1.3879155203478e-09
RPL34	1279.78188459076	-0.238144452456375	0.0346542674867979	1.49452383239582e-12	2.20542966011356e-09
MTRNR2L8	14.5614450596497	-1.93163440678451	0.290707223775347	1.60348237611863e-12	2.20542966011356e-09
RPL37	956.145028054607	-0.283069720512207	0.0436375500578351	1.47521498725387e-11	1.52655394918885e-08
RPL38	250.330611857358	-0.390056693821006	0.0606210665733822	1.55385744428122e-11	1.52655394918885e-08
TMSB4X	883.398648801884	0.298057554116703	0.0470626998052385	3.88883135792632e-11	3.34293665605741e-08
TMA7	106.560595684565	-0.313711482304886	0.0493707301969671	4.73343987284785e-11	3.6168740006194e-08
CD52	236.792823064811	0.330211223978326	0.0538708348782664	1.00037317787299e-10	6.2541512220296e-08
ARPC1B	11.2319288609509	-0.841415844295108	0.13795406544564	9.8615218638498e-11	6.2541512220296e-08
RPS21	696.227031869068	-0.399213387670225	0.0661096559362619	1.25330475252925e-10	7.18248065261972e-08
EEF1G	5.33545829386973	-1.37468953875448	0.23104110998362	1.75361214239728e-10	9.27660823328162e-08
RPL37A	421.727144239045	-0.283045512276585	0.0469276154762127	2.85634146124125e-10	1.40307573063972e-07
TOB1	16.4761622988147	-1.16968639767228	0.202580836348984	4.26846678729653e-10	1.95694973974921e-07
PTPN22	4.66591033934403	0.808801540918796	0.144816224268639	1.14164488125492e-09	4.90693240524378e-07
NME2	19.7958430039072	-0.670915618435533	0.118585799060684	1.37626580502788e-09	5.56739996539806e-07
HLA-DQB1	2.65420425025732	2.03838197249136	0.366294188728975	1.65665730314781e-09	6.32935126319304e-07
RPS15A	1201.80781420221	-0.16856378683816	0.0286868308459942	1.80337751473967e-09	6.52727745729723e-07
LINC02446	56.7273673771367	-0.488659443261854	0.0905332256833483	4.53679295726578e-09	1.55997625835584e-06
RCC1	4.42117667725034	-1.09027724194124	0.203624932044572	8.89564003443298e-09	2.68556993897126e-06
RPL14	639.637121486945	-0.166090426378884	0.0296686401135513	8.98183926077345e-09	2.68556993897126e-06
SLFN5	14.1528826478261	0.536793888904999	0.102062543347245	8.45954566326643e-09	2.68556993897126e-06
NBEAL1	8.94461814582467	-1.05705632512	0.205049179913141	1.22824197798935e-08	3.5194250344303e-06
RPL36A	142.496994842391	-0.60573955825175	0.1169517223469	1.42296377834268e-08	3.91428876146504e-06
RPS17	14.0291515464531	-0.760677928779238	0.149339986824106	2.35753241511693e-08	6.23567323798428e-06
B2M	1596.12297407347	0.176534233606459	0.0326778348795212	2.45401825419167e-08	6.25047538299117e-06
LCP1	35.0991413026006	0.361711371234392	0.0701383658375968	2.59364350011482e-08	6.37017369653201e-06
CD48	65.5062232372066	0.240724713466239	0.0457449847694686	2.94451453911727e-08	6.98256085707224e-06
NDFIP1	34.464321237786	-0.495342724857984	0.0969058136981707	3.05843208177066e-08	7.01094580877893e-06
COX4I1	143.203128825876	-0.176600343205461	0.0330702404066539	3.84365988776427e-08	8.5267254994048e-06
MT-ND4L	840.974703845889	-0.217957573443974	0.0418835203030427	5.36549594281013e-08	1.15307861245954e-05
FAU	542.090771522575	-0.128298788872599	0.0240978193707623	5.98093507695882e-08	1.24639062194684e-05
RPS8	1244.28702431815	-0.115675445940524	0.0216649228393462	6.16700672794469e-08	1.24736780200223e-05
GBP5	9.80683518108771	0.82108834586016	0.17363699307663	9.77302024435063e-08	1.82599441848241e-05
PSMB9	36.513991506816	0.422179924849844	0.087385754361489	1.00898339250155e-07	1.82599441848241e-05
HDGFL3	1.63154871532671	-1.63202729297245	0.345628894615353	9.94221844448053e-08	1.82599441848241e-05
APOBEC3G	5.44870409617567	0.830147402892067	0.177597648745618	9.34515335432824e-08	1.82599441848241e-05
RPL29	700.619210504005	-0.119429048152665	0.0229203212565785	1.08010738118634e-07	1.83003446126139e-05
MRPS24	3.86079434730731	-0.966236566633063	0.198686369340024	1.06399781814561e-07	1.83003446126139e-05
UBALD2	10.0393996049993	-0.594664279460836	0.123285043496793	1.09104861002933e-07	1.83003446126139e-05
FYB1	73.9546286648642	0.252727660391778	0.0512748358886834	1.79694147056732e-07	2.94227773645034e-05
PFN1	229.585817234607	0.189096284054567	0.0380852259185952	2.31365560300624e-07	3.70023478648231e-05
HIST1H4C	21.9899275322394	-0.487152723857788	0.103885023608035	2.4508025638697e-07	3.83049300721179e-05
CD3E	154.732687717919	0.174364073349236	0.0351416287872045	2.50886806593526e-07	3.83410793098595e-05
RPS26	518.965738057483	1.09087472820306	0.238048900420492	2.79231390772727e-07	4.17450929205227e-05
CENPK	4.3126924804455	1.05381418949423	0.232108138523176	2.98368084161607e-07	4.3656964144242e-05
MYL12B	51.672668340491	0.266824087764224	0.0560900431746624	3.10533261644316e-07	4.44903591734992e-05
NFKBIZ	17.2589654214949	-0.721459220778803	0.157440454170833	3.50001931453306e-07	4.91216996449874e-05
NCK1	4.70774927307111	0.64498960503256	0.143097343968775	3.60500157482567e-07	4.95831916601523e-05
YWHAB	52.0750564119021	0.225281130224201	0.0469778171072344	3.75349371373748e-07	5.06132868026915e-05
AL136454.1	2.60509587228325	-1.53351853833311	0.355948712514792	4.0001835181478e-07	5.29024270275047e-05
MT-ND3	886.509904409659	-0.340594739603271	0.074186295632343	4.19022507660459e-07	5.43701468902071e-05
SNHG8	48.8198179086954	-0.434389055761893	0.0944389028160994	4.51219264423049e-07	5.74636089155058e-05
PPP1CA	24.1592160779614	0.352753612681384	0.0770843970519029	4.78610046452796e-07	5.98436598082887e-05
RPS23	1061.64801876666	-0.129754774776042	0.0257892291309607	6.02761801983493e-07	7.40213020042943e-05
SNX9	5.45364174340334	-1.01133792106368	0.225791792358822	6.39465273683195e-07	7.71509243354268e-05
RPL39	1275.35322720439	-0.205292714438783	0.0436399478337118	6.5123244832463e-07	7.72159577091118e-05
CXCR3	4.83566017748236	0.911605194726313	0.214496088464115	6.86282230331248e-07	7.99925914913219e-05
YBX1	81.2444706873063	-0.238540947986198	0.0512629019049683	8.40568037110093e-07	9.63431065201018e-05
EMP3	55.6528844744538	0.375847637295904	0.0851287935108457	8.63504448780669e-07	9.73495097420436e-05
SIT1	8.3586118376114	0.659696708367503	0.156143119566921	9.71690542415439e-07	0.000106068505717317
IL32	200.147161315791	0.324192438266229	0.0724679809716681	9.65392602007067e-07	0.000106068505717317
PTPRCAP	13.4316647244366	-0.68930065866699	0.159258192790858	1.01021910645956e-06	0.000108551199923788
BCL2	19.809863252617	-0.445358789970262	0.100745692587028	1.03796444902607e-06	0.000109816638706958
PDE3B	20.0386950762779	-0.492227233171743	0.111984956631028	1.1204034540885e-06	0.000115000217220397
LDHB	140.649902702122	0.166040222851204	0.0354293057050218	1.11011355241521e-06	0.000115000217220397
LAT	30.9835890381843	0.363013695648315	0.0827004229623598	1.15429116434171e-06	0.000116736181429088
RAB5IF	7.20419040153887	0.503044292802724	0.117695148910736	1.24839644311448e-06	0.000124423512163743
DYNLL1	8.97842544831417	0.689122506321148	0.165813429584382	1.32721654958014e-06	0.000130389545878038
CD55	21.4490082460669	-0.525242288516543	0.122809294248839	1.71770039798749e-06	0.000164064244957778
PET100	16.1826307356292	-0.402256617765044	0.0929712682125417	1.69936679726004e-06	0.000164064244957778
CCL5	78.5441297395128	1.08042329511255	0.262989063980511	1.74430504722351e-06	0.00016432309328433
SH3BGRL3	158.33544180975	0.217483245430674	0.0483943378542482	1.86058851166201e-06	0.00017290901614459
NDUFA13	5.50396207945609	-0.768903093144018	0.183649144174759	2.01671628725589e-06	0.000184919438766117
STK17B	35.4494144238713	-0.415807379087817	0.0985214783500947	2.1984579156171e-06	0.00019893151428551
PSMA5	12.2605997080099	0.475899601447004	0.115539901397554	2.34530174320716e-06	0.000209462858286177
TMEM59	19.5135825928198	0.348283347413677	0.0831897131087225	2.83091019465528e-06	0.000249591915495441
CCT8	14.8762447647798	0.395437272856044	0.0955602612483763	3.09198226928113e-06	0.000269159013491725
CD82	4.8110042862997	0.819621303343389	0.211141883233615	3.21540956902726e-06	0.000276404645077506
TSPAN32	13.5281466198932	-0.505273490173844	0.123439031627431	3.42582853824341e-06	0.000290857072314814
ILK	4.80603963479422	0.687444655517135	0.175680277424803	3.57282588906231e-06	0.00029963809315953
GBP2	10.5293526634229	0.448236628145063	0.110846149201412	3.8008417517746e-06	0.000314920346107879
RPS14	1129.15597650228	-0.126052808885863	0.0282509163735131	4.03194356490903e-06	0.00033009137971285
GDI2	17.8324803428841	0.313803862573784	0.0754947958384912	4.09681315750548e-06	0.00033145628334312
CALM1	105.767883635364	0.183882615566648	0.0421777925218646	4.23932274021887e-06	0.000338997935866107
PAG1	14.2977809636998	0.35907427660839	0.0881368671694444	4.37551186927274e-06	0.000345866610632053
GADD45A	2.12681096177661	-1.43070452111934	0.365175221273252	4.44296686957796e-06	0.000347207763205541
ANXA6	21.2996940024138	0.351160863190464	0.0859493220526205	4.57146911740004e-06	0.000353235877756855
RPL22	401.684945800756	-0.154581676731537	0.0346207875691532	4.62739975206998e-06	0.000353584756610948
FBXO32	7.06793791321029	-0.763634872158867	0.194703425096461	5.19738814937765e-06	0.000392774047288682
ECI2	4.62251802055843	0.584421525218015	0.149916740225927	5.34740005720778e-06	0.000399718154276282
GSTK1	64.4357664975321	0.280393694007382	0.0682196440054195	5.63187688964197e-06	0.000416456100753417
RPL32	1455.52941993427	-0.107720698992835	0.0240974595258236	5.74043736779678e-06	0.000419967955088707
SUMO2	48.2194274304061	0.233851617715062	0.0559316982909911	6.13294832708906e-06	0.000443960901530437
CTSC	8.05988278863517	0.521439629481418	0.135485797010207	6.24802806589213e-06	0.00044758009384521
RPL26	313.599600622248	-0.312415899735169	0.0768187629435452	6.48490377338504e-06	0.000459759621129576
CERS2	4.18426662965438	0.623540422123529	0.163312707637757	6.86114645843005e-06	0.000481470450965545
TAF1D	19.8536460043783	-0.343645897606704	0.0853677196237315	7.51879552178934e-06	0.000511948087161835
LAG3	2.34943384488714	1.12651608624492	0.301976547128915	7.48360153847869e-06	0.000511948087161835
PPP2R5C	19.6832977558349	0.401278148688341	0.102582945873381	7.40232383218031e-06	0.000511948087161835
TAP1	12.6521651767964	0.459404006310598	0.119821640599469	8.03934980507017e-06	0.00053676319038318
CD300A	1.60557353424432	1.14553082269539	0.305288157418849	8.00737950463267e-06	0.00053676319038318
ATP5ME	22.603142123496	-0.403931119681929	0.102041800995648	8.73210251244904e-06	0.000577410278635693
ATP5F1E	132.170949288288	-0.204638664685834	0.0492709086520171	9.8410308440763e-06	0.000644540658235359
RPL17	70.1875484490111	-0.314323150455456	0.0794617548659411	9.98880383473377e-06	0.000648047207277963
TNIP1	7.79693558693624	0.448278149146262	0.118545942174531	1.06651997442179e-05	0.000685463351784917
SOD1	38.1232096428657	0.273955722755245	0.0689989210862121	1.09072649404068e-05	0.000690809898967251
WRB	1.51707520207899	1.02482634863478	0.273204509428839	1.09492916951331e-05	0.000690809898967251
CNN2	43.0542494238188	0.226311047558325	0.055502430047262	1.1553334193362e-05	0.000722293447706824
CACYBP	9.97834647326155	0.398554715163707	0.104840496920045	1.17566937907445e-05	0.000728385434224775
ALOX5AP	10.8303818219616	0.625947947909399	0.173035116247312	1.21049059520027e-05	0.000743262841356451
TUFM	19.6759340840747	-0.341883239881141	0.0877154687337255	1.22140599985663e-05	0.000743328235487967
DEXI	3.20872584640821	0.640259570562095	0.174294362783865	1.2555971581447e-05	0.00075743347864571
SNX3	17.8188647378057	0.318163446621765	0.081869280050657	1.2671288412957e-05	0.000757743047094827
SRSF5	70.9934571215254	0.231112495275419	0.057530115669562	1.2898763083672e-05	0.000764696497641488
SELENOT	10.1108969764533	0.43773404884715	0.117788480803891	1.33431209981186e-05	0.000784279000889417
S100B	15.9048862546437	-1.06145799383776	0.293141809114498	1.40383570271923e-05	0.000818150688779673
ETFA	5.96824802379277	0.464356500533843	0.125557493656165	1.44554339584805e-05	0.000835378313718241
CFL1	137.942265186972	0.149036334451879	0.0358042627182595	1.47154234267924e-05	0.000843316390883759
GPR174	7.06171820007536	0.492667472126982	0.134808566025915	1.49482615467924e-05	0.00084454411888946
ECH1	3.71587381303627	-0.72241833485693	0.195952038950175	1.51052677945912e-05	0.00084454411888946
NDUFA3	23.876750197664	-0.352348731218753	0.0918555202516075	1.50667957578191e-05	0.00084454411888946
CAPN2	12.1297859056633	0.40364789105363	0.109100124103518	1.54242874301755e-05	0.000855426005300943
HSD17B11	7.45653362009855	0.824783125724377	0.231125298920507	1.56720144989949e-05	0.000862211549676703
GYPC	45.2698900913279	-0.266678465802536	0.0674800297393872	1.61413813230252e-05	0.00087404944376728
RPL12	731.649761947702	-0.14932845467721	0.0358306073599325	1.60378018510854e-05	0.00087404944376728
SSBP1	19.9719871708178	0.280323100088907	0.0728124334167568	1.75622899800789e-05	0.000941015940690442
NKG7	16.7783244977343	0.729809028761574	0.206699617153066	1.76517458701566e-05	0.000941015940690442
RASSF7	5.25994406200891	0.566686283865571	0.158194603866112	1.78595188353966e-05	0.00094476854639248
ACTB	678.478261623988	0.183664689679746	0.045302591540167	1.84434533254746e-05	0.000968210904727394
ITGAL	7.86335845758659	0.4223418917529	0.115450303273465	1.86772184211091e-05	0.000973054780923993
