""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MTRNR2L8	7.02983396179586	-2.21727289171253	0.269798971837172	3.59631695784714e-18	2.76556774058445e-14
TMA7	67.0711414963606	-0.408961912161632	0.0508918413946986	7.16609754375947e-17	2.75536450557552e-13
RPS29	92.2656249335793	-0.71996214749412	0.0914798876090555	1.83008904781945e-16	4.69112825924387e-13
RPS21	166.284507829558	-0.453824741284053	0.0600812833940278	2.7892189032763e-15	5.36227334154868e-12
NDUFB1	13.5685007464575	-0.663450382019072	0.0938019589777783	6.81663875531729e-14	1.0483990405678e-10
RPL38	55.9006609444679	-0.445682403274681	0.0630259510395118	1.1247437252318e-13	1.4415465411721e-10
RPL37	210.644651061495	-0.340838181419523	0.0490363692077788	3.11050588093975e-13	3.41711288920381e-10
EIF4A1	6.29700440331967	-0.991087553481053	0.146136967576156	4.62682218688144e-13	4.44753282713978e-10
NDUFA13	4.70908015323388	-0.944896932617333	0.150302877602546	1.94792115178254e-11	1.66439040635641e-08
ATP5ME	15.4568101548152	-0.580661732823922	0.0931833513315854	2.3196066311059e-11	1.78377749932044e-08
MZT2A	14.8270347460904	-0.510129840902688	0.0817905288959682	3.05489898625467e-11	2.13565210948167e-08
UQCRQ	23.9221156741424	-0.371854525926904	0.0604648816211766	6.06414989266659e-11	3.88610938955051e-08
RPL36	127.763354887794	-0.320461788840285	0.0529320913454139	1.347991801917e-10	7.97388996672439e-08
MRPS24	2.90345682230131	-0.981443867854578	0.167621477618153	2.84721038960816e-10	1.56393199257763e-07
C17orf49	5.7714007055508	-0.771218140616394	0.13520305393533	6.13164718999789e-10	3.14349112607225e-07
NME2	14.0419761492549	-0.74959146908992	0.131313159264528	7.02529141054389e-10	3.17791123218133e-07
NDUFA3	12.3300185629207	-0.518568506412719	0.090933702968643	6.89157860848804e-10	3.17791123218133e-07
ATP5F1E	94.6885222848567	-0.29305370842414	0.0514609634756985	1.05728461449017e-09	4.51695482523855e-07
RPL37A	125.492140743834	-0.268547568793938	0.0473257652057822	1.49254336395592e-09	6.04087287832686e-07
RPL36A	29.6522038790969	-0.602401844248827	0.110957462169469	3.09551160962348e-09	1.1583895721746e-06
RPS17	6.67763053275995	-0.786244036734572	0.14474118206577	3.163352537798e-09	1.1583895721746e-06
RPS28	197.50540478591	-0.256045067040569	0.0479473852347371	1.10073580931984e-08	3.84757198803163e-06
HSD17B11	2.55082681096693	1.08545167606219	0.216086566699251	1.28286265705376e-08	4.28922340554061e-06
CSNK2B	2.29634456032978	-0.954196979327778	0.187297262064717	1.60432604915026e-08	5.1405280491523e-06
CRIP1	15.0366025346188	-0.589248387989005	0.115858699780919	1.98513013213448e-08	6.10626028644566e-06
ARPC1B	14.5929532319802	-0.590248805320452	0.116010042676302	2.22069548240407e-08	6.56813394603358e-06
RPS27	250.798144087286	-0.27988554709241	0.0558089731790856	4.2821875316068e-08	1.2196304488169e-05
PTPRCAP	7.11867990188196	-0.801041455008466	0.170527211340137	1.18006378440718e-07	3.24096089360402e-05
NBEAL1	2.33992953940219	-0.989053538672321	0.214030281837971	1.92911399256896e-07	5.11547813891561e-05
BOLA2B	1.02784233139967	-1.34583322041878	0.296866865423	2.37776567638234e-07	6.09500601712674e-05
COX7C	49.7690547233642	-0.180657328323895	0.0390573671514314	7.20058029623915e-07	0.000178620846703481
CDK11B	3.20339935487515	-0.6122698518677	0.140618763329025	7.57626849158688e-07	0.000182067202188447
EEF1G	1.35843207781989	-1.06716467173176	0.250854662189959	1.24684254595237e-06	0.000282006446422756
BOLA2-SMG1P6	2.20639856099738	-0.766284464974492	0.181508261269474	1.21967634011851e-06	0.000282006446422756
RPL34	174.677098978399	-0.245603633799944	0.056377791844803	1.38038418869885e-06	0.000303290126031263
RPL39	223.104504509337	-0.236890028868804	0.054511802826743	1.52392447247687e-06	0.000325527199815199
OSTF1	15.2353445814079	0.385470067217329	0.0919852462869044	1.76597004223787e-06	0.000367035395265114
NDUFA9	1.53063392714717	-0.993135431310006	0.242879618939711	1.93340939483101e-06	0.000391261006480275
TRAPPC5	0.902293018887551	-1.12061463752069	0.274350500893741	2.23388929624249e-06	0.000440477145848839
PSPH	1.14385722605282	-1.3629055086023	0.341476942297315	3.64353952528471e-06	0.000700470473735986
SNHG8	6.34681214953777	-0.499609219860752	0.125837932139305	3.88323113448621e-06	0.000711001129147594
PSMA2	1.05138005072338	-1.04635330409361	0.269988386211526	3.80070546064937e-06	0.000711001129147594
RPL26	71.9461661607959	-0.339394143543237	0.0858479472451368	5.18963843560267e-06	0.000928100455111269
STK11	0.863596423349863	-1.16263462816865	0.308626728364038	6.03646100208812e-06	0.0010550087524104
RCBTB2	1.10841697207185	1.07921879224686	0.281471420093959	6.51377516558748e-06	0.00111313180051928
ELOB	36.1464985647303	-0.184922496184266	0.0448989905210239	6.81027747208612e-06	0.00111427731404984
PET100	10.8098200789832	-0.405144437992093	0.105762423646245	6.7251992859687e-06	0.00111427731404984
ATP5PO	2.52312833548373	-0.690126865669382	0.184422869142556	7.554878064923e-06	0.00121035442331787
RPS10	3.96981934464745	-0.756325483291067	0.20335837947422	7.73941899773304e-06	0.00121461494066463
UBE2V1	1.54849903312573	-0.823970192639887	0.220774436967343	8.8242273379945e-06	0.00135716616458355
CHURC1	4.0823233165397	-0.541025338748546	0.14921326010839	1.33931174077009e-05	0.00195333030875908
ROMO1	16.8425392863206	-0.302689493642292	0.0805736956313247	1.33433788605977e-05	0.00195333030875908
COPE	15.5644246534896	-0.268629496982661	0.070372181478226	1.34624845727219e-05	0.00195333030875908
MRPL23	3.31009794205976	-0.756954353126727	0.210901887762926	1.52407371765596e-05	0.00217039386829154
PRDX4	3.04994199962113	0.552259680079892	0.15321638033943	1.71986816458423e-05	0.0024046883973914
ACOT9	1.82857262673281	0.717400022957834	0.202128530062296	1.94897965903346e-05	0.00266575137219293
SFMBT2	0.976461158466001	-0.955355870713238	0.275351072734769	1.97591454115731e-05	0.00266575137219293
ACTR3	30.8475855222889	0.270050485880002	0.0734244521648633	2.13974214592388e-05	0.00283700294864735
DUSP2	10.7673577441292	-0.960208905086174	0.285604980516465	2.31279412390292e-05	0.00301447234115483
MT2A	59.8724276438523	-0.489044996315991	0.142407063507113	2.70823509423696e-05	0.00347105464578037
DDIT4	4.87204459709299	-0.998268397184489	0.304576695074202	3.06482215494279e-05	0.0037243044740108
RPS26	140.089073415542	0.341177530198301	0.0969367562367828	3.05759333814961e-05	0.0037243044740108
AMFR	1.01165960360422	-0.881376737365484	0.261136808105342	3.0995511877333e-05	0.0037243044740108
JOSD1	1.69884261642827	-0.725101488556055	0.216360522703545	3.03606081599228e-05	0.0037243044740108
COMMD7	0.79514745861556	-0.964054427174098	0.292451704214001	3.49542625914241e-05	0.00413535814350848
RPL17	17.2261592396295	-0.281569807446308	0.0801165851145542	3.94068234689699e-05	0.00459149200721785
