""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS28	181.358142048909	-0.455187356882702	0.0435857021203745	2.55288333931944e-26	1.56798094701e-22
GNLY	188.614572576959	-1.2742558403573	0.148915537016384	3.09705669458133e-19	9.51106110905927e-16
RPL34	220.424424404491	-0.326521940377542	0.0386183766175419	5.36061103167904e-18	1.09749576521909e-14
ANXA2	7.51262276709878	0.89639229746795	0.109296028086548	1.83806905919912e-17	2.82235504040024e-14
RPS21	124.225476600623	-0.486028578108747	0.0593872649228394	3.0927833486806e-17	3.79917506551925e-14
RPL36	99.9688938238608	-0.351260050798102	0.0449205282516687	1.19870984369428e-15	1.22707930999504e-12
OXNAD1	1.88290746133071	-1.89499278281709	0.257974885117442	3.5989813703958e-15	3.15784908242443e-12
RPL14	122.350436235237	-0.311426168305617	0.0412572246377181	6.93316889276208e-15	5.32294041741809e-12
GPR174	3.6119624129678	1.03325447988236	0.140328753694927	1.46163151421454e-14	9.97482306700636e-12
RPL38	47.4001442579672	-0.464820051130308	0.0628267300094479	1.89825384569967e-14	1.16590751202874e-11
RPS27	385.471122865739	-0.294069577626943	0.0394599909996824	2.71008686602784e-14	1.51321395737663e-11
RPS29	96.7083728553265	-0.586435314205225	0.0805561223940988	3.14795334297041e-14	1.61122745271035e-11
ARPC3	26.2449477694846	0.443573959069691	0.0603533892219943	3.82185671630636e-14	1.80568030396567e-11
SPOCK2	7.38097807281577	-1.34185063646547	0.195466954351028	7.48580749954051e-14	3.22773595804939e-11
CISD3	4.84500198769505	0.836469340632022	0.115721555882408	7.88278075069047e-14	3.22773595804939e-11
AUTS2	1.77214279807423	-1.90883760407431	0.285373237801905	1.56940987742403e-13	6.02457216696148e-11
RPL41	435.116431655679	-0.208610789171868	0.0288426652054467	1.90290023531267e-13	6.87506661487671e-11
P2RY8	5.28773396816596	-1.19869373788505	0.18169911174412	3.54402428595662e-13	1.20929984246364e-10
GSTP1	14.3318499274627	0.633645453546611	0.090455066565681	4.03760101427584e-13	1.3052076541938e-10
RPL36AL	40.8094995156071	-0.350036032881036	0.0501274660378891	5.06364011423626e-13	1.55504387908195e-10
CYB561	0.908443176224769	-2.53737081817855	0.397932199515972	1.64376752700559e-12	4.80762864327063e-10
CEBPD	1.77137366636847	-1.66309656407461	0.25663092089222	2.20862008264553e-12	6.16606570345857e-10
MTRNR2L8	3.43878095491928	-2.28556553421133	0.357987111271551	3.00328140941974e-12	8.02006713767654e-10
RPL37A	94.0727835736153	-0.240841342117061	0.0356871085050777	7.28365797857377e-12	1.86400947101667e-09
TOX	2.76875700385922	1.17464477457841	0.180477730748799	8.26596945798383e-12	2.03078337643747e-09
RPS23	181.352529959922	-0.231201686319187	0.0350244414834371	1.63018219055498e-11	3.85099192861102e-09
LINC01871	4.4752365597768	-0.942773197564571	0.153370936629185	4.62836460643742e-11	1.05286723750884e-08
ZFP36L2	50.2647154524837	-0.769927478295003	0.126754232871238	5.2290713210645e-11	1.14703414478494e-08
HSPB11	3.42980922289785	0.791624331844544	0.128217590740523	5.78093130926919e-11	1.19825704513401e-08
RPL36A	26.2385205520698	-0.687356498369276	0.11362849019469	5.85276967665588e-11	1.19825704513401e-08
RPS14	205.074410880267	-0.26216759504842	0.0405918302113084	7.09498942288929e-11	1.36179453235581e-08
RPL30	242.594546145384	-0.21415169645145	0.0335487944287497	6.90245302651729e-11	1.36179453235581e-08
CHI3L2	1.64860806569657	1.78932051190019	0.283556976725917	7.97078189107572e-11	1.48353158712082e-08
IL32	112.127637360956	0.448135230171382	0.0731034084934943	1.23090888227283e-10	2.22360069262345e-08
CFL1	71.3275247936402	0.352629269286407	0.0570632507588579	2.10363404532833e-10	3.69157723040189e-08
PTTG1	1.07044540994783	1.37171299712553	0.226278879548241	2.8578900980539e-10	4.84314415182443e-08
MT-ND3	193.143089465088	-0.496555557786411	0.083465356838857	2.91755671796652e-10	4.84314415182443e-08
GCSAM	1.03145155714233	1.89858608827975	0.310006011841283	3.0447036569759e-10	4.92120259503842e-08
TMSB4X	358.5921940038	0.263712908281312	0.0431164635549135	3.12651494582696e-10	4.92386020442799e-08
JPT1	4.06418443765681	0.765076611311582	0.130875742240806	4.85729183023725e-10	7.4583716053293e-08
RHOB	2.24801905279045	1.55704361424648	0.26402179709275	5.18510446870536e-10	7.76753942604593e-08
CD52	78.3525926652359	-0.685393755053874	0.120465965349242	6.03778675271291e-10	8.7293227239183e-08
KIR3DL1	2.28498468623407	2.76822382860455	0.453206541413224	6.11137865725312e-10	8.7293227239183e-08
KDELR2	4.00206671569951	0.786018195757473	0.135388382535762	7.13885647375213e-10	9.96519465040582e-08
CIB1	9.21437020292752	0.604988732795982	0.104342452137716	7.38308403751597e-10	1.00770893685385e-07
CD3D	32.4473550244691	0.537031350583129	0.0923244542106582	9.32540798574967e-10	1.24514469235814e-07
ERN1	3.66007980873627	-0.957878468529363	0.172747288510859	1.05362462899562e-09	1.3768856321896e-07
FCGR3A	15.301303602162	0.952696132721888	0.166746545588088	1.11169130934369e-09	1.39347102489571e-07
SATB1	1.96249616190365	-1.38196030565529	0.258524614184355	1.10274424706331e-09	1.39347102489571e-07
