""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MTRNR2L8	10.9708814134508	-2.36052987036614	0.279325918501774	2.12631693264411e-19	1.22475855320301e-15
CD302	11.4994465337199	-0.52816142554614	0.0833691889631269	1.53981905934788e-11	4.4346788909219e-08
CEBPD	86.1400370543909	-0.562217267558903	0.0956210052647187	1.86151418280667e-10	2.68058042324161e-07
TPM4	14.6249791464408	-0.566007732955939	0.096046706737761	1.4476782320423e-10	2.68058042324161e-07
F13A1	4.69062357509603	-1.29596895445239	0.238222252948207	4.46052583159448e-10	5.13852575799684e-07
KCTD12	16.7573686638995	-0.495965409854264	0.086562493874363	5.79766056925932e-10	5.56575414648895e-07
EFHD2	37.7641285912579	-0.364327876859215	0.0667526166824913	2.776424710122e-09	2.28460090432896e-06
ATP5ME	28.2560274526306	-0.51615814329974	0.0962991244662975	4.62422756797592e-09	3.32944384894266e-06
TMA7	73.0615654800979	-0.308684762330937	0.0593835248872937	1.38291948711834e-08	7.32966328073911e-06
LST1	140.876477777204	0.266771321765424	0.0503821364721289	1.52701318348731e-08	7.32966328073911e-06
PTPRE	24.9115139878396	-0.53927758031804	0.106376848186644	1.48565622105667e-08	7.32966328073911e-06
RPS26	177.654077131345	0.807632807415758	0.155413085239252	1.23166469397892e-08	7.32966328073911e-06
TAF10	10.8551523768229	-0.670510136927468	0.132465848652763	1.66597271237971e-08	7.38154063331317e-06
YBX3	19.381103349387	-0.348586292671286	0.0676621015913249	1.95294135319908e-08	7.49929479628445e-06
ID1	7.53364892946576	-1.30673594801297	0.263372853745015	1.88203992218739e-08	7.49929479628445e-06
MCL1	55.623386861985	-0.501920814980275	0.100648598353685	2.5521865423249e-08	9.18787155236964e-06
SMAP2	21.4855992030548	-0.418730129074586	0.0836758599506116	3.89493848899967e-08	1.3196968056846e-05
AHR	7.83358982753001	-0.789514821802024	0.163626944671634	4.50929806937665e-08	1.35424658556114e-05
BRI3	41.6967677344319	-0.380442920145232	0.0763859995466522	4.24819915644648e-08	1.35424658556114e-05
CYBA	197.473125503651	0.199639680750404	0.0387772631645773	4.70224508875395e-08	1.35424658556114e-05
PER1	10.4766719839985	-0.919969676224995	0.193041755341826	5.02465677484437e-08	1.37819157252874e-05
MYL6	145.803669286413	0.177244923507759	0.0345540923954919	6.42367767565751e-08	1.68183560962669e-05
