""	baseMean	log2FoldChange	lfcSE	pvalue	padj
TMSB4X	292.912581882226	0.297685998325603	0.0488523041488656	1.17850530720735e-10	3.88906751378426e-07
MTRNR2L8	4.38743708292794	-2.41821581797311	0.420627143907378	4.8095078146043e-10	7.93568789409709e-07
TOB1	4.07882876544098	-1.38577572255769	0.310129903224904	1.11091976274187e-07	0.000122201173901605
RPL37	217.399003222035	-0.233563881960734	0.048018089593796	1.88121118403124e-07	0.000124159938146062
RBM38	5.93807637687242	-1.28261613878079	0.274409552623254	1.66643415076677e-07	0.000124159938146062
NBEAL1	2.25557528495211	-1.36169292593295	0.31298363866616	5.66582801424474e-07	0.000241197273915247
KLF6	16.4121131686697	0.670856624936233	0.152791205110102	5.34513439636968e-07	0.000241197273915247
HSH2D	1.77435928426091	-1.29801597386085	0.297967178545036	5.84720664036962e-07	0.000241197273915247
RPS29	105.196166675126	-0.452240545679622	0.102828316875527	6.60941892980205e-07	0.000242345360759408
ZFP36L2	101.604675048175	-0.650325282666067	0.150925492524271	8.44651355709262e-07	0.000278734947384056
TPM4	3.45441729322215	-0.90996320265049	0.217918928473639	1.28029811053004e-06	0.000384089433159011
LITAF	14.474487292913	-0.641774067543089	0.158896897917147	2.46447529073479e-06	0.000677730704952068
ARHGAP15	8.78641533669149	0.56964272050905	0.147473081109418	3.86358725054291e-06	0.000980756763599354
AUTS2	2.11551469906487	-1.11886413580874	0.293065628938232	4.31858969687601e-06	0.0010179532856922
HLA-B	263.894353181216	0.315243685357655	0.0783088304945247	5.42903002142616e-06	0.00119438660471376
GBP5	11.0587780739337	0.565606397271481	0.144780277723857	6.55549696403374e-06	0.00135207124883196
PTPRCAP	4.42014416686195	-0.832166340844448	0.22286686987595	7.52195305050381e-06	0.00146014382745074
MYL12A	53.0213832643997	0.283491907374789	0.0719582884189451	8.1786299412379e-06	0.00149941548922695
FAM177A1	3.43930361788809	-1.0106466855339	0.274298047218085	9.21806197224772e-06	0.00152098022542087
C18orf32	2.51269314112691	-0.847745646127179	0.226874974510655	8.97110576177865e-06	0.00152098022542087
NR4A2	6.60344164896454	-1.2174939797789	0.329571477934556	1.33576658125846e-05	0.00200364987188769
PFN1	93.6039920764926	0.219284245652165	0.0552465094210449	1.32741756799472e-05	0.00200364987188769
RPL34	304.553262990086	-0.156224317158798	0.0387162728881047	1.69698362831345e-05	0.00243480259714539
NPDC1	1.64720855987198	-1.22476220902674	0.373692989121413	1.83079993944157e-05	0.00251734991673216
TMA7	34.9139419028821	-0.258121904651584	0.0683633853638965	1.96786179674628e-05	0.00259757757170509
RPS26	144.569778998505	0.811601826087459	0.230954598598563	2.18445531485005e-05	0.00277257789961737
S100A11	11.9017477610362	0.590176645976149	0.175755185366283	2.53090197694173e-05	0.00301657537363563
ATP5ME	7.89729865255279	-0.517465528172614	0.149546191555781	2.55951849884235e-05	0.00301657537363563
GSTK1	13.9175757716091	0.332985306246076	0.0920494567515577	2.65653252326181e-05	0.0030229508023324
TLE1	1.84084905499467	-1.244029818362	0.367679209593392	3.14778948597668e-05	0.00346256843457435
TGFB1	12.3646102234624	-0.518515971126944	0.154014010606516	3.49013965155785e-05	0.00367742317434908
COL6A2	2.19777290594241	-0.963940441279133	0.292998725776147	3.56598610845972e-05	0.00367742317434908
DUSP2	61.2477393194619	-0.48067198860095	0.142812660709713	4.77467579726075e-05	0.00477467579726075
LINC01871	7.72454111891882	-0.640052449507808	0.197372072609062	5.26145379873917e-05	0.00510670515759978
ZNF331	3.0012354472324	-1.40653697452806	0.428741961685925	5.44197306680016e-05	0.00513100317726873
SMAP2	4.14003368095331	-0.665182732728715	0.212532853111057	6.65615206028658e-05	0.00593656805376911
MUC20-OT1	2.11104273723166	0.760215546080648	0.233851383439754	6.53029440242936e-05	0.00593656805376911
TAF10	3.07657506696486	-0.867438674560705	0.286030034468659	7.97039141481377e-05	0.00692165570233827
METAP2	2.88136753538256	-0.727989427040152	0.235273991400428	8.30265457509153e-05	0.00702532310200053
TOMM5	5.13222912085544	-0.49479197181638	0.157108912064499	9.48961875852455e-05	0.00782893547578275
GNAS	7.60122815993133	-0.441500573966859	0.139562299091806	9.73879634511452e-05	0.00783854339972632
SRGN	35.7303620404026	-0.389912712885115	0.12453489693158	0.000113966352640876	0.00874625497011375
KLRC1	3.1722439883733	1.09976606935259	0.39440974364893	0.000112342345756144	0.00874625497011375
ZFP36	38.865221643025	-0.744143418921235	0.24914879716172	0.000117685480349964	0.00882641102624727
SIRPG	2.75993479408081	0.629584723057153	0.208905894721762	0.000132260159767	0.00969907838291337
SLC7A5	2.57973485958043	-1.10303443123944	0.378095294793655	0.000137088208127473	0.00983458884392744
RPL21	96.9259296903055	0.61320964952801	0.205875874940477	0.000146683214541425	0.0102990342124831
EIF1AX	5.08195348291776	-0.492409238208385	0.166334330306346	0.000160586383540194	0.0110403138683883
RPL35A	172.335768710377	-0.133811314324208	0.0381435888627275	0.000182267981781035	0.0122751906097432
LINC01644	1.76785700120866	-0.89173977726281	0.32622067188663	0.000189769761637632	0.0125248042680837
DDIT4	15.1400785035537	-0.496908692671464	0.173559402851803	0.000213262583353912	0.0137993436287825
MAP3K8	8.39620087676857	-0.668305906778262	0.233213676556242	0.000245351964215862	0.015570413113699
SH3GLB1	2.93118997956839	-0.577056405819283	0.206254116717778	0.00025810208674649	0.016070507287989
TRBC1	10.4811009623736	0.526206907154357	0.18757686380569	0.000271750173364934	0.0163050104018961
BRD7	2.26090298031711	-0.691573062701186	0.253585286761742	0.000270515649805968	0.0163050104018961
CTBP1	2.30853220239356	-0.64419539631333	0.234943431909779	0.000280173928359513	0.016510249349757
CSNK1D	2.40240883397391	-0.744627421048534	0.27390290399544	0.000285453726408299	0.0165262683710068
WDR33	2.91752730810397	-0.59052695542563	0.21581200865693	0.000295836309837731	0.0166286784191055
ANXA2	6.67558692923917	0.499522985447321	0.187519496069021	0.000297300614159766	0.0166286784191055
FTH1	84.8533129713599	-0.410650602402105	0.146832308465644	0.000307070913488363	0.0166962408370768
C16orf54	1.72101232821017	0.827958893776336	0.298024586083797	0.000313686949060231	0.0166962408370768
GNA13	2.36043793190633	-0.706580330033003	0.268787927821704	0.000310005083946018	0.0166962408370768
RPL36	133.88327151161	-0.147153991580003	0.0444511233936174	0.000330183240202002	0.0172953125820096
LTB	63.3269484046978	0.397068732161285	0.143794865586199	0.00034062975701065	0.0175637218458617
TRGC1	2.44159767552042	-0.795393869321804	0.315877377217431	0.000349178668801388	0.0177275324160705
AREG	1.51386025654729	-1.26236300887871	0.457025459056371	0.000366615649923726	0.0180571887275865
