""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS29	132.748304760503	-0.635912357909556	0.086232989132763	1.03396013240017e-14	3.27144985891413e-11
RPS28	294.148854936555	-0.312361874922562	0.0438125900930759	1.23386706171044e-13	1.95197769162591e-10
RPL37A	138.175764123469	-0.297511168188127	0.0448964981109041	4.71867859746388e-12	4.97663302745857e-09
RPL38	71.5188581939295	-0.389733008335862	0.0625216276937622	4.20052609318332e-11	3.322616139708e-08
RPS27	529.695051748675	-0.279712336154681	0.0446929840693768	5.80720964931498e-11	3.67480226608652e-08
MTRNR2L8	6.85878964281294	-2.0097040696068	0.34936117017682	2.00262142260513e-10	1.05604903018711e-07
RPS21	198.571168290602	-0.376594612924641	0.0640387245247996	3.81167646180974e-10	1.722877760738e-07
RPL37	285.119708546341	-0.248204486004825	0.0427519872289713	1.11391531222959e-09	4.40553505986802e-07
EZR	19.478559022488	-0.625213190424246	0.112772484706316	1.68248997184899e-09	5.53716577190912e-07
RPS26	138.784690242986	1.16535038562319	0.210961837811859	1.75005239314447e-09	5.53716577190912e-07
SMAP2	9.09515766909004	-0.621257875802503	0.116355039792597	5.97371573550288e-09	1.71825787155737e-06
NME2	8.63333939258934	-0.846745741527146	0.166953457975087	1.66936218166729e-08	4.40155161899609e-06
MYL12A	35.808297250693	0.36666267872321	0.0705729578654162	1.89669314928238e-08	4.61625932640727e-06
RPL36A	35.9876890781323	-0.647368272987552	0.128468511855704	2.26479336685752e-08	5.11843300909799e-06
LCK	3.91557029860015	1.03265822527765	0.20491059630389	2.68441522178658e-08	5.66232650782183e-06
HLA-DRB1	113.798941070913	-0.519270228424709	0.103393974207683	3.0659680695454e-08	5.90352790108788e-06
IGHG3	4.47354424859445	-1.89018004342085	0.390182985580127	3.17193344875139e-08	5.90352790108788e-06
ARHGAP24	6.33499964044817	-0.813999739259387	0.165471852338979	4.2831097245342e-08	7.13250482548747e-06
HLA-DQA1	51.1173423705456	-0.529043820861397	0.10704496342158	4.22185178714834e-08	7.13250482548747e-06
S100A4	37.7139824908522	0.759783674346104	0.156481054859476	7.14165277989466e-08	1.12980946977934e-05
PELI1	4.9417685880775	-1.19791624496617	0.253533968777323	8.10391990391579e-08	1.22099059885665e-05
RPSA	138.989239673224	0.20901069275397	0.0411443525661949	9.80950278273758e-08	1.41078485475371e-05
RPL36	166.877717597217	-0.226078998570486	0.0454712302920078	1.30619120194906e-07	1.79686476650731e-05
MAP3K8	6.54978834522292	-0.926464289387116	0.200350721628595	1.42517097006785e-07	1.87885039553945e-05
REL	9.76807471383113	-0.453550788706187	0.1005473161027	4.6292892797913e-07	5.85882851250387e-05
LDHB	17.3837411675807	0.403676314091876	0.0891688115369203	5.45438938030807e-07	6.63757230742105e-05
USF2	6.00799926473352	-0.797325972716577	0.1860026492716	5.73896707165765e-07	6.72521919063882e-05
HERPUD1	8.95066688816671	-0.639294547288106	0.148583666269487	7.0844821450793e-07	8.00546482393961e-05
CRIP1	11.957635245896	-0.722666024918392	0.169006395975516	7.99126349698894e-07	8.71874403602517e-05
GIMAP4	2.92004039717208	0.965140971954152	0.223723086015835	8.99292931460575e-07	9.4845427838042e-05
ATP5ME	9.04164113678652	-0.503452572357286	0.11804991033401	1.21961103871031e-06	0.000124479010531594
S100A11	7.59645586891964	0.724513603826348	0.174797110833117	1.98641695314947e-06	0.000196406976242654
CD3D	5.52920074967667	0.877919149705982	0.210834454909563	2.1237796273237e-06	0.00020362541638946
CD83	5.10413461454056	-1.04366430125674	0.272543828443727	3.61162901041861e-06	0.000336093946734249
ATP5F1E	51.0767353689841	-0.270907606120423	0.0647961825785089	3.86404639656839e-06	0.000344451861303418
ZFP36	23.0681159206057	-0.648105138033516	0.166168267056554	3.91917414883787e-06	0.000344451861303418
NDUFA3	7.61420945293139	-0.511335059199754	0.131438971354756	5.7259435272521e-06	0.000489645549195288
TSC22D3	55.3642213868154	-0.520804995417179	0.134983429001384	6.28046874555807e-06	0.000522931660814361
CD74	875.697828785176	-0.286963117671452	0.071079874783844	6.64863013895992e-06	0.000539391429735108
RPS17	4.85113318659929	-0.753852347935125	0.20013799960043	6.9796613028348e-06	0.000552091209054232
LAT	2.70839470952033	0.841894645778032	0.224728567471778	7.73888292554513e-06	0.000597215257961581
GIMAP7	4.0104425727614	0.799321279534763	0.212371363287463	8.65897155393254e-06	0.000652309190396251
ITM2B	19.1606742932434	0.442694137354932	0.114912161076694	8.92819431333743e-06	0.000656948995520922
LINC00861	2.70963882911588	0.801618692393187	0.214585241213011	9.23934856062059e-06	0.000664393155586444
CREBZF	3.45504221465	-0.674657754282205	0.181524097239962	1.02197017203122e-05	0.000718558583179286
SELPLG	2.25265552317109	0.844116852031402	0.231195564338064	1.08552150004135e-05	0.000746650005680615
HLA-DPB1	100.392363504122	-0.421622477389406	0.113636934709253	1.37747707159799e-05	0.000927305841390649
IGHG1	4.28460624560516	-1.08177126060285	0.305071659130379	1.57862167654541e-05	0.00101933856828361
MT-ND3	320.334834264183	-0.350965802443795	0.0936520350794452	1.5714821002011e-05	0.00101933856828361
IL7R	9.70308771034389	1.12889086780823	0.314214384297218	1.87699787923462e-05	0.00118776425797967
TMEM59	6.57852441504842	0.41034541380161	0.112768958358442	2.1426603655061e-05	0.00132928968558065
EVL	14.9296232526082	0.335734759576893	0.0912305024627356	2.35977155988204e-05	0.00143583023374361
S100A8	2.40129541908365	1.77295368583913	0.510875500430856	2.43569113719892e-05	0.0014540616524712
FLT3LG	2.89691964492057	0.741173488564783	0.210137244258609	2.49454801117405e-05	0.00146162035321383
CD55	6.2716282022701	-0.590041056048339	0.173725337896786	3.073925497653e-05	0.00172746933726475
RFTN1	2.4859638242743	-0.848423802209458	0.24992954936581	3.05026760376847e-05	0.00172746933726475
TFEB	2.95924355193231	-0.784587943922828	0.232206482309288	3.17919402456764e-05	0.00172746933726475
TP53INP1	2.2577269736472	-0.774019654872607	0.227310262887567	3.22126077429267e-05	0.00172746933726475
PTPRCAP	6.49577763383101	-0.666742498667057	0.197832435132971	3.1885087793086e-05	0.00172746933726475
TRAC	3.24752790133681	0.747460298606244	0.220382593102668	3.32172887354944e-05	0.00175165835931841
MAT2B	5.85545389731826	0.43406299820793	0.124983099061558	3.71397079146143e-05	0.00192639403019409
HLA-DPA1	105.127286595482	-0.333145088870061	0.0955678415216876	4.38213506576096e-05	0.00223630247549479
TMA7	31.5421368358029	-0.26054685212388	0.0733421042763331	5.29004118635193e-05	0.00265677624025674
RPL26	97.5759530076059	-0.293242239180568	0.084805153627923	6.14435130649372e-05	0.00303761367714783
CREBRF	3.44470828350777	-0.584668098050493	0.18100630435066	6.40053165914176e-05	0.00311558187223454
ATP8A1	2.1767935510994	-0.738757097554318	0.23193664935165	6.78248145049958e-05	0.00320295094169861
RPL41	666.249259559489	-0.105655341376637	0.0273455184408766	6.70723568993509e-05	0.00320295094169861
TAF1D	8.14989899795049	-0.397008360815504	0.120589294383775	7.6464615535622e-05	0.00355785358168688
NDUFB1	5.06597701994278	-0.515813325497874	0.163903648641491	8.3302678358342e-05	0.00380339887557957
SMDT1	11.7827205985868	0.364717128336949	0.111272598028475	8.41459928225568e-05	0.00380339887557957
FYB1	7.42133717524769	0.68377689008117	0.216355474493299	8.58930474426278e-05	0.00382768453673908
PSME1	23.5734083469982	0.258365128568276	0.075541248035789	8.84115846391227e-05	0.00388519796941922
S100A6	29.2129155717861	0.364634850414514	0.112797724324806	9.92226814971811e-05	0.00430055567475453
PTPN1	6.30650013579648	-0.422386245206693	0.132305103462523	0.000100935429384675	0.00431567160233937
BRD7	3.06603458223174	-0.665851987382542	0.21971970240661	0.000110682395928829	0.00466932134291755
CNBP	16.5448175587039	0.242863678317444	0.0723496006636015	0.000132276415742602	0.00550687604486306
BLK	11.0173797350745	-0.392618123309091	0.127047449467146	0.000135321623806539	0.00556048854186868
RPL39	379.361242556952	-0.164432329096837	0.0468431255096979	0.000148640441839337	0.00595314377189447
HNRNPF	7.5737022522752	0.334662125632971	0.10553252207298	0.00014690860182261	0.00595314377189447
