""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS26	44.1315395720901	2.79949827014811	0.35800106699883	9.40425912611412e-16	1.71251558686538e-12
CD83	2.88956688853587	-3.05748989112063	0.577903888941466	5.19663189689669e-09	4.73153334212443e-06
RPL21	33.1832182858285	1.56485991612982	0.320559115643465	4.76853245273237e-08	2.89449919880855e-05
BTG1	26.9964602852229	-0.968236503519667	0.25163232492342	6.18455587256177e-06	0.00281551906098375
MTRNR2L8	2.48285327242154	-3.33243691993708	0.938470888440048	9.6411968540572e-06	0.00351132389424763
CXCR4	14.5719508505441	-1.57045841033707	0.476776020056434	5.08494205840154e-05	0.0154327991472487
HLA-C	32.0193248345756	1.23428733117	0.436769932725746	0.000158098804152699	0.0361038964010857
TSC22D3	16.7738942799518	-1.07421818977175	0.363022268084583	0.000158611296654962	0.0361038964010857
PTPRCAP	2.17503372517828	-2.27296566764673	0.8462276416759	0.000200724958715853	0.0365520149821568
SLC2A3	1.22294605147172	-2.25872478074602	0.843897846608062	0.00019642358982232	0.0365520149821568
ITM2C	2.18975256797602	-1.72209608647066	0.642200398766277	0.00025372649035114	0.0420032671754023
LYZ	2.52575745436115	4.29470759490556	2.35645907460347	0.000349078692234736	0.0490012211428989
NEIL1	1.70987020101885	-2.0571273022785	0.791115894500714	0.00034981651557259	0.0490012211428989
CLEC2D	2.95848619322351	-1.32882862822687	0.558577616652705	0.000603230377231646	0.0784630369242019
S100A8	3.77026463421976	0.057494829306599	0.207570206594523	0.000780584542499444	0.0899464897707385
SNRPA1	1.49197720098521	-1.74747806292289	0.817522744999799	0.000835169128809191	0.0899464897707385
MT-ATP8	31.2528449012674	1.03639909795617	0.474848933432898	0.000839698147228202	0.0899464897707385
FCRLA	5.59195543453122	-1.00721534417871	0.476756097870869	0.00113544945852178	0.10882386652464
CD72	4.78929273118398	-1.17031333658831	0.545709596157818	0.00108057442348939	0.10882386652464
FGR	3.02466617653299	0.149428755920276	0.288145343348721	0.001366476482864	0.118493032156921
WARS	2.56471636437874	2.74772208086499	1.65981598499842	0.00132436873556652	0.118493032156921
RALGPS2	6.59208137260678	-0.822873135871818	0.458519904835016	0.00262658515327498	0.176588564748894
HNRNPH1	2.25273221907567	-1.11914872455556	0.69054371510964	0.00243580159970835	0.176588564748894
RPL36A	8.1420022975027	-0.790246544214841	0.427790913282567	0.0024495841235698	0.176588564748894
IFITM2	10.8667862664798	1.45803496207114	0.88913274166993	0.00224029502696273	0.176588564748894
MS4A1	36.7483689979178	-0.531437565986804	0.250226081175248	0.00281222865333219	0.176588564748894
CD69	8.12671529200718	-1.1633465670871	0.627075333882546	0.00229664792422535	0.176588564748894
PPDPF	10.3007127998952	0.898876821562153	0.472993885907218	0.0027328807113004	0.176588564748894
MT-CO3	125.07929463077	0.416001731244429	0.182950601722957	0.00278965181130318	0.176588564748894
RPL26	29.3623773888938	-0.538265228080093	0.259310176016371	0.00295564462033055	0.179407628454064
S100A9	5.29549012747113	0.0471243636860353	0.203318641908629	0.00309631407869953	0.181883481848769
ELOB	4.27960225597395	1.68907109761492	0.898238108616841	0.00366784151442499	0.202398163568724
FAM129C	8.95730370855888	-0.861747694999943	0.529597767362651	0.003617294407962	0.202398163568724
PTEN	1.36285455373809	-0.299539889399468	0.905575185988942	0.00402310002994459	0.215472504544974
NDUFA4	4.35545143379487	1.26211278783205	0.699892583636522	0.00417064421733325	0.216992660564681
SON	6.67083729304821	-0.65699102463503	0.406735907982053	0.00460702322736669	0.226740251271209
CSTB	4.34066107015323	1.79404080869751	1.00451714033947	0.00457853258533149	0.226740251271209
ATP2A3	2.7147685696688	-0.924185698333055	0.832787395687491	0.00497281358498332	0.238302461533016
PLCG2	1.52511870548451	-0.235249967637996	0.466675166744344	0.00572662947553583	0.267389545511558
ITM2B	8.16743401643276	0.871911116216126	0.619188152487138	0.00602658186643185	0.27436013946931
ARHGDIB	18.2919312776828	0.524619881278249	0.326539157268004	0.00733341019538041	0.313371300377237
BLOC1S1	1.78381573894283	-0.197523101299583	0.362529088497828	0.00739976162340539	0.313371300377237
UBE2I	3.18372155740284	-0.67435395672105	0.660140850969662	0.00714449854996437	0.313371300377237
CYB5R3	2.09932425582069	-0.224708991756393	0.424390194583082	0.00759848829430181	0.314473799634627
SFPQ	2.79329774654254	-0.256067504487904	0.50504842340405	0.00958664054060307	0.36192434309982
AUP1	2.71677884038801	-0.546650554526892	1.27593937083072	0.00914653928135127	0.36192434309982
CCDC69	1.12869991482959	0.11231066667511	0.239836537986847	0.0101254421963104	0.36192434309982
SRPK2	1.34755718215853	-0.167879624033866	0.30752916263433	0.00911008165231416	0.36192434309982
EPC1	3.94650231192829	-0.57078238193554	0.597867910546158	0.00957242308660759	0.36192434309982
MAPK1IP1L	1.78956914594827	-0.197689383811534	0.357493425793744	0.0101362666107034	0.36192434309982
B2M	132.349524058847	0.370106906450781	0.209822615726915	0.0099153700275728	0.36192434309982
MAT2A	1.52700296660032	-0.157427666960732	0.290273302681825	0.0108402535175484	0.367356888017113
NCL	4.93261797525982	-0.560254277195314	0.668397344810831	0.0108751102019368	0.367356888017113
TBC1D1	1.35126266705561	-0.136232217930726	0.264485852943139	0.0108936144716772	0.367356888017113
TNFRSF1B	2.85622315487694	0.0542822985320233	0.205575174317239	0.0131770135904657	0.376660139369105
PDE4B	2.15366035483996	-0.181553730331362	0.324052979142664	0.0131900083290666	0.376660139369105
PTMA	48.0085675901878	-0.322784962641182	0.178999922469185	0.0134447606035101	0.376660139369105
B4GALT1	1.18162829407395	-0.145308157789354	0.27456722061444	0.0124892367962076	0.376660139369105
VSIR	2.37931501931103	0.0960065483949089	0.228759326734504	0.0118714484566879	0.376660139369105
LINC02397	1.48160690969123	-0.172018678619567	0.31010777961648	0.0133863515472258	0.376660139369105
TCL1A	19.6489413226281	-0.543356298414367	0.511230186159221	0.0128000680572083	0.376660139369105
