""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MTRNR2L8	8.07948397663457	-3.22003901676078	0.613302317238865	3.10319013929046e-09	9.50196820650737e-06
RPS26	90.8468233036183	0.683819395901749	0.128248261219221	9.54461531987779e-09	1.46128060547329e-05
DBI	9.58299151425121	0.680709403489032	0.135817901141098	4.22953363592587e-08	2.590166398641e-05
CD27	19.6892467349682	-1.26303624067001	0.258658554759328	3.7026155392486e-08	2.590166398641e-05
GAS6	2.51934653827971	-2.9825432549029	0.597897031417699	2.68496697019842e-08	2.590166398641e-05
MYL12A	15.5468318119795	0.693895810712996	0.144674851012141	1.13198495661941e-07	5.7768965619477e-05
FNDC3B	6.1914607881609	-1.43519842770973	0.317642614914322	1.82754742084834e-07	7.9942145751966e-05
CAP1	4.77627207392255	0.812995162302823	0.177096436906869	3.8232622178433e-07	0.000146335361387952
ATP5ME	11.6348414616309	-0.716724384256132	0.157237378260095	4.32097500805582e-07	0.000147009171940744
FCRL5	3.47286490333685	-1.77620712651633	0.421363460820433	1.13438966864507e-06	0.000248107226099372
HDLBP	12.2433407523747	-0.863893143372983	0.200248661168652	1.12295986669451e-06	0.000248107226099372
FKBP2	17.7359420731805	-0.753889692008474	0.174320529708709	9.801725548389e-07	0.000248107226099372
MALAT1	554.071544195759	-0.926576630515802	0.217912880502734	9.05378706418548e-07	0.000248107226099372
NDUFA13	3.701303578301	-1.30608299276728	0.302598984002432	1.08710166692373e-06	0.000248107226099372
H1FX	11.8376756487347	-1.52619006489793	0.371992804808678	1.54555052320631e-06	0.000297711102724375
BTF3	34.255986067276	0.443670683553119	0.101932036103305	1.55564260078054e-06	0.000297711102724375
RARRES3	9.56325750026094	1.2378394364774	0.297777793876854	1.70992052701181e-06	0.00030798686198295
RABAC1	13.097799259897	-1.00586890618871	0.243048629959847	1.85350891676633e-06	0.000315302461285472
SEC62	13.614559141566	-0.748471089619015	0.179676696221906	2.07157339775485e-06	0.000333850407575018
RPS21	94.5952719968224	-0.424815538684691	0.100319328912372	3.17557714666048e-06	0.00048618086115372
RPS10	3.06253697203548	-1.52851273345505	0.389115385042471	3.83046904341135e-06	0.000558518867186931
FCMR	2.75871544735069	1.15608413370144	0.299577513198592	5.04396500350031e-06	0.000671715542308091
RNF213	5.32857248242512	-1.21477852654354	0.308487291131739	5.04554456991708e-06	0.000671715542308091
MRPS24	2.95191285982594	-1.27800208380582	0.338803647139304	1.15683728066729e-05	0.00147593156391801
CPEB4	2.25400590024519	-1.53162317334327	0.41123972909243	1.30560053460376e-05	0.00159909953478269
IGKC	1084.79395394828	-1.61064564080892	0.480993603059592	1.79663095387258e-05	0.00189699447612339
RPSA	70.8300556378813	0.321172000647443	0.080644674914073	1.67842633108052e-05	0.00189699447612339
RAP1B	6.68632358612147	0.610951760545524	0.166881807072904	1.78077574155704e-05	0.00189699447612339
MYL12B	6.41414735964127	0.624933293747527	0.169293386511807	1.7435900502218e-05	0.00189699447612339
SH3BGRL3	25.2598657123307	0.466049960487351	0.124262722514659	2.25426510499063e-05	0.0021667300515698
CMTM6	3.43338239831831	0.713394798585428	0.19980498505315	2.33514342592435e-05	0.0021667300515698
TMEM258	36.0783975910074	-0.371438890142378	0.0962953775937728	2.20686145591348e-05	0.0021667300515698
MT-ND2	47.7393756458347	-0.561651882331196	0.155082803522101	2.29084032518935e-05	0.0021667300515698
ELL2	9.79390424884843	-0.800797132395387	0.228749905418309	2.53706495651881e-05	0.00221956939910303
ARHGDIB	30.1235306898594	0.639042783283578	0.175871616553354	2.51618394332845e-05	0.00221956939910303
GALNT2	2.97744740574903	-1.18973608320328	0.338415044244365	3.15636406928671e-05	0.00263043498899393
CTSZ	3.44434922953935	-1.42052243150254	0.409008808018811	3.17851386651781e-05	0.00263043498899393
MZB1	142.103448477572	-0.618906597700275	0.178756899546175	3.53695537276885e-05	0.00285004140826795
PET100	6.1768982638057	-0.706270648266825	0.200774260729948	3.84646522722001e-05	0.0030199683399353
NDUFA3	9.07222569324654	-0.653464226696019	0.189046167282111	4.1314550052344e-05	0.00316262880650693
LZTFL1	2.05163849446935	1.41262068973101	0.439949729895721	4.82545573325307e-05	0.00343617336167928
RPS29	49.504603114057	-0.505884764487736	0.144767354612176	4.63742732977543e-05	0.00343617336167928
UBALD2	3.92708474300791	-0.980117172428461	0.289420446104248	4.78880039362698e-05	0.00343617336167928
IGHA1	1052.29320720801	-1.46256754733816	0.484182471655952	5.96200991908922e-05	0.00414901690278436
FAM3C	2.6576526481317	-1.06628581167605	0.315644213427705	6.13522581540068e-05	0.00417468032150153
SRI	4.14538442756226	0.664441409459369	0.20189937650226	6.59859129419344e-05	0.00439236663974355
TP53INP1	6.94103289172462	-0.892736852240512	0.282804170042987	7.7558713918076e-05	0.00484662820443161
IFITM2	2.21187518614425	1.66325628779652	0.508914956911667	7.53962188193199e-05	0.00484662820443161
ANXA2	15.8806233829901	0.666276382972078	0.201656033384192	7.74385893230643e-05	0.00484662820443161
UBE2L3	6.50988996428663	0.530672363187751	0.160610836095289	8.9210118464432e-05	0.00546322765476181
ERLEC1	17.918445203514	-0.688727075718003	0.226988848826116	0.000136396587152584	0.00718487774967728
CAPG	2.5173828409458	1.15063726191368	0.398883919930566	0.000133578950442277	0.00718487774967728
EDEM1	6.84908246173928	-0.709705391550144	0.229133730871345	0.000129937368621652	0.00718487774967728
TNIP1	2.59588779423776	0.802328636705848	0.266715682654753	0.000138441471989209	0.00718487774967728
SEPT7	5.17079872048317	0.571288544820026	0.181316516627929	0.000131621259550556	0.00718487774967728
IGHG3	40.3147526365139	-0.164624662465089	0.319616410198219	0.000120259682047446	0.00718487774967728
COTL1	13.6617910504564	0.653738583000301	0.207580717493204	0.000133147792868251	0.00718487774967728
GNAS	14.5187881636718	-0.605173969824925	0.195602500422035	0.000134753271753148	0.00718487774967728
ECH1	2.29255535109195	-1.12477602070945	0.367294811201908	0.000131817714762268	0.00718487774967728
TRAF3IP3	9.53122757718755	0.612916127392183	0.202191840400452	0.000148403869703343	0.00757354415052726
LRPAP1	8.0417736104314	-0.720624488200145	0.234158085624231	0.000156302538218047	0.00777290288845754
HLA-DQB1	5.45415002357089	-1.06960534721565	0.366230052183241	0.000157387321712726	0.00777290288845754
