""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MTRNR2L8	11.4826703008469	-2.20572973132369	0.229355140202982	7.26594726751738e-23	6.166609445942e-19
PTPRCAP	14.8906141946756	-1.10701053639792	0.138927413712139	9.29742406477004e-17	3.94536190188517e-13
TMA7	85.4807004410997	-0.358007191325859	0.0490084737049109	2.55061967770472e-14	7.21570306822666e-11
ATP5ME	20.4262322665048	-0.596403061723065	0.0869516428845525	3.18460104918567e-13	6.75692727610969e-10
USF2	9.84181679627618	-0.660570898577875	0.09719526591812	6.51036830971101e-13	1.10506991689035e-09
MZT2A	16.4636425503364	-0.49681488255382	0.0740240857016855	1.35098495872353e-12	1.91096822411443e-09
RPS29	230.347049507464	-0.585086518231359	0.0893831189962442	3.18281129098374e-12	3.85893134665415e-09
CYTH1	21.8519613508057	-0.400806171652441	0.0655279364147723	6.58778709739894e-11	6.9888186369531e-08
REL	8.76037273810254	-0.587003083460578	0.0979446058099599	1.25534825225292e-10	1.1837934018745e-07
ARPC1B	15.2583663511238	-0.656988133230083	0.110140859752646	1.40269559314223e-10	1.19046774989981e-07
AP3M2	6.31953044017714	-0.95264865518951	0.163897336260168	2.00032850875649e-10	1.41473233781803e-07
EEF1G	1.80127051972464	-1.48662490534316	0.253553437930995	1.89503063987981e-10	1.41473233781803e-07
KTN1	16.0544868299706	-0.481739792085784	0.0822055011308843	2.94730081914061e-10	1.92413400400356e-07
RPS28	486.730477421544	-0.238070694006787	0.0396045485719707	3.29231947765618e-10	1.99585110049057e-07
MT-ND3	418.505792528846	-0.40689492609359	0.0702473293015056	4.89391387362482e-10	2.76897646969692e-07
PIK3R1	19.9647254167035	-0.767413421132931	0.136267527463477	7.44761233574661e-10	3.95049286834259e-07
RPS21	313.265535063329	-0.361622422203858	0.0656919627057541	3.45325279785529e-09	1.72398567619987e-06
TGFBR2	7.29412061979923	-0.626058750486659	0.119004578692071	6.06097129918628e-09	2.50955641856254e-06
TMEM156	3.90264131522035	-1.05809073299676	0.205318848504096	5.42351399480016e-09	2.50955641856254e-06
RPL37	496.699216440662	-0.250185511169453	0.0454882122845711	6.39195044405691e-09	2.50955641856254e-06
MT2A	37.6922247011654	-0.733213511433753	0.138805314789324	5.74050217918306e-09	2.50955641856254e-06
NME2	13.2891261067833	-0.600884773444245	0.113620650373571	6.50527173422598e-09	2.50955641856254e-06
NINJ2	4.42232808985698	1.07288075104058	0.20336260464771	7.45351217470155e-09	2.75034599246487e-06
RPS26	306.92813124299	0.937920199440195	0.178282179398806	8.37593128069167e-09	2.96193869913459e-06
PLSCR3	6.2143795211748	-0.59695823147939	0.11368156189517	9.7229794388393e-09	3.30075705989717e-06
AL136454.1	1.17741383945508	-1.70404516807584	0.342018505777618	1.01481064993439e-08	3.31257614845891e-06
HIST1H4C	14.87738676733	-0.48476701559542	0.0931246353048028	1.36041703636011e-08	4.24487570255559e-06
NDUFA13	6.07697840180306	-0.753950124599585	0.147093763221408	1.4004538667557e-08	4.24487570255559e-06
KLF3	16.3522671319911	-0.592055162922077	0.116342925634715	1.54701978118908e-08	4.52743340791438e-06
C17orf49	4.46804474599155	-0.814532217795649	0.161991287761953	2.15319575860572e-08	6.09139080109557e-06
MALAT1	2654.25767090213	-0.332637966868231	0.0648344496801311	2.81071310735655e-08	7.6950071426242e-06
ANXA2	30.3601599777332	0.436042017762106	0.0854489295467268	3.36124579172243e-08	8.91465407323384e-06
R3HDM2	5.57965242663567	-0.60144377829383	0.121394695764678	3.88515958472451e-08	9.99192405925966e-06
CEBPZ	6.77163820580982	-0.596088165241673	0.122364991953698	5.61464978763892e-08	1.40151566904975e-05
RPL36A	59.050535571525	-0.556656159164445	0.11410852122993	6.1642509579056e-08	1.49474279656414e-05
MRPS24	2.94453118233054	-0.82036705276294	0.170248678831081	6.35167268361205e-08	1.49740683516154e-05
AAK1	19.0807095806877	-0.423586941980408	0.087358716540951	6.98391302845741e-08	1.60195864520319e-05
DOCK10	10.3268604684555	-0.457939334493313	0.0945661195039566	8.22078049650386e-08	1.83604642299548e-05
DUSP5	4.32680059375011	-1.11865295518671	0.236153022081206	8.77109511875257e-08	1.86100710682133e-05
RPL38	117.939273309844	-0.356310188099609	0.0726244521783484	8.61763703131267e-08	1.86100710682133e-05
RNF145	6.20238193032512	-0.582812932806519	0.121691061635106	9.57653573505405e-08	1.98234289715619e-05
BRD7	7.66703047878785	-0.576236800444708	0.121286802389846	1.19509178947743e-07	2.41493905173688e-05
SON	41.2292875135592	-0.293996068970994	0.0605002870470104	1.22939004673312e-07	2.42647286665675e-05
NDUFA3	19.3644808498086	-0.425286471950175	0.0895201164177104	1.26343464788137e-07	2.43699314922028e-05
NR4A2	4.50091075080695	-1.3784663823259	0.292259701008073	1.55078480402385e-07	2.861197963424e-05
PRPF4B	13.1279493669725	-0.398180386894745	0.0842404716556202	1.54816139265414e-07	2.861197963424e-05
PDE4B	8.47152668176191	-0.595509504437839	0.129434617609646	1.94282822519265e-07	3.50825173344895e-05
UBE2V1	2.25593750195924	-0.860427810104542	0.188661998905423	2.1520829110416e-07	3.80515159708543e-05
RPL37A	216.638987600974	-0.209869259019257	0.0430458582746893	2.29520650649518e-07	3.97539135114788e-05
ETS1	43.8135504336513	-0.334518747938351	0.0715470855784827	2.47913692278093e-07	4.20808701272834e-05
MAP3K8	2.22379024801032	-1.32819548626116	0.297215004191263	2.72124282065159e-07	4.45836877466998e-05
RAB5C	3.03541905791109	-0.739976951349911	0.163017916527099	2.73165048053304e-07	4.45836877466998e-05
CSNK2B	2.659505400273	-0.88490138534468	0.197199679512067	2.89671262631997e-07	4.55266667769955e-05
