""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MTRNR2L8	13.4180185090894	-2.23862547598547	0.25552462389551	2.05039317158862e-20	1.24479369447145e-16
RPS29	181.148140380973	-0.579122079664665	0.0840327188039569	4.13760452607199e-13	1.25596985388915e-09
NME2	40.8056383827993	-0.627460782803644	0.0944438361536616	1.65030804679626e-12	3.33967338403336e-09
EIF4A1	17.6081135174921	-0.650168347874329	0.100272062708022	4.62462067259667e-12	7.0190180258336e-09
RPS27	564.612330843642	-0.276246911932715	0.042514376654324	7.20694987811345e-12	8.75067854200536e-09
ARPC1B	34.988379252855	-0.623398510979525	0.0979163197650913	1.20568579660407e-11	1.21995307853055e-08
NBEAL1	5.50922418658011	-1.02571548080279	0.177564448639191	4.17571689426662e-10	3.62153960929895e-07
USF2	12.7400700975729	-0.582544574813223	0.101609225804816	5.3950727305158e-10	4.09418581837018e-07
RPL37	551.866640531609	-0.2262628451913	0.0393550236677521	1.09067894192905e-09	7.35723539605698e-07
RPL36	320.516829884584	-0.214438590657144	0.0380264868359539	1.88048564029716e-09	1.12294360719441e-06
RPS28	491.226490072494	-0.237964010507237	0.0422251848367281	2.03465321679106e-09	1.12294360719441e-06
RPL38	126.473447815877	-0.2952415852529	0.0530481154666954	2.430708427806e-09	1.22973590543419e-06
IFI30	23.5941711598755	-0.689938874330677	0.127699670213823	3.33786720271758e-09	1.55878398366911e-06
BRI3	25.6362669881221	-0.583592495540817	0.108416596801782	4.09472540575187e-09	1.77564842416569e-06
MRPS24	6.43718500751923	-0.771634518330731	0.145069017197689	5.00888537699584e-09	2.02726287491611e-06
RPS26	263.153715460619	0.802404480477532	0.15452017021595	1.1557129320709e-08	4.38520825662652e-06
EGR1	4.66806694676837	-2.38759055293196	0.474873033753326	1.66703956263781e-08	5.95329246163186e-06
PLSCR1	18.4272054272504	-0.48391880487513	0.0975824396460085	3.42672156731401e-08	1.15575703528685e-05
MCL1	49.4283210215629	-0.541086868959808	0.110645566044327	4.85899661947706e-08	1.55257728825501e-05
RPL37A	308.63769663826	-0.192061332363474	0.0380308109607812	6.84223232074856e-08	1.81515870807007e-05
