""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS26	66.4440827975173	1.22943510613822	0.157663936647009	3.13914194996073e-16	3.87370116625154e-13
RPS27	179.694522279873	-0.304938838077377	0.0526173728026082	6.68321035624366e-10	4.12354078980234e-07
RPS29	40.6697773704953	-0.624211934651917	0.112609305224281	1.56202749649515e-09	6.42513976891671e-07
RPL37A	73.1241757754825	-0.276231559671307	0.0540417433880282	3.33489356653549e-08	9.38632376100937e-06
HLA-DRB5	24.3971520188834	0.830287144661613	0.169718978274889	4.35660770739849e-08	9.38632376100937e-06
RPS21	81.303027842512	-0.389741424659001	0.078307524349689	4.5638527201018e-08	9.38632376100937e-06
NME2	6.13226001255393	-0.732402285228889	0.161402245610328	2.96087279497173e-07	5.2195957557073e-05
RPL38	23.5945661596056	-0.443652849480326	0.0989161091580928	4.69886604029609e-07	7.24800086715672e-05
ATP5F1E	50.9790485441205	-0.272322170601786	0.0637579782759218	1.8744816875714e-06	0.000257012266940345
TMA7	22.5986389481336	-0.31061394825489	0.074486736345635	2.5780325231651e-06	0.000289208375780521
PIM3	4.3128762414466	-0.933850508898222	0.23021908632721	2.38669274323091e-06	0.000289208375780521
PET100	4.38000007371571	-0.59700684483661	0.153804627663594	5.34242141929264e-06	0.00054937900261726
STK17B	7.67403389484304	-0.501448239425993	0.140337457399215	1.90299110585279e-05	0.00179590975950017
RPL36A	16.3197946770282	-0.577503865921596	0.164546662117678	2.03749891677491e-05	0.00179590975950017
ATP5ME	5.53486451434355	-0.578668712363654	0.179336285514569	5.8998253863555e-05	0.00445453961651537
RPL37	138.133912044679	-0.203536415252996	0.0573044011876177	5.64034580808809e-05	0.00445453961651537
HIST1H4C	4.66868185866466	-0.618242050063478	0.191219869184501	6.13672394495635e-05	0.00445453961651537
SOX4	11.4932057066882	-0.81406601387961	0.263146531808892	6.73228014979958e-05	0.00461535205825149
HNRNPH1	5.79351656690341	-0.530113457991023	0.174720948660574	9.86411526202492e-05	0.00640648328070461
ADAR	3.39845678660562	-0.600440043579111	0.215065186781175	0.000196941475254626	0.0121512890232104
TUT4	3.80622313841581	-0.641272782633915	0.244565361997986	0.0003070502606634	0.0180428581742207
CCDC85B	4.15070128346552	-0.429124199304591	0.164106540761245	0.000432806160867114	0.0232209914134791
MT-ND3	104.891618241138	-0.383811616727843	0.145227183825732	0.000426684240400139	0.0232209914134791
TMEM109	6.42024055168077	0.359680211059953	0.139494592465581	0.000552015716305196	0.0283828080800255
PRR13	7.90332163536962	0.331563967148466	0.128804740545897	0.0006127135998645	0.0302435432893117
ATP6V0E1	9.12346047151964	0.309509798060977	0.122811934357182	0.000754170348727081	0.0357940850126622
SRRM1	7.10801610745307	-0.312731256031062	0.125223243173843	0.000834654283588085	0.0368474009537814
DBI	11.1226725752588	0.295929124004313	0.118513096502652	0.000864118001540144	0.0368474009537814
CNBP	7.2266704424606	0.31048271307591	0.126269916774046	0.000895803912976857	0.0368474009537814
CD4	8.77674890084885	-0.396535640590263	0.170630178862555	0.000888083630609747	0.0368474009537814
RPS28	157.770996491065	-0.184185796028364	0.0669882479656666	0.000942222156165494	0.0375065206680071
SLC7A5	4.72372437457512	-0.429033319400061	0.189379125658401	0.00100945382881159	0.0389270632735468
LAPTM5	13.6991521018051	0.264179128978277	0.109173130007714	0.00128986098441967	0.043352410753279
RPL31	31.2861775957126	-0.169741122682119	0.0635278489259524	0.00140526453009008	0.043352410753279
RPL39	148.920575072687	-0.149596010492136	0.054700526087068	0.00139945839687558	0.043352410753279
ARPC3	27.2241145079625	0.18105558449956	0.0683638495425764	0.00134561531535674	0.043352410753279
RPL21	57.8553454824853	0.404366302989913	0.184599687956507	0.0012753740083617	0.043352410753279
MYBL2	5.8896655465162	0.528145987653505	0.256742976966455	0.00122588088019004	0.043352410753279
RPL36	50.6100543177399	-0.178545059767675	0.0675323136639516	0.00135756583799847	0.043352410753279
USF2	7.82627262941746	-0.307081477002102	0.132583886063429	0.00123667977696317	0.043352410753279
TMSB4X	125.212946558745	0.171066097670446	0.0643710099433606	0.00147517024031164	0.0443990262571845
RPL34	138.322220118593	-0.132726584489163	0.0480348806983511	0.00172694158815226	0.0469550914958192
PTGDS	9.67297753089744	-0.056883522826478	0.119086578223762	0.00166180632125016	0.0469550914958192
