""	baseMean	log2FoldChange	lfcSE	pvalue	padj
HLA-DRB1	130.323110161997	-0.4493703331818	0.0815739594459431	1.96882623366868e-09	2.03970397808075e-06
CD69	28.1615997112503	-1.02546353835261	0.213347707856895	7.13821301630816e-08	3.69759434244763e-05
PCBP2	43.2455380801463	-0.271280813177302	0.0595196653002161	4.24666950378331e-07	0.00014665165353065
JUN	44.4506145710258	-0.644888772776686	0.150665468199168	1.01783682737982e-06	0.000175746492194249
MTRNR2L8	6.32254791914678	-1.42264116402441	0.334407857480058	8.60563980719007e-07	0.000175746492194249
AC119396.1	5.29461929710412	0.595653371384273	0.13751849785415	6.87668085028566e-07	0.000175746492194249
HLA-DQA1	47.6601368825709	-0.327174201523021	0.0779109024436856	1.56592678324051e-06	0.000231757163919595
JUNB	25.3716330344536	-0.693094405576111	0.168160169061269	1.91121497368869e-06	0.000247502339092685
BTG1	103.599471767933	-0.318966127497198	0.0846531010254086	1.04563846073351e-05	0.00120364605035546
ZFP36	17.8768971807092	-0.562636648765644	0.157303409527769	1.69809367184964e-05	0.00175922504403623
TMSB10	235.243783942042	0.17387358039833	0.0464020745803075	2.2878539682488e-05	0.0021547424646416
TUFM	5.94805557374147	-0.515624734954117	0.153738418871937	2.89601624878325e-05	0.00250022736144954
RPS4X	258.142254319193	-0.140477188362032	0.0378286472607012	3.76202258437145e-05	0.00295050054405796
YBX3	11.8731540502545	-0.461393171760587	0.138475796584007	3.98716289737562e-05	0.00295050054405796
VIM	19.2566930759326	-0.340222634523605	0.102779779086854	5.07541680887683e-05	0.00350542120933093
FTH1	97.5148995891469	-0.194962976002841	0.0566226557979303	6.55859822075403e-05	0.00399688691570658
RPL27	78.5691929565363	0.173584429769523	0.0499619090912575	6.49977150394937e-05	0.00399688691570658
SQSTM1	6.29954196639078	-0.456369884425207	0.151720460934208	0.000108509075532129	0.00624530012507144
HLA-DRB5	48.7604841920132	0.569220281070235	0.191303746920583	0.000119887337408423	0.00653701481869086
DUSP1	37.7767854406897	-0.569174136451339	0.199945207251126	0.000162344828434236	0.0084094621128934
CAP1	8.35107539179633	0.326094298662809	0.111939634526375	0.000192459966943376	0.00866906633710162
RPL7A	201.994646336872	-0.0966753743114204	0.0278806074712842	0.000188745627394448	0.00866906633710162
RPL21	128.683129252509	0.613926190119931	0.217339688628153	0.000183676774171159	0.00866906633710162
RPL19	319.107872102023	-0.0968424454940588	0.0281893011788028	0.000216482396872033	0.00934482346497609
USF2	6.28845511115665	-0.51346235247187	0.185977097474683	0.000237722989994645	0.00985124070537808
RPL27A	45.8398885634966	0.220937521278443	0.0756660185272035	0.000250760246556127	0.0099918313627749
MTRNR2L12	202.85504582948	0.485882263581934	0.1787893290544	0.000270412866847006	0.0100147205891074
PAX5	6.3490032088421	0.431081710849854	0.160299889080416	0.00027066812402993	0.0100147205891074
LTB	76.1278868628707	0.258107531079	0.091504074594396	0.000313278781943413	0.0104695747772057
HLA-DPA1	106.350727156574	-0.171610251130305	0.0564176632303963	0.000304235013197134	0.0104695747772057
RPS26	138.386353821126	0.815254773784778	0.309066959199876	0.000305402146624095	0.0104695747772057
EIF1	87.2368853604585	-0.221658736690635	0.0762273087596114	0.000333853887138195	0.0108085195960991
RPS7	184.479827735404	-0.118138471240304	0.0369191138313114	0.000358747059911016	0.0112624834566004
