""	baseMean	log2FoldChange	lfcSE	pvalue	padj
FPR1	62.257126278329	-0.863742587616181	0.11209139090444	1.03141376369038e-15	1.10701639256889e-11
ATP6V0B	124.583282864327	-0.345004967665918	0.0476434829726492	9.22146390184406e-14	3.29913240194974e-10
LY86	56.543160415233	-0.39756023580136	0.0549893236078682	6.96508832925829e-14	3.29913240194974e-10
EEF2	191.765233451104	-0.260031450878031	0.0363236586011497	1.74369883003398e-13	4.67877988568868e-10
CDA	45.2264647778107	-0.733170309555649	0.105068048591204	4.48765721545293e-13	9.63320497869126e-10
ZEB2	136.155120873639	0.464316857132315	0.0681827982410957	9.22845927863443e-13	1.65081755729306e-09
SLFN5	8.21868016906802	1.27199683311563	0.191986303297144	1.14911902758246e-12	1.76192778900608e-09
THBS1	10.0773097487437	-2.72714508571611	0.434479763567197	2.44210562082914e-12	3.27638995354489e-09
SLC38A2	34.2156507309934	0.544060275206159	0.0817601471859158	2.87654364757919e-12	3.43043810771861e-09
RSRP1	83.3493984501311	0.49409154692156	0.0756868558745207	4.83156865265699e-12	4.71429330445159e-09
SERPINB1	91.9717832898425	-0.492505674145056	0.0743151124997023	4.80504356491551e-12	4.71429330445159e-09
TFEC	24.2444108032618	0.562102169391686	0.0878742040028182	1.1211722192212e-11	1.0027951190751e-08
ITM2B	284.319296406786	-0.429039437961329	0.0660290578350926	1.28370888304411e-11	1.05984980320865e-08
LAPTM5	215.582196623359	-0.353229217530516	0.054474262872588	1.94175058477071e-11	1.48862921616743e-08
NABP1	16.2465157066802	0.753339177291795	0.121437682429982	3.51349542790288e-11	2.51402309517878e-08
NEAT1	804.92140938351	0.412787803293102	0.0656679799994114	4.56080268209394e-11	3.05944344918214e-08
SNHG7	23.1247561188595	-0.691169256222085	0.113070207115889	5.38701421697194e-11	3.4011072700447e-08
PLAUR	60.0043865764802	-0.991480096882745	0.163757092701909	7.50810663423426e-11	4.47691713917979e-08
LRPAP1	30.7017043761371	-0.502382632504892	0.0825094242139173	1.17770835781679e-10	6.32017190222381e-08
SYNGR2	49.5965801491839	-0.400352010661119	0.0651059242110699	1.16429599712314e-10	6.32017190222381e-08
PPP1R10	14.2575516324141	0.831913610684948	0.140672909888224	2.38652701614839e-10	1.21974259353908e-07
CLIC1	198.889283782012	-0.329473896419227	0.0547994596410529	3.11364431724401e-10	1.37337940008547e-07
AL133415.1	12.5897431603117	-1.06755032175322	0.181926113688168	3.18355448252035e-10	1.37337940008547e-07
TEP1	8.36893984935575	0.700730044928542	0.120813178386654	3.19896440903165e-10	1.37337940008547e-07
LUC7L3	54.4015772201986	0.535347052422127	0.0916046577773103	2.98983938115008e-10	1.37337940008547e-07
PSMD9	11.9652407779191	-0.687396637722381	0.116733137909626	3.53724950298267e-10	1.41523084151541e-07
SMG1	28.8794444023019	0.488130502562396	0.0833818540777139	3.56016330205124e-10	1.41523084151541e-07
LAMTOR1	72.9319564017133	-0.401631174976263	0.0676326886057354	4.23820175899205e-10	1.62459355283077e-07
WSB1	61.3804796899309	0.493098365381619	0.0856028636335466	6.58770007610525e-10	2.43813051437371e-07
ARRB2	105.513243105978	-0.272578857171956	0.0459428511725136	8.02909375135669e-10	2.87254210777704e-07
ATG7	13.3017535243161	0.537572284420857	0.0947104270811421	8.60074439846859e-10	2.97779966544398e-07
TRAF3IP3	40.6636219626494	0.454396971250862	0.0797016929019478	1.20793211721598e-09	3.98396209882675e-07
RIPOR2	55.9744522171112	0.474109412095619	0.083294913064185	1.22492079811127e-09	3.98396209882675e-07
RPL36AL	175.9876411759	-0.229960454802628	0.0391365543278468	1.29733803985097e-09	4.09539093580013e-07
GNB2	90.6925768028484	-0.322472519385677	0.0555655671264037	1.34553967207324e-09	4.12619351438917e-07
INTS6	9.62472275687757	0.688044568455306	0.122119049309774	1.64906491288249e-09	4.91650380832437e-07
H3F3A	575.853567564408	-0.194862354511232	0.0333615003337396	2.53910361384879e-09	7.36545921282136e-07
CASP8	19.639032931711	0.50371591491479	0.0913802663108343	2.81580988466113e-09	7.74925320309435e-07
UTRN	29.964834003271	0.518631951884711	0.0943018872740327	2.79260849881009e-09	7.74925320309435e-07
BAZ2B	23.4483000144387	0.38253651071954	0.0686926999614728	3.18255043525101e-09	8.53957845538727e-07
AKAP10	12.362193277468	0.597111708691071	0.109180880857999	3.58901019266454e-09	9.39532838972403e-07
N4BP2L2	63.142815564125	0.521818885566217	0.0959161008782896	3.7943591485755e-09	9.69639446230019e-07
VMP1	92.9999147861804	0.509961576575261	0.0931855622287742	4.208941108238e-09	1.05057127708648e-06
MTRNR2L12	1116.43658344689	1.12418736155633	0.208979841095051	4.69693219828232e-09	1.14573121100373e-06
DDX3X	74.5186047082411	0.349743490261611	0.0631333796189054	5.04006999293264e-09	1.20211269409213e-06
RAB20	8.71422537974898	-1.10470721469268	0.210091873590288	6.1564225843367e-09	1.40589114037629e-06
CKLF	45.4664956216393	-0.617177272206468	0.113977645283103	6.14861786978297e-09	1.40589114037629e-06
LYST	69.222158607539	0.386383276202796	0.0708913929792518	7.04506431963168e-09	1.57530573630431e-06
LSP1	202.831334358145	-0.407428682323869	0.0747140259379195	7.30616083882963e-09	1.60034743435017e-06
EPM2AIP1	9.41048351004401	0.7640152930056	0.146267768970104	8.38233314276099e-09	1.79605032472141e-06
DDX17	89.7387609367944	0.357109643862512	0.0658607472699232	8.53429298060113e-09	1.79605032472141e-06
ACTG1	420.616309385804	-0.234983950132796	0.0424966573086813	9.18543179525172e-09	1.89590845112378e-06
MRPL23	11.6572714959682	-0.928780320811561	0.177467912569763	1.08949824802016e-08	2.20633673509442e-06
ERP29	79.1162326159821	-0.346865769644269	0.0651256815464905	1.68630033351112e-08	3.35167805177312e-06
ZNF467	27.2794552031107	-0.415089100653474	0.0794354360207861	2.50701571663171e-08	4.88550117434682e-06
ZDHHC17	6.29166596645988	0.753139199236639	0.149554661072862	2.54903629705974e-08	4.88550117434682e-06
HEATR5B	5.81667352118186	0.698818462904341	0.138188722856482	2.64697669564072e-08	4.96681342856116e-06
COX6A1	112.056130399019	-0.235617690370602	0.0439427518481389	2.68401359225331e-08	4.96681342856116e-06
FTH1	2129.37800011293	-0.486927289483824	0.0945502909191906	2.83787768152247e-08	5.16253239928486e-06
TTC14	21.808521586894	0.552498790609067	0.109488336734992	2.91212218785437e-08	5.20930124037349e-06
SMIM3	5.35949689117449	-0.815683138846655	0.161033160382257	3.52836854893602e-08	6.20819338290661e-06
ARID1A	31.4678776714082	0.378183380468978	0.0736624022226999	3.86980978121947e-08	6.59435142345123e-06
COX7C	204.479617111172	0.175989194087492	0.0328420935367263	3.87071778326122e-08	6.59435142345123e-06
CCDC88A	54.6795246404107	0.321016831492512	0.0625799982655671	4.25242600026267e-08	7.131451290753e-06
AC084871.2	2.75958456662243	1.48236556028468	0.297289348380356	4.55100393724e-08	7.40443873124931e-06
TESC	17.5978653707311	-0.645842893951511	0.128591511321264	4.55318136832623e-08	7.40443873124931e-06
PGD	74.8033538171571	-0.379120236696956	0.0738530771638694	4.86618791520512e-08	7.7953425214771e-06
AGTRAP	77.7107537371595	-0.363636153583778	0.0716294851404603	6.60141906117687e-08	1.04195633505311e-05
PRKCB	52.1369928895178	0.362354557085226	0.0717788745088539	7.03342907507665e-08	1.09405498931591e-05
DUSP2	30.9923394316015	-1.59269443272813	0.339663301480147	7.44606799872546e-08	1.14169496900458e-05
