""	baseMean	log2FoldChange	lfcSE	pvalue	padj
ZFP36L2	198.99237582878	-0.629576914908113	0.0820182358460654	9.90056140679099e-16	9.14019829074944e-12
RPS14	844.94545989206	-0.363566814600996	0.0489001025211314	1.26622512003e-14	5.84489515405846e-11
RPL30	1015.58941914122	-0.272637282041528	0.0383948406262711	2.02579743738513e-13	6.23405398064651e-10
SLFN5	31.1798683611643	0.754291844580757	0.110569498921955	4.89663106365854e-13	1.13014244949239e-09
RPL14	499.782290547836	-0.298503905927599	0.0435511725204017	9.83928293960371e-13	1.81672520196843e-09
HIPK2	22.3402122581873	0.535443280627976	0.0797143850091177	1.36528208149282e-12	2.10071402939029e-09
RPS23	761.191603029571	-0.223665576935203	0.0333332905743318	4.22686757884067e-12	5.5746344982653e-09
VPS13C	29.9854259058471	0.481819611439749	0.0756018965065631	1.4185427158108e-11	1.63699829404566e-08
RPL5	349.048153057262	-0.251218882994914	0.0399851336469239	5.68449129249387e-11	5.24792236123034e-08
PCBP2	175.067348100075	-0.291102993319867	0.0464071373991575	5.17553228587092e-11	5.24792236123034e-08
EEF1D	234.750644671906	-0.248840834031884	0.0407453543080888	1.84913433984688e-10	1.55192802049695e-07
RAB11FIP1	13.2410718449814	0.682598602367654	0.116569682661772	2.50261482523378e-10	1.92534500554652e-07
ZFP36	171.761851242158	-0.879858125259248	0.15345479719592	4.27320722521109e-10	3.03463454639606e-07
MTRNR2L8	20.2981804697548	-1.51096439300839	0.2680835656253	4.73412856179676e-10	3.12181963446484e-07
RPS7	594.281909871615	-0.205112675769486	0.0345156490164473	6.83055855203061e-10	3.61189364588784e-07
LTB	11.9159569069001	0.891982360274258	0.15748207450063	6.02303492170166e-10	3.61189364588784e-07
RPS15A	920.612541223841	-0.216177134115256	0.036713678801632	7.04225364232898e-10	3.61189364588784e-07
HELZ	26.0077727576453	0.486163078917342	0.0848291371936362	6.79166113069021e-10	3.61189364588784e-07
RPL7A	621.036433150616	-0.18282737246159	0.0311707600760909	1.44118168704076e-09	7.00262596566333e-07
SNHG7	12.4946051788634	-0.750871988349434	0.13539794814455	1.685975039949e-09	7.05750198779287e-07
CTSF	4.74225773326384	-1.03078612939376	0.185315559237442	1.71504045452888e-09	7.05750198779287e-07
CCND2	25.3607474781564	0.511301735016456	0.0919135764074751	1.68442308591301e-09	7.05750198779287e-07
RPL13	955.546472782998	-0.232453011471678	0.0403764955118517	1.7582598106503e-09	7.05750198779287e-07
RPS27A	1083.45217359299	-0.210705037000175	0.0368723747008941	2.58480859534604e-09	9.17805882778256e-07
RPS12	1102.08665797517	-0.256570730862261	0.0453112058972141	2.4108860752663e-09	9.17805882778256e-07
RPL19	793.532944022256	-0.21722379572336	0.0380502396654424	2.56598698197244e-09	9.17805882778256e-07
RPL41	1823.89005334841	-0.183898767112819	0.0319516328385924	2.80504239751754e-09	9.59116719032662e-07
MYL6	314.626647233385	0.13942944081795	0.0241007426845893	3.19449963490677e-09	1.05327216533783e-06
EMP3	149.153821918684	0.256065301498652	0.0458891861369306	4.17845186916816e-09	1.3301885398676e-06
RPL10	1479.79990852827	-0.213834331921809	0.0379592760040426	4.7888646911831e-09	1.47369329430008e-06
CISD3	34.349914228934	0.335192339062197	0.0617075394417393	5.14603781982763e-09	1.53252326298867e-06
NEAT1	79.3395328294324	0.501621505322173	0.093549665007617	5.60699695707412e-09	1.56859987599116e-06
RPS3	939.240657886442	-0.241787366170129	0.0437587918564424	5.4739298900284e-09	1.56859987599116e-06
LMO4	13.3005890180178	0.587679866359458	0.111430983329631	7.47578736380835e-09	1.97189911264796e-06
RPL15	431.370919828099	-0.144652158837897	0.0253855650269444	7.41659263884082e-09	1.97189911264796e-06
RPL11	728.506007121647	-0.18529513154867	0.0333899106930523	1.07629149977616e-08	2.76008975720374e-06
PRDX5	56.6761106964902	0.299701770143842	0.0562391842276816	1.1530398262338e-08	2.8012799146817e-06
CEBPB	42.8965589236971	-0.508687291124594	0.0966909430430888	1.13337296253799e-08	2.8012799146817e-06
MIR181A1HG	4.88451777974035	0.959684589078063	0.18734379227388	1.26718543472584e-08	2.99965536753564e-06
SERPINB1	44.9589580281713	0.341459866248356	0.0647227702223858	1.3445542317706e-08	3.10323116692654e-06
GZMA	425.567809456827	0.235740974181104	0.0437909174877354	1.40077324261595e-08	3.15413135995865e-06
PARP14	13.5233666126406	0.61769480907115	0.121021200911258	1.72431043976867e-08	3.70205441394056e-06
RPS28	742.219977441856	-0.269362916968172	0.051212826581925	1.71324878172454e-08	3.70205441394056e-06
ATRX	49.6826145865906	0.286754341606532	0.0545100325870041	2.03246518320799e-08	4.26448149349458e-06
LYST	24.7702440652846	0.476355831234875	0.0939550787985808	2.75235647267917e-08	5.64661221239425e-06
CX3CR1	72.6283438113203	0.601769183077982	0.119868229713283	3.28322580353133e-08	6.5892914387394e-06
ACTR2	47.4487798875478	0.318416380075378	0.0622277445238491	3.55894736738356e-08	6.93821339723201e-06
XIST	28.6288546967341	0.531700052788701	0.105822559411946	3.60738998122982e-08	6.93821339723201e-06
MACF1	46.4339203959368	0.303462853544384	0.0596119623842702	4.50644676506143e-08	8.49051357858105e-06
NCKAP1L	24.4676029928684	0.4060623611661	0.0817790155486102	5.24360611394992e-08	9.68179432879714e-06
LNPEP	41.4688452104246	0.358506760879014	0.0718184518682806	5.83094887212277e-08	1.05551607818505e-05
RPS15	635.332034202058	-0.158586937093754	0.0302879665626455	6.00357857611707e-08	1.06586610412909e-05
FAU	577.942920704181	-0.180688878008046	0.0349504161179699	6.634216726296e-08	1.15560544938047e-05
RPL18	508.803891326797	-0.163954407683039	0.0315554194459759	7.23507709592507e-08	1.23693021758482e-05
TLN1	63.5827506281115	0.282069286502571	0.0569573513558165	9.18512991958942e-08	1.54176580759363e-05
PSMB3	45.7259723339561	0.283663386837163	0.0571450041042184	1.0329633361295e-07	1.70291384270491e-05
BIRC6	22.7066989796994	0.374403586865572	0.0770857664888751	1.08727498195026e-07	1.76100397076575e-05
SH3GLB1	22.8510448564115	0.357600353678036	0.0737933630341238	1.177449915747e-07	1.85797694335001e-05
BTG1	209.243848620059	-0.277134578674624	0.0561314548524029	1.18739860980991e-07	1.85797694335001e-05
RPS4X	777.531149448946	-0.183963347755441	0.0361653852721517	1.3081279849151e-07	1.96645287969057e-05
RNF213	89.3284322039918	0.320889151457552	0.0663148531502845	1.3169383336279e-07	1.96645287969057e-05
TFPT	4.74467332677577	0.706911021458686	0.150449737509126	1.32062476755649e-07	1.96645287969057e-05
RPL36	377.514847210113	-0.218006743302519	0.0438820917294215	1.38752361815411e-07	2.03327270520615e-05
IFI16	40.6638725320678	0.409346194317427	0.0857397890700355	1.50502124489019e-07	2.13759325120404e-05
SARAF	108.554161668789	-0.224063420808884	0.0451970839783149	1.49276994532506e-07	2.13759325120404e-05
NDUFA12	48.282259661863	0.283234528040155	0.0585975840732987	1.81287872791352e-07	2.53583279031782e-05
LITAF	159.21919239914	-0.234362620262218	0.0477606602035394	1.90113630330977e-07	2.61959557494862e-05
FTH1	329.71256377383	-0.268645615222593	0.0557800101172377	2.07309325001604e-07	2.81452895355119e-05
TIMP1	23.6556292177593	-0.585833248583374	0.126646483113071	2.2926692112831e-07	3.06752495051675e-05
SIGLEC7	13.6266732016037	-0.612771397660053	0.133336117463785	2.3609000237281e-07	3.1136898598654e-05
CD3E	89.0413640698101	-1.24915277254524	0.277107593024577	2.47587000417709e-07	3.21654048921454e-05
APOL6	27.9546902995598	0.46329574078761	0.100354279307641	2.50856710597321e-07	3.21654048921454e-05
RPL32	815.175716725449	-0.172706429675925	0.0352962015960096	2.71330220091053e-07	3.43139807106931e-05
UBB	187.035185549057	0.174399391099423	0.0355046946811029	2.84325829202382e-07	3.54715683134648e-05
IVNS1ABP	31.3576236782273	0.542091419268328	0.11858573550761	2.91227686618752e-07	3.56907804757186e-05
EIF3A	27.9967784101313	0.31615981368779	0.0673865183968101	2.93814917261115e-07	3.56907804757186e-05
EEF1B2	199.995599222056	-0.233676734947925	0.0485756930526615	2.99183240823338e-07	3.5870904925728e-05
HLA-DQB1	8.3559290505704	1.3200811331473	0.292482880901857	3.03908919842466e-07	3.5970348051098e-05
NACA	358.269407057072	-0.157730759143376	0.031999163816403	3.11703021972092e-07	3.6425851884131e-05
RPL36AL	208.255992925762	-0.179801630259906	0.0370511680573619	3.39373339337494e-07	3.91636833595468e-05
ROCK1	36.9048514164953	0.290417112751378	0.062036212738146	3.54883250153993e-07	4.04479279681687e-05
SETX	23.6792692214885	0.403710376497847	0.0893237713877044	4.80786597216363e-07	5.41295349451398e-05
RPS13	517.57231048106	-0.170296187774737	0.0353446428709573	4.88678291778045e-07	5.43551565023484e-05
ZCRB1	12.4777465870956	0.439881894256665	0.0967640565401955	5.05548591658815e-07	5.55621975975498e-05
MLC1	14.3862483560547	0.455069003222505	0.101518994033688	5.29511514267232e-07	5.75111799966481e-05
FOXN2	10.8400202483526	0.443693087296903	0.09829005853608	5.77789078225748e-07	6.20249856997686e-05
ZNF207	35.9010878097348	0.307042108192588	0.0673666535398612	6.10757015411316e-07	6.48104455893938e-05
RPL8	397.971894896235	-0.256369409572354	0.0562336054022747	6.18505589749012e-07	6.488685914276e-05
RPLP2	564.927141323284	-0.169678987185407	0.0358204156056042	7.02699507667731e-07	7.28912567953763e-05
EEF1A1	1960.39563466467	-0.218360302670541	0.046833844068088	7.41135795184954e-07	7.60240629016389e-05
LDOC1	2.64556124797826	-1.18907620529201	0.271823269471095	7.98472845111165e-07	8.01250141963725e-05
