""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL5	2151.14337097618	-0.201819090072565	0.0180965950816001	1.16019084240481e-29	1.25602260598745e-25
JUNB	858.409710292629	-1.01501787923815	0.111178812011984	2.96662334432748e-21	1.60583321628446e-17
IER2	128.008849482871	-0.756547403617507	0.089795726066528	1.9759329756787e-18	7.13048346489919e-15
ZFP36	220.176173732655	-1.40677532087892	0.168728541636433	3.1933691259514e-18	8.64285353938746e-15
ZFP36L2	700.117459509051	-0.784038342140309	0.0972200520280873	4.11191937057534e-17	8.90312782116973e-14
DDIT4	103.337740306058	-1.08909740183942	0.137078741076582	7.5019312338337e-17	1.35359845895806e-13
ST13	134.529674810088	-0.283200165765658	0.0363376569059545	6.63190195139109e-16	1.02567100751086e-12
EEF1B2	1300.30071528824	-0.194415495237688	0.0247711348245098	7.99737301525603e-16	1.08224450328952e-12
MTRNR2L8	51.1864051482127	-1.76617725786472	0.233185094335572	1.40483350396706e-15	1.68985861266083e-12
SLFN5	64.8977962094282	0.62095426492263	0.082539690923339	2.59671816354068e-15	2.81120708384914e-12
BTG1	721.146633586348	-0.271125301247543	0.0368159223283287	1.86783851397679e-14	1.8382927047557e-11
GADD45B	58.071950814742	-0.669784371423565	0.0966530430495764	2.41309711704199e-13	2.17701578242472e-10
LDLRAP1	60.0155478200308	-0.535205679766877	0.0802369232638651	1.31959951307917e-12	1.09892187143039e-09
SARAF	667.904065823574	-0.24275711951517	0.0358950672349806	1.80915199255792e-12	1.39899139081658e-09
RPS13	3418.52762219664	-0.16576915866788	0.0246699283158753	4.49449187835049e-12	3.2438246050015e-09
RPS4X	4427.38529304995	-0.152189853498324	0.0227560358858277	5.77145450100657e-12	3.90511040174357e-09
RACK1	1624.6983575654	-0.135276912653746	0.0203730094919236	8.88324275765785e-12	5.46270545665756e-09
PCBP2	520.27928801818	-0.256797661732175	0.039490912456055	9.08264347125771e-12	5.46270545665756e-09
TUFM	84.2671554686078	-0.343860015366938	0.0538544934261674	1.6432033084696e-11	9.36279948289048e-09
