""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS26	82.419148543824	1.01935217995544	0.191025129358312	4.67928033533763e-09	1.12653674073254e-05
JUNB	15.4133971880143	-1.40684199179397	0.262411696301176	3.31298919768223e-09	1.12653674073254e-05
GIMAP7	13.5024412290825	0.73134001679063	0.150338348927809	5.1124243850324e-08	8.205441137977e-05
ZFP36	8.41361291622937	-1.54644531246899	0.333340014423978	1.41688208581902e-07	0.000170557181080465
NFKBIA	6.16138160713685	-1.41108274370321	0.367770045603002	4.01418421012418e-06	0.00386565939434958
RPL28	221.852626181753	0.207024222947882	0.0506098321911667	6.92311064874928e-06	0.0055557962956213
TCF7	7.61326079305418	-1.48628954135311	0.418224329603341	1.15401925773605e-05	0.00699425590196111
TNFAIP3	9.61587938317853	-1.05448834049351	0.29055999867417	1.16207782379416e-05	0.00699425590196111
PCBP2	29.7204342572234	-0.456248913503939	0.127249604186424	1.77005036099406e-05	0.00946976943131819
DUSP2	17.2578356341069	-0.936686417970984	0.272026912674176	2.12102374674282e-05	0.0102127293405667
IER2	8.13606818640175	-0.913608668171593	0.268551707405451	2.80071421443261e-05	0.0122594899477209
CD52	98.13504827822	0.409941149999675	0.118519768778884	3.39961309466239e-05	0.0125916438852303
AC004585.1	3.05425786976743	-1.6418443909806	0.489902305486582	3.37323576068581e-05	0.0125916438852303
MTRNR2L8	4.83957687518513	-0.0567935478084602	0.120390810157093	4.20329525218656e-05	0.0126919478309028
SYTL2	0.992390582771397	1.72207305923505	0.507053308768512	4.41835443269897e-05	0.0126919478309028
IL32	114.957797043964	0.506595163496643	0.149755766674366	4.11278390421659e-05	0.0126919478309028
IGLV2-14	1.3944994845518	1.57961976655484	0.476491132253418	4.48106153946725e-05	0.0126919478309028
NUCB2	8.55642011895496	-1.16761510075283	0.374174533877717	5.65970346196499e-05	0.0143428800891376
KANSL1-AS1	1.35857616590554	1.32348368743895	0.404012545228868	5.5035095889315e-05	0.0143428800891376
GSTK1	18.784796957862	0.448363289564562	0.143945643909436	9.43016715608907e-05	0.0227031274282845
TMEM173	3.09506408358506	0.936502517840568	0.316986359616176	0.000117748891464123	0.0269981386857024
H1FX	7.02897307041601	-0.887935111556143	0.31236997450584	0.000148637066318853	0.0325312488329672
CD69	8.75136993142681	-0.931700133039803	0.333523472644862	0.000168008296281739	0.0351721715911554
KLRG1	8.26162491438474	0.655874997174191	0.233962986888518	0.000188428363590267	0.0362913028274853
PPP1R15A	3.01483308301435	-1.3239397163432	0.476936160225278	0.000186816397598544	0.0362913028274853
ZFP36L2	25.0454568052238	-0.513143833767065	0.186057571950485	0.000230543003955368	0.0426947909248115
