""	baseMean	log2FoldChange	lfcSE	pvalue	padj
SLFN5	5.45083985060514	1.15281400969086	0.232491627407739	3.49480639389776e-08	0.000145244153730391
SYNE2	13.7864470779594	1.03058250694345	0.217339290666843	1.09718354433493e-07	0.000227994740512798
MBNL1	16.045794293018	0.625454464964751	0.144425399484141	9.54044206052857e-07	0.000991251930088918
DDX17	8.90904329427896	0.640265394234901	0.146613701715012	8.1425657351883e-07	0.000991251930088918
CELF2	9.93712844783592	0.586599113795635	0.13942006740227	1.825680943691e-06	0.00151750600039596
PTPRC	44.7172871156592	0.561237758487941	0.141110373579729	4.88657891522709e-06	0.00289710856813067
USP34	3.37888614250126	0.767405400434803	0.196228771767674	4.61273705358178e-06	0.00289710856813067
DYNC1H1	5.12287795062926	0.722893151529145	0.184838037361612	5.57672486646905e-06	0.00289710856813067
SMCHD1	10.3722845125424	0.573644864570856	0.146925612340979	6.69728230042339e-06	0.00309265613783996
SETX	3.54550574894741	1.02044503338542	0.276700339096544	1.18243642484536e-05	0.00446745980150666
RBM25	8.80733986885267	0.471098417166569	0.124804491675841	1.16223584581046e-05	0.00446745980150666
SLC38A1	5.74730759827305	0.621645642302281	0.169459290116978	1.45430673076339e-05	0.00503674897754387
NFKBIA	5.03057885234277	-0.928364271486803	0.270394421350059	1.86731430737813e-05	0.00554325590104536
MT-ND3	162.723238104777	0.499059283466574	0.136507276297636	1.81000730261062e-05	0.00554325590104536
DUSP2	6.88045846842486	-1.18512556782205	0.351575992827589	3.23393760851071e-05	0.00700116717352968
TRIP12	2.53075051298454	0.879880024008957	0.258462246779849	3.6693563035122e-05	0.00700116717352968
FAM208A	2.79757642964066	0.815589371608834	0.242747361593152	3.70610389359127e-05	0.00700116717352968
RIPOR2	7.63029521573486	0.553750716378278	0.157215570920117	2.74108066363426e-05	0.00700116717352968
RPL36A	21.8896742898766	-0.562086760459382	0.164283329542731	3.22425479683986e-05	0.00700116717352968
MTRNR2L8	4.99066397764547	-1.23801651160707	0.37678360892358	2.96643244137934e-05	0.00700116717352968
RPL21	69.4538205090642	0.656988409115783	0.191037529336658	3.47969332634367e-05	0.00700116717352968
MT-ATP8	83.6193730409902	0.969923180787583	0.285380735973845	3.4020231739001e-05	0.00700116717352968
SLC20A1	3.18280200595916	0.754377714023555	0.222134928006554	4.72571762379041e-05	0.00821845731017333
SNRNP25	4.5085418981439	-0.664438673820924	0.199052138120543	4.74598112233301e-05	0.00821845731017333
KNL1	4.88216466035937	0.775890819900062	0.23495516377688	4.99531996939532e-05	0.00830421991712278
TMEM131L	1.83485699190467	0.7953362845993	0.241582766597459	5.29197543011295e-05	0.00845901918751901
CPT1A	1.65041403331941	0.752264012452034	0.232028665522061	6.44169010252634e-05	0.0099154311355924
ARID1A	2.96452866795099	0.726787658534092	0.22542804763036	6.75611312036233e-05	0.0100280021886521
COPB2	3.12048087801098	0.569300169623399	0.177077036845339	7.7377372802262e-05	0.0100293466040746
OGT	4.42054406986537	0.603687502517867	0.187429150868682	7.46638375404351e-05	0.0100293466040746
TIMM10	4.70566374575935	-0.680965254752231	0.213451144309701	8.2049515047771e-05	0.0100293466040746
NLRC3	2.07295457697831	0.783715291575575	0.251096930423816	8.06601696785346e-05	0.0100293466040746
RPL26	58.2239161176127	-0.41831875123054	0.127074203219706	7.63535890812404e-05	0.0100293466040746
SAMHD1	8.46532222362722	0.553064533946926	0.171868594877147	7.06099736244111e-05	0.0100293466040746
