""	baseMean	log2FoldChange	lfcSE	pvalue	padj
PECAM1	2.256265721947	2.32661746817127	0.260440404087698	8.42320425108994e-21	4.57127294706651e-17
RPL36A	22.3366164667642	-0.977846204493207	0.13393339403097	1.71720574802262e-14	4.65963779725938e-11
POP4	2.17330224407987	1.53945850328529	0.218022653435499	8.54991301761599e-14	1.54667926488673e-10
CX3CR1	5.14143339431173	1.54489218090923	0.21943141026662	2.10182331757511e-13	2.85164878612003e-10
TMSB4X	336.179201316815	0.387886074610305	0.0545561176407336	3.08064330954565e-13	3.34373024818085e-10
CEP78	3.46502290671527	1.48837126227991	0.215763649351923	4.05722630907693e-13	3.66976119656009e-10
ANP32A	4.68822348812603	1.00525450017406	0.1490538789435	9.7792902070426e-13	7.58174399337431e-10
CD3D	30.6547832494955	0.689675420289879	0.101900609102216	1.36692114054691e-12	9.27285128718512e-10
RARRES3	20.1875735954808	0.638428409845916	0.0951535321555061	2.53864058558727e-12	1.53080027310912e-09
CLIC1	25.9367952761703	0.505844684530179	0.0763153915659959	7.75737736358212e-12	4.20992869521602e-09
RPLP0	79.693603537939	-0.376944152653697	0.0570030284480754	1.18618125189371e-11	5.59597541103551e-09
RPL26	66.1900621154353	-0.758394951246948	0.118415930986864	1.23736327496639e-11	5.59597541103551e-09
IL32	109.53873285625	0.486636917218057	0.0755575952632215	2.04431747475412e-11	8.53423918114661e-09
RPS28	160.774297291195	-0.376409904058994	0.0579322269246112	2.53349749773966e-11	9.82092208588079e-09
ZFP36L2	44.7515417113738	-0.803645787591183	0.127818160870562	2.84449711765442e-11	1.02913905716737e-08
RNF213	10.8294630996086	0.698826128484053	0.110291345651146	3.09574456470125e-11	1.0500378595396e-08
MYL6	44.9090354410259	0.448189720605891	0.071363461708055	9.39216938694867e-11	2.99831195664532e-08
CFL1	60.3676976518987	0.386912120177318	0.0617157239165452	1.35401773042223e-10	4.08236345722303e-08
PSMB10	10.9879294712596	0.707110713882937	0.11697376477856	1.90551881905702e-10	5.44276349001183e-08
SF3B1	7.39746907095608	0.69041785963638	0.115008603683404	2.43481964707737e-10	6.60688311234445e-08
ANXA1	16.1022234662269	-0.799880255999424	0.135419267948491	3.60763146704722e-10	9.32315046269773e-08
GBP4	2.35917241919856	1.37321086148987	0.241658556614278	5.76423002475497e-10	1.42193074292478e-07
TIGIT	5.30093734536732	1.62560116271248	0.286289728177218	7.74874865573512e-10	1.7893499299635e-07
HLA-DQA1	1.47513038672194	2.14783033758481	0.374542972309455	7.91310085113762e-10	1.7893499299635e-07
HCST	47.4545884053941	0.409289947063593	0.0690780285190501	8.66525301936116e-10	1.88105312544292e-07
PPIA	50.4187671453756	0.323796448445863	0.0546152089707291	9.30489795925098e-10	1.94221850864827e-07
CORO1A	35.6780513332425	0.459305249774742	0.0790732595803524	1.54568931998527e-09	3.10683553317039e-07
PYCARD	4.00544371846675	1.05297392577442	0.19008405814849	1.79733021775207e-09	3.48361110419303e-07
RPS12	296.06629399743	-0.314802983920586	0.053882723788	2.0309430328594e-09	3.80066477218206e-07
PPP1CA	13.3258687485521	0.605932997307235	0.106834850172055	2.39617206771025e-09	4.06375806608235e-07
