""	baseMean	log2FoldChange	lfcSE	pvalue	padj
ITM2B	120.611398177164	-0.350731891103023	0.0470296581568455	1.35877108914699e-14	1.06160785195054e-10
NEAT1	263.263810539661	0.512917234140901	0.0802832341903648	1.29905664450556e-11	5.07476478176095e-08
RSRP1	23.8170525729144	0.622459782558746	0.107494402524534	4.19167108387658e-10	8.18738154458192e-07
FTH1	1145.84218502336	-0.402316812648598	0.0679455861046611	3.86951675991516e-10	8.18738154458192e-07
PCBP1	61.7457264366314	-0.375953869478896	0.0663301925806624	1.91520134342088e-09	2.99269361922947e-06
ZEB2	51.1873884253344	0.424550604300791	0.076474266027692	2.54870610954695e-09	3.31884013898171e-06
BIRC3	4.91726206392005	0.917738251202737	0.170658265362335	3.29868237658312e-09	3.68180077260627e-06
EIF1	230.250940179336	-0.215803274233963	0.0404638402676993	3.23440473177608e-08	3.15880052117081e-05
GSTM1	1.96409990529604	-3.24007046584919	0.77290085666778	3.77698874500156e-08	3.27884589607747e-05
SKP1	22.1788132207821	-0.521548123103372	0.104788466099396	6.2372117313042e-08	4.62636019535511e-05
CLIC1	78.3461102897846	-0.286249458533523	0.0563458816356255	7.43317646130893e-08	4.62636019535511e-05
DOCK5	7.07192758460711	0.623532128906118	0.129378676233955	8.28990691603373e-08	4.62636019535511e-05
VMP1	24.30980019385	0.538929759225524	0.110616819366971	7.04819970660358e-08	4.62636019535511e-05
ADA2	30.2722536190785	0.405882736123002	0.0826811618162054	8.13470334335097e-08	4.62636019535511e-05
COL6A3	1.88580027354372	2.04072587269011	0.43338928247909	1.12785463708958e-07	5.87461885305394e-05
FPR1	16.5510363438222	-0.878487271975703	0.187512028023977	1.21236065951718e-07	5.92010864550483e-05
ANKRD44	13.9307392328507	0.485760799202885	0.102472184209099	1.49456761948462e-07	6.49340088677706e-05
WSB1	21.1831934517196	0.430549446706399	0.0903670501420529	1.49598382134887e-07	6.49340088677706e-05
