""	baseMean	log2FoldChange	lfcSE	pvalue	padj
ZFP36L2	67.7597703979738	-0.891764908686738	0.132564425198944	7.4029132554008e-13	3.58861675988817e-10
ZFP36	24.0339864932507	-1.55034649365847	0.228321202616643	8.01925532935903e-13	3.58861675988817e-10
JUNB	39.0136152570252	-1.00595109382631	0.177052040239535	8.52046839378066e-10	2.5419397374779e-07
EEF2	30.9196958813333	-0.66486839712029	0.122296782272347	2.56799726674105e-09	5.74589388433309e-07
DUSP1	38.4960704876867	-1.21930708811398	0.272342181478608	3.06659190571841e-07	5.48919951123595e-05
TRBC1	6.77626981826058	0.909671186937209	0.2120211108154	8.33852055913167e-07	0.000106613941434612
TSC22D3	19.0743337274026	-0.953010528574246	0.218306194169132	7.32268773644459e-07	0.000106613941434612
LINC00861	4.72010209604015	0.63585479402119	0.181010442051012	1.98022117332744e-05	0.00221537243766007
TMSB4X	202.52474341431	0.253359152684541	0.0721965225912225	6.73414160656369e-05	0.00611493152982509
GADD45B	4.45330837239857	-0.873333508673747	0.273380024832914	6.83232573164814e-05	0.00611493152982509
FOS	21.9023998904262	-0.177801751324335	96.8552128210567	8.28529899635601e-05	0.00674122054703511
HIST1H4C	4.37419608770167	-0.724806487990814	0.235720026013315	0.000105807730270175	0.00789149321598388
LYAR	10.9652085608943	-0.45475009046571	0.152836244664022	0.000187814181100996	0.0110607773212978
TNFAIP3	17.0755826289381	-0.761240789300113	0.267933006580547	0.000197734566637726	0.0110607773212978
RPL26	62.1592033311263	-0.400300507829162	0.134539810001206	0.000188894387245802	0.0110607773212978
MT-CO2	399.604860737647	0.324187590785187	0.103498436735819	0.000178504065549239	0.0110607773212978
RPL5	82.9232491555758	-0.228883898053864	0.0708357675544152	0.000218831507927801	0.0115208352703166
SRGN	24.7096155034601	-0.372861272446387	0.125599184370715	0.000264801958495429	0.0131665418251894
GIMAP7	7.46646200558215	0.642285908315181	0.246539497090654	0.000330504066987454	0.0142476851429993
LUC7L3	3.75646487690794	0.565993016821437	0.21100692370725	0.00031090717680579	0.0142476851429993
