""	baseMean	log2FoldChange	lfcSE	pvalue	padj
HLA-DQA1	56.7572372832695	-0.538855717158385	0.0947640641991121	7.2166794880681e-10	1.20157713476334e-06
HLA-DRB1	129.21366761306	-0.527815101159918	0.103996406735169	1.99734751555875e-08	1.66279180670266e-05
LAPTM5	55.8898984169028	-0.386901837424937	0.088396166969985	9.07944185747439e-07	0.000410276238759978
RPL13A	144.189086840675	0.227110367736132	0.050760622951579	9.85648621645592e-07	0.000410276238759978
MTRNR2L8	6.78365997837755	-1.5041707155593	0.378108518678719	2.02360286231762e-06	0.000673859753151767
LTB	99.4822115458728	0.454167178647446	0.113425029750668	3.32056548627835e-06	0.000921456922442243
TSC22D3	52.4109155924308	-0.564165438107981	0.151735824118032	8.9151475633844e-06	0.00185546508662938
RPS20	47.970838914024	0.316197440829874	0.0816315471280702	8.35893339870046e-06	0.00185546508662938
PPP2R5C	5.00519500322577	0.636255212752576	0.176992516303269	1.41330168084552e-05	0.00261460810956422
DUSP2	5.75022899177848	-1.34535917123997	0.380152459144093	1.70760441088112e-05	0.00284316134411707
HLA-DPB1	119.653322220817	-0.339001176797414	0.0972036433681832	2.9033586432356e-05	0.00439462921907934
CD74	1025.69025814617	-0.222749302571416	0.0616660651632293	3.38411278360434e-05	0.00469545648725103
ZFP36	20.8738737549723	-0.582605181282892	0.176885504402369	3.98189566662769e-05	0.00509988944995008
COTL1	30.9240834703237	-0.334233307087221	0.0995038472398906	4.5471766765758e-05	0.00540789226178479
RPL21	142.213863675824	0.711572822549426	0.219071437399665	5.27151087675518e-05	0.00585137707319825
RIPOR2	19.5450684557609	0.325617242688176	0.0978196921071419	5.67617754114001e-05	0.00590677225374883
PTPRCAP	6.88345521435472	-0.716421011449267	0.229079978223677	6.63609799006836e-05	0.00649947244321401
HLA-DPA1	122.261664842935	-0.268064888796096	0.0809083850820311	7.53161106880518e-05	0.0069667402386448
BIRC3	7.63576721282939	0.518040321748997	0.164609283390283	8.16338681430887e-05	0.00715370476096014
RPL27A	62.3152969141628	0.273921226281512	0.0852526532386552	0.000102015245627024	0.00849276919844975
RPL23A	206.690707381212	0.171405064477492	0.0505422724585182	0.000128085110742656	0.0101553194945963
ACTB	295.53865360754	-0.297617824292038	0.096352847437752	0.000136668526947688	0.0103433226076318
RPS11	78.9155053086928	0.178094384597516	0.0541138630420605	0.000169519584786761	0.0122717438552156
FCMR	21.1730157645817	-0.341952053630389	0.117553788558271	0.000199670182710007	0.0127865713158524
XIST	7.04378393583396	0.560790061383237	0.194588599709583	0.000192506924994094	0.0127865713158524
FTH1	102.740827083769	-0.245489885778043	0.0794508883790064	0.000186483316828475	0.0127865713158524
LNPEP	4.236368938737	0.519545020667441	0.187056770771718	0.00024074225958034	0.014315566507188
TUFM	8.46507861997785	-0.414671026745635	0.148637272474784	0.000240336427470727	0.014315566507188
RPL27	91.8954393949149	0.183227150387607	0.0580983516296007	0.000258177708671543	0.0148229615495903
EIF4A2	16.8514196960693	0.28608291973006	0.0982453053144727	0.000269251723609656	0.0149434706603359
RHOB	7.02347104252582	-0.911574490966283	0.360330258413911	0.000341719930315409	0.018353667225005
