""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS26	109.437899406963	0.811472378374649	0.123701553732328	3.53415789332948e-12	1.16556527322006e-08
SGK1	3.66174942386639	-2.51283112628271	0.523305849189417	9.3018374821526e-08	0.000153387300080696
CRIP1	17.8823726725315	-1.76748909250978	0.446651044769577	2.37697187024137e-06	0.00261308440935201
IGKV3D-11	249.095911039868	-0.00913210296914592	0.0806344690395966	6.90040522477345e-06	0.00491520980155669
IGHV6-1	48.9799891919713	-0.0177833509984074	0.0828113190983301	7.45180382285732e-06	0.00491520980155669
NME2	15.3004262802411	-0.799665232403841	0.220833250804838	1.01365405590334e-05	0.00557171846061535
RPL21	66.0184503684363	0.964857973500532	0.272142913443952	1.84611736303597e-05	0.00869785009041802
MRPS24	3.94599001915024	-0.973531214665205	0.307069971943451	4.748097989559e-05	0.019574033961957
HIST1H4C	50.1440471512843	-0.0468568344265824	0.101613855890869	9.07146103600867e-05	0.0332418649963962
CTSH	13.2754173949131	-0.669584055790748	0.232879455719356	0.000151737650747731	0.045493706560547
RABAC1	17.9942267681007	-0.569703009027317	0.200052564844204	0.000149503907859839	0.045493706560547
DUSP5	2.1829950322192	-1.13641683105396	0.405215185814085	0.00017577839827149	0.0483097631249479
SLC7A5	3.77462664348419	-1.02291343813761	0.360060143489546	0.000206964680677361	0.0525053474518413
MTRNR2L8	7.41653844259054	-0.0537636017182473	0.108899088102373	0.000288528079824984	0.0679689719473427
PABPC4	8.47758871822841	0.545830769461818	0.212722589640308	0.000347937670520334	0.0717186523360038
TMEM106C	3.68618869977496	-0.827497431923957	0.311700755746237	0.000327913101347412	0.0717186523360038
RRM1	2.1441426773056	-0.107968737131431	0.306411059649245	0.000486141679845934	0.0943114858901112
H2AFZ	33.0001287390416	-0.651922843316718	0.275806052383555	0.000573444331145782	0.105067744673266
P4HB	46.0939129017099	-0.453327222346486	0.189609699542052	0.000607127687098906	0.105384584844852
RPS17	5.33736754397148	-0.718858265205952	0.307892806423139	0.000644826559011085	0.106331899580928
PIM1	4.15704282563465	-0.771803554675951	0.34831346452887	0.000823072762565679	0.129261617663886
MOB1A	5.64409693488511	0.458551535256832	0.210747494091152	0.00103041658576559	0.131076075505022
AC116366.3	2.03293173034257	0.877400694558535	0.429868279962686	0.000880651742320897	0.131076075505022
UQCRQ	27.4620720558616	-0.277064214538532	0.11715529051838	0.00104053874479061	0.131076075505022
GLO1	3.31364751192716	-0.656488453853986	0.29934657065838	0.00102611929307071	0.131076075505022
NUDT1	2.38991583058264	-0.747190397940698	0.341131937120164	0.00107309097593559	0.131076075505022
PSMB10	10.2178153973589	0.336723815504346	0.145010393876824	0.000916662547533686	0.131076075505022
SMC1A	4.40433403968092	-0.572086577738802	0.26517628317655	0.00119651583908358	0.136072732320608
COPE	24.0595374632565	-0.328729662109544	0.146204950946523	0.00117881195158761	0.136072732320608
CDK1	2.52502526717135	-0.054524977809496	0.109355674489583	0.00127143030114951	0.13977257110637
CENPU	1.98802436416803	-0.102672848405547	0.242336294509566	0.00136706153030974	0.14543770732134
ATP2A3	6.00074051359881	-0.469463320095978	0.23134116646853	0.00150358108468153	0.15496282553999
NBEAL1	1.91977185431231	-0.978177935000368	0.496695771313276	0.0015764739374787	0.157551849872872
GPAA1	7.77093728891852	-0.483743344666911	0.251277359195561	0.00177859574342838	0.159586215990433
NDUFB6	11.8261165454509	-0.329883648610522	0.159456199790271	0.00183877386526272	0.159586215990433
BIRC5	3.34338884384973	-0.0754998365436223	0.14310039457351	0.00181680829824484	0.159586215990433
LSM4	5.20642631374901	-0.535805517877199	0.266800495086635	0.00166169663114159	0.159586215990433
MCM5	4.10345684734752	-0.716519927218137	0.380627212876366	0.00182116589750578	0.159586215990433
