""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MTRNR2L8	12.9644479952794	-1.90991901508114	0.298645718968075	5.03229766958081e-12	2.60572373330894e-08
SNHG7	11.0347234249993	-0.629754228118622	0.109667018244782	5.47410113414467e-10	1.41724478363006e-06
VIM	601.642887889999	-0.353443172405403	0.0692992890251979	1.85857671721462e-08	3.20790341391244e-05
PABPC4	11.4888129084481	0.531010230422503	0.112645886908808	1.09938944487339e-07	0.000127326723068218
HLA-DRB5	381.327389767248	0.682447645484961	0.144917754638135	1.22949713275606e-07	0.000127326723068218
DUSP2	21.2521452016283	-1.4565216920071	0.320159351418463	1.78327219476127e-07	0.000153896390407897
HSD17B11	11.0702387873986	0.792459963365415	0.177336079493098	3.63656269213047e-07	0.000248849859878369
CDKN1A	14.5846256933851	-0.872370322585733	0.198098739880135	3.84472552921389e-07	0.000248849859878369
CSRNP1	5.78045261885404	-0.927279074580452	0.212521937186911	5.08740518316572e-07	0.000292695378204801
FTH1	858.045224726628	-0.254821430817404	0.0582495600625685	8.4973052920796e-07	0.000439990468023882
NBEAL1	5.13674057928511	-0.928858824465553	0.219712472676377	1.02192756355803e-06	0.000481049174918497
BHLHE40	15.5134427360323	-0.732531631738178	0.177196725164079	1.27353501400762e-06	0.000549530358544289
RPL27A	121.800852918013	0.285661119453295	0.0696824375168226	2.73684114756604e-06	0.00109010488169977
CD55	13.8435231053385	-0.491414821303549	0.124832499124673	3.58119975191194e-06	0.00132453230824286
TUFM	27.5223795874995	-0.322942688264446	0.0808265275664513	4.1338244423411e-06	0.00140326346666325
TUBB6	3.28012156947344	-0.923150311217636	0.238975089042429	4.33607869189107e-06	0.00140326346666325
RPS26	290.315371662165	0.711128382986141	0.183527277517595	4.9370545531866e-06	0.00145649460066916
RPL27	191.140973488025	0.127449663601253	0.0302975519970714	5.06313302665989e-06	0.00145649460066916
LMO4	6.62646552870893	0.540987254604725	0.141856281141703	5.95696033975023e-06	0.00162342845469614
ZFP36	119.836302007752	-0.504806258602602	0.133791693877739	6.53151194959833e-06	0.00169100844375101
RPL7	189.231291899947	0.135848892015164	0.0330441506336347	7.14543726401688e-06	0.00176186067395616
TYMP	65.9818204490625	0.336168066748398	0.0906639323174443	1.09584142631025e-05	0.00257921222974294
CASP1	37.2861425925538	0.279877302473659	0.0752628339910774	1.24833699146128e-05	0.00277519080634099
UBA52	267.014249006178	0.114242974193137	0.0282629048897827	1.28629933086488e-05	0.00277519080634099
HERPUD1	27.0614975818837	-0.427196890989991	0.118647176690779	1.41273938526709e-05	0.00292606581476519
RPL21	239.974765336007	0.657308390349173	0.186191360538363	1.80240410034207e-05	0.00358955708906586
NME4	7.39135892208699	-0.590330078214833	0.168118122004038	1.90547217670311e-05	0.00365427219665507
