pre_up	pre_down	post_up	post_down
CYTL1	LINC02446	RIC3	HBA1
COL6A3	RAB11FIP5	AIF1	ZNF90
CD300C	TP53I11	LYZ	AREG
HDAC9	LAG3	MNDA	RBPMS2
SCIMP	ZNF683	KANSL1-AS1	CHRNE
LAIR2	LINC00944	CFD	MTRNR2L8
AC004585.1	GSTM1	COL6A3	IGKC
TIAM1	PERP	SERPINA1	LINC02446
AC245014.3	GPR25	TNFRSF9	PSPH
Z93241.1	IGKV3-20	TRGV3	APOLD1
TCEAL4	IRF4	PRSS21	KIAA1671
DMKN	NME4	SPI1	AL136454.1
PER2	KIAA1671	LST1	CCDC144A
GSN	PTMS	GTSF1	EDARADD
ARHGAP19	DAPK2	CYBB	RAB11FIP5
STAP1	CHRNE	SLC4A10	ZNF683
SNHG22	KLRC3	JAML	LINC02325
A2M-AS1	CADM1	GZMK	NME4
MGAM	AL590399.1	CARD6	LDOC1
MT-ATP8	PDE3B	S100A8	KLRC3
FADS2	CDC14B	RAMP1	NBEAL1
IL18	TOLLIP-AS1	KLRG1	AL133338.1
PDE6G	ANXA5	P2RY11	NECTIN1
COLQ	MCOLN2	HLA-DQA1	AL162377.1
MPP1	KIR2DL1	RPL21	KIR2DL1
IRF8	MTRNR2L8	FCN1	AC010226.1
LTB	LDOC1	HLA-DQB1	METRNL
SULT1B1	OASL	CHI3L2	ZNF14
KANSL1-AS1	CLCF1	AC022182.2	GSTM1
AIF1	TRG-AS1	LTBR	PDE3B
BNC2	HPGD	PPBP	WDR19
TMIGD2	TRGV8	CISH	SYCP2
LST1	PAOX	HSD17B11	APOA1
PAICS	GPR153	S100A9	FGFR1
CYSLTR1	DOCK5	CD300C	CDC14B
FCER1G	EVA1C	FCGRT	IRF4
SYNJ2	CD3G	IL32	SLC22A5
ITGA6	KIR3DL1	DHCR7	SNX9
LDB2	EDARADD	IL12RB2	IGHA1
SOX4	GDPD5	DUSP6	PLPPR2
PLCB1	AL357060.1	FADS2	FADS3
CAMK1	C20orf194	HDAC9	MPP5
SPECC1	FCGR3B	AC004585.1	KLRC4
KCTD10	SLC22A5	MID1IP1	C20orf194
NABP1	HNRNPLL	INF2	AL662844.4
AC008035.1	RHOB	BCL2A1	MXD3
AF165147.1	PNMA1	ICA1	TRPM2
HLA-DMB	PRSS57	MYL6B	NSG1
NEK6	LTBP4	ADAM28	AC093249.6
TCF4	CLUH	PAQR8	WHRN
PECAM1	AL136454.1	A2M-AS1	AGAP1
LINC01684	AC136475.1	HLA-DRB5	SNHG9
HIGD1A	NPIPB11	MICAL2	DOCK5
CST3	GGH	FUT7	XRRA1
CLEC11A	TRGV9	LINC00996	HOXC4
RGS1	KIFC3	HLA-DMB	EGLN2
WDR74	CARNS1	AL590764.1	TOLLIP-AS1
LGALS9B	AC243829.1	AL158071.3	ANKRD9
RAMP1	TGIF1	TNFSF8	PDE8A
AC007952.4	ODC1	FAH	AKAP5
CYTH3	CHPT1	COQ5	GPR153
GTSF1	CEBPB	LTA	DMGDH
AC103591.3	KLRC4	TNFSF10	EVA1C
OR4D1	SH2D2A	CLEC12A	POMZP3
B4GALT6	NOP14-AS1	EOMES	GDPD5
RAB11FIP1	ATXN7L2	LDB2	PER1
LINC01588	C7orf50	GPKOW	TLE2
CENPK	PHF1	NDFIP2	AUTS2
IL18RAP	ZNF628	TMEM187	SPACA6
TNFAIP8L2	SNAI3	AP003774.4	RAB11FIP3
CCDC28B	RBPMS2	ACTA2	PLXNA4
L3MBTL4	TRBC2	LINC01684	ZNF596
MIR181A2HG	SGSH	CD68	AGPAT4
HVCN1	NBEAL1	GATB	AL135999.1
TNFSF14	SYTL3	CMC1	ZNF484
XCL1	SAMSN1	UTS2	HSDL1
RPL21	AL022328.4	HLA-DRB1	SNHG19
HIPK1	GRAMD1B	PVT1	PDZD4
XCL2	GALM	CASK	NTNG2
PLXNC1	TUBB2A	ORMDL3	FCGR3B
FAM24B	FBXL14	COTL1	KIR3DL1
ORAI2	JAKMIP1	LGALS9B	BAG3
RASA1	AFAP1	HLA-DMA	AC004832.6
ELOVL6	C4orf48	KCTD10	NME8
ZBTB10	MECR	SLFN5	CD83
UBAP2	CIITA	OAS2	ZYG11B
IL2RB	CXCR4	MED18	RGCC
BX284668.5	TBKBP1	HVCN1	LINC00944
