"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"nlp"
"CD8-Naive:NLR_post_down"	"hsa03010"	"Ribosome"	"39/115"	"158/8159"	2.5792729469459e-39	4.77165495184992e-37	4.77165495184992e-37	"RPS13/RPS8/RPS28/RPL34/RPL35A/RPS15A/RPL19/RPL30/RPL11/RPL5/RPS21/RPL10/RPL12/RPL32/FAU/RPS14/RPS5/RPL18/RPS12/RPL37/RPL22/RPL14/RPS23/RPL39/RPS4X/RPL36/RPLP0/RPS2/RPS15/RPL29/RPS29/RPS10/RPL7A/RPL37A/RPL28/RPLP2/RPL38/RPL26/RPS7"	39	36.3213309685904
"CD8-Naive:NLR_post_down"	"hsa05171"	"Coronavirus disease - COVID-19"	"43/115"	"232/8159"	8.60693217360436e-38	7.96141226058403e-36	7.96141226058403e-36	"RPS13/RPS8/RPS28/RPL34/RPL35A/RPS15A/RPL19/RPL30/RPL11/RPL5/RPS21/IL6ST/RPL10/RPL12/RPL32/FAU/RPS14/RPS5/RPL18/RPS12/RPL37/RPL22/RPL14/RPS23/RPL39/RPS4X/RPL36/RPLP0/RPS2/RPS15/RPL29/RPS29/IL6R/RPS10/RPL7A/RPL37A/RPL28/RPLP2/RPL38/RPL26/RPS7/NFKBIA/STAT3"	43	35.0990098867126
"CD56-NK:NLR_pre_up"	"hsa03010"	"Ribosome"	"21/23"	"158/8159"	6.66364387623158e-35	1.6659109690579e-33	1.61330325424554e-33	"RPS27/RPL37A/RPL21/RPL39/RPL37/RPS6/RPL13A/RPL27A/RPL23A/RPL7/RPS20/RPL23/RPL38/RPS29/RPL27/UBA52/RPL9/RPL31/RPL34/RPS18/RPL35"	21	32.7922839901643
"CD56-NK:NLR_pre_up"	"hsa05171"	"Coronavirus disease - COVID-19"	"21/23"	"232/8159"	3.29747730846539e-31	4.12184663558174e-30	3.991683057616e-30	"RPS27/RPL37A/RPL21/RPL39/RPL37/RPS6/RPL13A/RPL27A/RPL23A/RPL7/RPS20/RPL23/RPL38/RPS29/RPL27/UBA52/RPL9/RPL31/RPL34/RPS18/RPL35"	21	29.3988439492967
"CD8-Naive:NLR_pre_down"	"hsa03010"	"Ribosome"	"22/83"	"158/8159"	1.18204413565151e-19	1.4125961547511e-17	1.32443585403756e-17	"RPS13/RPL5/RPL10/RPL32/RPL19/RPS5/RPL14/RPS4X/RPS8/RPL18/RPL11/RPS15A/RPL30/RPLP0/RPL18A/RPL12/RPS12/RPL26/RPL29/FAU/RPL7A/RPL8"	22	16.877969070898
"CD8-Naive:NLR_pre_down"	"hsa05171"	"Coronavirus disease - COVID-19"	"25/83"	"232/8159"	1.54382093415421e-19	1.4125961547511e-17	1.32443585403756e-17	"RPS13/RPL5/RPL10/RPL32/RPL19/RPS5/RPL14/RPS4X/RPS8/RPL18/RPL11/RPS15A/RPL30/NFKBIA/RPLP0/RPL18A/RPL12/IL6ST/FOS/RPS12/RPL26/RPL29/FAU/RPL7A/RPL8"	25	16.877969070898
"CD56-NK:NLR_post_down"	"hsa05171"	"Coronavirus disease - COVID-19"	"21/54"	"232/8159"	3.11591506396954e-19	5.14125985554974e-17	4.09988824206518e-17	"RPS28/RPS21/FAU/RPL34/RPL35A/RPL36/RPL39/NFKB1/RPS29/RPL14/RPL10/NFKBIA/RPS15A/RPS27/RPS7/RPS14/RPL37/RPL41/RPL30/RPLP2/PIK3R1"	21	16.3872279814549
"CD56-NK:NLR_post_down"	"hsa03010"	"Ribosome"	"18/54"	"158/8159"	2.9297218574667e-18	2.41702053241003e-16	1.92744859043862e-16	"RPS28/RPS21/FAU/RPL34/RPL35A/RPL36/RPL39/RPS29/RPL14/RPL10/RPS15A/RPS27/RPS7/RPS14/RPL37/RPL41/RPL30/RPLP2"	18	15.715017196772
"CD4-Naive:NLR_post_up"	"hsa03050"	"Proteasome"	"24/468"	"46/8159"	2.2056757886373e-18	6.72731115534375e-16	5.13109841356676e-16	"PSMA5/PSME2/PSMB9/PSMA4/PSMB8/PSMD8/PSMB7/PSMA7/PSMC5/PSMB10/PSMD11/PSMB1/PSME1/POMP/PSMB3/PSMC2/PSMD4/PSMA3/PSMB2/PSME3/PSMD13/PSMC6/PSMC4/PSMD14"	24	15.2897896555728
"CD4-Activated:NLR_pre_up"	"hsa03010"	"Ribosome"	"29/194"	"158/8159"	3.02800294282752e-18	7.17636697450123e-16	5.92851102490441e-16	"RPL23A/RPL27A/RPL27/RPS20/RPL35/RPL21/RPL13A/RPS6/RPL37A/RPS11/RPS18/RPS27/RPL31/RPS25/RPL9/MRPL33/RPL38/RPLP2/RPL23/RPS27L/RPS19/RPS16/RPL37/UBA52/RPL4/MRPL1/RPS24/RPS23/RPL3"	29	15.2270543681646
"CD4-Activated:NLR_pre_up"	"hsa05171"	"Coronavirus disease - COVID-19"	"33/194"	"232/8159"	3.77100113521429e-17	4.46863634522893e-15	3.69161163763083e-15	"RPL23A/RPL27A/RPL27/RPS20/RPL35/RPL21/RPL13A/RPS6/RPL37A/RPS11/RPS18/RPS27/RPL31/RPS25/CASP1/RPL9/RPL38/RPLP2/RPL23/RPS27L/DDX58/RPS19/RPS16/RPL37/UBA52/IKBKE/STAT1/RPL4/PRKCB/STAT2/RPS24/RPS23/RPL3"	33	14.4327839935902
"CD8-Activated:NLR_pre_down"	"hsa03010"	"Ribosome"	"31/268"	"158/8159"	3.44284831520861e-16	9.43340438367159e-14	7.93667137927037e-14	"MRPL10/RPL5/FAU/RPS7/RPS15A/RPL11/RPS13/RPL10/RPL14/RPL12/RPL30/RPS8/RPL26/MRPL23/RPL18A/RPL8/RPL36AL/RPL19/RPS2/RPL7A/RPL18/RPL6/RPS15/MRPS2/RPS28/RPS4X/RPS3/RPL36A/RPL29/RPLP0/RPS12"	31	13.1003616014411
"CD8-Activated:NLR_post_down"	"hsa03010"	"Ribosome"	"31/277"	"158/8159"	8.85038186217181e-16	2.44270539395942e-13	2.24520213556148e-13	"RPS21/RPS28/RPS29/RPS15A/RPL36/RPL37/RPS10/RPL34/FAU/RPL35A/MRPL23/RPL36A/RPL12/RPL39/RPL26/RPL37A/RPS27/RPL41/RPL38/RPS7/RPS17/RSL24D1/RPL30/RPLP2/RPL28/RPL14/RPS14/MRPL9/RPS8/MRPL10/RPL36AL"	31	12.6487445533657
"CD16-NK:NLR_post_down"	"hsa03010"	"Ribosome"	"34/358"	"158/8159"	4.4115559160835e-15	1.22200098875513e-12	1.07270464906872e-12	"RPS28/RPS21/RPL34/RPL36/FAU/RPS29/RPL39/RPL35A/RPL14/RPL41/RPS15A/RPS14/RPL37/RPL30/RPS10/RPL38/MRPL23/RPL12/RPS27/RPLP2/RPL36A/RPL22/RPL11/RPL36AL/RPL26/RPS7/RPS17/RPL28/RPL37A/RPS27A/RPS12/RPS15/RPL32/RSL24D1"	34	11.9695198371547
