Cluster	cellType	Time	Pathway	nlp	GeneRatio
CD16-NK:NLR:post:Antigen processing and presentation	CD16-NK	post	Antigen processing and presentation	5.86325659008966	0.0447761194029851
CD16-NK:NLR:post:Apoptosis	CD16-NK	post	Apoptosis	1.45572587110112	0.0348258706467662
CD16-NK:NLR:post:Cell adhesion molecules	CD16-NK	post	Cell adhesion molecules	1.0871282391495	0.0348258706467662
CD16-NK:NLR:post:Fatty acid metabolism	CD16-NK	post	Fatty acid metabolism	1.48239425507043	0.0199004975124378
CD16-NK:NLR:post:Graft-versus-host disease	CD16-NK	post	Graft-versus-host disease	3.45874597817868	0.0248756218905473
CD16-NK:NLR:post:HIF-1 signaling pathway	CD16-NK	post	HIF-1 signaling pathway	-1.34830122789978	-0.0363128491620112
CD16-NK:NLR:post:Leukocyte transendothelial migration	CD16-NK	post	Leukocyte transendothelial migration	1.67593449414376	0.0323383084577114
CD16-NK:NLR:post:Lysosome	CD16-NK	post	Lysosome	1.27996774432994	0.0323383084577114
CD16-NK:NLR:post:NF-kappa B signaling pathway	CD16-NK	post	NF-kappa B signaling pathway	1.96759784509989	0.0323383084577114
CD16-NK:NLR:post:NOD-like receptor signaling pathway	CD16-NK	post	NOD-like receptor signaling pathway	3.75114029317567	0.0597014925373134
CD16-NK:NLR:post:Natural killer cell mediated cytotoxicity	CD16-NK	post	Natural killer cell mediated cytotoxicity	2.73588885644923	0.0422885572139304
CD16-NK:NLR:post:Nucleotide metabolism	CD16-NK	post	Nucleotide metabolism	0.743984861101545	0.0199004975124378
CD16-NK:NLR:post:Oxidative phosphorylation	CD16-NK	post	Oxidative phosphorylation	-1.34830122789978	-0.0418994413407821
CD16-NK:NLR:post:PD-L1 expression and PD-1 checkpoint pathway in cancer	CD16-NK	post	PD-L1 expression and PD-1 checkpoint pathway in cancer	-1.05722123083985	-0.0279329608938547
CD16-NK:NLR:post:RNA degradation	CD16-NK	post	RNA degradation	-0.74916868077918	-0.0223463687150838
CD16-NK:NLR:post:Ribosome	CD16-NK	post	Ribosome	-11.9695198371547	-0.0949720670391061
CD16-NK:NLR:post:T cell receptor signaling pathway	CD16-NK	post	T cell receptor signaling pathway	-0.798020958958434	-0.0279329608938547
CD16-NK:NLR:post:TNF signaling pathway	CD16-NK	post	TNF signaling pathway	-0.722996588337221	-0.0279329608938547
CD16-NK:NLR:post:Th1 and Th2 cell differentiation	CD16-NK	post	Th1 and Th2 cell differentiation	3.39259555513235	0.0373134328358209
CD16-NK:NLR:pre:Antigen processing and presentation	CD16-NK	pre	Antigen processing and presentation	-3.00935945435911	-0.0474137931034483
CD16-NK:NLR:pre:Ferroptosis	CD16-NK	pre	Ferroptosis	-2.05425144419352	-0.0301724137931034
CD16-NK:NLR:pre:Graft-versus-host disease	CD16-NK	pre	Graft-versus-host disease	-1.23992686572142	-0.0258620689655172
CD16-NK:NLR:pre:Leukocyte transendothelial migration	CD16-NK	pre	Leukocyte transendothelial migration	1.22894812302806	0.03690036900369
CD16-NK:NLR:pre:Lysosome	CD16-NK	pre	Lysosome	1.05607558569637	0.03690036900369
CD16-NK:NLR:pre:NOD-like receptor signaling pathway	CD16-NK	pre	NOD-like receptor signaling pathway	0.884145998348315	0.044280442804428
CD16-NK:NLR:pre:Natural killer cell mediated cytotoxicity	CD16-NK	pre	Natural killer cell mediated cytotoxicity	1.06444808872352	0.03690036900369
CD16-NK:NLR:pre:Oxidative phosphorylation	CD16-NK	pre	Oxidative phosphorylation	2.33738692039515	0.0516605166051661
CD16-NK:NLR:pre:PD-L1 expression and PD-1 checkpoint pathway in cancer	CD16-NK	pre	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.746519515666305	0.025830258302583
CD16-NK:NLR:pre:Ribosome	CD16-NK	pre	Ribosome	-8.48894672527621	-0.103448275862069
