"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"nlp"
"CD4-Naive:NLR_pre_up"	"hsa04066"	"HIF-1 signaling pathway"	"5/139"	"109/8159"	0.0381517201613801	0.227439552081331	0.192771732454443	"RPS6/MKNK2/RBX1/ENO1/PRKCB"	5	0.714956649577901
"CD4-Activated:NLR_post_down"	"hsa05235"	"PD-L1 expression and PD-1 checkpoint pathway in cancer"	"12/481"	"89/8159"	0.00575438283126627	0.212802256735709	0.192325271903618	"CSNK2B/EML4/STAT3/PIK3R1/NFATC1/AKT1/HIF1A/PPP3CC/AKT3/TRAF6/CSNK2A1/RPS6KB1"	12	0.715963644897456
"CD4-Activated:NLR_post_down"	"hsa00310"	"Lysine degradation"	"9/481"	"63/8159"	0.0109897482859678	0.212802256735709	0.192325271903618	"SETD2/SETD7/ASH1L/PHYKPL/NSD3/KMT2E/EZH1/KMT2C/KMT5C"	9	0.715963644897456
"CD4-Activated:NLR_post_down"	"hsa00190"	"Oxidative phosphorylation"	"15/481"	"134/8159"	0.0121806005538958	0.212802256735709	0.192325271903618	"NDUFB1/UQCRQ/NDUFA3/ATP5ME/NDUFC1/ATP5F1E/ATP6V0C/UQCR11/NDUFA13/NDUFA7/COX6C/ATP6V0E2/NDUFA1/TCIRG1/CYCS"	15	0.715963644897456
"CD8-Activated:NLR_post_down"	"hsa03018"	"RNA degradation"	"7/277"	"79/8159"	0.0174111922719815	0.208934307263778	0.192041068079979	"EXOSC6/DDX6/BTG3/CNOT1/BTG2/BTG1/PAN3"	7	0.716605887268842
"CD8-Activated:NLR_pre_up"	"hsa03010"	"Ribosome"	"17/565"	"158/8159"	0.0457817504243156	0.228908752121578	0.190395200211563	"RPL27A/RPL37A/RPL21/RPS20/RPL27/MRPS14/RPL23A/MRPL27/MRPL35/RPL26L1/RPS27L/RPS11/RPL38/MRPL36/RPS27/MRPL33/MRPS10"	17	0.72034400420736
"CD16-NK:NLR_post_down"	"hsa04668"	"TNF signaling pathway"	"10/358"	"112/8159"	0.0249037653342593	0.215573218674682	0.189235848428089	"CEBPB/AKT2/TNFAIP3/AKT3/ITCH/NFKBIA/IRF1/BCL3/MAP3K8/MAPK1"	10	0.722996588337221
"CD8-Activated:NLR_pre_up"	"hsa00190"	"Oxidative phosphorylation"	"15/565"	"134/8159"	0.0436124154436357	0.225454012039134	0.187521714931601	"NDUFA12/NDUFB3/NDUFS6/COX7B/NDUFA8/ATP5MF/ATP6V1C1/NDUFS1/ATP5PF/NDUFB7/NDUFB2/COX7C/NDUFA1/COX6B1/NDUFB6"	15	0.726948433915388
"CD4-Activated:NLR_pre_down"	"hsa04620"	"Toll-like receptor signaling pathway"	"5/183"	"104/8159"	0.0840528145452405	0.241312919178271	0.186466911724586	"FOS/NFKBIA/JUN/RELA/PIK3R1"	5	0.729398221926742
"CD8-Activated:NLR_post_up"	"hsa05332"	"Graft-versus-host disease"	"6/531"	"42/8159"	0.052699376343917	0.225553330751965	0.182691171325579	"PRF1/KLRC1/HLA-A/HLA-DRB5/KLRD1/FAS"	6	0.738282439714941
"CD4-Activated:NLR_pre_down"	"hsa00190"	"Oxidative phosphorylation"	"6/183"	"134/8159"	0.0805075269312376	0.23621439220484	0.182527186564749	"ATP6V0E2/ATP6V0C/SDHD/ATP5F1A/NDUFA11/PPA1"	6	0.738672440272097
"CD4-Activated:NLR_pre_up"	"hsa04066"	"HIF-1 signaling pathway"	"6/194"	"109/8159"	0.045162921844393	0.218441070961656	0.180457646897038	"RPS6/TFRC/MKNK2/PRKCB/BCL2/ELOC"	6	0.743624709975644
"CD16-NK:NLR_post_up"	"hsa01232"	"Nucleotide metabolism"	"8/402"	"85/8159"	0.0573334547708658	0.226926168602703	0.180308059263268	"ITPA/ADA2/PNP/DCTPP1/NME6/DTYMK/TYMP/AK6"	8	0.743984861101545
"CD16-NK:NLR_pre_up"	"hsa05235"	"PD-L1 expression and PD-1 checkpoint pathway in cancer"	"7/271"	"89/8159"	0.0281292268429375	0.206027580390164	0.179258799795676	"CSNK2A1/PTEN/RASGRP1/PTPN6/JAK1/PPP3CA/JAK2"	7	0.746519515666305
"CD4-Activated:NLR_pre_down"	"hsa04137"	"Mitophagy - animal"	"4/183"	"72/8159"	0.0778135180397914	0.230846770184715	0.178379526734493	"JUN/MAP1LC3B/RELA/SQSTM1"	4	0.748654992653099
