Celltype	epiRvsmutR_pre_up	epiRvsmutR_pre_down	epiRvsmutR_post_up	epiRvsmutR_post_down
Activated-B-Cells	59	65	96	258
CD14-Monocytes	519	381	314	403
CD16-Monocytes	322	252	198	217
CD16-NK	546	502	761	888
CD4-Activated	393	402	1042	1247
CD4-Naive	286	357	894	1234
CD56-NK	34	40	42	91
CD8-Activated	1288	582	1056	750
CD8-Exhausted	3	4	12	50
CD8-Naive	206	152	284	212
Cycling	119	30	25	51
GDT	32	29	415	99
Intermediate-Monocytes	151	174	59	156
MAIT	35	56	48	58
Memory-B-Cells	66	73	87	72
Naive-B-Cells	0	0	9	7
Plasma-Cells	26	27	122	122
Treg	103	95	375	659
cDC	116	125	81	184
pDC	19	21	15	28
