""	baseMean	log2FoldChange	lfcSE	pvalue	padj
NBEAL1	5.0736548093021	-1.65533865059575	0.20970125295052	6.5974671227768e-17	2.93411483937922e-13
KANSL1-AS1	2.56168968872581	2.01038699644946	0.252245777527879	9.11215788627088e-17	2.93411483937922e-13
RHOB	9.4187203075675	-1.95458410694266	0.261285543228824	6.05869126319454e-15	1.30059905783243e-11
RPL21	233.672766581721	1.21879248284595	0.184512575070162	1.9336265110087e-12	3.113138682724e-09
PELI1	11.3189572775858	-1.70259124596057	0.269099733488708	1.07993010192748e-11	1.39094997128259e-08
MTRNR2L8	12.0958793325574	-1.73618245627611	0.289133571219103	6.88146618343144e-11	7.38610703688308e-08
ARHGAP24	14.4557675959463	-0.760974769841649	0.126592176815406	1.53486134740492e-10	1.41207243961252e-07
RPS21	359.126659907962	-0.385707330519312	0.0649109862208375	2.6580001994935e-10	2.13969016059227e-07
TMSB4X	421.397385602722	0.326871442886444	0.0579807556078455	1.89876743631687e-09	1.22280622898806e-06
KLF6	39.3704908599083	-0.875578675130433	0.158352768056131	1.76408109491865e-09	1.22280622898806e-06
CD86	1.61967068347322	1.14363847835548	0.210766810534099	3.9446436835768e-09	2.3094095747486e-06
EIF2AK3	5.55922324529842	-0.800591961453603	0.154595767084556	1.32675464050609e-08	7.12024990404932e-06
TLE1	6.38638487939296	-1.01951940712123	0.201828839388942	2.49710779380975e-08	1.23702878401037e-05
UBE2J1	15.6260589941505	0.609570855768118	0.122496199774538	4.6020380495907e-08	2.11693750281172e-05
RPS15A	540.872087351432	-0.180689480419885	0.0346812988575471	5.14324677824865e-08	2.20816728346142e-05
MAN2A1	3.83459987213794	-0.737031635219543	0.151754323181047	6.00080843491847e-08	2.41532539505468e-05
KLF2	94.1749626494374	-0.598720350922803	0.122567149717838	6.53319890608711e-08	2.474929467953e-05
AL136454.1	1.23378176053875	-1.71143620094551	0.381464530833299	1.88210463654244e-07	6.73084342714738e-05
CYTIP	15.1621904584236	-0.562024948365755	0.122190695683333	2.09032404569794e-07	6.73084342714738e-05
RPS28	488.97705575532	-0.24589285578918	0.0510664984980042	2.05879596875158e-07	6.73084342714738e-05
CEBPZ	6.00575411514666	-0.564070744261809	0.12175021831899	2.31783693110008e-07	7.10803325537357e-05
TMA7	42.3399060340599	-0.293574056461209	0.0615898697339608	2.49740876468262e-07	7.31059656570731e-05
ERAP2	5.58542455576202	-0.66639614641366	0.147151641765646	2.82506021051391e-07	7.91016858943895e-05
TRA2B	15.9140489332743	-0.548472885377992	0.12089277121785	3.64005629272131e-07	9.38895332593784e-05
LYZ	3.3017840347677	1.92469574697929	0.430094911705029	3.64478001783301e-07	9.38895332593784e-05
S100A9	2.42530676644375	1.74898033932347	0.396222551260873	5.33592119749687e-07	0.000122726187542428
LTB	142.055506854188	0.367633715560672	0.080852602035125	5.12770075540151e-07	0.000122726187542428
CCNQ	3.1512817496513	0.719904958699993	0.163337532385342	5.33476757263881e-07	0.000122726187542428
SNX9	8.99074855664279	-1.10195394002158	0.255883487955299	6.56574401391485e-07	0.000145804798102109
HLA-DOB	17.827262183929	0.407486348090538	0.091159935241677	6.82255534000353e-07	0.000146457521298742
TYROBP	1.32174900863654	1.75967520524129	0.401963686485994	8.62288945290495e-07	0.000179133574440993
SESN1	4.82668902064672	-1.38107305446627	0.325742099301197	9.73923820237532e-07	0.000196002168822803
TGFBR2	13.2483892079854	-0.464435845694899	0.107599110817442	1.01248767035605e-06	0.00019758850294221
ATP5ME	14.2790843187832	-0.453143204108461	0.104424333574531	1.09735288256257e-06	0.00020598807407211
HOPX	2.5689108247487	-1.35648881342598	0.324650412978016	1.11950040256581e-06	0.00020598807407211
TSTD1	19.6768293602341	0.361149884073598	0.0825342357550474	1.18525620514159e-06	0.000211110943851306
AL662844.4	2.48820107281677	-0.980818421279612	0.238741385117251	1.21290449107117e-06	0.000211110943851306
RPL13A	247.733458492887	0.19270128157119	0.0423653549297121	1.38899725230752e-06	0.000235398481706853
MCTP2	5.87561675874718	-0.534880721548864	0.126568013671647	1.53473589350281e-06	0.000253428183439951
CRIP1	3.35541747284204	-0.987404271251017	0.234758336732194	1.64017614533577e-06	0.000264068359399059
SAMD8	2.68520389690018	-0.805511203995275	0.197184637603654	1.7716460552393e-06	0.000278278063310758
JAZF1	6.26045093399407	-0.470347878346806	0.113284415376764	2.16530199247051e-06	0.000332012972178812
MT-ATP6	775.176073204443	0.315777070575399	0.0745308447020007	2.40872626070517e-06	0.000360748770207937
RPS20	73.0133045622663	0.271526837648864	0.0632362526891902	2.49144962091076e-06	0.000364657626333302
SGK1	1.67364644751601	-1.56115825246225	0.39700763251529	2.59320765286776e-06	0.000371116828543742
RPS8	738.620368876689	-0.141625185747098	0.0306498280082406	2.7655888101348e-06	0.000387182433418872
RCSD1	24.543092156869	-0.353336400868481	0.0847652651136404	2.90572000818735e-06	0.000398145464951628
USF2	11.70242092115	-0.509603000511589	0.124894516125976	3.34189830187237e-06	0.000446679597428066
DDT	9.42844582651983	-0.464630936277101	0.114424893817693	3.39864911086572e-06	0.000446679597428066
RPL37	542.787660139757	-0.181448948869108	0.0420251819065452	4.36482360442525e-06	0.000546433477239517
PCMTD2	2.99397816949989	-0.645317884032981	0.16367501158734	4.41219577895262e-06	0.000546433477239517
MT-CO1	1158.13782080267	0.322296552906299	0.0783919112208909	4.39261252278264e-06	0.000546433477239517
C1orf162	13.8833707750736	0.501900544164877	0.125598133772164	4.51086259848535e-06	0.000547648427550145
CHURC1	4.83537681299404	-0.558894148574592	0.142321441280358	4.76216023956648e-06	0.000547648427550145
EIF4A1	5.5802685904174	-0.73442372728048	0.186515014623122	4.72839928108984e-06	0.000547648427550145
SMDT1	21.3761101478538	-0.431342974858318	0.107780240385354	4.7280707666805e-06	0.000547648427550145
JUND	18.329870134379	-0.658537039321291	0.167337846205668	4.98921499113573e-06	0.000563693763910774
SELL	53.3559384285861	0.274015291927402	0.0672203663600449	6.10374437455216e-06	0.00067772609951924
MTMR6	1.7678525919348	-0.878172349078882	0.230987082588773	6.45512726878855e-06	0.000704593552728784
SLC9A7	6.92261082849034	-0.498586028183209	0.129296774692085	6.96880738709362e-06	0.000747985326214715
TTC21B	1.41727481335113	-0.885607700189562	0.234227809707626	7.47702240972649e-06	0.000784993785452713
PER1	1.62675255252456	-1.43671456632965	0.401453164546456	7.55739358665655e-06	0.000784993785452713
TP53INP1	6.30643083748665	-0.821074873028771	0.221544778637544	7.93631827982175e-06	0.000811268090826223
MALAT1	1884.09479936758	-0.272866080611843	0.0688646047726554	1.00649457564703e-05	0.00101278516674482
EML4	12.8046878309255	-0.420407093730997	0.110332386092148	1.03324563133278e-05	0.00102370797935125
C6orf48	9.28867552737877	0.39717543850233	0.104468419801973	1.07565227458387e-05	0.00104957585580608
EAF2	17.6623157643476	0.452422077295046	0.119501159249816	1.13010615614408e-05	0.00108625129038327
AL355472.1	1.87302724665162	-0.76808719129937	0.208844148530111	1.16805659266043e-05	0.00110039166627356
RBM48	3.48043284842858	-0.623206774102456	0.169913291753744	1.17899107100738e-05	0.00110039166627356
STK17B	21.9631521837741	-0.292245696490261	0.0753789673636779	1.22809493597446e-05	0.00112156536225394
TUFM	10.5855307539784	-0.382999110321746	0.101251055474443	1.23650839627375e-05	0.00112156536225394
CNN2	24.642191596295	0.283603269272271	0.0729079129838744	1.31928927300968e-05	0.00118003096085866
MIF	35.4843525249109	-0.247033579868484	0.0622477143359641	1.35266089051035e-05	0.00119330631984749
TUT4	10.6483723900793	-0.451560869506162	0.121674015379774	1.47915705638025e-05	0.00128726641122822
NCF4	7.3061269470682	-0.457118670326529	0.123169916063345	1.50373405885517e-05	0.0012912063118703
ATF7IP	12.199405816776	-0.463062334642203	0.127434548658522	1.59010407369536e-05	0.00133976427644484
KTN1	12.6444227735747	-0.34932466079943	0.0928997105302589	1.60189206966231e-05	0.00133976427644484
CHST11	3.82268839317332	-0.571717314083403	0.158452863660395	1.67197083364535e-05	0.00138044771393282
RPL34	638.366839741591	-0.159281332964924	0.0392643553206826	1.70677129202288e-05	0.00139134267349713
RNPC3	5.68626594624218	-0.486212597403558	0.134745800819542	1.9033111037862e-05	0.00153216543854789
XBP1	2.84913667993574	-0.588171649139783	0.165502777202614	2.02015373879521e-05	0.00160614692319027
CCDC88C	4.45543256083867	-0.486443647486753	0.134591063159754	2.20583583903011e-05	0.00171151600040408
ANXA2	3.1151090979529	0.733710715700416	0.205757070440215	2.20301360910934e-05	0.00171151600040408
MAT2B	12.2013412457981	0.401702928770808	0.110867381165748	2.34025834690116e-05	0.00177308985341688
KDM6A	5.11426253815901	-0.480786381571182	0.135264828688913	2.33772979049821e-05	0.00177308985341688
ZBTB16	1.55462462550912	-1.90789278663938	0.559291578269248	2.61982199733562e-05	0.00193927053595878
PSAP	13.9941187883574	0.304749484178423	0.0828581696162857	2.61726175974719e-05	0.00193927053595878
SBDS	8.61907292599239	-0.607025482825218	0.178219133254814	2.81246171401635e-05	0.00205821061798469
EZR	28.7279788898015	-0.422667671851503	0.11991598092462	2.86424440857683e-05	0.00207255438103762
PSMA4	5.79611299038564	0.442237207044085	0.125620918905524	3.14109844452469e-05	0.00224763044252656
RIC1	7.44885872285587	-0.470410161644682	0.137037788944343	3.30553041750865e-05	0.00231543796891826
EIF1	181.379302566557	-0.277486533827502	0.0761528663794946	3.30776852702609e-05	0.00231543796891826
PIP4P1	7.13453582031445	-0.489996784546763	0.144228855063947	3.40857063681227e-05	0.00236034353774957
ANKRD49	6.13065095067954	-0.482734464739041	0.140505592047729	3.4455941054609e-05	0.00236059851480513
TSC22D3	115.623754002113	-0.549594625159211	0.161505670180435	3.73825480219282e-05	0.00253414325538124
HSD17B11	5.67055503881614	0.879263396246982	0.266977242254179	3.83422137330339e-05	0.00254560676743029
YBX3	27.3222474482213	-0.529649979126275	0.15666561115758	3.82431962130573e-05	0.00254560676743029
SIPA1L3	5.42647985460399	-0.505555924907461	0.149713270745091	3.90111724516807e-05	0.00256359133253902
PNP	2.16686539938785	0.694985995654606	0.204516309388553	4.13631649821102e-05	0.00269069477257364
RRBP1	1.85297785931973	-1.04901178414669	0.313713762680236	4.34454773347306e-05	0.00279788874035665
NDUFB1	6.69465719321131	-0.463745981384087	0.136063790162018	4.48572080631944e-05	0.00286020217749477
UBR5	3.8375159833479	-0.54800495488068	0.164147175711901	4.53236044607042e-05	0.00286160796791113
PTGER4	2.47578065073124	-0.837378256875582	0.260760863656249	4.67538714262292e-05	0.00292325176684385
CFL1	73.4246434032602	0.176884099686628	0.0467448583244878	5.07875629804537e-05	0.00314492216917425
FKBP5	1.50254587429661	-1.49010687088731	0.459338695767217	5.28079392151372e-05	0.00322680913586675
EMP3	23.913998786136	-0.428811141825807	0.12717386189619	5.31120758388005e-05	0.00322680913586675
CD200	5.8801214663825	0.471535753798318	0.142446956715336	5.65595372254168e-05	0.00340414410964191
DUSP2	2.47553568625376	-1.15398997801246	0.360053697322489	5.76254901280321e-05	0.00343618663356043
RAB29	4.47766739926665	0.524216939818251	0.15901010833098	6.12420324350131e-05	0.00352318347322249
EIF1B	20.2719662644269	-0.420563349503349	0.127877355166628	6.12048767000089e-05	0.00352318347322249
RPL27A	89.3906496249485	0.260339634444275	0.0740630711034242	6.11221071402196e-05	0.00352318347322249
RBM39	32.0989547455691	-0.270362357196208	0.0770881314555016	6.12727560560433e-05	0.00352318347322249
SLC38A11	2.50672991338365	1.01284323957393	0.338873152249478	6.28644868849937e-05	0.00358271942955185
RPL7	121.764846938507	0.134413183458215	0.0359438966893721	6.41865814513381e-05	0.00362597881181243
CSNK2B	1.82286772113337	-0.795134103507475	0.24825184404317	6.57318259517863e-05	0.00368098225330003
ROMO1	9.10280441699504	-0.339852295910719	0.10086030572691	6.91362278522946e-05	0.00383825264973084
RPL12	430.817467521795	-0.174822586984681	0.0476815025747926	6.97549350643668e-05	0.00383950240867113
OPN3	2.94215297513587	-0.650503448270365	0.200902568157733	7.04750504840211e-05	0.00384626546709403
PDCD4	13.6453857530056	0.325259555886835	0.0955720599231807	7.1900770949683e-05	0.00389110054551226
METTL7A	5.66268340180085	0.488332214902615	0.149424035410886	7.43333804457345e-05	0.00398922475058775
MRPS24	2.07197474005653	-0.713159255525786	0.228872412970551	8.52788651513767e-05	0.00439356713259892
