""	baseMean	log2FoldChange	lfcSE	pvalue	padj
PROK2	4.6932533730828	-2.03447693638747	0.242658166374361	1.18093161975471e-18	1.07287637654715e-14
MARC1	6.71020775092233	-1.0468418508935	0.132399089415255	1.56878112234286e-16	7.12618824824244e-13
VIM	652.997372835635	-0.546729414961695	0.0755478839586323	2.62420860438643e-14	7.94697839028358e-11
FTH1	1590.80927537431	-0.478574890152006	0.0694884192478547	2.46314076960638e-13	5.5944084729685e-10
AC020656.1	31.9950989592025	-1.26884565970255	0.184992859767247	4.12977017966421e-13	7.50379241644987e-10
KANSL1-AS1	5.12237837759023	1.92912874914411	0.285444689618994	6.97366118490236e-13	9.05277405734984e-10
RAB31	35.1203442129365	-0.557813187497095	0.0818664669205688	6.97516988458436e-13	9.05277405734984e-10
TAGLN2	119.030296639697	-0.581288208045361	0.0879377672419107	2.61171442027471e-12	2.96592818852447e-09
NBEAL1	7.33321341199521	-1.15870464749791	0.185913142995583	1.61182399965749e-11	1.62704678187647e-08
RPS27L	36.8216856843391	0.406478337963706	0.0643029753246289	2.14043908670214e-11	1.85157322976533e-08
LILRA5	30.9115349789053	-0.646614864546138	0.103265507893019	2.24186081754746e-11	1.85157322976533e-08
AL391807.1	1.60188910501957	-2.00697687122072	0.328028037080026	3.51580526422428e-11	2.4570069865752e-08
MEGF9	29.2014995335062	-0.487661353261218	0.0784038817732708	3.37307466755027e-11	2.4570069865752e-08
DYSF	10.9840468394982	-1.00638892203707	0.166391906726303	6.49343381900644e-11	4.21377473183382e-08
LSP1	144.775368820753	-0.500546218776917	0.0830337570486439	1.14071742098736e-10	6.9089451797801e-08
S100A10	518.883445818831	-0.381190388475462	0.0628860559226564	1.21825127880704e-10	6.91738304247621e-08
ITGA4	22.146876885344	0.535501008530766	0.0899177394074598	1.53735588721359e-10	8.21581072666791e-08
CD302	28.0224852892086	-0.506502204785871	0.0854360518516095	2.49131553292819e-10	1.13168008083263e-07
CCDC69	25.8610819789036	-0.478451442946391	0.0812039500349001	2.46945016183103e-10	1.13168008083263e-07
FPR1	44.347517779402	-0.662549587552998	0.112657371267354	2.41158834369804e-10	1.13168008083263e-07
IL32	32.5843663324691	1.25239578507865	0.2207288743721	4.91911895718938e-10	2.12810455838407e-07
BANF1	29.4237205906607	0.401913932684088	0.0697486297077053	7.59586039398642e-10	3.13674507633484e-07
ICAM3	30.137272918153	-0.460246284359087	0.0808410816370773	8.80704285927105e-10	3.47878192941207e-07
SMARCD3	18.2010669541076	-0.411901720345615	0.0734953635557967	1.69442100808426e-09	6.15752594337819e-07
RABAC1	19.3481635961961	-0.497118731093649	0.088864214355896	1.6635595388807e-09	6.15752594337819e-07
ALDH2	28.9721001502896	-0.493370126327156	0.0883548401174285	1.77330383057058e-09	6.19633280797451e-07
PLBD1	51.1153268293101	-0.613222650547962	0.110664511139749	1.91471798430242e-09	6.44267143977316e-07
LMNA	11.4893294801784	-1.55403217289043	0.291376025177044	3.25306277698078e-09	1.0555026903168e-06
AL133415.1	9.62909507721935	-0.992821817314649	0.184751103499335	3.55656208405242e-09	1.11418505288332e-06
MTRNR2L8	22.6488119578062	-1.43611979549286	0.272417157239047	3.96676894350536e-09	1.20126986172487e-06
AHNAK	124.446769395082	-0.398168876181987	0.073482220517615	4.71792311533787e-09	1.38265585493047e-06
MMP25	1.52807956453235	-1.64275150577795	0.308579938899557	5.85101555790027e-09	1.66113988573512e-06
MRPL27	8.83916570560355	0.571752935261204	0.107417033224532	7.11103821188113e-09	1.95769036833152e-06
GIMAP7	24.2956263569147	0.843023181788488	0.162678883855994	9.30354752554375e-09	2.48596262557544e-06
VNN2	14.4380032681418	-0.840110299402087	0.161818423185332	1.25334815520112e-08	3.25333371142919e-06
RPL21	227.473566491028	0.824208481458896	0.161371043580216	1.70959749526095e-08	4.31435923456825e-06
MFSD14B	8.34834783407257	-0.657168061230111	0.130687436751831	2.1916577870589e-08	5.25149567629209e-06
MAP1LC3B	29.048594327115	-0.362475241098939	0.0703583294813091	2.19655295210896e-08	5.25149567629209e-06
TCF7L2	5.72824527461369	0.765296159561812	0.151402206365284	2.54337600429725e-08	5.92476179462577e-06
SMIM3	4.074639103809	-0.844552357012251	0.167950662642691	2.94298408953852e-08	6.68425261336436e-06
RPS18	560.226880394645	0.343147854287267	0.0675584629952371	3.24360731685016e-08	7.18735913989847e-06
CD3G	6.14085779080444	1.05442293576329	0.215269598136779	3.32660597766978e-08	7.19576554931666e-06
ADIPOR1	14.6846775005383	-0.4692589773935	0.0933777502119499	3.64065627055907e-08	7.69194470186724e-06
IQGAP1	65.1481341384676	-0.242901646184937	0.0470781668016135	4.23918583387793e-08	8.75295529563204e-06
TMEM14C	16.6624704828385	-0.45365195171861	0.0909840697303526	4.9190231318563e-08	9.9309611450921e-06
MARCO	8.86972071371412	0.686907762156247	0.137520910343925	5.15971898692879e-08	1.01904449991844e-05
NAGK	33.9916574122972	0.482484689563494	0.0991457925198577	6.99051055684057e-08	1.29609772263054e-05
TKT	145.404277667124	-0.351024703116352	0.0704162401837197	6.86065692376579e-08	1.29609772263054e-05
IFITM1	41.1372061036601	0.758710281706612	0.157501180688264	6.79542940407868e-08	1.29609772263054e-05
LAPTM5	152.363443703305	-0.322925624566059	0.0651272335930497	8.12195950923375e-08	1.47576004282777e-05
GAS7	21.2422626438249	-0.345291274639454	0.0700141445180999	8.29831021102999e-08	1.47823820131779e-05
MPP7	7.11948224206645	-0.621405968631583	0.130631370733044	9.98941956620391e-08	1.74526686074928e-05
HIVEP3	2.59965308629677	1.01991565752686	0.216115435693337	1.39482969852447e-07	2.39094864360279e-05
MFSD1	24.3833985982061	-0.37613530513196	0.0785119032614805	1.4539903379089e-07	2.43322312702984e-05
VCAN	334.20999404123	-0.297458220104154	0.0613623824332556	1.5286099959362e-07	2.43322312702984e-05
PHPT1	17.7901002130152	0.393386920440703	0.0825638592865323	1.58018893224833e-07	2.43322312702984e-05
CD9	2.82995649333524	-2.1001205383713	0.46296701281398	1.52046037822056e-07	2.43322312702984e-05
CRIP1	39.1593697943812	-0.619250688842691	0.132351682011267	1.56428814806541e-07	2.43322312702984e-05
CTSH	41.2294140853708	-0.362606091235054	0.0756969295960438	1.47353516299969e-07	2.43322312702984e-05
PLA2G16	6.52290652084291	-1.08852435148239	0.237971612912286	1.61772829825747e-07	2.44951026494486e-05
ATP6V0C	69.4521353323413	-0.392021046328798	0.0824125177865919	1.81799794672991e-07	2.70762481082644e-05
TRAPPC5	8.5493466864565	-0.643691894130829	0.138913637875065	1.93970820143309e-07	2.84229822742252e-05
TMEM38A	1.25869761793203	-1.21560917994015	0.266723448519283	2.12271243529558e-07	3.06108610708894e-05
RPS25	372.998396200496	0.325969855379212	0.0694806848284805	2.89184515562463e-07	4.10506456857028e-05
CRTAP	37.741690283713	-0.433566625894415	0.093548385594298	2.95196810454908e-07	4.12594311228129e-05
SLFN5	5.32256465780339	1.06845625595582	0.240024184510493	3.05817594135032e-07	4.20962551926782e-05
ICAM2	9.83246703258223	0.626827238732375	0.139010323043097	3.15903563739651e-07	4.2835580247384e-05
CDK11A	12.2575925766491	-0.637646976348523	0.141784472131073	3.40335332942972e-07	4.54698014674544e-05
ZBTB16	2.03327572535914	-1.96880693129058	0.433760797365585	3.5010093189719e-07	4.60966226997966e-05
SHOC2	18.6983556206343	-0.383742257012212	0.0842065521311492	4.19195383029049e-07	5.44055722116987e-05
CLEC4E	26.1373143468548	-0.520930883559476	0.114999885061576	4.53769066742293e-07	5.80632672021653e-05
ITGAX	22.3958886308044	0.4654481463423	0.103856663556939	4.69788443799226e-07	5.92781668321662e-05
CCNI	82.0912562223009	-0.428106303343409	0.0945070822072754	4.77535355610911e-07	5.94302562428099e-05
RNF141	8.17874699487916	-0.592881691923187	0.134250199351871	4.86527266774442e-07	5.97310840357542e-05
LRRFIP2	14.9588611288068	-0.455733184698548	0.101987285804033	5.15519253473135e-07	6.18515282108221e-05
TCN2	3.79692015981943	-0.87175953131863	0.196927668059116	5.17415095654649e-07	6.18515282108221e-05
CD93	22.8265046107002	-0.486838990805881	0.10934821750845	5.67586967887108e-07	6.69678909513555e-05
CDKN2D	32.9610084384613	-0.437058933645893	0.0985363529531941	5.9517841357221e-07	6.9323024196199e-05
AL136454.1	1.17462244297168	-1.62830696481013	0.386410475131949	6.58235992404324e-07	7.4750924887416e-05
MT-CYB	1327.9217553483	0.43344523446985	0.0969708555171144	6.56793181027102e-07	7.4750924887416e-05
NQO2	10.1049704620113	0.618284821968746	0.141574519592805	7.2532498318831e-07	8.13528082995778e-05
CFL1	307.962856593563	0.174572842932119	0.0372946150432621	7.73606416370692e-07	8.57099303991188e-05
RELL1	5.18935640897273	-0.714577933297717	0.166250945233715	8.01332459671089e-07	8.77121132061668e-05
CEBPB	98.6687398451881	-0.437498563801725	0.0997815372934681	8.42619428713294e-07	9.11333036888128e-05
TGFBR2	18.0677661182405	-0.338445631235008	0.0765499979798963	8.80154647062786e-07	9.40729996301813e-05
IQGAP2	24.1009284245751	-0.354339535114346	0.0803885404552559	9.65694147691791e-07	0.000102015480602092
PSMD9	8.94256811591501	-0.441465741889088	0.10215106434875	1.00830745250774e-06	0.000104839895533603
CPD	10.6295347808185	-0.542103238527139	0.125177547124225	1.01551027044106e-06	0.000104839895533603
CNN2	25.3540972656125	0.379262450993298	0.0862277022447898	1.05229773991704e-06	0.00010622361074607
RPS19	557.517064762206	0.269743379806933	0.0598911845426218	1.04442407689229e-06	0.00010622361074607
KTN1	31.9406079787787	-0.306677403334517	0.0692638509052372	1.0718131984442e-06	0.000107004647339182
C5AR1	23.2218830433814	-0.526193906809926	0.123474315578641	1.13870812332887e-06	0.000112447427178726
TMSB10	2032.88738988017	0.211761486781227	0.0464579153111581	1.16146822507565e-06	0.00011346170779368
CAVIN3	2.35718647331062	1.43156210616189	0.341355479722967	1.18962249779144e-06	0.000114975748855694
ZNF593	9.0109845906277	0.48382438433495	0.112737328535552	1.25640826273431e-06	0.000118900719447304
GPR27	1.31486911119734	-1.46630687739746	0.352713359891352	1.24675437159051e-06	0.000118900719447304
NOP16	3.32031450125801	0.847111834321981	0.200063274029532	1.34563861243814e-06	0.000126032234989695
CFP	76.3285890733959	-0.235576547096615	0.0527708727481222	1.39064262844624e-06	0.000128918247749328
GABARAP	239.115683306498	-0.293667430186581	0.067588788692791	1.74258513396384e-06	0.000159912989313752
PGD	53.8795968610844	-0.367333437119941	0.0865018700542592	2.05694779849098e-06	0.000183785761322598
ST3GAL5	5.11815577925836	0.652597389182415	0.158451647310419	2.0573864051923e-06	0.000183785761322598
IRAK3	28.2311908171103	-0.416481687238798	0.0991024750775514	2.06341746339076e-06	0.000183785761322598
ANXA11	24.9081518349596	-0.310104031021766	0.0727529027036163	2.10976334687341e-06	0.000186089320449951
DNPH1	6.34040479351444	0.596194937672986	0.144794996697342	2.28554664879889e-06	0.000199655685618634
SLC2A6	9.71031270503164	0.474726067130957	0.115293862091034	2.54516024272289e-06	0.000216400449186665
PDPR	5.53497516840256	0.696598306058373	0.17208169643694	2.53707879481788e-06	0.000216400449186665
MT-ND4L	765.157072159993	0.454370148294222	0.11088549704794	2.54868993538505e-06	0.000216400449186665
EGR1	17.7535881450998	-1.02955968636664	0.262029536778045	3.24308564084107e-06	0.000270472316832055
PSMA4	29.3298180008976	0.296853225750785	0.0707884096066523	3.24507237586065e-06	0.000270472316832055
MT-CO2	3571.5392037469	0.358643889580288	0.0870577125472071	3.47666689217747e-06	0.000287141079231203
RPL35	246.755554438411	0.21394982697895	0.0499191549027202	3.78925909000081e-06	0.000310138908402318
ERGIC3	19.2488434536739	-0.369630323435379	0.0904065570403692	3.94710260266332e-06	0.000320173456653538
LTB	32.8912995468752	0.962956150477389	0.250826677016373	4.64754198240429e-06	0.000373654149647283
SMDT1	35.3704779730491	-0.392649088786333	0.0978882310983541	4.71895847900375e-06	0.000376067875278501
NAMPT	63.7548649825989	-0.625151821404443	0.159114249831069	4.77087674238221e-06	0.000376899262648195
CDC42	72.9849131076334	-0.239914633972091	0.0577202788779721	5.39220637048955e-06	0.00039219585042648
FCGR3A	7.25378749980943	0.924865772577868	0.237380905098846	5.36593182742899e-06	0.00039219585042648
TMA7	163.252830796346	-0.231880245716638	0.0555097541302376	5.43937007746136e-06	0.00039219585042648
IFITM3	125.683820124233	0.76246511929252	0.19814898802679	5.40933246639126e-06	0.00039219585042648
RPL27A	134.100519141075	0.333635883476857	0.0826444438008556	5.27925246700962e-06	0.00039219585042648
CSGALNACT2	17.6150534954663	-0.496620827573104	0.126661483423724	5.42813616867172e-06	0.00039219585042648
ARRB2	76.1522915717663	-0.192432424661019	0.045485059190485	5.41761446988371e-06	0.00039219585042648
EIF5A	30.5696944521105	0.43684249722055	0.110623942372327	5.24190045462796e-06	0.00039219585042648
TTC39C	11.1276565021636	-0.518742080391193	0.132984619996008	5.1407909181949e-06	0.00039219585042648
MT-ATP8	264.021356207685	0.848736920310964	0.220812895055289	5.29413268857683e-06	0.00039219585042648
MT-ATP6	1589.44592597448	0.47850380709141	0.120248296021843	5.03739186650949e-06	0.00039219585042648
ZNF487	3.81339243128515	-0.694939230711775	0.181450645843223	5.76860533410598e-06	0.00041265968079018
