""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MALAT1	7085.76572090038	-0.516158496396724	0.0527459295034566	1.58959500806221e-23	1.66192158092904e-19
SNHG9	18.2331746476004	-1.0091487360167	0.107810275991239	4.68693696772706e-22	2.45009629987932e-18
IL32	314.49583837814	1.0531215563177	0.118824404204879	3.97854613242649e-20	1.38652332715063e-16
ANXA2	54.8930874869678	0.646419567713248	0.0727663510649012	5.76777682378943e-20	1.50755266731796e-16
CTSC	110.557547492664	0.45212907387847	0.052900846971879	1.19183217737818e-18	2.49212108289778e-15
CMC1	139.770162546584	0.771386492074891	0.0915417512581105	1.89806127389814e-18	2.83489008837215e-15
TMA7	267.565118161029	-0.425574087672333	0.0499897734549593	1.65289199394919e-18	2.83489008837215e-15
RPS28	999.9593995732	-0.423692455410386	0.050355771248222	5.85324453201943e-18	7.6494589477829e-15
KANSL1-AS1	13.1206370388701	1.90150353951476	0.232324032072361	2.42811779950686e-17	2.82066351042713e-14
ZEB2	96.1329796470723	-0.396791416207469	0.048478693908687	3.39393475849813e-17	3.5483587900098e-14
LCP1	196.83500075044	0.342898806718297	0.0420692543095244	5.02510496045154e-17	4.77613385104735e-14
SPSB3	60.4125952063938	-0.386480033414656	0.0479203419802053	9.22714689102796e-17	8.03915172880811e-14
ATP5ME	74.0485232600912	-0.620648783989943	0.0782152219894232	1.2209690864976e-16	9.81940907640958e-14
IL2RB	142.113013868104	0.508361578304907	0.0649158556413746	3.76284803606272e-16	2.8100411583597e-13
RPS21	617.698364423396	-0.507817603088369	0.0650857536795684	4.29231027843684e-16	2.99174026407048e-13
NBEAL1	10.7476543834383	-1.2816408081756	0.165182535344144	6.57512233435983e-16	4.29643150035825e-13
KLRG1	32.4908710715655	1.16907134267852	0.156077809766288	3.40305077743481e-15	2.09287622812241e-12
CORO1A	285.474435239748	0.367609566427995	0.0485433031565836	4.58793502333511e-15	2.66482559272048e-12
CAP1	117.556821020732	0.369433566288371	0.0491279577643614	6.08419755042321e-15	3.3479097573513e-12
ALOX5AP	88.4071997010428	0.540287107476652	0.0735452661500435	1.43884872131799e-14	7.52158169068978e-12
CNN2	43.3251572695786	0.624568197877338	0.0857645332244154	2.29965189825892e-14	1.14489812363319e-11
TRBC2	154.270236696655	-0.59102134100788	0.0812491031818548	2.67021940654791e-14	1.2689610861572e-11
RPL34	1145.1043107097	-0.321157003650781	0.0435412574216017	3.11852415801054e-14	1.4175726118261e-11
SH2D1A	24.5024989128552	0.674770777210703	0.0938753420859786	4.37256103505197e-14	1.90479690089451e-11
MTRNR2L8	25.5656889628121	-1.7902753397111	0.25142748632736	6.34812679185248e-14	2.65478662435271e-11
EOMES	21.3552196581577	0.796208868642866	0.112428861329988	8.06660955148259e-14	3.24370780233656e-11
FGFBP2	428.863046092533	-0.431782668177971	0.0612053899573455	1.83883848289686e-13	7.12039123655061e-11
ANKRD49	15.6251877222758	-0.758490510598695	0.110246713087936	3.61980871739838e-13	1.3516107193e-10
GZMA	545.319721048373	0.340853703864545	0.048654266201989	3.92832720370679e-13	1.41622968671567e-10
GABARAP	114.094737896201	-0.303691881598838	0.0434568951263073	5.06657930923299e-13	1.7657028892677e-10
PPP1CA	136.627097954524	0.245539765049159	0.0355201345401653	1.21899979186867e-12	4.11117510451192e-10
CDK11A	19.6565408559898	-0.756888211661781	0.113621957659502	1.34697799595839e-12	4.26747119628634e-10
KIR2DL1	18.7638728786395	-1.23795315806894	0.185609820148037	1.33651437639162e-12	4.26747119628634e-10
