""	baseMean	log2FoldChange	lfcSE	pvalue	padj
KANSL1-AS1	21.6039637047628	1.92730081042878	0.181559014570579	2.05871191623449e-27	2.2625243959417e-23
IL32	1227.81276219674	0.484604947454917	0.0482461730277233	7.9145758398002e-25	4.34905942397021e-21
NBEAL1	20.9961805384906	-1.41607757014403	0.151212343898199	6.39641894184723e-22	2.34322147236337e-18
ANXA2	86.5816111988531	0.608434740611506	0.0675157823922451	1.71085097717023e-20	4.7005630597752e-17
TMA7	454.544160892098	-0.400258092046345	0.0476280506412448	2.38364967642052e-18	5.2392619887723e-15
USF2	40.8866108870621	-0.668175550489973	0.0861517328154028	3.70240823803318e-16	6.78157775599745e-13
METTL26	60.7470981374726	-0.35499976524175	0.0470486396670258	5.30575091059238e-15	8.33002892963004e-12
CFD	3.15572602878687	1.57465084375031	0.21233014303224	7.50552146094591e-15	1.03107101069744e-11
ZNF90	2.01675539663275	-3.15376692935546	0.447238047739225	8.46524169292145e-15	1.03370006894674e-11
UQCRQ	95.4567797132811	-0.320550369026602	0.0433125786554167	1.56609843380814e-14	1.72114217875514e-11
LCP1	263.49127396388	0.308334550771977	0.0421412888823593	3.72398663308009e-14	3.41055109146252e-11
RPS21	1591.34563239941	-0.469498857142585	0.0649074250785467	3.57697087500424e-14	3.41055109146252e-11
TNFSF10	14.0695649361467	0.939222745761942	0.13838960211235	5.07023117190857e-13	3.98013146994823e-10
SMS	30.1009277639111	-0.56992979086895	0.083686234403879	5.05787241762053e-13	3.98013146994823e-10
ATP5ME	103.362394781441	-0.535014198785594	0.0797812511654104	1.20782430313237e-12	8.84932606094982e-10
GSTK1	213.874937180252	0.234703136269968	0.0344757484371637	2.24890139245534e-12	1.37307923906023e-09
SLFN5	56.4764259718541	0.662005131609027	0.0996479538742092	2.01242424614557e-12	1.37307923906023e-09
S100B	19.3908842923054	3.50886960736887	0.533239882191645	2.13043671872347e-12	1.37307923906023e-09
PAXX	199.180850017981	-0.211353866810122	0.0312504108412764	3.67144131535334e-12	2.12363895030175e-09
CISH	11.5525388870401	1.55680847821605	0.238322256559822	3.88638827602615e-12	2.13557035767637e-09
RPS28	2388.45957856963	-0.368827866627557	0.0557694766017802	4.40742672497313e-12	2.30655331940261e-09
CFL1	801.960020306615	0.203176370466891	0.030436977568979	6.65337445431334e-12	3.32366296604107e-09
SNHG9	25.5368366764272	-0.700305325849553	0.11122685059292	1.29522681524316e-11	6.18893160848795e-09
NAAA	26.5515761946924	0.464056821066139	0.0727239805181716	1.46444810136157e-11	6.43771385358547e-09
LGALS3	15.3896249894883	1.02055730036719	0.16260623917343	1.43702374355359e-11	6.43771385358547e-09
TRBV28	52.0482668135447	3.33501574452803	0.536396688713328	1.57739850286896e-11	6.66754213328073e-09
FLT3LG	60.2051425065231	0.428731305457084	0.0672259177741628	1.87720566710551e-11	7.64092232647761e-09
SERPINB1	62.7134835442128	0.335122949463678	0.0525879809816833	2.36736710974985e-11	9.29191590576816e-09
SEC62	76.6026682596151	-0.309982045224372	0.0488208084139045	2.58304164273567e-11	9.78883712195346e-09
DUSP2	375.736570106605	-0.85747558038039	0.141399104261397	6.91778612022119e-11	2.37582717066347e-08
LYZ	15.5383168175241	1.94844860024307	0.323514673768728	6.70179949798617e-11	2.37582717066347e-08
MYO15B	3.25660980811419	1.58744568081896	0.261093886971729	6.60505051969877e-11	2.37582717066347e-08
CASP10	4.3539688842646	1.17219779741225	0.196156104656405	7.64725718565052e-11	2.50588358384224e-08
RPS29	1252.37050830533	-0.536740442595571	0.0880954453645039	7.75250608286044e-11	2.50588358384224e-08
PRF1	278.179090378484	0.554568325882742	0.0928369871745675	1.54511888839093e-10	4.85167330954752e-08
CD53	140.575549763085	0.323297926264343	0.0532028760596216	1.62776278358592e-10	4.96919805322479e-08
TNFRSF25	12.4904423270984	0.679074363246576	0.114562211180118	1.72527618286836e-10	5.12453655397926e-08
S100A9	13.2499410673843	1.87457263555695	0.319612993900215	1.89852536276139e-10	5.49073519388096e-08
MALAT1	12614.2928277422	-0.354592154925072	0.0591073255168123	1.98697187539177e-10	5.5991848488604e-08
MYOM2	22.0531911211854	3.18740737553381	0.549331337566372	2.5215331072212e-10	6.92791221209026e-08
ATP5F1E	594.766825138115	-0.274564249670485	0.045547326682211	2.71950440666588e-10	7.28959839738001e-08
KTN1	71.7407638756041	-0.357579611425811	0.0601849285204649	2.89580112903746e-10	7.57734628764802e-08
SLC16A3	6.19422738680486	0.863013371462894	0.148531205835239	2.99560635678749e-10	7.65621252583594e-08
CYBB	2.38905425165637	2.35648516403601	0.415878475037298	4.02967414914099e-10	1.00650270225135e-07
TRAV5	10.0657432450587	1.7071916997176	0.299193808864211	5.11904440066936e-10	1.2501843991857e-07
LST1	8.87111603156245	1.1932228089643	0.207942120169168	5.4027434955746e-10	1.26332236205032e-07
CEBPD	11.4972919653326	0.794561972476197	0.13934749661853	5.34785337389635e-10	1.26332236205032e-07
TRAV25	6.61631233654006	2.63786085398326	0.46006522845347	5.96983039521947e-10	1.36684241757212e-07
CTSB	18.3834521586235	0.481241365543414	0.0829382987035379	6.41018529682838e-10	1.43771298800294e-07
RAMP1	2.50094703895002	2.04848373282984	0.38608221887336	6.84222198823773e-10	1.47547931804669e-07
VSIR	59.6529047264756	0.391731407934898	0.0675735151700904	7.11559634726791e-10	1.47547931804669e-07
