""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL21	37.3387216630915	1.43337870346818	0.216538549599137	1.17664413123214e-12	4.26768826397896e-09
MTRNR2L8	3.49949199542047	-1.75339558656058	0.351678219890379	3.31666053348881e-08	6.01476387748195e-05
RPL23A	68.8391429790529	0.389002926146452	0.0839571516517954	3.36740386175674e-07	0.000407119126886389
SNX9	1.38992719311427	-1.75561636426188	0.413178976945045	6.62502519289977e-07	0.000480579327492949
SARAF	23.4724383892775	-0.45332748768649	0.101032298892255	5.34671234726877e-07	0.000480579327492949
TMA7	26.9022635879984	-0.39490518369314	0.0962500478107931	3.30388836941638e-06	0.00171188615941046
RPS18	109.476268688976	0.372830429199021	0.089742133886621	3.30099842602682e-06	0.00171188615941046
IL32	85.5987301490196	0.516253316065138	0.134640313788974	7.15743313025047e-06	0.00324500124542731
ODC1	3.32540249203147	-0.746688648051456	0.222813477133466	3.40821471530593e-05	0.0129695209111735
SCAF11	4.10995377015988	-0.662637742277616	0.198202928179142	3.57582600252922e-05	0.0129695209111735
HNRNPDL	12.089367588509	-0.421073127768208	0.12186580568998	3.98606325434806e-05	0.0131431376577458
CTLA4	2.92303647700139	-0.94623440185331	0.303684284502342	6.39436550671507e-05	0.017840279763735
CCNI	17.5243084050316	-0.386520478541946	0.114266296975723	6.02432014048014e-05	0.017840279763735
SHMT2	2.46325568724484	-0.775080077772724	0.250589492129103	7.45966750010678e-05	0.0193258671592052
PDE4D	1.44335340335594	-1.15000625322197	0.386481180596528	0.000108429148316322	0.0245795325589562
RPL27A	20.3536600900765	0.403304486376177	0.124398155542186	0.000104850659095733	0.0245795325589562
PTDSS1	2.36484859436873	-0.716553069626373	0.24821034852681	0.000155193558147168	0.031710203082398
SPNS1	1.50747296890271	-0.955644596269845	0.340990991059323	0.000157370734900238	0.031710203082398
SEPT9	11.3576943565897	-0.467224749381921	0.156474539262286	0.00017086883185847	0.0326179606921405
PTPRCAP	6.22533647959514	-0.701592792656573	0.251142828024406	0.000185443787550324	0.0336302308722512
ALOX5AP	4.96835157169967	1.07025302570878	0.395196648479978	0.00020784463459622	0.0341186695377155
DDX24	4.03525128574699	-0.586962471934891	0.212274967760326	0.000225764562697869	0.0341186695377155
VAMP2	2.95112943391266	-0.648195917643125	0.235311567043941	0.000223356493222242	0.0341186695377155
MT-ND4	34.8453946515906	0.412066044592283	0.138118468798619	0.000210105592721633	0.0341186695377155
TAGLN2	16.2835312119962	-0.446416471817837	0.159849094056097	0.000332555102028894	0.0393055613552969
AAK1	4.58991774725889	-0.587080215143085	0.227236007543539	0.000368070749723256	0.0393055613552969
NBEAL1	1.15391194575142	-1.02647300946732	0.40382366355125	0.00033646119500201	0.0393055613552969
LRBA	2.96957889756587	-0.717353858913605	0.270478494900265	0.000275507891239378	0.0393055613552969
IRF1	8.85919259042205	-0.600235909833905	0.219994054203078	0.000302824151022548	0.0393055613552969
HLA-E	39.960037821537	-0.265002764377769	0.0871795875136773	0.000351392551729554	0.0393055613552969
PCBP2	25.8976826226728	-0.298855956066356	0.100850084335752	0.000353766070957367	0.0393055613552969
PIAS1	2.21103258289764	-0.724674823091741	0.283949764020693	0.000355998701639079	0.0393055613552969
