""	baseMean	log2FoldChange	lfcSE	pvalue	padj
IL32	200.147161315791	0.874726427234532	0.0804815742147581	7.09848581573386e-29	6.11534553025472e-25
RPS13	870.536163191139	-0.271294695522942	0.0299195730339126	2.1514193548852e-20	9.267238871168e-17
RPS8	1244.28702431815	-0.207201480211248	0.0240329105009024	1.61053665704658e-18	4.62492443348543e-15
NBEAL1	8.94461814582467	-1.60415662133477	0.213832424715825	2.75107229748035e-15	3.9500813071322e-12
TMSB4X	883.398648801884	0.402906018114165	0.052819947960787	2.25801987560797e-15	3.9500813071322e-12
MALAT1	3134.75932423463	-0.450735918424815	0.0594274556158856	2.7439054848979e-15	3.9500813071322e-12
KANSL1-AS1	5.55197104926233	1.71527881875739	0.235177449980668	8.00599503703015e-15	9.85309246343067e-12
CD52	236.792823064811	0.440355175700637	0.059855231763505	1.39158862087069e-14	1.36986888340156e-11
RPS28	1060.78438488668	-0.369462854979271	0.0498375821582795	1.43108763210843e-14	1.36986888340156e-11
LTB	202.811567466752	0.524169488960235	0.072043227736959	2.30909643667251e-14	1.98928658019337e-11
LINC02446	56.7273673771367	-0.700880566289777	0.0978058698734199	2.79361854293837e-14	2.18791124976491e-11
NACA	374.246842006684	-0.215893189284477	0.0296229748556304	8.98232572675258e-14	6.44856134466446e-11
CFL1	137.942265186972	0.283703839933997	0.0395246534666211	1.09182564785363e-13	7.23544458173773e-11
RPL34	1279.78188459076	-0.271530271113894	0.0387673774468571	4.05123884336695e-13	2.49295875968616e-10
TGFBR2	20.8201138387787	-0.954894791728223	0.139387685568601	5.71178106706995e-13	3.28046625952051e-10
RACK1	393.86372177658	-0.171640931807482	0.0246615497289221	1.38855855165777e-12	7.47651995158232e-10
SH3BP5	7.21604172263186	1.16642745917489	0.177591260911938	1.9216026058324e-12	9.7380037936742e-10
SH3BGRL3	158.33544180975	0.360154538626427	0.0537631721430306	2.0518049475809e-12	9.82016645744971e-10
CALM1	105.767883635364	0.309266657628226	0.0463889234640627	3.51684765948171e-12	1.5946127677071e-09
RPL35A	749.692121568349	-0.210564901844852	0.0313315468119896	4.88845759868751e-12	1.91427555512241e-09
LCP1	35.0991413026006	0.50058635340452	0.0765371030645426	4.4518815919066e-12	1.91427555512241e-09
