""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS21	166.284507829558	-0.480672559570863	0.0724398995072025	2.25433355478875e-12	5.57271254743778e-09
RPL21	86.8287958333001	1.23012632484905	0.191672009782156	5.2993221532779e-12	6.54996218145149e-09
NDUFB1	13.5685007464575	-0.758168772232607	0.123545904822885	3.69635979740873e-11	3.04580047306479e-08
ATP5F1E	94.6885222848567	-0.389190324839497	0.0642219069273164	1.00605824539788e-10	6.21743995655893e-08
UQCRQ	23.9221156741424	-0.467267514613102	0.084208852067253	1.66879835575943e-09	8.25053907087461e-07
ERAP2	5.53697982088227	-1.13614160827078	0.213340135393855	3.75191856181497e-09	1.32496324068666e-06
RPS28	197.50540478591	-0.321592846160312	0.0583506666332321	3.4015721771929e-09	1.32496324068666e-06
MTRNR2L8	7.02983396179586	-1.60456319700393	0.33631307499688	5.11552429417283e-08	1.5806970068994e-05
RPS29	92.2656249335793	-0.531493276101708	0.111679311193543	1.22513248908997e-07	3.36503057003377e-05
RPS27	250.798144087286	-0.309740937469012	0.0670708015602962	3.3061764580437e-07	7.58653211967876e-05
RPL37	210.644651061495	-0.280168255556932	0.0602809065862993	3.37588403383763e-07	7.58653211967876e-05
TMA7	67.0711414963606	-0.308577012021616	0.0673643617188748	3.98578119382994e-07	8.21070925928968e-05
RPL37A	125.492140743834	-0.263748392083417	0.0595746920673247	1.00524348945487e-06	0.000191150915840957
EIF5A	25.2986672766507	0.620057022796354	0.153390326368144	3.31658574607663e-06	0.000585614283164387
MZT2A	14.8270347460904	-0.456075290201509	0.116369924229517	5.56375647156987e-06	0.000866307668732509
RPL34	174.677098978399	-0.274486376960974	0.0685733469086033	5.95761746296629e-06	0.000866307668732509
RPL36	127.763354887794	-0.267315859336573	0.0661964903524926	5.74105144925754e-06	0.000866307668732509
KLF3	9.56556694098568	-0.690245283547326	0.191340322761052	1.04631872766129e-05	0.00143694438598817
ROMO1	16.8425392863206	-0.408898672847646	0.109573924359688	1.13341999049551e-05	0.00147463906131837
RPS15A	251.125205609519	-0.208786377550955	0.0535525492497508	1.43395229630485e-05	0.0017723650382328
PRF1	23.7077625658666	0.79639899644199	0.234193370408796	2.33244956440624e-05	0.00274562634438678
RPL36A	29.6522038790969	-0.478471602821614	0.142313979524606	3.79813778386318e-05	0.0042677257280499
NONO	14.8389151296865	-0.345568535054833	0.10294488453733	4.77283197427569e-05	0.00503903416025853
CEMIP2	4.05129720403112	-0.932788950907161	0.300198220078759	4.89226617500828e-05	0.00503903416025853
S100A8	4.8779192517749	0.0385134147713408	0.10427753202007	5.74324308424884e-05	0.00567891876170525
NDUFA3	12.3300185629207	-0.422072392788389	0.130923667985522	6.55453135551331e-05	0.00623184673493419
PET100	10.8098200789832	-0.460191218904979	0.145189158643288	6.80700954540131e-05	0.00623219540601187
IL32	155.803229582596	0.466765436013065	0.146445955701177	7.15461885759638e-05	0.00631650636284938
GHITM	12.4025747817851	0.391370020323296	0.119854653678597	7.60255633818359e-05	0.00648052388551374
S100A10	89.5542976911396	-0.332353275008078	0.10220323355168	8.28756721496416e-05	0.00670379375654578
AAK1	8.1935358868894	-0.564833371829681	0.187857034238966	8.40686110246437e-05	0.00670379375654578
FCER1G	9.21158649866715	1.54037374577847	0.515301619255902	9.26936152992043e-05	0.00716058178186354
PRDM1	3.84965940741616	-0.839043326325208	0.28604674863053	0.000114696478086997	0.00859180890397139
KTN1	11.2984929758898	-0.430086994154819	0.14482348460725	0.000131341400345887	0.00954929240161858
HIST1H3B	7.92611497081362	-1.22422181734152	0.429664131973793	0.000145656341505231	0.0102874993200266
