""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS28	181.358142048909	-0.525034002090474	0.0488816439408088	8.04418954635304e-28	3.21606698063195e-24
GNLY	188.614572576959	-1.58107935982188	0.166276330844313	6.3489166572266e-23	1.2691484397796e-19
RPL41	435.116431655679	-0.279995112080569	0.0324902639318442	1.68560910679831e-18	2.24635506965988e-15
IL32	112.127637360956	0.677699986360094	0.0836810222784649	3.58354686181792e-17	3.58175508838701e-14
RPS21	124.225476600623	-0.540219024969229	0.0665602032937535	4.74858291338658e-17	3.79696689754391e-14
RPL34	220.424424404491	-0.344950409408359	0.043504462626899	3.70152615190482e-16	2.46645025921925e-13
FCGR3A	15.301303602162	1.50778792830563	0.196323688900906	8.64818399227496e-16	4.93934851444504e-13
KANSL1-AS1	1.71962696835089	2.28372198522891	0.306813660950643	2.36795924669619e-15	1.18338763353642e-12
RPL30	242.594546145384	-0.291834569230471	0.0379733789521854	3.37618661545603e-15	1.4997771209548e-12
RPL36	99.9688938238608	-0.366376018293944	0.0511285770177549	1.36604570450135e-13	5.4614507265964e-11
ANXA2	7.51262276709878	0.894492736777879	0.133532807282581	1.58810573838488e-12	5.7720424927843e-10
APMAP	8.81168229196102	0.799322670577631	0.126460883795513	3.55802696071741e-11	1.18541598241235e-08
RPL14	122.350436235237	-0.296342721264033	0.0471013763549935	6.35333617025502e-11	1.95389523143689e-08
RPL39	222.955928496476	-0.288947459202502	0.0477610149109677	3.85236447836557e-10	1.10012522746468e-07
RPL35A	131.502656796988	-0.264049593709784	0.0442110569463181	6.70915967488086e-10	1.67645127376085e-07
RPS14	205.074410880267	-0.274800211575218	0.045892258673234	6.48717829340094e-10	1.67645127376085e-07
RPS23	181.352529959922	-0.232718390896274	0.0398187471863892	1.62653560507087e-09	3.82522902886667e-07
RPS12	311.375083690159	-0.265936358060611	0.0463875618005558	2.63055783328471e-09	5.84276123192904e-07
ARPC3	26.2449477694846	0.39655569345236	0.0716652016518843	5.78994612270049e-09	1.21832655781877e-06
RPS27	385.471122865739	-0.247817104833877	0.044322613448039	7.57380585814754e-09	1.51400379104369e-06
GZMB	23.6303827759382	0.946896218114514	0.181954896807551	1.14561797653722e-08	2.18103841437895e-06
RPL21	85.3551326263474	1.02649096430925	0.196800497488421	1.21730779669127e-08	2.2121802596235e-06
FAU	119.512940958756	-0.194511925574746	0.0352859087072267	1.50348906389811e-08	2.61345620759332e-06
ADGRG1	8.96410753775102	0.805122588790738	0.153914152225628	1.87601126819072e-08	3.12512210426104e-06
SPON2	7.12042131822051	1.15175750934472	0.225566122124547	2.48066555337047e-08	3.96708035295006e-06
TCF7	2.31916110938391	-1.34084342837653	0.273267933508799	2.65306474841078e-08	4.07959725544089e-06
MTRNR2L8	3.43878095491928	-1.94968864206515	0.410554982011789	3.12200903702434e-08	4.6228859740827e-06
PRF1	27.0277001190046	0.675417008952894	0.137214584580678	7.56352957879623e-08	1.07996397342955e-05
HCLS1	14.262646504119	0.472804132420664	0.0952994427510565	1.04386197623299e-07	1.43908971757913e-05
CLIC3	7.78432650680099	0.856732169470167	0.176897972436041	1.13185087374015e-07	1.50837993107104e-05
ABI3	4.4440852351199	1.02459490457324	0.211581791445565	1.19161330328911e-07	1.53679676985479e-05
CD247	16.3593626236421	0.553599011609933	0.114540467376274	1.39600392248633e-07	1.74413240065636e-05
CHCHD2	21.9756011244669	0.342699532072707	0.0692011603683095	1.45828950045707e-07	1.7667398250992e-05
UBB	26.1890904522634	0.356121384248748	0.0723802654549414	1.77859304868333e-07	2.09141617901057e-05
BSG	7.51188335698803	0.544711046690492	0.114370479490319	2.13195526119859e-07	2.43530203836342e-05
RPL26	70.354019547223	-0.399073265822282	0.0849506972064848	3.17586101954969e-07	3.52697009893324e-05
LINC01871	4.4752365597768	-0.812039832109413	0.180525270091886	3.55167482036157e-07	3.83772863021771e-05
CISD3	4.84500198769505	0.656597709294382	0.141501760416249	3.69376354613791e-07	3.88622806775246e-05
RPL32	212.138744851753	-0.186648041849974	0.0380720256693774	4.38106622845541e-07	4.4060392761864e-05
RPL38	47.4001442579672	-0.340429551156817	0.0720401369887363	4.40824339788534e-07	4.4060392761864e-05
POP4	2.12349564098913	1.13542393704636	0.243978205864738	4.96079618561042e-07	4.83738125611474e-05
CTSS	5.20186359597811	0.645534656911993	0.141666828129886	5.15093400918553e-07	4.90319861160089e-05
TWF2	4.44505834236352	0.662030519977904	0.146914661102565	6.08615884452228e-07	5.65871233962793e-05
TTC38	6.14747962444158	0.809939011962701	0.179592184449723	6.88780843549148e-07	6.25851321024885e-05
MYL6	51.4473007661829	0.299520256130474	0.0642234552313757	7.70389035348704e-07	6.84447858516471e-05
LYZ	1.28884083836988	2.24837291056503	0.514407320144668	8.36302558697848e-07	7.26856006450868e-05
RPS7	133.82317820421	-0.176991329843693	0.0371814050592022	9.90800855360578e-07	8.3600718260711e-05
NKG7	240.962345683848	0.491470716433672	0.111696385212067	1.00371047436572e-06	8.3600718260711e-05
CALM1	57.875331905125	0.274628630556986	0.0594133895789292	1.04055289810593e-06	8.49006221760714e-05
DENND2D	6.99153800723609	0.690641438026464	0.157031635053336	1.15150319458336e-06	9.02688190577307e-05
MRPL41	5.14687486764595	0.633912736164947	0.144132763347578	1.13876443103025e-06	9.02688190577307e-05
LINC02384	1.52083912997782	1.42259650600921	0.322715934096234	1.27598431125495e-06	9.62525523848548e-05
KANSL1	3.03727726506909	0.811149028647025	0.190567220059375	1.26917079644389e-06	9.62525523848548e-05
CFL1	71.3275247936402	0.296879080767252	0.0653349578778725	1.39772201667609e-06	0.00010348319671613
RPS27L	8.85189540149803	0.612391562383006	0.141190729624914	1.45575761379281e-06	0.000105820344362612
RPS29	96.7083728553265	-0.39836800544321	0.0912060684051011	1.81795942394986e-06	0.000129789317445563
MAD1L1	2.70994433991271	0.822170752978528	0.195957638803187	2.05162337999788e-06	0.000142447329666963
GNPTAB	3.83449686278938	0.757998549783769	0.180184563918204	2.06873908207538e-06	0.000142447329666963
HSP90AA1	25.04849749695	0.373220966841156	0.0851336974144494	2.10214918718129e-06	0.000142447329666963
ATP6V0E1	10.2074440037255	0.448168991631405	0.103445550339591	2.15088683875352e-06	0.000143273170836713
RPS15	147.350564096932	-0.156204313342173	0.0338162590629832	2.18600885968971e-06	0.000143273170836713
ZFP36L2	50.2647154524837	-0.587373229586915	0.144667882685657	3.06566016943851e-06	0.000197685634797018
CTSC	11.478004216476	0.517693041985108	0.123841892985129	3.78277334071233e-06	0.000232669658710276
CD3D	32.4473550244691	0.445926813448834	0.106284800121121	3.75026394733031e-06	0.000232669658710276
MIAT	1.37317397241622	1.26756613758976	0.305737633836652	3.6942528256053e-06	0.000232669658710276
CORO1A	38.8536108621152	0.340676443150717	0.0800556567771676	4.46001227344532e-06	0.000266136254764692
ITGB2	30.42327757797	0.485104541187784	0.117393035610814	4.41427630687214e-06	0.000266136254764692
ENSA	5.69471969834991	0.52624590287669	0.129182840182103	4.67485372534413e-06	0.000274853899910674
RPLP0	85.3259002586734	-0.255304413900235	0.0594802478004679	5.10701451640886e-06	0.000295910783139168
NBEAL1	1.8995671258348	-1.29622837220509	0.349427364162803	5.30156177907472e-06	0.000298530197080856
EEF1A1	494.558585460866	-0.172421234829234	0.0391221518134068	5.27039794553099e-06	0.000298530197080856
ARHGDIB	49.3609973929073	0.216327364491639	0.0496593023115298	5.6245511017741e-06	0.000312318823679067
S100A10	27.3182052109331	-0.399463302498859	0.10002158465846	6.21113076399438e-06	0.000340165764307528
CAPZB	13.3820323351604	0.368326886717835	0.0895786861358468	7.19749673665413e-06	0.000383674559375243
NCL	15.7324192339289	0.378281281001332	0.0930343394824698	7.17091972758122e-06	0.000383674559375243
POLD4	4.09122313302583	0.581156293194928	0.146928471000819	7.49565062217769e-06	0.000394310673519295
UCP2	15.6822860111041	0.459075713918868	0.116050475803853	8.5615185771326e-06	0.000431003974708656
CASP1	4.15348381102374	0.749627838002694	0.189570307294814	8.62439169001812e-06	0.000431003974708656
LCP1	21.6584670876346	0.342616713059886	0.083627300059441	8.42478491104009e-06	0.000431003974708656
EIF5	5.84223301344169	0.498857948049038	0.126612307611045	8.31861788966412e-06	0.000431003974708656
HSPB11	3.42980922289785	0.620146282122906	0.159473260561087	9.81027334865694e-06	0.000483346106127381
TPM3	23.0864254702968	0.273314827654167	0.0660035243709652	9.91355195158711e-06	0.000483346106127381
NT5C	4.08302178347381	0.559555968193242	0.1446020875002	1.02617850088956e-05	0.000494296583922463
PSMB3	7.95633497855393	0.465326633170114	0.118824234893755	1.04980155970041e-05	0.000499655551866933
FBXO6	1.54063366074619	1.01001087063636	0.263225539048912	1.10851914647252e-05	0.000509409143401971
STMN1	1.79031987942754	0.890102078310246	0.237116393621087	1.1084005134052e-05	0.000509409143401971
OSTF1	8.45388154285618	0.480519772075083	0.122728039781382	1.09869996934018e-05	0.000509409143401971
ERAP2	2.84136294386869	-0.968925865671417	0.268342558802936	1.15771971284756e-05	0.000525973114995971
RAC2	32.4820404592951	0.309525570303087	0.0765809159449178	1.26222870781911e-05	0.000567010154366382
PRKX	2.90364180496205	-0.864655347473742	0.240462285566002	1.3270971193565e-05	0.000588246762578737
LYN	2.66850637708071	0.736661189896092	0.193830709190893	1.33893085029177e-05	0.000588246762578737
MT-ATP6	290.141254725114	0.307417353058491	0.0770682010537632	1.37633751154086e-05	0.000598108409906561
NEAT1	13.0744715493399	0.547169783778243	0.143991134711602	1.46332485249163e-05	0.000629072339813069
JPT1	4.06418443765681	0.603939634195043	0.160347636801906	1.55465676965281e-05	0.000661225294156591
RPL5	83.6534272926043	-0.207762183161735	0.0507200950838964	1.664188705685e-05	0.000691962254361668
ARPC5L	8.93577047441786	0.459298600012322	0.119221536271943	1.72427845859759e-05	0.000691962254361668
RPL7A	135.554040680035	-0.168747150994235	0.0405898039215774	1.65364986407597e-05	0.000691962254361668
LPXN	4.27086410291206	0.557936737334277	0.147743803873559	1.68034521123712e-05	0.000691962254361668
RPL36AL	40.8094995156071	-0.236228853368154	0.0585466834565737	1.70419127474922e-05	0.000691962254361668
EIF3G	13.5620329793948	0.414903654873042	0.107375558049211	1.73077102141488e-05	0.000691962254361668
RPL10	338.101910774809	-0.154777922540361	0.0371990521677645	1.84355989101002e-05	0.000729757667748323
LITAF	24.4972601664455	0.326230069368626	0.0834392696047038	1.89293918181849e-05	0.000741957926363757
COX8A	12.2980989987629	0.376401668348154	0.0979694045819391	2.13208198449399e-05	0.000827579007185144
GSTP1	14.3318499274627	0.403945030914315	0.105936858847107	2.21125360158229e-05	0.000850056913377498
CYBA	53.8762188122593	0.336814660571418	0.0874984301383106	2.25224061238562e-05	0.000857567425554069
XCL1	1.9340948637051	-1.50158221177961	0.456060615212742	2.298105996407e-05	0.000866776205059923
TRIM8	2.25876681480094	0.734859114564184	0.202942368687098	2.40065064381019e-05	0.000896990773266648
RARRES3	21.5821266740952	0.404777794949019	0.106930953455805	2.53587151582223e-05	0.000938742066690489
H3F3A	42.7759229147542	0.257104579410841	0.065189945832416	2.69035035506783e-05	0.000979386554718751
S1PR5	6.79917951540467	0.60233231171991	0.166208500904803	2.69466035565439e-05	0.000979386554718751
GIMAP7	10.7208755119408	0.662722245329057	0.184961014498891	2.73678263209372e-05	0.000985734861541504
TMBIM6	12.6579675795334	0.378584422075539	0.100026262016892	2.89311891037609e-05	0.00103274012532889
RPS15A	238.973251196093	-0.175545541990117	0.0436572829296679	2.99779953984221e-05	0.00106063739471586
MGAT4A	4.2207510322212	-0.793613090049966	0.24232320475762	3.16762424854555e-05	0.00111089138120045
LIMD2	23.8891229247403	0.375385599838776	0.100447485160252	3.27955087019561e-05	0.00114014298948192
S100A8	2.45136465579872	1.83905466818413	0.549235073106643	3.42285491070174e-05	0.00117970464939531
RAB8A	3.04625238622408	0.608633298984033	0.171429603433303	3.45919799996278e-05	0.00118204047896164
ITM2A	5.63637378480913	0.591896447657827	0.168147325401446	3.82617355237475e-05	0.00129635947986392
AKT3	1.33421990046832	-0.981373845355736	0.296454274774724	3.93311310088188e-05	0.00131038218144381
GZMH	42.6551280508498	0.536100809214583	0.152858396576251	3.91905576641244e-05	0.00131038218144381
RPL37	186.223809551469	-0.172314740709725	0.0434823938650034	4.08033088003416e-05	0.00134819527755178
LSP1	29.085489446514	0.290378398093929	0.0768952388590383	4.14032235348719e-05	0.00135680399747884
GZMA	46.8789558684656	0.373255725923277	0.102694456007348	4.28000812144489e-05	0.00139117662353957
CHI3L2	1.64860806569657	1.1635591284379	0.330643932734499	4.60565586814785e-05	0.00147307297286841
CDK2AP2	7.20072648977307	0.514550789539982	0.14554568498881	4.59167154654598e-05	0.00147307297286841
EPSTI1	1.43187012347705	1.05341825398546	0.322805253109449	5.1091519569412e-05	0.00162114202570246
ARHGAP30	6.51487951911549	0.461552935504954	0.131590586575075	5.18450579466212e-05	0.00163209875331175
VAMP8	9.97819955064523	0.371121518320231	0.102756023183469	5.38422103029777e-05	0.00168149597670191
EMC4	3.74297106320175	0.490454392463144	0.141330095495405	5.42553729351043e-05	0.00168149597670191
SPOCK2	7.38097807281577	-0.735824707764624	0.236973460744847	6.02005043510721e-05	0.00185139704919682
ADAM10	3.11382125843178	0.582620934255875	0.171702065836031	6.1473496941935e-05	0.0018761148150676
HNRNPA2B1	30.0706719162195	0.297809664151897	0.0818908995113844	6.56766929287234e-05	0.00198920771461391
FDPS	2.98554706219988	0.551638630071913	0.162926978599292	6.66371205123495e-05	0.00200312186322085
KLRD1	26.3405364132691	0.431679834196616	0.125116303604912	7.32018287351232e-05	0.00218403665136584
RPS8	177.374479529731	-0.159652634477919	0.0418504344539847	7.59265844662677e-05	0.00224657671450383
SRGN	40.8737795953208	0.281166471591505	0.0777634035461906	7.70655600226481e-05	0.00224657671450383
CLEC2B	11.23344941979	0.41208335522424	0.120274999678031	7.86695197675177e-05	0.00224657671450383
INPP5K	2.03232274756425	0.691493888593759	0.211482994511749	7.75672946005806e-05	0.00224657671450383
SUMO2	18.8131637265071	0.273281671521106	0.0750286781532647	7.84425820464966e-05	0.00224657671450383
USF2	3.51376433645563	-0.639642725294946	0.196926043273778	7.69333016722089e-05	0.00224657671450383
TOX	2.76875700385922	0.707311518042377	0.21794111380019	8.89630482337825e-05	0.00252251253077066
HIST1H1D	2.7320177009862	0.767744828070838	0.249445843790545	9.07326900091235e-05	0.00255457249758082
FGFBP2	19.4406590774084	0.657842751084203	0.204572188923492	9.35286582551229e-05	0.00261487815177609
CXCR3	1.37311935111662	-1.14510076303702	0.367578430441015	9.60370888704134e-05	0.00266636306461051
CALR	17.1348820572959	0.384316522958965	0.112892935043105	0.000102671237521061	0.00283089384558071
SLC9A3R1	18.5603397666853	0.432605193768956	0.130178727163573	0.000103644751692611	0.00283816244703466
AUTS2	1.77214279807423	-1.07432359830019	0.359312078667677	0.000109027517667809	0.00296525180704694
PRKCB	6.99652697806494	0.455108752229868	0.137214997498662	0.000111093416422102	0.00300102350578082
TMSB4X	358.5921940038	0.177467283526981	0.0481972266467841	0.000114766519987772	0.00307943991215513
SPTAN1	4.60575496859585	0.453267422853697	0.13852407275237	0.000117654385467467	0.00313588155399289
NUMA1	2.00167999284593	0.72477292433888	0.233230732974961	0.000124359742818798	0.003292650674103
ZCCHC17	1.57503571252174	0.839133309738665	0.270796453349462	0.000127393664887089	0.00332888805371621
MPST	1.38035673818329	0.797591071739423	0.261715286105042	0.000126864154601913	0.00332888805371621
PLP2	3.2718497296265	-0.731548481614993	0.250446984236186	0.000131530563693728	0.00341467008862029
TSC22D3	33.4706041889098	-0.504388675227579	0.162639140038403	0.000137679896111352	0.00355125306227861
MT-CO1	510.774223863759	0.300909652850555	0.0897286496325089	0.00014459426568857	0.00370569150142885
