""	baseMean	log2FoldChange	lfcSE	pvalue	padj
AC020656.1	9.92490022587148	-1.52542229042428	0.215498465287246	8.58170700312652e-14	5.65791942716131e-10
KANSL1-AS1	2.33992455674715	2.44052477589651	0.383752769890162	4.7153162238955e-12	1.55440399320715e-08
MARCO	7.09377899868962	1.04750103915327	0.162485257943658	2.53427789168439e-11	5.56949804662505e-08
LMNA	8.60032376747938	-2.00407641696834	0.333153517855355	7.11863289799645e-11	1.17332866741227e-07
NAGK	19.7547177868862	0.586216615576156	0.103030868392954	4.67885306361361e-10	6.1695356496809e-07
NBEAL1	3.53503086821401	-1.29367216640334	0.232126837491664	7.95354925866328e-10	7.9715428162513e-07
SBDS	5.53643900533626	-0.80935633882206	0.144287299294353	8.87707779496569e-10	7.9715428162513e-07
MTRNR2L8	10.9708814134508	-1.78891991423218	0.323841418407634	9.67273510238289e-10	7.9715428162513e-07
FTH1	1105.70154379172	-0.384914385340863	0.0681157504020741	1.10084502962887e-09	8.06430142260349e-07
CD9	2.93147012718907	-2.70391869752348	0.505419014889854	3.02209393049779e-09	1.99246652837719e-06
VIM	207.099301945906	-0.496525912142858	0.0941960871773134	8.6183504948002e-09	5.16552589201979e-06
CPM	2.20382280497138	-1.22432814037705	0.240113183007596	1.58372023686369e-08	8.70122293470192e-06
LILRA5	15.674439353007	-0.495750387447402	0.0983859233489704	2.52393579533322e-08	1.28002374604861e-05
TAGLN2	51.5240180697825	-0.563399696559423	0.113817566667409	4.40409998914793e-08	2.07401651631802e-05
IFITM3	154.417158181049	0.751578483672251	0.159491475486366	1.30063370028957e-07	5.71671865733942e-05
RPL21	109.174752647743	0.762938190495823	0.168050168808473	2.89542109395919e-07	0.000119309445452956
S100A10	176.511289444676	-0.468786266762031	0.105691876746448	5.15066885771342e-07	0.000199755057522968
POM121	3.05972255224561	-0.940895809636731	0.219666494502281	5.49457356498578e-07	0.000201254019521951
AHNAK	51.8905031440249	-0.485217427316851	0.111098589931892	6.60785432887816e-07	0.000229292545212072
RAB31	14.611402588147	-0.490762260135174	0.111909953310127	7.72188741995977e-07	0.000254552018798974
MFSD14B	4.10983520864169	-0.741419616701971	0.177926620735482	1.2225898080869e-06	0.000383834981176996
MAFB	30.1721304124025	-0.682811925559933	0.162878745375274	1.31409227889413e-06	0.000393809563397682
RPS25	180.728752097778	0.218882762358671	0.04962483306129	1.65325708395394e-06	0.000473909737152535
ATP6V0C	40.4106917936946	-0.414786437529441	0.0980125227362886	1.73087813151857e-06	0.000475486646712581
TPM4	14.6249791464408	-0.494826353723218	0.123237837891923	3.13941584556766e-06	0.000827926746793102
RPS20	44.2369703622573	0.373971097659925	0.0924932554384304	3.52330053507556e-06	0.000893427708759738
MAML3	2.2867521123224	-0.928048541330889	0.240991672453675	4.02003351282172e-06	0.000946574319644057
CTSH	23.7849777172617	-0.399682126385005	0.0996897884055732	3.96004397871832e-06	0.000946574319644057
ERAP2	5.82545503123508	-0.818602916528428	0.20904642937014	4.2064048282112e-06	0.000956304380427464
NFXL1	1.54896875012825	-1.36390665554827	0.371477863241374	4.64977223854866e-06	0.00102083185087817
KLF9	3.53172489881048	-1.17905694778001	0.302795317604341	4.79990707981544e-06	0.00102083185087817
