""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MTRNR2L8	4.38743708292794	-2.6723074942424	0.426842152831699	2.37150338851715e-11	7.27814389935913e-08
RPL21	96.9259296903055	1.18972554422211	0.205893641420244	3.55738063757829e-10	5.45880058836388e-07
DUSP2	61.2477393194619	-0.812161156679785	0.143450843720679	8.61964913115043e-10	8.81790106116688e-07
NBEAL1	2.25557528495211	-1.58416086315308	0.307034152698553	1.3082375178973e-08	1.00374523560671e-05
HSD17B11	2.50318321021518	1.44224312816733	0.302379864931293	3.19883341760408e-08	1.96344395172539e-05
S100A8	1.85275089293969	2.47716586611887	0.504036751105025	1.03794120247911e-07	4.78633454607017e-05
TMSB4X	292.912581882226	0.250745209848334	0.0510325800500091	1.09170224250542e-07	4.78633454607017e-05
TMA7	34.9139419028821	-0.324116648737105	0.0683556291331632	1.6951234743998e-07	6.50291742866623e-05
NFKBIA	27.5021995752566	-1.12588006420603	0.245173852449534	2.77083159014399e-07	9.448535722391e-05
UQCRQ	7.59659163548443	-0.540443992296884	0.117873974461137	3.19067917913124e-07	9.79219440075378e-05
MT-ND4	90.4201986896508	0.45387835041382	0.101100571732322	3.61873159564799e-07	0.000100962611518579
RNASET2	4.87521976289183	-0.771349669747789	0.176944220223935	5.87643624287374e-07	0.000150289856911496
EIF5A	11.0005307208491	0.499279895441218	0.119434529526919	1.42464931949369e-06	0.000336326827809703
RHOH	4.30935974869982	-0.820971373760603	0.201393266453516	1.7726308883179e-06	0.000388586014017688
ATP5ME	7.89729865255279	-0.600961846257053	0.147056175395808	1.90370589988262e-06	0.000389498227115984
RPL23A	150.571819232625	0.194080072990816	0.0446496538220704	2.41693422157914e-06	0.000463598195376649
LITAF	14.474487292913	-0.651334883811201	0.164086500809414	3.05818143419638e-06	0.000552091695385216
RPL27A	43.7353855159039	0.377417933720216	0.0920062387452946	3.28913533201208e-06	0.000560797574108059
PARP8	10.6377938371866	-0.52232894930836	0.132821175114585	4.34058626115032e-06	0.000683744112187513
IRF1	16.4717231095793	-0.82816187229509	0.209171278600424	4.45581044110468e-06	0.000683744112187513
IL32	102.887548920225	0.319448241071441	0.0814834006902608	7.17261098220784e-06	0.00100057923201799
DNAJB1	13.4120061023489	-0.644266371973234	0.170241547757825	7.05549944786164e-06	0.00100057923201799
NFKBIZ	4.22796554150336	-0.949377210868291	0.244740300460042	7.73995930645006e-06	0.00102603251059821
RBL2	10.5086629567232	0.426462728702013	0.111011480615679	8.02371464788435e-06	0.00102603251059821
RPS28	227.045007108884	-0.210395165069859	0.0519809898592159	8.45783472045911e-06	0.00103828379028356
LPXN	3.7171765642758	0.673222599718316	0.181683680562394	9.03145943821117e-06	0.00106605957753346
SMDT1	8.63153196625383	-0.448191571060291	0.120495758655902	1.31838414830086e-05	0.00149856331523531
DUSP1	71.0749772136642	-0.748330190786316	0.208661379742426	1.64246581101859e-05	0.00180025984786288
NR4A2	6.60344164896454	-1.22515361441521	0.342910620327165	2.00939212056249e-05	0.00205560813933543
ATP6V0C	7.51092051720344	-0.47863285224142	0.134411628457881	2.0060925209841e-05	0.00205560813933543
LTB	63.3269484046978	0.516781866095491	0.148215433804331	2.34300940407328e-05	0.00231957931003255
RPL34	304.553262990086	-0.157528712987185	0.0402429444165824	2.43314419652219e-05	0.00233353735597706
TLE1	1.84084905499467	-1.27991290753109	0.371288468214209	2.77859869071755e-05	0.00258409678236732
RPL13A	90.0590057628914	0.188672018561055	0.0496673091343076	3.13753551705751e-05	0.00283208720642632
RPS19	273.041484459543	0.170221626267174	0.0446430873285711	3.47878754851668e-05	0.00305039971039934
ANXA2	6.67558692923917	0.60912780040465	0.187434634355221	4.01455994273517e-05	0.00332991472006872
RPL13	377.604276094857	0.113935020616186	0.0288913171634309	3.97709502123245e-05	0.00332991472006872
SIRPG	2.75993479408081	0.673231376258763	0.200796967666609	4.14256009464179e-05	0.00334566235011991
MT-ND2	74.8834601658048	0.331724017565329	0.100155315592855	6.08710237026771e-05	0.00479008132675682
SLFN5	3.70438570358553	0.726581380693157	0.236907118844656	6.28357841163205e-05	0.00482107553632469
TSC22D3	35.3419265754216	-0.633306398774967	0.196512118432221	6.59540090568923e-05	0.00492596226868039
RPS20	33.7634598456158	0.296426603486866	0.0875240376378823	6.90180441685424e-05	0.00492596226868039
H3F3B	87.7915648571594	-0.319043668937062	0.0950452945157031	6.7734953880215e-05	0.00492596226868039
RPL37	217.399003222035	-0.177868494446276	0.049881989262978	7.81711453816388e-05	0.00545243739036931
FOSL2	4.71879402213057	-0.79638060575693	0.263258864700103	8.3682725910091e-05	0.00558309316995803
GIMAP7	10.8448908439462	0.687568881885123	0.229747332859432	8.29363926709026e-05	0.00558309316995803
BTG2	6.51023485112792	-0.657272708325938	0.211427088919171	9.15253078121472e-05	0.00597640786543574
RCN2	3.08446615442388	-0.603714489341448	0.1972808970889	0.000114238574987519	0.00730412888826453
METAP2	2.88136753538256	-0.695467162429693	0.23330237465916	0.000121891104640561	0.00763436326820164
RPL35A	172.335768710377	-0.139426202660042	0.0392600452652675	0.000129480216839464	0.00794749570960633
RPS18	247.950830954611	0.187598280931085	0.0551812461452902	0.000135677224583513	0.00816457651464315
RPS21	158.629513811818	-0.267813365388559	0.0837459648374334	0.000140287412037605	0.00827965514506557
KLF3	7.06266736008176	-0.547657959112034	0.186673909032574	0.000143493891116534	0.00830910852521965
DENND2D	3.94547547262428	0.605276961383269	0.212333378246297	0.000158480652904989	0.00900698377343354
ERN1	10.0955859658097	-0.483215673849629	0.165964604599756	0.000172573230854618	0.00962958628168767
NDUFA1	11.1360145523485	-0.296517910359247	0.0958206439937171	0.000183049290834839	0.0096858323029676
MAP3K8	8.39620087676857	-0.708777298501697	0.239941858549476	0.0001782327447797	0.0096858323029676
GZMB	2.05055979119038	0.109843629657024	0.229686801296159	0.00018079320457074	0.0096858323029676
TNFAIP3	30.2233582875453	-0.840889286213929	0.298447110641071	0.000189265324210654	0.00984500474580503
TPT1	279.795656085126	0.165749432324077	0.0494991513718798	0.000197821595965965	0.00996962807847311
ZFP36	38.865221643025	-0.73949647126603	0.262855084582868	0.000198158133850394	0.00996962807847311
ZFP36L2	101.604675048175	-0.469953498783188	0.16442185070505	0.000216237592020595	0.0105822623999653
RPL12	165.426998390564	-0.142220178618976	0.0415302950795498	0.000217231192961165	0.0105822623999653
FTH1	84.8533129713599	-0.433919337638556	0.153946714789259	0.000259956907797427	0.0124657460942235
TOB1	4.07882876544098	-0.863996837072203	0.345800597126904	0.000277783989743986	0.0131156779157584
RPS29	105.196166675126	-0.316001791085966	0.109913997780066	0.000306031067044428	0.0142304446175659
MT-ND1	127.99882315479	0.267045907778827	0.0923153116990084	0.000349041326094084	0.0159881765639215
TMEM50B	1.78730732412501	0.636780121973004	0.243889444476776	0.000354478067530409	0.0159984292536886
ITGB2-AS1	2.13363247865596	0.685521235085959	0.269041946634957	0.000367653885733434	0.016352605439361
NFKB1	3.10318744624494	-0.655056127063727	0.257199474076636	0.000393612932295345	0.0172571155602059
RPS6	177.764200123376	0.148550464576303	0.0472240808416093	0.000428834570502911	0.0185365253080765
NPDC1	1.64720855987198	-0.935895616999172	0.400756175235748	0.000446691829093386	0.0190402392151056
EEF1A1	717.716149801157	-0.104411405396223	0.0315634898732807	0.000485455841071947	0.0204090955650658
BTG1	67.8599302909735	-0.297469891721396	0.108304538778981	0.000563946356973093	0.023076684927339
MT-ATP6	321.452877617924	0.278041346057772	0.101673083522939	0.000563902361008085	0.023076684927339
PIM1	8.3532943156328	0.516822482193357	0.209925676188257	0.000573526025171925	0.0231598864638505
EMC7	1.97571746718441	0.59600766117656	0.252596138862415	0.000619703347528864	0.0246996048515076
MALAT1	907.319199204942	-0.214229865766703	0.0765893529069408	0.000652476336227273	0.0256724343061731
FOS	52.4691091455198	-0.762682258531702	0.332369178873771	0.000695908972583839	0.0270347422387317
AUP1	5.38780674078323	-0.359247061819891	0.142919210640824	0.000763085482249214	0.0292738668127855
MVD	2.09123769400698	-0.703013167582235	0.310611328233602	0.000786682747750798	0.0298065352203358
S100B	6.84011568208426	0.0604578161418622	0.128434457853639	0.000797618193905753	0.0298523199645946
CAPZB	11.5098769502527	0.263066471695741	0.100717282861177	0.000821469745246353	0.0300129839066793
APMAP	4.23230182837459	0.383717510006142	0.158263260756452	0.000821352584134176	0.0300129839066793
TRBC1	10.4811009623736	0.47017834796096	0.200638055008399	0.000882654964278088	0.0318690362984642
CDK11A	3.07580581914966	-0.612745225643704	0.287235824742749	0.00105452592986429	0.0376318613808546
DUSP5	2.10286293626922	-0.845808322669672	0.386381963782792	0.00111554229217318	0.0393517160307987
MT-CYB	301.995594913706	0.244701757172872	0.0953370277759498	0.00113735602903399	0.0396652915125605
RPS3A	221.25284701043	0.136284971450636	0.046704345410536	0.00115717733662814	0.0399031151248514
EIF1	106.172085360448	-0.228308256057919	0.0872528873871903	0.00117659727274329	0.0401219670005462
TTC39C	7.06327941169924	0.343485404234997	0.152062177437992	0.00121179487633628	0.0408681151151212
EIF4G2	9.07556774525316	0.252205284269068	0.101267273991432	0.00122559538137233	0.0408842633199096
R3HDM2	2.12368165853584	-0.576457632417861	0.26752593961393	0.00126115707678178	0.0416181835337989
HLA-DPB1	4.4768670779645	0.49589967134137	0.228632845953585	0.00129336278915403	0.041936839410869
RPL35	86.693481014699	0.120543334197912	0.0408010955950635	0.00129814263409337	0.041936839410869
CCNI	21.8946774300373	-0.196898750407358	0.0739045735104118	0.00132166573251963	0.042252001386487
