""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS28	294.148854936555	-0.408120713128839	0.0500060965954234	2.79737062096947e-17	1.49715275634286e-13
KANSL1-AS1	1.56623320033442	2.39611256045785	0.352282972329364	1.0799744933584e-13	2.89001174422708e-10
RPS27	529.695051748675	-0.329973604379265	0.0517462405435483	1.8802238323092e-11	2.97946900020009e-08
RPS21	198.571168290602	-0.463178076382605	0.0735219472327131	2.22680792242159e-11	2.97946900020009e-08
RPS29	132.748304760503	-0.593314270026217	0.0999570511208183	1.81754806801399e-10	1.94550345200217e-07
RHOB	8.02884731769892	-2.02613170596465	0.349438961009558	3.31968662592054e-10	2.96116047032113e-07
PELI1	4.9417685880775	-1.52442399310797	0.27520468590154	9.17442840770362e-10	7.01450583400426e-07
TSC22D3	55.3642213868154	-0.822801684618961	0.151038087084527	2.58358294100514e-09	1.72841698753244e-06
RPL21	125.687843481234	1.03057059720605	0.201099660413269	1.39778556438491e-08	8.31216482287561e-06
RPL34	334.905815398692	-0.241358517956623	0.04675873822987	3.82045604177355e-08	2.04470807355721e-05
PSME2	11.2206318448794	0.579917435008595	0.118664458050456	5.51616179335905e-08	2.68386344709615e-05
RPL39	379.361242556952	-0.259532780583831	0.0546765834423571	2.7791237633325e-07	0.00012394891984463
NDUFA3	7.61420945293139	-0.622801966812998	0.138024062778184	3.84793396299514e-07	0.000158416481307308
TMSB4X	310.657254034817	0.290463524617583	0.06273605558488	4.17316410851112e-07	0.000159534102205368
KLF2	47.3629728864638	-0.605237989417111	0.138876304834947	7.20768949652578e-07	0.00025717036123604
LST1	1.47124238615585	1.87472783635895	0.43084329687442	8.37580142757083e-07	0.000280170557752244
NBEAL1	2.33449749121718	-1.2683676698561	0.306079985902009	1.05903983687142e-06	0.000333410659231521
ATP5F1E	51.0767353689841	-0.312056594044713	0.0723475933778108	1.6353240698609e-06	0.000486236356771975
RPL36	166.877717597217	-0.226696273459058	0.0517519055841476	1.88153583964457e-06	0.00052999893756725
EZR	19.478559022488	-0.519714572594768	0.129367100550317	2.88073744766965e-06	0.000770885340996399
RPL41	666.249259559489	-0.140401006380448	0.0314158382938915	3.04550538950028e-06	0.000776168802124072
SLFN5	1.6543608061636	1.07702773887649	0.270411340467271	3.24490203677031e-06	0.000789396168217941
LDHB	17.3837411675807	0.406461123404974	0.0998193028702016	3.56384592714024e-06	0.000823180154153101
EID1	9.3456091499639	0.430504714477033	0.10685350209695	3.69139082579866e-06	0.000823180154153101
RPL12	217.652497410613	-0.194999716213806	0.0459546350631608	4.85211494323754e-06	0.00103874076704829
RPS20	44.549719689421	0.265978814515	0.0648550050968887	5.52824682829993e-06	0.00113796834711774
AL662844.4	1.34135816950054	-1.26062214261489	0.349168361570536	8.05115908698584e-06	0.00159591864568697
RPS15A	321.083413924122	-0.185544651739641	0.0450782508828021	9.17143089619094e-06	0.00175305350558621
SMAP2	9.09515766909004	-0.477133495918232	0.129817211662745	1.57066817954918e-05	0.00271168261191845
RPL37	285.119708546341	-0.194428971822733	0.0489921868502779	1.51185952360432e-05	0.00271168261191845
LAT	2.70839470952033	0.900011803655723	0.250439539717327	1.53620971799847e-05	0.00271168261191845
ARHGAP24	6.33499964044817	-0.662060379246143	0.18718193417444	1.9822478542691e-05	0.00331530953626508
MTRNR2L8	6.85878964281294	-1.41688965134813	0.416755102615094	2.09788205836974e-05	0.0034023832655742
LPIN2	1.25330286743099	0.958446985548267	0.271271174057755	2.29759216340028e-05	0.00361668037015245
UPP1	1.08629707293329	1.04958724724491	0.308128927808172	2.84036051896014e-05	0.00369953482065765
GIMAP4	2.92004039717208	0.875934103664633	0.256129552417042	2.7259872318838e-05	0.00369953482065765
CFL1	55.3976414553886	0.289529200907002	0.0796064996211602	2.87573481559901e-05	0.00369953482065765
TESPA1	1.24037577838997	0.994991867895859	0.28867676327515	2.59525178154873e-05	0.00369953482065765
SELPLG	2.25265552317109	0.875619833798336	0.259880095227947	2.60821088251926e-05	0.00369953482065765
CRIP1	11.957635245896	-0.660729967257926	0.192612914785259	2.90322239289278e-05	0.00369953482065765
HERPUD1	8.95066688816671	-0.574123671556725	0.166349145293698	2.64103804930415e-05	0.00369953482065765
SMDT1	11.7827205985868	-0.397007319723145	0.111854088718639	2.774582527829e-05	0.00369953482065765
KLF6	31.6254167562614	-0.532990126049921	0.155670571109958	3.18181454099666e-05	0.00396024916823585
RPS3A	269.799941234746	0.208195390177557	0.0564187504476499	4.27471938161453e-05	0.00519961321145477
FXYD1	1.73697898616382	-0.926516062753316	0.283871470380958	4.44856634182054e-05	0.0052908282358719
MPDU1	1.07980500895033	1.0334993177595	0.317584922241666	4.90763685260293e-05	0.00570992879024584
DENND2D	2.26797187650442	0.704517821317079	0.21490129304481	5.08952714222037e-05	0.00575720706591266
LTB	84.746750864206	0.393289744201728	0.117203158361061	5.27381640148941e-05	0.00575720706591266
TCEA1	13.6305393671901	-0.29761356987157	0.0859697298377254	5.35603164071475e-05	0.00575720706591266
RPL38	71.5188581939295	-0.253022636143167	0.0716446748315134	5.37855667592737e-05	0.00575720706591266
RPS24	195.909004751684	0.179300825788048	0.048787855407139	5.65921399606786e-05	0.0059388457464618
FAU	185.00926993881	-0.137618729250368	0.0363582614555735	5.93328167119761e-05	0.00610671605850954
NDUFB1	5.06597701994278	-0.565640971500933	0.174558516982046	6.18381402210813e-05	0.00624448540496655
