""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL21	33.1832182858285	1.84751089502326	0.229488773243227	3.98734973493848e-17	4.17475517248058e-14
MTRNR2L8	2.48285327242154	-3.7498605310344	0.785778536152051	1.12239569271968e-08	5.87574145138752e-06
MT-CYB	91.0311242128313	0.595723695039929	0.144588131089918	2.11294766133995e-06	0.000737418733807644
C1orf162	3.90149564433777	1.52058996500045	0.418236841355219	1.63019945544027e-05	0.00368136444854814
MT-ATP6	116.668512695727	0.667711311279403	0.187499082047357	1.75805370035728e-05	0.00368136444854814
YBX3	3.46447246356363	-1.46631109450826	0.496228247481089	0.000102425300979659	0.0178732150209506
TSC22D3	16.7738942799518	-0.851099339927955	0.290513420886422	0.00013680817768462	0.0179047702544746
NPC2	4.90964291945657	1.53232490507393	0.5183166461083	0.000127431615863086	0.0179047702544746
KLF2	18.9452487631858	-0.748256016315543	0.261866176852884	0.000174197912960367	0.0202650238743893
H1FX	5.9779638624981	-1.06664093857271	0.401894853254372	0.000303325146973675	0.0288817299839435
TPT1	62.8485861594561	0.357092931153249	0.12255401347479	0.000303437468790238	0.0288817299839435
EIF1B	2.26900555596039	-1.1787529992281	0.45967566130011	0.000464036177068649	0.0379919823703812
WARS	2.56471636437874	2.06262890321092	0.836681989009948	0.000471724709469872	0.0379919823703812
CD83	2.88956688853587	-1.36471036109864	0.592429030942352	0.000703071899887238	0.0484358394705425
MT-ATP8	31.2528449012674	0.792457224794794	0.345552812928849	0.000709040093143506	0.0484358394705425
MT-ND3	91.8519965945926	0.380720616929083	0.149425127333468	0.000740184748355951	0.0484358394705425
NEAT1	6.7278798963937	1.43999577322147	0.722384094733973	0.00107176100828359	0.0660078691572306
CD48	5.85163141942958	0.713400210723093	0.337496271852994	0.00138915449963734	0.0808024867289051
MT-ND1	41.8576854468306	0.420681365477397	0.195261850276978	0.00170460709045475	0.0939328223003221
RPL26	29.3623773888938	-0.42187695332639	0.208382465738149	0.0021188765356071	0.110923186639031
ICAM3	3.28372693667137	-0.732824365337471	0.417813867316902	0.00238881452626889	0.119099467095406
PTPRCAP	2.17503372517828	-1.26297918056197	0.87864850453502	0.00262258167538648	0.119384478875202
MT-ND4L	79.2165990032853	0.294637071577384	0.132798002422574	0.00251975583442573	0.119384478875202
H3F3B	29.276531587667	-0.404427576447624	0.219219953272605	0.00340114388903201	0.14243990607266
EEF2	19.5589044218264	-0.401154512165515	0.218157332473805	0.00326974723751515	0.14243990607266
SFPQ	2.79329774654254	-0.79645194718946	0.598336402343402	0.00394691661656575	0.147586489198012
HVCN1	6.65083923310433	-0.53566486712314	0.34801002028164	0.00387527039711541	0.147586489198012
IGLC2	3.73185174370055	-0.0955430887604636	0.179582305055404	0.00384387914109055	0.147586489198012
ZFAS1	5.21120355110001	0.620132445837506	0.424128669873686	0.00431623246231734	0.155830875449871
JUN	13.2660732320267	-0.540520579584098	0.394576267113945	0.00464746157501661	0.158009184039985
SNX22	2.09905464823305	-0.896265283498823	0.930179025753124	0.00467839990949334	0.158009184039985
ARMH1	2.52312530207635	-0.107635986695813	0.198646545167172	0.00497761296433305	0.158808802741427
RPL36A	8.1420022975027	-0.497949743754647	0.37606249891635	0.00500543504342607	0.158808802741427
HLA-DRB1	49.2057317855103	-0.343508095043987	0.203322092437679	0.00536532689735378	0.165220507692041
CTSC	2.58313049385128	0.0523871554697941	0.134804083834013	0.00598182952990232	0.178428775490783
