""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL21	50.4667022896377	1.56377641107182	0.228045399440115	4.01030202459551e-13	8.41361364760137e-10
MTRNR2L8	8.07948397663457	-3.84888945045671	0.635274603293311	2.3524401831776e-11	2.46770975215331e-08
ITM2C	56.0202599678514	-1.18700851451157	0.206299237144199	3.49988939496375e-10	2.02535566326386e-07
CD27	19.6892467349682	-1.54804631491801	0.271113190462087	3.86149792805311e-10	2.02535566326386e-07
ITGB1	14.3220700316575	-1.98065086022152	0.401111311377331	2.09592911458585e-08	8.79451856480224e-06
HLA-DQB1	5.45415002357089	-1.73301586523685	0.360961916342648	8.00568826746119e-08	2.28799686239816e-05
MALAT1	554.071544195759	-1.10147478314765	0.230909547631936	8.72448755919221e-08	2.28799686239816e-05
APOBEC3B	3.43312841834646	2.05388041827206	0.431972980138873	6.96564444511526e-08	2.28799686239816e-05
SLC38A10	6.66956316208506	-1.19758232465045	0.269478796664267	3.89823899284453e-07	9.08722822998647e-05
TMC6	6.55441239212072	-1.07146773354835	0.241124440471127	5.40132923392222e-07	0.000113319887327688
DBI	9.58299151425121	0.66781299001459	0.149948839186188	8.44663926385587e-07	0.000161100447050633
ITGB7	14.0654419310924	-0.713991642212655	0.166993096697602	1.29840439076781e-06	0.000227004367652572
SEC62	13.614559141566	-0.772107481857935	0.19162503127058	3.54481932873693e-06	0.00057207930397616
PTMA	118.350931949142	0.723268080461088	0.18049038156965	5.60573908978204e-06	0.000840060043597337
AHNAK	16.3429776797144	-1.10901500792975	0.297831586109102	7.77169425511515e-06	0.00108700096981544
EIF5A	15.2669413959884	0.646854108670925	0.164044732201174	8.34698798225804e-06	0.00109449879917359
APRT	8.9108478142728	0.665668142390205	0.173477281260699	1.0006877745612e-05	0.001234966441782
HDLBP	12.2433407523747	-0.813653534751033	0.214744970158065	1.0629162710563e-05	0.00123888796482007
CITED2	7.22275861236282	-1.27610352494923	0.352589458941004	1.29817800002036e-05	0.00143346181265406
SNRPD3	6.98875018026949	0.713807025686121	0.192098224391718	1.80926463338921e-05	0.00189791860042528
TXNDC5	34.7044373005493	-0.987306609019772	0.279711661473356	2.05739992616848e-05	0.00205544049766737
MEF2C	14.9241657373776	-0.812763255767355	0.229254539237457	2.2128394252759e-05	0.00210575207719942
SEPT7	5.17079872048317	0.738222981661593	0.204790107784995	2.30849846404131e-05	0.00210575207719942
NDUFS6	9.14226792183984	0.577285087116012	0.158995169781444	3.03648776503974e-05	0.00263579980408365
CIB1	3.76447611653727	0.934022758847006	0.265959540166364	3.14084819361732e-05	0.00263579980408365
IGHV6-1	21.3664397776598	-0.112564677531361	0.260402143080913	4.1072686619945e-05	0.00331424986648633
RNF213	5.32857248242512	-1.11198607386067	0.332258353307604	4.53917434727145e-05	0.00352710658539833
CYCS	10.7665606942715	0.579372822623862	0.166898672325084	5.42356912617248e-05	0.00355582750834683
SRI	4.14538442756226	0.767468496987668	0.225499845763996	5.12162534021059e-05	0.00355582750834683
IGHG4	19.0222381752252	-0.222756269606973	0.46355296825734	4.96782730837333e-05	0.00355582750834683
NDUFAB1	8.45055941116682	0.574045177315406	0.16390092001275	5.33168597663519e-05	0.00355582750834683
LIME1	7.66052327870135	-0.734442516924793	0.213006540492347	4.94723910411968e-05	0.00355582750834683
SLAMF7	7.7209984202362	-0.909126964310347	0.282781511214514	6.75999062767775e-05	0.00363825118674781
ERLEC1	17.918445203514	-0.780477727473331	0.240516351000487	6.25334981755239e-05	0.00363825118674781
CMTM7	2.66289871030752	1.12612265855954	0.349037090916818	6.27076181339178e-05	0.00363825118674781
H1FX	11.8376756487347	-1.29160248832044	0.40810668982502	6.01212776814253e-05	0.00363825118674781
SRSF3	10.0807385229987	0.690958510373358	0.206048037820504	6.60532751480183e-05	0.00363825118674781
GAS6	2.51934653827971	-2.10144879134362	0.65811558371989	6.76319334047495e-05	0.00363825118674781
